CHREM:zone 01:net:air exch zone amb total CVI avg (W), CHREM:zone 01:net:flux cas gain CONV (W), CHREM:zone 01:net:flux cas gain RAD (W), CHREM:zone 01:net:flux heat cool sys (W), CHREM:zone 01:net:storage air mass sensible (W), 
-207.58224, 492.61600, 492.61600, 564.43652, 0.0000000, 
-236.39293, 492.61600, 492.61600, 620.39282, 0.0000000, 
-207.66898, 295.68100, 295.68100, 815.61633, 0.0000000, 
-172.22287, 105.81400, 105.81400, 1008.8002, 0.0000000, 
-170.12859, 121.64575, 121.64575, 1031.1676, 0.0000000, 
-213.27089, 122.61475, 122.61475, 1082.7670, 0.0000000, 
-209.36131, 154.66299, 154.66299, 1013.5562, 0.0000000, 
-168.32690, 164.18201, 164.18201, 916.42841, 0.0000000, 
-157.49091, 160.16351, 160.16351, 868.12451, 0.0000000, 
-148.56564, 160.42001, 160.42001, 776.01923, 0.0000000, 
-176.51546, 162.15849, 162.15849, 693.12390, 0.0000000, 
-193.42177, 283.02698, 283.02698, 492.69373, 0.0000000, 
-208.89362, 717.25299, 717.25299, 168.67802, 78.798164, 
-225.76395, 587.03650, 587.03650, 27.980026, -79.029716, 
-209.41719, 289.89551, 289.89551, 205.04633, 0.0000000, 
-203.33424, 332.18951, 332.18951, 203.66066, 0.0000000, 
-179.64279, 172.06226, 172.06226, 429.01340, 0.0000000, 
-155.95134, 242.07248, 242.07248, 422.58145, 0.0000000, 
-129.25371, 276.89948, 276.89948, 417.21353, 0.0000000, 
-106.04371, 352.01123, 352.01123, 397.05112, 14.432316, 
-112.56659, 439.24976, 439.24976, 309.77905, -14.440064, 
-107.93797, 481.38699, 481.38699, 309.77905, 19.739138, 
-123.61560, 672.22302, 672.22302, 74.460304, -19.753635, 
-158.00302, 616.00671, 616.00671, 145.72292, 0.0000000, 
-165.92133, 399.89124, 399.89124, 433.22678, 0.0000000, 
-173.74924, 232.78149, 232.78149, 716.66699, 0.0000000, 
-184.70477, 139.68625, 139.68625, 936.04132, 0.0000000, 
-183.80281, 148.60675, 148.60675, 1021.3589, 0.0000000, 
-189.03606, 130.33824, 130.33824, 1125.1769, 0.0000000, 
-188.57199, 109.46200, 109.46200, 1207.9136, 0.0000000, 
-181.97273, 98.204498, 98.204498, 1245.3481, 0.0000000, 
-210.62486, 211.64876, 211.64876, 1184.8690, 0.0000000, 
-217.22412, 594.28979, 594.28979, 757.29712, 0.0000000, 
-196.14159, 783.47278, 783.47278, 321.34457, 0.0000000, 
-189.47272, 825.86646, 825.86646, 26.325329, 81.671150, 
-214.57811, 1027.0480, 1027.0480, 0.0000000, 259.98325, 
-240.49121, 794.11743, 794.11743, 0.0000000, -2.3336189, 
-242.27283, 315.64523, 315.64523, 0.0000000, -157.25906, 
-232.38359, 217.57674, 217.57674, 0.0000000, -15.736840, 
-214.12263, 205.07950, 205.07950, 0.0000000, -32.505962, 
-239.95328, 161.65974, 161.65974, 0.0000000, -104.30202, 
-258.29306, 223.23399, 223.23399, 44.943523, -31.608503, 
-252.02797, 484.66446, 484.66446, 44.943523, 29.218237, 
-254.01373, 659.51196, 659.51196, 6.5619392, -29.250015, 
-333.01541, 612.92871, 612.92871, 277.19907, 0.0000000, 
-370.69159, 664.44250, 664.44250, 392.29507, 0.0000000, 
-306.96613, 630.28528, 630.28528, 482.97940, 0.0000000, 
-302.53391, 481.44397, 481.44397, 731.62152, 0.0000000, 
-384.38831, 268.81976, 268.81976, 1165.3329, 0.0000000, 
-479.40073, 270.71503, 270.71503, 1415.4934, 0.0000000, 
-492.87772, 635.54352, 635.54352, 1139.7856, 0.0000000, 
-497.02441, 512.08148, 512.08148, 1315.5536, 0.0000000, 
-508.29355, 141.16826, 141.16826, 1824.1709, 0.0000000, 
-570.80121, 128.89900, 128.89900, 2043.8225, 0.0000000, 
-611.86713, 122.60049, 122.60049, 2207.9417, 0.0000000, 
-584.63879, 154.19275, 154.19275, 2203.2400, 0.0000000, 
-612.42926, 386.18274, 386.18274, 1752.4875, 0.0000000, 
-632.49536, 498.34448, 498.34448, 924.91467, 0.0000000, 
-620.13867, 474.80347, 474.80347, 183.60565, 67.812782, 
-625.61804, 435.78699, 435.78699, 0.0000000, 190.05035, 
-622.62689, 313.40799, 313.40799, 0.0000000, 88.014656, 
-611.32825, 301.80847, 301.80847, 0.0000000, 30.604010, 
-627.28802, 418.08850, 418.08850, -0.0000000, -8.0292664, 
-563.42383, 437.76776, 437.76776, 0.0000000, -60.697453, 
-515.77032, 434.91772, 434.91772, 0.0000000, -94.571045, 
-536.22388, 522.46973, 522.46973, 0.0000000, -93.954536, 
-524.61554, 497.41824, 497.41824, 0.0000000, -113.21980, 
-459.08902, 513.42102, 513.42102, 164.27193, -7.5696898, 
-405.50391, 679.61877, 679.61877, 280.91318, 0.0000000, 
-421.52774, 866.76404, 866.76404, 401.47656, 0.0000000, 
-423.62054, 840.57251, 840.57251, 650.32935, 0.0000000, 
-415.61563, 752.87805, 752.87805, 875.78381, 0.0000000, 
-415.61563, 511.72528, 511.72528, 1266.6232, 0.0000000, 
-414.19440, 164.05374, 164.05374, 1812.2134, 0.0000000, 
-431.05426, 207.43074, 207.43074, 1966.3530, 0.0000000, 
-455.69080, 428.88998, 428.88998, 1855.8005, 0.0000000, 
-471.25836, 339.88449, 339.88449, 2002.9507, 0.0000000, 
-479.04922, 235.18973, 235.18973, 2184.1738, 0.0000000, 
-484.37787, 362.32825, 362.32825, 2098.0193, 0.0000000, 
-475.92111, 359.96274, 359.96274, 1913.6250, 0.0000000, 
-447.87332, 264.27399, 264.27399, 1445.1025, 0.0000000, 
-423.90268, 227.38075, 227.38075, 839.39917, 0.0000000, 
-405.13416, 618.04449, 618.04449, 336.45312, 108.01594, 
