CHREM:zone 01:net:air exch zone amb total CVI avg (W), CHREM:zone 01:net:flux cas gain CONV (W), CHREM:zone 01:net:flux cas gain RAD (W), CHREM:zone 01:net:flux heat cool sys (W), CHREM:zone 01:net:storage air mass sensible (W), 
-207.58224, 492.61600, 492.61600, 533.98218, 0.0000000, 
-236.39293, 492.61600, 492.61600, 590.17755, 0.0000000, 
-207.66898, 295.68100, 295.68100, 785.30225, 0.0000000, 
-172.22287, 105.81400, 105.81400, 977.96448, 0.0000000, 
-170.12859, 121.64575, 121.64575, 1000.3075, 0.0000000, 
-213.27089, 122.61475, 122.61475, 1052.0199, 0.0000000, 
-209.36131, 154.66299, 154.66299, 982.95288, 0.0000000, 
-168.32690, 164.18201, 164.18201, 886.14648, 0.0000000, 
-157.49091, 160.16351, 160.16351, 838.32129, 0.0000000, 
-148.56564, 160.42001, 160.42001, 747.29999, 0.0000000, 
-176.51546, 162.15849, 162.15849, 666.21057, 0.0000000, 
-193.42177, 283.02698, 283.02698, 468.35138, 0.0000000, 
-209.29875, 717.25299, 717.25299, 158.48643, 82.687035, 
-226.21819, 587.03650, 587.03650, 12.635289, -82.942039, 
-209.46629, 289.89551, 289.89551, 190.49123, 0.0000000, 
-203.33424, 332.18951, 332.18951, 190.82794, 0.0000000, 
-179.64279, 172.06226, 172.06226, 414.58627, 0.0000000, 
-155.95134, 242.07248, 242.07248, 407.05850, 0.0000000, 
-129.25371, 276.89948, 276.89948, 399.60440, 0.0000000, 
-106.28574, 352.01123, 352.01123, 394.16019, 20.065290, 
-112.94486, 439.24976, 439.24976, 294.24457, -20.080273, 
-108.18925, 481.38699, 481.38699, 294.24457, 22.780092, 
-123.80020, 672.22302, 672.22302, 51.125710, -22.799404, 
-158.07257, 616.00671, 616.00671, 119.83630, 0.0000000, 
