CHREM:zone 01:net:air exch zone amb total CVI avg (W), CHREM:zone 01:net:flux cas gain CONV (W), CHREM:zone 01:net:flux cas gain RAD (W), CHREM:zone 01:net:flux heat cool sys (W), CHREM:zone 01:net:storage air mass sensible (W), 
-214.19681, 492.61600, 492.61600, 0.0000000, -14.572133, 
-241.20027, 492.61600, 492.61600, 0.0000000, -9.4322214, 
-209.95436, 295.68100, 295.68100, 145.52036, -16.848249, 
-172.64848, 105.81400, 105.81400, 350.36670, 0.0000000, 
-170.12871, 121.64575, 121.64575, 399.68842, 0.0000000, 
-213.27100, 122.61475, 122.61475, 488.18439, 0.0000000, 
-209.36140, 154.66299, 154.66299, 469.85950, 0.0000000, 
-168.32700, 164.18201, 164.18201, 417.85077, 0.0000000, 
-157.49101, 160.16351, 160.16351, 400.44690, 0.0000000, 
-148.56577, 160.42001, 160.42001, 377.09814, 0.0000000, 
-176.51558, 162.15849, 162.15849, 388.08160, 0.0000000, 
-193.42188, 283.02698, 283.02698, 252.48514, 0.0000000, 
-212.66492, 717.25299, 717.25299, 82.388374, 114.95379, 
-233.22290, 587.03650, 587.03650, 0.0000000, -82.322289, 
-213.57219, 289.89551, 289.89551, 60.668652, -33.023865, 
-207.01215, 332.18951, 332.18951, 60.668652, 36.619267, 
-183.50188, 172.06226, 172.06226, 156.58690, -36.669197, 
-158.66536, 242.07248, 242.07248, 156.58690, 31.931356, 
-132.09019, 276.89948, 276.89948, 47.589931, -31.969315, 
-107.94933, 352.01123, 352.01123, 47.589931, 40.818211, 
-116.11715, 439.24976, 439.24976, 0.0000000, -1.0893888, 
-112.85278, 481.38699, 481.38699, 0.0000000, 16.678055, 
-133.67703, 672.22302, 672.22302, 0.0000000, 66.472519, 
-173.49332, 616.00671, 616.00671, 0.0000000, -41.458694, 
