building:zone 01:air point:temperature (oC), building:zone 01:interior convection:casual (W), building:zone 01:interior convection:opaque (W), building:zone 01:interior convection:transparent (W), building:zone 01:supplied energy:net (W), building:zone 02:air point:temperature (oC), building:zone 02:interior convection:casual (W), building:zone 02:interior convection:opaque (W), building:zone 02:interior convection:transparent (W), building:zone 02:supplied energy:net (W), climate:dry bulb temperature (oC), plant:ideal hvac models:component 01 furnace:fuel use:energy input:heating (W), plant:ideal hvac models:component 01 furnace:thermal output:heating (W), plant:ideal hvac models:component 02 air source heat pump:fuel use:energy input:heating (W), plant:ideal hvac models:component 02 air source heat pump:thermal output:heating (W), 
17.629019, 113.88700, -842.50403, -193.05637, 1228.0200, 15.610275, 63.629997, -729.01636, -96.630844, 818.67999, 3.0999999, 2689.4180, 2000.0000, 0.0000000, 0.0000000, 
17.539316, 114.16701, -835.94501, -190.93903, 1228.0200, 15.523714, 63.945000, -745.59869, -97.882919, 818.67999, 3.5000000, 2689.4180, 2000.0000, 0.0000000, 0.0000000, 
17.915052, 291.40701, -957.71210, -186.34485, 1228.0200, 15.618864, 263.34000, -953.72400, -86.002045, 818.67999, 4.1999998, 2689.4180, 2000.0000, 0.0000000, 0.0000000, 
17.951542, 153.64700, -976.51807, -178.37193, 1228.0200, 15.656700, 108.36000, -886.67688, -80.243454, 818.67999, 5.0999999, 2689.4180, 2000.0000, 0.0000000, 0.0000000, 
17.740610, 124.52700, -887.50909, -168.70683, 1228.0200, 15.571525, 75.599998, -817.76562, -77.732307, 818.67999, 6.0000000, 2689.4180, 2000.0000, 0.0000000, 0.0000000, 
17.989939, 216.51100, -941.34351, -162.86009, 1228.0200, 15.623165, 177.03000, -918.21277, -70.089127, 818.67999, 6.9000001, 2689.4180, 2000.0000, 0.0000000, 0.0000000, 
18.441130, 325.99100, -1057.9259, -152.09700, 1228.0200, 15.818622, 300.19501, -1087.8253, -58.585640, 818.67999, 8.8999996, 2689.4180, 2000.0000, 0.0000000, 0.0000000, 
18.625767, 270.55099, -1066.0607, -154.34727, 1228.0200, 15.964318, 237.82500, -1055.8440, -59.889763, 818.67999, 7.1999998, 2689.4180, 2000.0000, 0.0000000, 0.0000000, 
18.338043, 71.154999, -907.49554, -153.27682, 1228.0200, 15.957651, 79.380005, -879.82117, -64.349510, 818.67999, 7.8000002, 2689.4180, 2000.0000, 0.0000000, 0.0000000, 
18.529161, 129.67500, -888.74347, -136.14618, 1228.0200, 16.068071, 145.21500, -949.54016, -52.890556, 818.67999, 8.3000002, 2689.4180, 2000.0000, 0.0000000, 0.0000000, 
18.721622, 81.794998, -903.80365, -132.57843, 1228.0200, 16.199711, 91.349998, -890.26831, -49.720692, 818.67999, 8.8999996, 2689.4180, 2000.0000, 0.0000000, 0.0000000, 
20.630236, 1100.4351, -1391.4612, -164.29688, 1228.0200, 16.369087, 166.32001, -1046.1218, -47.999870, 818.67999, 9.3999996, 2689.4180, 2000.0000, 0.0000000, 0.0000000, 
20.723581, 306.42502, -1311.1831, -157.83752, 1228.0200, 16.615051, 166.00500, -1057.3872, -46.405128, 818.67999, 9.3999996, 2689.4180, 2000.0000, 0.0000000, 0.0000000, 
20.030016, 399.03500, -882.57434, -144.63223, 1228.0200, 16.796648, 180.49500, -1030.0876, -51.069633, 818.67999, 8.8999996, 2689.4180, 2000.0000, 0.0000000, 0.0000000, 
20.303490, 57.154999, -929.42725, -160.16946, 1228.0200, 16.875481, 63.629997, -895.28564, -58.746716, 818.67999, 8.3000002, 2689.4180, 2000.0000, 0.0000000, 0.0000000, 
19.622540, 73.394997, -758.74884, -154.81084, 1228.0200, 16.919693, 81.900002, -879.76263, -63.784111, 818.67999, 8.3000002, 2689.4180, 2000.0000, 0.0000000, 0.0000000, 
19.843525, 73.675003, -835.54083, -163.53850, 1228.0200, 16.988693, 82.215004, -877.50031, -67.277214, 818.67999, 7.8000002, 2689.4180, 2000.0000, 0.0000000, 0.0000000, 
20.474623, 504.07101, -1065.7539, -178.76045, 1228.0200, 17.322367, 500.53500, -1259.1218, -69.224060, 818.67999, 7.8000002, 2689.4180, 2000.0000, 0.0000000, 0.0000000, 
21.000000, 671.51099, -1177.6643, -183.14317, 996.61713, 17.771896, 688.90497, -1346.0570, -68.619904, 664.41138, 7.1999998, 1825.0641, 1346.5485, 120.68154, 270.36627, 
21.000000, 605.43103, -1083.5646, -183.10971, 1026.3124, 18.019691, 614.56500, -1285.0231, -73.122162, 684.20825, 7.1999998, 1955.8296, 1445.4071, 101.86927, 221.04076, 
21.000000, 508.55099, -1007.0255, -185.85579, 973.90747, 18.143143, 505.57501, -1124.3737, -76.399734, 649.27161, 6.6999998, 1744.2609, 1285.4612, 130.97244, 293.69623, 
21.000000, 436.16699, -971.83130, -182.97322, 1063.0648, 18.250593, 426.19501, -1100.4838, -77.091759, 708.70984, 6.6999998, 2106.5662, 1559.3640, 80.404160, 168.04112, 
21.000000, 262.56702, -966.28125, -188.45412, 1196.8834, 18.282959, 230.89500, -971.96716, -80.144279, 797.92230, 6.0999999, 2610.3562, 1940.2291, 11.367723, 8.8854923, 
