Filename,hse_type,region,HOT2XP_CITY
11EWA00016.HDF,1-SD,5-BC,VANCOUVER
11EWA00033.HDF,1-SD,5-BC,VICTORIA
11EWA00038.HDF,1-SD,5-BC,VICTORIA
11EWA00045.HDF,2-DR,5-BC,VICTORIA
11EWA00048.HDF,1-SD,5-BC,VICTORIA
11EWA00050.HDF,1-SD,5-BC,VICTORIA
11JMA00039.HDF,1-SD,5-BC,VICTORIA
11JMA00041.HDF,1-SD,5-BC,VICTORIA
11JMA00044.HDF,1-SD,5-BC,VICTORIA
11JMA00046.HDF,1-SD,5-BC,VICTORIA
11JMA00050.HDF,1-SD,5-BC,VICTORIA
11JMA00056.HDF,1-SD,5-BC,VICTORIA
11JMA00058.HDF,1-SD,5-BC,VICTORIA
11JMA00067.HDF,1-SD,5-BC,VICTORIA
11JMA00072.HDF,1-SD,5-BC,VICTORIA
11JMA00074.HDF,1-SD,5-BC,VICTORIA
11JMA00076.HDF,1-SD,5-BC,VANCOUVER
11JMA00078.HDF,1-SD,5-BC,VANCOUVER
11JMA00079.HDF,1-SD,5-BC,VICTORIA
11JMA00080.HDF,1-SD,5-BC,VANCOUVER
11JMA00084.HDF,1-SD,5-BC,VANCOUVER
11JMA00086.HDF,1-SD,5-BC,VICTORIA
11WSA00032.HDF,1-SD,5-BC,VICTORIA
11WSA00077.HDF,1-SD,5-BC,VICTORIA
11WSA00078.HDF,1-SD,5-BC,VICTORIA
11WSA00084.HDF,1-SD,5-BC,VICTORIA
11WSA00092.HDF,1-SD,5-BC,VICTORIA
11WSA00138.HDF,1-SD,5-BC,VICTORIA
11WSA00142.HDF,1-SD,5-BC,VICTORIA
11WSA00198.HDF,1-SD,5-BC,VICTORIA
11WSA00205.HDF,1-SD,5-BC,VICTORIA
11WSA00208.HDF,1-SD,5-BC,VICTORIA
11WSA00210.HDF,1-SD,5-BC,VICTORIA
11WSA00257.HDF,1-SD,5-BC,VICTORIA
11WSA00263.HDF,1-SD,5-BC,VICTORIA
11WSA00313.HDF,1-SD,5-BC,VANCOUVER
11WSA00429.HDF,1-SD,5-BC,VICTORIA
11WSA00431.HDF,1-SD,5-BC,VICTORIA
11WSA00435.HDF,1-SD,5-BC,VICTORIA
11WSA00437.HDF,1-SD,5-BC,VICTORIA
11WSA00445.HDF,1-SD,5-BC,VICTORIA
11WSA00450.HDF,1-SD,5-BC,VICTORIA
11WSA00452.HDF,1-SD,5-BC,VICTORIA
11WSA00453.HDF,1-SD,5-BC,VICTORIA
11WSA00454.HDF,1-SD,5-BC,VICTORIA
11WSA00455.HDF,1-SD,5-BC,VICTORIA
11WSA00456.HDF,1-SD,5-BC,VICTORIA
11WSA00457.HDF,1-SD,5-BC,VICTORIA
11WSA00463.HDF,1-SD,5-BC,VICTORIA
11WSA00475.HDF,1-SD,5-BC,VICTORIA
11WSA00479.HDF,1-SD,5-BC,VICTORIA
11WSA00485.HDF,1-SD,5-BC,VICTORIA
11WSA00487.HDF,1-SD,5-BC,VICTORIA
11WSA00488.HDF,1-SD,5-BC,VICTORIA
11WSA00489.HDF,1-SD,5-BC,VICTORIA
2207A00103.HDF,1-SD,5-BC,SMITHERS
2207A00104.HDF,1-SD,5-BC,PRINCE RUPERT
2207A00105.HDF,1-SD,5-BC,PRINCE RUPERT
2207A00111.HDF,1-SD,5-BC,WILLIAMS LAKE
2207A00113.HDF,1-SD,5-BC,WILLIAMS LAKE
2207A00122.HDF,1-SD,5-BC,PRINCE GEORGE
2207A00129.HDF,1-SD,5-BC,FORT ST. JOHN
2207A00168.HDF,1-SD,5-BC,FORT ST. JOHN
2207A00170.HDF,1-SD,5-BC,FORT ST. JOHN
2207A00171.HDF,1-SD,5-BC,FORT ST. JOHN
2207A00174.HDF,1-SD,5-BC,FORT ST. JOHN
2207A00185.HDF,2-DR,5-BC,PRINCE GEORGE
2207A00196.HDF,1-SD,5-BC,PRINCE GEORGE
2207A00203.HDF,2-DR,5-BC,PRINCE RUPERT
2207A00208.HDF,1-SD,5-BC,SMITHERS
2207A00212.HDF,1-SD,5-BC,PRINCE GEORGE
2207A00218.HDF,2-DR,5-BC,FORT ST. JOHN
2207A00223.HDF,1-SD,5-BC,PRINCE GEORGE
2207A00230.HDF,1-SD,5-BC,PRINCE GEORGE
2207A00238.HDF,1-SD,5-BC,SMITHERS
2207A00242.HDF,1-SD,5-BC,FORT ST. JOHN
2207A00245.HDF,1-SD,5-BC,FORT ST. JOHN
2207A00340.HDF,1-SD,5-BC,SMITHERS
2207A00341.HDF,1-SD,5-BC,PRINCE GEORGE
2207A00389.HDF,1-SD,5-BC,SMITHERS
2207A00394.HDF,1-SD,5-BC,SMITHERS
2207A00395.HDF,1-SD,5-BC,PRINCE RUPERT
2207A00396.HDF,2-DR,5-BC,PRINCE RUPERT
2207A00400.HDF,1-SD,5-BC,SMITHERS
2207A00402.HDF,2-DR,5-BC,PRINCE RUPERT
2207A00403.HDF,1-SD,5-BC,SMITHERS
2207A00405.HDF,1-SD,5-BC,SMITHERS
2207A00409.HDF,1-SD,5-BC,PRINCE RUPERT
2207A00410.HDF,1-SD,5-BC,PRINCE RUPERT
2207A00411.HDF,2-DR,5-BC,PRINCE RUPERT
2207A00416.HDF,1-SD,5-BC,PRINCE RUPERT
2207A00419.HDF,1-SD,5-BC,PRINCE RUPERT
2207A00423.HDF,1-SD,5-BC,SMITHERS
2207A00425.HDF,1-SD,5-BC,SMITHERS
2207A00429.HDF,1-SD,5-BC,SMITHERS
2207A00431.HDF,2-DR,5-BC,SMITHERS
2207A00433.HDF,1-SD,5-BC,SMITHERS
2207A00444.HDF,1-SD,5-BC,SMITHERS
2207A00445.HDF,1-SD,5-BC,SMITHERS
2207A00447.HDF,1-SD,5-BC,SMITHERS
2207A00450.HDF,1-SD,5-BC,SMITHERS
2207A00451.HDF,1-SD,5-BC,SMITHERS
2207A00455.HDF,2-DR,5-BC,SMITHERS
2207A00458.HDF,1-SD,5-BC,SMITHERS
2207A00459.HDF,1-SD,5-BC,PRINCE RUPERT
2207A00461.HDF,1-SD,5-BC,PRINCE RUPERT
2207A00462.HDF,1-SD,5-BC,PRINCE RUPERT
2207A00463.HDF,1-SD,5-BC,PRINCE RUPERT
2207A00465.HDF,1-SD,5-BC,SMITHERS
2207A00466.HDF,1-SD,5-BC,SMITHERS
2207A00469.HDF,1-SD,5-BC,SMITHERS
2207A00475.HDF,1-SD,5-BC,SMITHERS
2207A00478.HDF,1-SD,5-BC,SMITHERS
2207A00479.HDF,1-SD,5-BC,SMITHERS
2207A00483.HDF,1-SD,5-BC,SMITHERS
2207A00487.HDF,1-SD,5-BC,PRINCE RUPERT
2207A00489.HDF,2-DR,5-BC,PRINCE RUPERT
2207A00494.HDF,1-SD,5-BC,SMITHERS
2207A00496.HDF,1-SD,5-BC,SMITHERS
2207A00511.HDF,1-SD,5-BC,SMITHERS
2207A00518.HDF,1-SD,5-BC,SMITHERS
2207A00521.HDF,1-SD,5-BC,SMITHERS
2207A00525.HDF,1-SD,5-BC,SMITHERS
2207A00527.HDF,1-SD,5-BC,SMITHERS
2207A00538.HDF,1-SD,5-BC,SMITHERS
2207A00551.HDF,1-SD,5-BC,SMITHERS
2207A00553.HDF,1-SD,5-BC,SMITHERS
2207A00555.HDF,1-SD,5-BC,SMITHERS
2207A00557.HDF,1-SD,5-BC,SMITHERS
2207A00558.HDF,1-SD,5-BC,SMITHERS
2207A00559.HDF,1-SD,5-BC,SMITHERS
2207A00564.HDF,2-DR,5-BC,SMITHERS
2207A00571.HDF,1-SD,5-BC,SMITHERS
2207A00573.HDF,1-SD,5-BC,SMITHERS
2207A00575.HDF,1-SD,5-BC,SMITHERS
2207A00576.HDF,1-SD,5-BC,SMITHERS
2207A00583.HDF,1-SD,5-BC,SMITHERS
2207A00584.HDF,1-SD,5-BC,SMITHERS
2207A00585.HDF,1-SD,5-BC,SMITHERS
2207A00588.HDF,1-SD,5-BC,SMITHERS
2207A00592.HDF,1-SD,5-BC,SMITHERS
2207A00609.HDF,1-SD,5-BC,SMITHERS
2207A00610.HDF,1-SD,5-BC,SMITHERS
2207A00611.HDF,1-SD,5-BC,SMITHERS
2207A00613.HDF,1-SD,5-BC,SMITHERS
2207A00614.HDF,1-SD,5-BC,SMITHERS
2207A00617.HDF,1-SD,5-BC,SMITHERS
2207A00622.HDF,1-SD,5-BC,SMITHERS
2207A00623.HDF,1-SD,5-BC,SMITHERS
2211A00006.HDF,1-SD,5-BC,VANCOUVER
2211A00007.HDF,1-SD,5-BC,VANCOUVER
2211A00008.HDF,1-SD,5-BC,VANCOUVER
2211A00015.HDF,1-SD,5-BC,VANCOUVER
