Filename,hse_type,region,bsmt_exterior_insul_coverage,bsmt_interior_insul_coverage,bsmt_slab_insul_coverage,crawl_slab_coverage,slab_on_grade_coverage,bsmt_floor_header_code,bsmt_header_code,bsmt_interior_insul_code,bsmt_pony_wall_code,bsmt_slab_insul_code,ceiling_flat_code,ceiling_sloped_code,crawl_floor_above_code,crawl_slab_code,crawl_wall_code,exposed_floor_code,main_wall_code,postal_code,slab_on_grade_code,wndw_favourite_code,bsmt_exterior_insul_RSI,bsmt_floor_header_RSI,bsmt_header_RSI,bsmt_interior_insul_RSI,bsmt_pony_wall_RSI,bsmt_slab_insul_RSI,ceiling_flat_RSI,ceiling_sloped_RSI,crawl_floor_above_RSI,crawl_slab_RSI,crawl_wall_RSI,exposed_floor_RSI,main_wall_RSI,slab_on_grade_RSI
1001A02411.HDF,1-SD,2-QC,1,4,1,1,1,0,0,210101,0,0,2401551000,2231401000,3600000000,0,210101,3231006620,1201201121,G8B 3T7,0,200002,0.7871,1.9888,1.989,1.4504,0,2.6012,5.81,3.34,0,0,0,0.7582,2.12,0
1001A02496.HDF,1-SD,2-QC,1,4,1,1,1,0,0,0000B1,0,0,2401541000,2212391000,3600000000,0,0000B1,3231506620,1211371121,G7G 4W3,0,200005,0,3,3,2.2995,0,0,5.19,0,0,0,0,5.018,3.82,0
1001A02500.HDF,1-SD,2-QC,1,2,1,1,1,0,0,0,0,0,2401391000,2212391000,3600000000,0,0,3231106620,1201241121,G8L 2M3,0,100022,0,1.9886,1.989,0.58,0,0,6.03,0,0,0,0,2.1827,2.79,0
1001A02503.HDF,1-SD,2-QC,1,2,1,1,1,0,0,210211,0,0,2401551000,2212391000,3600000000,0,210211,3231506620,1211341121,G0W 2T0,0,300045,0,3.8756,3.876,3.172,0,0,5.7465,0,0,0,0,5.0172,3.7,0
1001A02507.HDF,1-SD,2-QC,1,2,1,1,1,0,0,0,0,0,2401391000,2212391000,3600000000,0,0,3231106620,1201201121,G7H 4Z8,0,200042,0,0.98,0.98,0.98,0,0,6.18,0,0,0,0,2.1829,2.13,0
1001A02508.HDF,1-SD,2-QC,1,2,1,1,1,0,0,0,0,0,2401291000,2212391000,3600000000,0,0,3231006620,1201201121,G7H 2K6,0,200002,0,0.48,0.48,0.39,0,0,3.97,0,0,0,0,0.7584,2.13,0
1001A02511.HDF,2-DR,2-QC,1,2,1,1,1,0,0,210K01    ,0,0,2401301000,2212391000,3600000000,0,210K01    ,3231506620,1211321121,G7H 5K7,0,200005,0.7871,2.6032,2.603,11.1877,0,2.6012,3.42,0,0,0,0,5.0204,4.09,0
1001A02512.HDF,1-SD,2-QC,1,2,1,1,1,0,0,210K01    ,0,0,2401401000,2211001000,3600000000,0,210K01    ,3231006620,1201121121,G7X 4K5,0,233012,0,2.6021,2.602,1.6268,0,0,3.61,0,0,0,0,0.7584,2.88,0
1001A02517.HDF,1-SD,2-QC,1,4,4,4,4,0,0,0000F1    ,0,0,0,2241391000,3600000000,0,0000F1    ,3231506620,1211371121,G8G 1N5,0,220015,0,2.6028,2.603,1.4637,0,1.4035,6.72,6.69,0,0,0,5.0176,3.82,0
1001A02527.HDF,1-SD,2-QC,1,2,1,1,1,0,0,210K01    ,0,0,2401391000,2212391000,3600000000,0,210K01    ,3231506620,1211371121,G7G 5H4,0,230205,0,2.6022,2.602,1.6266,0,0,6.53,0,0,0,0,5.0139,3.82,0
