Filename,hse_type,region,wndw_favourite_code
1001A02411.HDF,1-SD,2-QC,200002
1001A02496.HDF,1-SD,2-QC,200005
1001A02500.HDF,1-SD,2-QC,100022
1001A02503.HDF,1-SD,2-QC,300045
1001A02507.HDF,1-SD,2-QC,200042
1001A02508.HDF,1-SD,2-QC,200002
1001A02511.HDF,2-DR,2-QC,200005
1001A02512.HDF,1-SD,2-QC,233012
1001A02517.HDF,1-SD,2-QC,220015
1001A02527.HDF,1-SD,2-QC,230205
1001A02531.HDF,1-SD,2-QC,203015
1001A02578.HDF,1-SD,2-QC,200041
1001A02582.HDF,1-SD,2-QC,200012
1001A02586.HDF,1-SD,2-QC,100022
1001A02587.HDF,1-SD,2-QC,200014
1001A02588.HDF,1-SD,2-QC,200014
1001A02590.HDF,1-SD,2-QC,200022
1001A02596.HDF,1-SD,2-QC,200012
1001A02605.HDF,1-SD,2-QC,200041
1001A02611.HDF,2-DR,2-QC,300002
1001A02627.HDF,1-SD,2-QC,200002
1001A02630.HDF,1-SD,2-QC,100022
1001A02633.HDF,1-SD,2-QC,200042
1001A02642.HDF,1-SD,2-QC,200041
1001A02645.HDF,2-DR,2-QC,300211
1001A02651.HDF,1-SD,2-QC,200002
1001A02653.HDF,1-SD,2-QC,300045
1001A02654.HDF,1-SD,2-QC,200002
1001A02655.HDF,1-SD,2-QC,200015
1001A02658.HDF,1-SD,2-QC,300045
1001A02668.HDF,1-SD,2-QC,200043
1001A02670.HDF,1-SD,2-QC,240205
1001A02675.HDF,1-SD,2-QC,200212
1001A02677.HDF,1-SD,2-QC,200012
1001A02688.HDF,1-SD,2-QC,333005
1001A02701.HDF,1-SD,2-QC,200024
1001A02705.HDF,1-SD,2-QC,330245
1001A02707.HDF,1-SD,2-QC,200042
1001A02714.HDF,1-SD,2-QC,100022
1001A02723.HDF,1-SD,2-QC,330245
1005A20006.HDF,1-SD,2-QC,200002
1005A20007.HDF,1-SD,2-QC,200004
1009A00033.HDF,1-SD,2-QC,200004
1009A00036.HDF,1-SD,2-QC,202002
1009A00049.HDF,1-SD,2-QC,200002
1009A00051.HDF,2-DR,2-QC,200002
1009A00055.HDF,2-DR,2-QC,200002
1009A00059.HDF,1-SD,2-QC,231002
1009A00061.HDF,1-SD,2-QC,200002
1009A00075.HDF,1-SD,2-QC,231004
1009A00077.HDF,1-SD,2-QC,301004
1009A00078.HDF,1-SD,2-QC,200002
1009A00082.HDF,1-SD,2-QC,231002
1009A00086.HDF,1-SD,2-QC,200002
1009A00094.HDF,1-SD,2-QC,231004
1009A00095.HDF,1-SD,2-QC,202004
1009A00098.HDF,1-SD,2-QC,231002
1009A00100.HDF,1-SD,2-QC,200202
1009A00101.HDF,1-SD,2-QC,202002
1009A00104.HDF,1-SD,2-QC,202004
1009A00105.HDF,2-DR,2-QC,202004
1009A00107.HDF,1-SD,2-QC,202004
1009A00109.HDF,1-SD,2-QC,231002
1009A00114.HDF,1-SD,2-QC,234004
1009A00117.HDF,1-SD,2-QC,202004
1009A00127.HDF,1-SD,2-QC,234004
1009A00130.HDF,1-SD,2-QC,202004
1009A00131.HDF,1-SD,2-QC,200002
1009A00132.HDF,1-SD,2-QC,301002
1009A00136.HDF,1-SD,2-QC,231002
1009A00141.HDF,1-SD,2-QC,301004
1009A00142.HDF,1-SD,2-QC,202000
1009A00143.HDF,1-SD,2-QC,331004
1009A00145.HDF,1-SD,2-QC,202004
1009A00148.HDF,1-SD,2-QC,200002
1009A00149.HDF,1-SD,2-QC,231004
1009A00151.HDF,1-SD,2-QC,331004
1009A00152.HDF,1-SD,2-QC,202004
1009A00155.HDF,1-SD,2-QC,231004
1009A00157.HDF,2-DR,2-QC,202002
1009A00162.HDF,1-SD,2-QC,202004
1009A00166.HDF,1-SD,2-QC,331004
1009A00174.HDF,1-SD,2-QC,234004
1009A00186.HDF,2-DR,2-QC,202002
1009A00195.HDF,1-SD,2-QC,202002
1009A00203.HDF,1-SD,2-QC,200002
1009A00205.HDF,1-SD,2-QC,200002
1009A00207.HDF,1-SD,2-QC,334004
1009A00213.HDF,1-SD,2-QC,331004
1009A00215.HDF,1-SD,2-QC,202000
1009A00217.HDF,1-SD,2-QC,200002
1009A00218.HDF,1-SD,2-QC,231002
1009A00227.HDF,1-SD,2-QC,231002
1009A00228.HDF,1-SD,2-QC,231004
1009A00230.HDF,1-SD,2-QC,202002
1009A00235.HDF,2-DR,2-QC,202002
1009A00236.HDF,1-SD,2-QC,231004
1009A00238.HDF,1-SD,2-QC,200002
1009A00240.HDF,1-SD,2-QC,202002
1009A00241.HDF,1-SD,2-QC,231004
1009A00243.HDF,2-DR,2-QC,234004
1009A00255.HDF,1-SD,2-QC,200000
1009A00257.HDF,1-SD,2-QC,202002
1009A00258.HDF,1-SD,2-QC,231002
1009A00260.HDF,1-SD,2-QC,231002
1009A00262.HDF,1-SD,2-QC,231002
1009A00270.HDF,1-SD,2-QC,234004
1009A00279.HDF,1-SD,2-QC,231004
1009A00281.HDF,1-SD,2-QC,234004
1009A00282.HDF,2-DR,2-QC,200002
1009A00286.HDF,1-SD,2-QC,231002
1009A00295.HDF,1-SD,2-QC,200002
1009A00296.HDF,1-SD,2-QC,231004
1009A00299.HDF,1-SD,2-QC,200002
1009A00304.HDF,1-SD,2-QC,200002
1009A00307.HDF,1-SD,2-QC,200002
1009A00308.HDF,1-SD,2-QC,202002
1010A00053.HDF,2-DR,2-QC,234024
1010A00109.HDF,2-DR,2-QC,200000
1010A00133.HDF,2-DR,2-QC,234004
1010A00186.HDF,1-SD,2-QC,231004
1010A00199.HDF,1-SD,2-QC,231024
1010A00290.HDF,2-DR,2-QC,200004
1010A00293.HDF,2-DR,2-QC,231002
1010A00295.HDF,1-SD,2-QC,200004
1010A00298.HDF,2-DR,2-QC,231004
1010A00303.HDF,1-SD,2-QC,200000
1010A00304.HDF,1-SD,2-QC,200004
1010A00306.HDF,2-DR,2-QC,231002
1010A00310.HDF,2-DR,2-QC,200002
1010A00313.HDF,2-DR,2-QC,200022
1010A00322.HDF,2-DR,2-QC,234002
1010A00329.HDF,2-DR,2-QC,231024
1010A00341.HDF,1-SD,2-QC,231004
1010A00354.HDF,1-SD,2-QC,200000
1010A00356.HDF,1-SD,2-QC,200000
1010A00363.HDF,1-SD,2-QC,200000
1010A00373.HDF,1-SD,2-QC,200004
1010A00375.HDF,2-DR,2-QC,234004
1010A00382.HDF,1-SD,2-QC,231020
1010A00383.HDF,2-DR,2-QC,200000
1010A00384.HDF,2-DR,2-QC,200030
1010A00387.HDF,2-DR,2-QC,200000
1010A00391.HDF,2-DR,2-QC,234000
1010A00396.HDF,2-DR,2-QC,200030
1010A00402.HDF,1-SD,2-QC,200000
1010A00404.HDF,2-DR,2-QC,231020
1010A00415.HDF,2-DR,2-QC,231000
1010A00421.HDF,2-DR,2-QC,200030
1010A00425.HDF,1-SD,2-QC,200000
1010A00426.HDF,1-SD,2-QC,200000
1010A00430.HDF,2-DR,2-QC,231000
1010A00432.HDF,2-DR,2-QC,231000
1010A00437.HDF,1-SD,2-QC,200000
1010A00439.HDF,2-DR,2-QC,231020
1010A00500.HDF,2-DR,2-QC,231000
