Filename,hse_type,region,heating_capacity,heating_eff,heating_eff_type,heating_energy_src,heating_equip_type,cooling_COP_SEER_selector,cooling_COP_SEER_value,cooling_equip_type
1001A02411.HDF,1-SD,2-QC,19,100,1,1,1,1,0,4
1001A02496.HDF,1-SD,2-QC,11,100,1,1,1,1,0,4
1001A02500.HDF,1-SD,2-QC,16,100,1,1,1,1,0,4
1001A02503.HDF,1-SD,2-QC,11,100,1,1,1,1,0,4
1001A02507.HDF,1-SD,2-QC,18,100,1,1,1,1,0,4
1001A02508.HDF,1-SD,2-QC,22,100,1,1,1,1,0,4
1001A02511.HDF,2-DR,2-QC,13.5,100,1,1,1,1,0,4
1001A02512.HDF,1-SD,2-QC,17.5,100,1,1,1,1,0,4
1001A02517.HDF,1-SD,2-QC,14,100,1,1,1,1,0,4
1001A02527.HDF,1-SD,2-QC,13.5,100,1,1,1,1,0,4
1001A02531.HDF,1-SD,2-QC,10,100,1,1,1,1,0,4
1001A02578.HDF,1-SD,2-QC,15,100,1,1,1,1,0,4
1001A02582.HDF,1-SD,2-QC,14,100,1,1,1,1,0,4
1001A02586.HDF,1-SD,2-QC,8.5,100,1,1,1,1,0,4
1001A02587.HDF,1-SD,2-QC,19.5,100,1,1,1,1,0,4
1001A02588.HDF,1-SD,2-QC,12.5,100,1,1,1,1,0,4
1001A02590.HDF,1-SD,2-QC,22.5,100,1,1,1,1,0,4
1001A02596.HDF,1-SD,2-QC,17,100,1,1,1,1,0,4
1001A02605.HDF,1-SD,2-QC,25.5,100,1,1,1,1,0,4
1001A02611.HDF,2-DR,2-QC,17,100,1,1,1,1,0,4
1001A02627.HDF,1-SD,2-QC,19.5,100,1,1,1,1,0,4
1001A02630.HDF,1-SD,2-QC,21.5,71,1,3,3,1,0,4
1001A02633.HDF,1-SD,2-QC,16,100,1,1,1,1,0,4
1001A02642.HDF,1-SD,2-QC,26,100,1,1,1,1,0,4
1001A02645.HDF,2-DR,2-QC,13.5,100,1,1,1,1,0,4
1001A02651.HDF,1-SD,2-QC,27,100,1,1,1,1,0,4
1001A02653.HDF,1-SD,2-QC,11.5,100,1,1,1,1,0,4
1001A02654.HDF,1-SD,2-QC,16.5,100,1,1,1,1,0,4
1001A02655.HDF,1-SD,2-QC,13.5,100,1,1,1,1,0,4
1001A02658.HDF,1-SD,2-QC,14.5,83,1,3,5,1,0,4
1001A02668.HDF,1-SD,2-QC,14.5,71,1,3,1,1,0,4
1001A02670.HDF,1-SD,2-QC,21.5,83,1,3,5,1,0,4
1001A02675.HDF,1-SD,2-QC,16.5,100,1,1,1,1,0,4
1001A02677.HDF,1-SD,2-QC,14.5,100,1,1,1,1,0,4
1001A02688.HDF,1-SD,2-QC,17,71,1,3,3,1,0,4
1001A02701.HDF,1-SD,2-QC,10,100,1,1,1,1,0,4
1001A02705.HDF,1-SD,2-QC,16.5,100,1,1,1,1,0,4
1001A02707.HDF,1-SD,2-QC,12,71,1,3,1,1,0,4
1001A02714.HDF,1-SD,2-QC,20.5,100,1,1,1,1,0,4
1001A02723.HDF,1-SD,2-QC,7,100,1,1,1,1,0,4
1005A20006.HDF,1-SD,2-QC,11.5,60,1,3,1,1,0,4
1005A20007.HDF,1-SD,2-QC,9,100,1,1,1,1,0,4
1009A00033.HDF,1-SD,2-QC,17.5,60,1,5,5,1,0,4
1009A00036.HDF,1-SD,2-QC,13,100,1,1,1,1,0,4
1009A00049.HDF,1-SD,2-QC,11,81,1,1,1,1,3,1
1009A00051.HDF,2-DR,2-QC,10,100,1,1,1,1,0,4
1009A00055.HDF,2-DR,2-QC,17.5,83,1,3,5,1,0,4
1009A00059.HDF,1-SD,2-QC,11.5,100,1,1,4,1,0,4
1009A00061.HDF,1-SD,2-QC,23,50,1,5,3,1,0,4
