House,hse_type,region,DHW filename,DHW multiplier,Dryer filename,Dryer multiplier,Stove-Other filename,Stove-Other multiplier
1083A00037,1-SD,1-AT,DHW_200_Lpd,1.03,Dryer-low,1.06,Stove-med,1.26
1083A00089,1-SD,1-AT,DHW_300_Lpd,0.84,Dryer-med,0.73,Stove-med,1.26
1083A00096,1-SD,1-AT,DHW_200_Lpd,0.97,Dryer-low,0.74,Stove-high,1.18
11BYA00030,1-SD,1-AT,DHW_200_Lpd,0.98,Dryer-low,0.00,Stove-med,0.96
11BYA00040,1-SD,1-AT,DHW_200_Lpd,1.04,Dryer-low,1.18,Stove-med,1.14
11BYA00045,1-SD,1-AT,DHW_200_Lpd,1.11,Dryer-low,0.09,Stove-med,0.95
11BYA00048,1-SD,1-AT,DHW_200_Lpd,0.99,Dryer-low,0.96,Stove-med,1.08
11BYA00062,1-SD,1-AT,DHW_200_Lpd,0.91,Dryer-low,0.07,Stove-med,1.13
11BYA00075,1-SD,1-AT,DHW_200_Lpd,1.14,Dryer-med,0.84,Stove-high,0.97
11BYA00089,1-SD,1-AT,DHW_200_Lpd,1.01,Dryer-low,0.94,Stove-high,1.22
11BYA00096,1-SD,1-AT,DHW_200_Lpd,1.07,Dryer-low,1.46,Stove-high,0.99
11BYA00099,1-SD,1-AT,DHW_200_Lpd,1.08,Dryer-low,0.74,Stove-med,1.05
11BYA00100,1-SD,1-AT,DHW_200_Lpd,1.01,Dryer-low,0.38,Stove-med,1.11
11BYA00157,1-SD,1-AT,DHW_200_Lpd,0.90,Dryer-med,0.85,Stove-high,1.23
11BYA00201,1-SD,1-AT,DHW_200_Lpd,1.07,Dryer-low,0.84,Stove-med,0.90
11BYA00208,1-SD,1-AT,DHW_200_Lpd,1.24,Dryer-low,0.39,Stove-high,1.56
11BYA00214,1-SD,1-AT,DHW_200_Lpd,1.09,Dryer-med,1.05,Stove-high,1.08
11BYA00225,1-SD,1-AT,DHW_300_Lpd,0.87,Dryer-low,0.00,Stove-high,1.64
11BYA00236,1-SD,1-AT,DHW_200_Lpd,1.17,Dryer-low,0.42,Stove-med,0.88
11BYA00264,1-SD,1-AT,DHW_200_Lpd,0.85,Dryer-low,1.00,Stove-med,0.95
11BYA00270,1-SD,1-AT,DHW_200_Lpd,1.18,Dryer-low,0.00,Stove-high,0.94
11BYA00273,1-SD,1-AT,DHW_300_Lpd,0.85,Dryer-low,0.56,Stove-med,0.90
11DDA00055,1-SD,1-AT,DHW_200_Lpd,1.00,Dryer-med,0.78,Stove-high,1.80
11DDA00061,1-SD,1-AT,DHW_200_Lpd,1.16,Dryer-low,0.00,Stove-med,1.22
11DDA00128,1-SD,1-AT,DHW_200_Lpd,0.76,Dryer-low,0.00,Stove-med,0.85
11DDA00143,1-SD,1-AT,DHW_200_Lpd,1.17,Dryer-low,0.00,Stove-med,1.06
11DDA00150,1-SD,1-AT,DHW_300_Lpd,0.86,Dryer-low,0.70,Stove-high,0.95
11DDA00163,1-SD,1-AT,DHW_300_Lpd,0.89,Dryer-low,1.20,Stove-high,0.86
11DDA00164,1-SD,1-AT,DHW_200_Lpd,0.83,Dryer-low,1.02,Stove-med,0.99
11DMA00022,1-SD,1-AT,DHW_200_Lpd,1.05,Dryer-med,0.91,Stove-med,1.17
11DMA00070,1-SD,1-AT,DHW_200_Lpd,1.15,Dryer-low,0.58,Stove-high,0.98
11DMA00078,1-SD,1-AT,DHW_200_Lpd,1.12,Dryer-low,0.59,Stove-med,0.90
11GMA00004,1-SD,1-AT,DHW_200_Lpd,0.89,Dryer-med,0.76,Stove-high,0.87
11GMA00005,1-SD,1-AT,DHW_200_Lpd,0.96,Dryer-low,1.56,Stove-med,1.06
11GMA00007,1-SD,1-AT,DHW_200_Lpd,0.86,Dryer-low,1.53,Stove-high,0.86
11GMA00011,1-SD,1-AT,DHW_200_Lpd,0.98,Dryer-low,0.39,Stove-med,1.05
11GMA00031,1-SD,1-AT,DHW_200_Lpd,0.92,Dryer-low,1.23,Stove-high,0.94
11GMA00047,1-SD,1-AT,DHW_200_Lpd,0.91,Dryer-low,0.81,Stove-med,0.89
11GMA00059,1-SD,1-AT,DHW_200_Lpd,1.17,Dryer-low,0.63,Stove-high,1.09
11GMA00085,1-SD,1-AT,DHW_200_Lpd,0.85,Dryer-low,0.60,Stove-med,0.97
11GMA00088,1-SD,1-AT,DHW_300_Lpd,0.88,Dryer-low,0.73,Stove-high,0.95
11GMA00114,1-SD,1-AT,DHW_200_Lpd,0.83,Dryer-low,0.00,Stove-med,0.85
11GMA00126,1-SD,1-AT,DHW_200_Lpd,1.12,Dryer-med,1.02,Stove-high,1.07
11GMA00130,1-SD,1-AT,DHW_200_Lpd,0.82,Dryer-low,0.77,Stove-med,1.01
11GMA00142,1-SD,1-AT,DHW_200_Lpd,1.10,Dryer-low,0.74,Stove-med,1.12
11HTA00005,1-SD,1-AT,DHW_200_Lpd,0.84,Dryer-low,0.43,Stove-high,1.01
11HTA00017,1-SD,1-AT,DHW_200_Lpd,1.11,Dryer-low,0.46,Stove-high,1.08
11HTA00037,1-SD,1-AT,DHW_200_Lpd,0.95,Dryer-low,0.00,Stove-med,0.90
11HTA00058,1-SD,1-AT,DHW_200_Lpd,0.98,Dryer-low,0.02,Stove-med,1.08
11HTA00077,1-SD,1-AT,DHW_200_Lpd,0.75,Dryer-low,0.23,Stove-med,0.98
11HTA00085,1-SD,1-AT,DHW_200_Lpd,1.12,Dryer-low,0.00,Stove-high,1.23
11HTA00093,1-SD,1-AT,DHW_200_Lpd,0.80,Dryer-low,0.90,Stove-med,1.08
11HTA00098,1-SD,1-AT,DHW_200_Lpd,0.87,Dryer-low,0.20,Stove-med,1.15
11HTA00113,1-SD,1-AT,DHW_200_Lpd,1.04,Dryer-med,0.93,Stove-high,1.27
11HTA00135,1-SD,1-AT,DHW_300_Lpd,0.86,Dryer-low,1.55,Stove-high,1.14
11HTA00137,1-SD,1-AT,DHW_200_Lpd,1.02,Dryer-med,1.05,Stove-high,1.04
11HTA00145,1-SD,1-AT,DHW_200_Lpd,1.12,Dryer-low,1.41,Stove-med,0.91
11HTA00156,1-SD,1-AT,DHW_200_Lpd,0.82,Dryer-low,1.50,Stove-med,0.96
11JMA00035,1-SD,1-AT,DHW_200_Lpd,0.86,Dryer-low,0.28,Stove-med,1.13
11JMA00088,1-SD,1-AT,DHW_200_Lpd,0.95,Dryer-low,0.19,Stove-med,0.91
11JMA00103,1-SD,1-AT,DHW_200_Lpd,0.93,Dryer-low,1.07,Stove-med,1.11
11JTA00011,1-SD,1-AT,DHW_300_Lpd,0.89,Dryer-low,0.05,Stove-med,0.88
11JTA00024,1-SD,1-AT,DHW_200_Lpd,1.05,Dryer-med,0.98,Stove-high,0.96
11JTA00052,1-SD,1-AT,DHW_300_Lpd,0.84,Dryer-low,0.49,Stove-high,0.94
11KBA00028,1-SD,1-AT,DHW_200_Lpd,1.17,Dryer-med,1.08,Stove-med,1.17
11MLA00017,1-SD,1-AT,DHW_200_Lpd,1.13,Dryer-low,0.83,Stove-med,1.08
11MLA00022,1-SD,1-AT,DHW_300_Lpd,0.89,Dryer-low,0.68,Stove-high,1.13
11MLA00023,1-SD,1-AT,DHW_200_Lpd,1.00,Dryer-med,1.15,Stove-high,0.94
11MLA00030,1-SD,1-AT,DHW_200_Lpd,0.96,Dryer-low,1.51,Stove-med,1.17
11MLA00035,1-SD,1-AT,DHW_200_Lpd,1.05,Dryer-low,0.28,Stove-high,0.82
11MLA00040,1-SD,1-AT,DHW_200_Lpd,0.85,Dryer-med,0.82,Stove-high,0.85
11MLA00042,1-SD,1-AT,DHW_200_Lpd,1.04,Dryer-low,0.55,Stove-med,1.20
11MLA00047,1-SD,1-AT,DHW_200_Lpd,1.02,Dryer-low,1.37,Stove-med,1.30
11MLA00053,1-SD,1-AT,DHW_300_Lpd,0.84,Dryer-low,0.00,Stove-high,0.93
11PTA00021,1-SD,1-AT,DHW_200_Lpd,0.82,Dryer-low,0.00,Stove-med,1.03
11PTA00027,1-SD,1-AT,DHW_200_Lpd,1.02,Dryer-low,0.00,Stove-med,1.21
11PTA00032,1-SD,1-AT,DHW_200_Lpd,0.80,Dryer-low,1.00,Stove-high,0.81
11PTA00033,1-SD,1-AT,DHW_200_Lpd,1.16,Dryer-low,1.28,Stove-high,0.89
11PTA00038,1-SD,1-AT,DHW_200_Lpd,1.09,Dryer-low,0.13,Stove-med,0.87
11PTA00062,1-SD,1-AT,DHW_200_Lpd,0.79,Dryer-low,0.54,Stove-med,1.10
11PTA00063,1-SD,1-AT,DHW_200_Lpd,1.01,Dryer-low,1.23,Stove-med,0.96
11PTA00096,1-SD,1-AT,DHW_300_Lpd,0.84,Dryer-low,1.35,Stove-high,0.87
11PTA00098,1-SD,1-AT,DHW_200_Lpd,1.20,Dryer-med,0.86,Stove-med,1.28
11PTA00103,1-SD,1-AT,DHW_200_Lpd,1.01,Dryer-low,0.33,Stove-med,0.89
11PTA00111,1-SD,1-AT,DHW_200_Lpd,0.94,Dryer-low,0.19,Stove-med,1.20
11PTA00133,1-SD,1-AT,DHW_300_Lpd,0.87,Dryer-low,0.29,Stove-med,1.12
11PTA00135,1-SD,1-AT,DHW_200_Lpd,1.01,Dryer-low,0.20,Stove-med,0.86
11PTA00145,1-SD,1-AT,DHW_200_Lpd,0.84,Dryer-low,0.36,Stove-med,0.83
11PTA00180,1-SD,1-AT,DHW_200_Lpd,1.04,Dryer-low,0.00,Stove-med,1.11
11PTA00187,1-SD,1-AT,DHW_200_Lpd,0.90,Dryer-med,0.91,Stove-med,1.28
11PTA00209,1-SD,1-AT,DHW_200_Lpd,1.04,Dryer-low,0.61,Stove-high,1.01
11PTA00228,1-SD,1-AT,DHW_300_Lpd,0.88,Dryer-low,0.00,Stove-med,1.01
11PTA00241,1-SD,1-AT,DHW_200_Lpd,0.97,Dryer-low,0.00,Stove-med,1.19
11PTA00244,1-SD,1-AT,DHW_200_Lpd,1.19,Dryer-low,0.83,Stove-med,0.83
11PTA00246,1-SD,1-AT,DHW_200_Lpd,0.98,Dryer-low,0.62,Stove-med,0.93
11PTA00248,1-SD,1-AT,DHW_200_Lpd,0.81,Dryer-low,1.55,Stove-med,0.99
11PTA00252,1-SD,1-AT,DHW_200_Lpd,1.16,Dryer-med,0.79,Stove-med,1.28
11PTA00273,1-SD,1-AT,DHW_200_Lpd,0.81,Dryer-low,0.07,Stove-med,1.01
11PTA00276,1-SD,1-AT,DHW_200_Lpd,1.13,Dryer-low,0.14,Stove-high,0.91
11PTA00281,1-SD,1-AT,DHW_300_Lpd,0.85,Dryer-low,0.75,Stove-high,0.91
11PTA00289,1-SD,1-AT,DHW_200_Lpd,0.96,Dryer-low,1.08,Stove-med,1.16
11SWA00023,1-SD,1-AT,DHW_300_Lpd,0.91,Dryer-low,1.28,Stove-high,1.09
11SWA00052,1-SD,1-AT,DHW_200_Lpd,1.22,Dryer-low,0.00,Stove-high,0.87
11SWA00056,1-SD,1-AT,DHW_200_Lpd,1.03,Dryer-low,0.40,Stove-med,1.16
11SWA00075,1-SD,1-AT,DHW_300_Lpd,0.91,Dryer-low,0.12,Stove-med,0.87
11SWA00104,1-SD,1-AT,DHW_200_Lpd,1.14,Dryer-low,0.00,Stove-high,0.87
11SWA00109,1-SD,1-AT,DHW_300_Lpd,0.93,Dryer-low,1.35,Stove-med,1.10
11SWA00118,1-SD,1-AT,DHW_200_Lpd,0.93,Dryer-low,0.36,Stove-med,0.95
11SWA00120,1-SD,1-AT,DHW_300_Lpd,0.90,Dryer-low,0.00,Stove-high,0.84
11SWA00126,1-SD,1-AT,DHW_200_Lpd,0.97,Dryer-low,0.00,Stove-high,0.88
11SWA00135,1-SD,1-AT,DHW_200_Lpd,0.97,Dryer-low,0.54,Stove-high,0.82
11SWA00140,1-SD,1-AT,DHW_200_Lpd,0.82,Dryer-low,0.91,Stove-high,0.82
11SWA00143,1-SD,1-AT,DHW_200_Lpd,1.09,Dryer-med,0.73,Stove-med,1.04
2264A00004,1-SD,1-AT,DHW_200_Lpd,1.25,Dryer-low,0.39,Stove-med,1.10
2264A00010,1-SD,1-AT,DHW_200_Lpd,1.02,Dryer-low,0.28,Stove-med,0.92
2264A00013,1-SD,1-AT,DHW_200_Lpd,1.20,Dryer-low,0.00,Stove-med,1.18
2264A00017,1-SD,1-AT,DHW_200_Lpd,0.97,Dryer-low,0.22,Stove-med,1.17
2264A00018,1-SD,1-AT,DHW_200_Lpd,1.14,Dryer-low,0.00,Stove-med,1.27
2264A00021,1-SD,1-AT,DHW_200_Lpd,1.01,Dryer-low,0.00,Stove-med,1.00
2264A00028,1-SD,1-AT,DHW_300_Lpd,0.91,Dryer-low,0.00,Stove-low,1.21
2264A00031,1-SD,1-AT,DHW_200_Lpd,1.16,Dryer-low,1.59,Stove-med,0.98
2264A00034,1-SD,1-AT,DHW_200_Lpd,0.93,Dryer-low,0.19,Stove-med,0.96
2299A00002,1-SD,1-AT,DHW_300_Lpd,0.86,Dryer-low,1.50,Stove-med,1.15
2299A00010,1-SD,1-AT,DHW_200_Lpd,0.99,Dryer-low,0.11,Stove-med,1.10
2299A00024,1-SD,1-AT,DHW_200_Lpd,1.05,Dryer-low,0.44,Stove-med,1.04
2299A00045,1-SD,1-AT,DHW_200_Lpd,1.11,Dryer-low,0.57,Stove-med,0.97
2299A00055,1-SD,1-AT,DHW_200_Lpd,0.82,Dryer-low,0.95,Stove-med,1.05
2299A00072,1-SD,1-AT,DHW_200_Lpd,0.98,Dryer-high,0.95,Stove-med,1.25
2299A00078,1-SD,1-AT,DHW_200_Lpd,1.14,Dryer-low,1.59,Stove-high,1.09
2299A00082,1-SD,1-AT,DHW_300_Lpd,0.90,Dryer-low,0.29,Stove-low,1.22
2299A00085,1-SD,1-AT,DHW_200_Lpd,0.92,Dryer-med,0.82,Stove-high,0.96
2299A00099,1-SD,1-AT,DHW_200_Lpd,1.13,Dryer-low,0.20,Stove-med,1.04
2299A00104,1-SD,1-AT,DHW_200_Lpd,1.06,Dryer-low,1.43,Stove-med,1.13
2299A00105,1-SD,1-AT,DHW_200_Lpd,1.19,Dryer-low,0.22,Stove-med,1.17
2299A00114,1-SD,1-AT,DHW_200_Lpd,1.14,Dryer-med,0.92,Stove-high,0.85
2299A00132,1-SD,1-AT,DHW_300_Lpd,1.00,Dryer-med,0.81,Stove-med,1.23
2299A00143,1-SD,1-AT,DHW_200_Lpd,1.15,Dryer-low,0.79,Stove-high,0.91
2299A00156,1-SD,1-AT,DHW_300_Lpd,0.94,Dryer-low,1.39,Stove-high,0.94
2299A00164,1-SD,1-AT,DHW_200_Lpd,1.22,Dryer-low,0.41,Stove-med,1.18
2299A00185,1-SD,1-AT,DHW_300_Lpd,0.84,Dryer-low,0.07,Stove-med,0.84
2299A00194,1-SD,1-AT,DHW_200_Lpd,1.15,Dryer-low,0.00,Stove-med,1.22
2299A00196,1-SD,1-AT,DHW_200_Lpd,1.09,Dryer-low,1.33,Stove-high,1.65
2299A00202,1-SD,1-AT,DHW_300_Lpd,0.88,Dryer-low,0.53,Stove-high,0.90
2299A00206,1-SD,1-AT,DHW_200_Lpd,1.16,Dryer-low,0.28,Stove-med,1.11
2299A00210,1-SD,1-AT,DHW_200_Lpd,0.93,Dryer-low,0.30,Stove-med,0.99
2299A00214,1-SD,1-AT,DHW_200_Lpd,1.18,Dryer-low,1.20,Stove-high,1.08
