*header,hse_type,province,upgrade1,upgrade2,upgrade3,eligible,total
*data,1-SD,ALBERTA,BIPVT,0,0,597,1655
*data,1-SD,ALBERTA,BIPVT,CVB,0,16,1655
*data,1-SD,ALBERTA,BIPVT,FOH,0,16,1655
*data,1-SD,ALBERTA,BIPVT,FVB,0,16,1655
*data,1-SD,ALBERTA,BIPVT,PCM,0,568,1655
*data,1-SD,ALBERTA,BIPVT,PV,0,597,1655
*data,1-SD,ALBERTA,BIPVT,SDHW,0,597,1655
*data,1-SD,ALBERTA,BIPVT,WAM,0,566,1655
*data,1-SD,ALBERTA,BIPVT,WTM2010,0,495,1655
*data,1-SD,ALBERTA,BIPVT,WTM2100,0,495,1655
*data,1-SD,ALBERTA,BIPVT,WTM2110,0,495,1655
*data,1-SD,ALBERTA,BIPVT,WTM3000,0,588,1655
*data,1-SD,ALBERTA,BIPVT,WTM3200,0,588,1655
*data,1-SD,ALBERTA,BIPVT,WTM3210,0,597,1655
*data,1-SD,ALBERTA,BIPVT,WTM3310,0,597,1655
*data,1-SD,ALBERTA,BIPVT,CVB,FOH,16,1655
*data,1-SD,ALBERTA,BIPVT,CVB,FVB,16,1655
*data,1-SD,ALBERTA,BIPVT,CVB,PCM,16,1655
*data,1-SD,ALBERTA,BIPVT,CVB,PV,16,1655
*data,1-SD,ALBERTA,BIPVT,CVB,SDHW,16,1655
*data,1-SD,ALBERTA,BIPVT,CVB,WAM,15,1655
*data,1-SD,ALBERTA,BIPVT,CVB,WTM2010,11,1655
*data,1-SD,ALBERTA,BIPVT,CVB,WTM2100,11,1655
*data,1-SD,ALBERTA,BIPVT,CVB,WTM2110,11,1655
*data,1-SD,ALBERTA,BIPVT,CVB,WTM3000,15,1655
*data,1-SD,ALBERTA,BIPVT,CVB,WTM3200,15,1655
*data,1-SD,ALBERTA,BIPVT,CVB,WTM3210,16,1655
*data,1-SD,ALBERTA,BIPVT,CVB,WTM3310,16,1655
*data,1-SD,ALBERTA,BIPVT,FOH,FVB,16,1655
*data,1-SD,ALBERTA,BIPVT,FOH,PCM,16,1655
*data,1-SD,ALBERTA,BIPVT,FOH,PV,16,1655
*data,1-SD,ALBERTA,BIPVT,FOH,SDHW,16,1655
*data,1-SD,ALBERTA,BIPVT,FOH,WAM,15,1655
*data,1-SD,ALBERTA,BIPVT,FOH,WTM2010,11,1655
*data,1-SD,ALBERTA,BIPVT,FOH,WTM2100,11,1655
*data,1-SD,ALBERTA,BIPVT,FOH,WTM2110,11,1655
*data,1-SD,ALBERTA,BIPVT,FOH,WTM3000,15,1655
*data,1-SD,ALBERTA,BIPVT,FOH,WTM3200,15,1655
*data,1-SD,ALBERTA,BIPVT,FOH,WTM3210,16,1655
*data,1-SD,ALBERTA,BIPVT,FOH,WTM3310,16,1655
*data,1-SD,ALBERTA,BIPVT,FVB,PCM,16,1655
*data,1-SD,ALBERTA,BIPVT,FVB,PV,16,1655
*data,1-SD,ALBERTA,BIPVT,FVB,SDHW,16,1655
*data,1-SD,ALBERTA,BIPVT,FVB,WAM,15,1655
*data,1-SD,ALBERTA,BIPVT,FVB,WTM2010,11,1655
*data,1-SD,ALBERTA,BIPVT,FVB,WTM2100,11,1655
*data,1-SD,ALBERTA,BIPVT,FVB,WTM2110,11,1655
*data,1-SD,ALBERTA,BIPVT,FVB,WTM3000,15,1655
*data,1-SD,ALBERTA,BIPVT,FVB,WTM3200,15,1655
*data,1-SD,ALBERTA,BIPVT,FVB,WTM3210,16,1655
*data,1-SD,ALBERTA,BIPVT,FVB,WTM3310,16,1655
*data,1-SD,ALBERTA,BIPVT,PCM,PV,568,1655
*data,1-SD,ALBERTA,BIPVT,PCM,SDHW,568,1655
*data,1-SD,ALBERTA,BIPVT,PCM,WAM,544,1655
*data,1-SD,ALBERTA,BIPVT,PCM,WTM2010,473,1655
*data,1-SD,ALBERTA,BIPVT,PCM,WTM2100,473,1655
*data,1-SD,ALBERTA,BIPVT,PCM,WTM2110,473,1655
*data,1-SD,ALBERTA,BIPVT,PCM,WTM3000,561,1655
*data,1-SD,ALBERTA,BIPVT,PCM,WTM3200,561,1655
*data,1-SD,ALBERTA,BIPVT,PCM,WTM3210,568,1655
*data,1-SD,ALBERTA,BIPVT,PCM,WTM3310,568,1655
*data,1-SD,ALBERTA,BIPVT,PV,SDHW,597,1655
*data,1-SD,ALBERTA,BIPVT,PV,WAM,566,1655
*data,1-SD,ALBERTA,BIPVT,PV,WTM2010,495,1655
*data,1-SD,ALBERTA,BIPVT,PV,WTM2100,495,1655
*data,1-SD,ALBERTA,BIPVT,PV,WTM2110,495,1655
*data,1-SD,ALBERTA,BIPVT,PV,WTM3000,588,1655
*data,1-SD,ALBERTA,BIPVT,PV,WTM3200,588,1655
*data,1-SD,ALBERTA,BIPVT,PV,WTM3210,597,1655
*data,1-SD,ALBERTA,BIPVT,PV,WTM3310,597,1655
*data,1-SD,ALBERTA,BIPVT,SDHW,WAM,566,1655
*data,1-SD,ALBERTA,BIPVT,SDHW,WTM2010,495,1655
*data,1-SD,ALBERTA,BIPVT,SDHW,WTM2100,495,1655
*data,1-SD,ALBERTA,BIPVT,SDHW,WTM2110,495,1655
*data,1-SD,ALBERTA,BIPVT,SDHW,WTM3000,588,1655
*data,1-SD,ALBERTA,BIPVT,SDHW,WTM3200,588,1655
*data,1-SD,ALBERTA,BIPVT,SDHW,WTM3210,597,1655
*data,1-SD,ALBERTA,BIPVT,SDHW,WTM3310,597,1655
*data,1-SD,ALBERTA,BIPVT,WAM,WTM2010,471,1655
*data,1-SD,ALBERTA,BIPVT,WAM,WTM2100,471,1655
*data,1-SD,ALBERTA,BIPVT,WAM,WTM2110,471,1655
*data,1-SD,ALBERTA,BIPVT,WAM,WTM3000,558,1655
*data,1-SD,ALBERTA,BIPVT,WAM,WTM3200,558,1655
*data,1-SD,ALBERTA,BIPVT,WAM,WTM3210,566,1655
*data,1-SD,ALBERTA,BIPVT,WAM,WTM3310,566,1655
*data,1-SD,ALBERTA,BIPVT,WTM2010,WTM2100,495,1655
*data,1-SD,ALBERTA,BIPVT,WTM2010,WTM2110,495,1655
*data,1-SD,ALBERTA,BIPVT,WTM2010,WTM3000,495,1655
*data,1-SD,ALBERTA,BIPVT,WTM2010,WTM3200,495,1655
*data,1-SD,ALBERTA,BIPVT,WTM2010,WTM3210,495,1655
*data,1-SD,ALBERTA,BIPVT,WTM2010,WTM3310,495,1655
*data,1-SD,ALBERTA,BIPVT,WTM2100,WTM2110,495,1655
*data,1-SD,ALBERTA,BIPVT,WTM2100,WTM3000,495,1655
*data,1-SD,ALBERTA,BIPVT,WTM2100,WTM3200,495,1655
*data,1-SD,ALBERTA,BIPVT,WTM2100,WTM3210,495,1655
*data,1-SD,ALBERTA,BIPVT,WTM2100,WTM3310,495,1655
*data,1-SD,ALBERTA,BIPVT,WTM2110,WTM3000,495,1655
*data,1-SD,ALBERTA,BIPVT,WTM2110,WTM3200,495,1655
*data,1-SD,ALBERTA,BIPVT,WTM2110,WTM3210,495,1655
*data,1-SD,ALBERTA,BIPVT,WTM2110,WTM3310,495,1655
*data,1-SD,ALBERTA,BIPVT,WTM3000,WTM3200,588,1655
*data,1-SD,ALBERTA,BIPVT,WTM3000,WTM3210,588,1655
*data,1-SD,ALBERTA,BIPVT,WTM3000,WTM3310,588,1655
*data,1-SD,ALBERTA,BIPVT,WTM3200,WTM3210,588,1655
*data,1-SD,ALBERTA,BIPVT,WTM3200,WTM3310,588,1655
*data,1-SD,ALBERTA,BIPVT,WTM3210,WTM3310,597,1655
*data,1-SD,ALBERTA,CVB,0,0,48,1655
*data,1-SD,ALBERTA,CVB,FOH,0,48,1655
*data,1-SD,ALBERTA,CVB,FVB,0,47,1655
*data,1-SD,ALBERTA,CVB,PCM,0,48,1655
*data,1-SD,ALBERTA,CVB,PV,0,16,1655
*data,1-SD,ALBERTA,CVB,SDHW,0,16,1655
*data,1-SD,ALBERTA,CVB,WAM,0,40,1655
*data,1-SD,ALBERTA,CVB,WTM2010,0,33,1655
*data,1-SD,ALBERTA,CVB,WTM2100,0,33,1655
*data,1-SD,ALBERTA,CVB,WTM2110,0,33,1655
*data,1-SD,ALBERTA,CVB,WTM3000,0,46,1655
*data,1-SD,ALBERTA,CVB,WTM3200,0,46,1655
*data,1-SD,ALBERTA,CVB,WTM3210,0,48,1655
*data,1-SD,ALBERTA,CVB,WTM3310,0,48,1655
*data,1-SD,ALBERTA,CVB,FOH,FVB,47,1655
*data,1-SD,ALBERTA,CVB,FOH,PCM,48,1655
*data,1-SD,ALBERTA,CVB,FOH,PV,16,1655
*data,1-SD,ALBERTA,CVB,FOH,SDHW,16,1655
*data,1-SD,ALBERTA,CVB,FOH,WAM,40,1655
*data,1-SD,ALBERTA,CVB,FOH,WTM2010,33,1655
*data,1-SD,ALBERTA,CVB,FOH,WTM2100,33,1655
*data,1-SD,ALBERTA,CVB,FOH,WTM2110,33,1655
*data,1-SD,ALBERTA,CVB,FOH,WTM3000,46,1655
*data,1-SD,ALBERTA,CVB,FOH,WTM3200,46,1655
*data,1-SD,ALBERTA,CVB,FOH,WTM3210,48,1655
*data,1-SD,ALBERTA,CVB,FOH,WTM3310,48,1655
*data,1-SD,ALBERTA,CVB,FVB,PCM,47,1655
*data,1-SD,ALBERTA,CVB,FVB,PV,16,1655
*data,1-SD,ALBERTA,CVB,FVB,SDHW,16,1655
*data,1-SD,ALBERTA,CVB,FVB,WAM,40,1655
*data,1-SD,ALBERTA,CVB,FVB,WTM2010,32,1655
*data,1-SD,ALBERTA,CVB,FVB,WTM2100,32,1655
*data,1-SD,ALBERTA,CVB,FVB,WTM2110,32,1655
*data,1-SD,ALBERTA,CVB,FVB,WTM3000,45,1655
*data,1-SD,ALBERTA,CVB,FVB,WTM3200,45,1655
*data,1-SD,ALBERTA,CVB,FVB,WTM3210,47,1655
*data,1-SD,ALBERTA,CVB,FVB,WTM3310,47,1655
*data,1-SD,ALBERTA,CVB,PCM,PV,16,1655
*data,1-SD,ALBERTA,CVB,PCM,SDHW,16,1655
*data,1-SD,ALBERTA,CVB,PCM,WAM,40,1655
*data,1-SD,ALBERTA,CVB,PCM,WTM2010,33,1655
*data,1-SD,ALBERTA,CVB,PCM,WTM2100,33,1655
*data,1-SD,ALBERTA,CVB,PCM,WTM2110,33,1655
*data,1-SD,ALBERTA,CVB,PCM,WTM3000,46,1655
*data,1-SD,ALBERTA,CVB,PCM,WTM3200,46,1655
*data,1-SD,ALBERTA,CVB,PCM,WTM3210,48,1655
*data,1-SD,ALBERTA,CVB,PCM,WTM3310,48,1655
*data,1-SD,ALBERTA,CVB,PV,SDHW,16,1655
*data,1-SD,ALBERTA,CVB,PV,WAM,15,1655
*data,1-SD,ALBERTA,CVB,PV,WTM2010,11,1655
*data,1-SD,ALBERTA,CVB,PV,WTM2100,11,1655
*data,1-SD,ALBERTA,CVB,PV,WTM2110,11,1655
*data,1-SD,ALBERTA,CVB,PV,WTM3000,15,1655
*data,1-SD,ALBERTA,CVB,PV,WTM3200,15,1655
*data,1-SD,ALBERTA,CVB,PV,WTM3210,16,1655
*data,1-SD,ALBERTA,CVB,PV,WTM3310,16,1655
*data,1-SD,ALBERTA,CVB,SDHW,WAM,15,1655
*data,1-SD,ALBERTA,CVB,SDHW,WTM2010,11,1655
*data,1-SD,ALBERTA,CVB,SDHW,WTM2100,11,1655
*data,1-SD,ALBERTA,CVB,SDHW,WTM2110,11,1655
*data,1-SD,ALBERTA,CVB,SDHW,WTM3000,15,1655
*data,1-SD,ALBERTA,CVB,SDHW,WTM3200,15,1655
*data,1-SD,ALBERTA,CVB,SDHW,WTM3210,16,1655
*data,1-SD,ALBERTA,CVB,SDHW,WTM3310,16,1655
*data,1-SD,ALBERTA,CVB,WAM,WTM2010,28,1655
*data,1-SD,ALBERTA,CVB,WAM,WTM2100,28,1655
*data,1-SD,ALBERTA,CVB,WAM,WTM2110,28,1655
*data,1-SD,ALBERTA,CVB,WAM,WTM3000,39,1655
*data,1-SD,ALBERTA,CVB,WAM,WTM3200,39,1655
*data,1-SD,ALBERTA,CVB,WAM,WTM3210,40,1655
*data,1-SD,ALBERTA,CVB,WAM,WTM3310,40,1655
*data,1-SD,ALBERTA,CVB,WTM2010,WTM2100,33,1655
*data,1-SD,ALBERTA,CVB,WTM2010,WTM2110,33,1655
*data,1-SD,ALBERTA,CVB,WTM2010,WTM3000,33,1655
*data,1-SD,ALBERTA,CVB,WTM2010,WTM3200,33,1655
*data,1-SD,ALBERTA,CVB,WTM2010,WTM3210,33,1655
*data,1-SD,ALBERTA,CVB,WTM2010,WTM3310,33,1655
*data,1-SD,ALBERTA,CVB,WTM2100,WTM2110,33,1655
*data,1-SD,ALBERTA,CVB,WTM2100,WTM3000,33,1655
*data,1-SD,ALBERTA,CVB,WTM2100,WTM3200,33,1655
*data,1-SD,ALBERTA,CVB,WTM2100,WTM3210,33,1655
*data,1-SD,ALBERTA,CVB,WTM2100,WTM3310,33,1655
*data,1-SD,ALBERTA,CVB,WTM2110,WTM3000,33,1655
*data,1-SD,ALBERTA,CVB,WTM2110,WTM3200,33,1655
*data,1-SD,ALBERTA,CVB,WTM2110,WTM3210,33,1655
*data,1-SD,ALBERTA,CVB,WTM2110,WTM3310,33,1655
*data,1-SD,ALBERTA,CVB,WTM3000,WTM3200,46,1655
*data,1-SD,ALBERTA,CVB,WTM3000,WTM3210,46,1655
*data,1-SD,ALBERTA,CVB,WTM3000,WTM3310,46,1655
*data,1-SD,ALBERTA,CVB,WTM3200,WTM3210,46,1655
*data,1-SD,ALBERTA,CVB,WTM3200,WTM3310,46,1655
*data,1-SD,ALBERTA,CVB,WTM3210,WTM3310,48,1655
*data,1-SD,ALBERTA,FOH,0,0,48,1655
*data,1-SD,ALBERTA,FOH,FVB,0,47,1655
*data,1-SD,ALBERTA,FOH,PCM,0,48,1655
*data,1-SD,ALBERTA,FOH,PV,0,16,1655
*data,1-SD,ALBERTA,FOH,SDHW,0,16,1655
*data,1-SD,ALBERTA,FOH,WAM,0,40,1655
*data,1-SD,ALBERTA,FOH,WTM2010,0,33,1655
*data,1-SD,ALBERTA,FOH,WTM2100,0,33,1655
*data,1-SD,ALBERTA,FOH,WTM2110,0,33,1655
*data,1-SD,ALBERTA,FOH,WTM3000,0,46,1655
*data,1-SD,ALBERTA,FOH,WTM3200,0,46,1655
*data,1-SD,ALBERTA,FOH,WTM3210,0,48,1655
*data,1-SD,ALBERTA,FOH,WTM3310,0,48,1655
*data,1-SD,ALBERTA,FOH,FVB,PCM,47,1655
*data,1-SD,ALBERTA,FOH,FVB,PV,16,1655
*data,1-SD,ALBERTA,FOH,FVB,SDHW,16,1655
*data,1-SD,ALBERTA,FOH,FVB,WAM,40,1655
*data,1-SD,ALBERTA,FOH,FVB,WTM2010,32,1655
*data,1-SD,ALBERTA,FOH,FVB,WTM2100,32,1655
*data,1-SD,ALBERTA,FOH,FVB,WTM2110,32,1655
*data,1-SD,ALBERTA,FOH,FVB,WTM3000,45,1655
*data,1-SD,ALBERTA,FOH,FVB,WTM3200,45,1655
*data,1-SD,ALBERTA,FOH,FVB,WTM3210,47,1655
*data,1-SD,ALBERTA,FOH,FVB,WTM3310,47,1655
*data,1-SD,ALBERTA,FOH,PCM,PV,16,1655
*data,1-SD,ALBERTA,FOH,PCM,SDHW,16,1655
*data,1-SD,ALBERTA,FOH,PCM,WAM,40,1655
*data,1-SD,ALBERTA,FOH,PCM,WTM2010,33,1655
*data,1-SD,ALBERTA,FOH,PCM,WTM2100,33,1655
*data,1-SD,ALBERTA,FOH,PCM,WTM2110,33,1655
*data,1-SD,ALBERTA,FOH,PCM,WTM3000,46,1655
*data,1-SD,ALBERTA,FOH,PCM,WTM3200,46,1655
*data,1-SD,ALBERTA,FOH,PCM,WTM3210,48,1655
*data,1-SD,ALBERTA,FOH,PCM,WTM3310,48,1655
*data,1-SD,ALBERTA,FOH,PV,SDHW,16,1655
*data,1-SD,ALBERTA,FOH,PV,WAM,15,1655
*data,1-SD,ALBERTA,FOH,PV,WTM2010,11,1655
*data,1-SD,ALBERTA,FOH,PV,WTM2100,11,1655
*data,1-SD,ALBERTA,FOH,PV,WTM2110,11,1655
*data,1-SD,ALBERTA,FOH,PV,WTM3000,15,1655
*data,1-SD,ALBERTA,FOH,PV,WTM3200,15,1655
*data,1-SD,ALBERTA,FOH,PV,WTM3210,16,1655
*data,1-SD,ALBERTA,FOH,PV,WTM3310,16,1655
*data,1-SD,ALBERTA,FOH,SDHW,WAM,15,1655
*data,1-SD,ALBERTA,FOH,SDHW,WTM2010,11,1655
*data,1-SD,ALBERTA,FOH,SDHW,WTM2100,11,1655
*data,1-SD,ALBERTA,FOH,SDHW,WTM2110,11,1655
*data,1-SD,ALBERTA,FOH,SDHW,WTM3000,15,1655
*data,1-SD,ALBERTA,FOH,SDHW,WTM3200,15,1655
*data,1-SD,ALBERTA,FOH,SDHW,WTM3210,16,1655
*data,1-SD,ALBERTA,FOH,SDHW,WTM3310,16,1655
*data,1-SD,ALBERTA,FOH,WAM,WTM2010,28,1655
*data,1-SD,ALBERTA,FOH,WAM,WTM2100,28,1655
*data,1-SD,ALBERTA,FOH,WAM,WTM2110,28,1655
*data,1-SD,ALBERTA,FOH,WAM,WTM3000,39,1655
*data,1-SD,ALBERTA,FOH,WAM,WTM3200,39,1655
*data,1-SD,ALBERTA,FOH,WAM,WTM3210,40,1655
*data,1-SD,ALBERTA,FOH,WAM,WTM3310,40,1655
*data,1-SD,ALBERTA,FOH,WTM2010,WTM2100,33,1655
*data,1-SD,ALBERTA,FOH,WTM2010,WTM2110,33,1655
*data,1-SD,ALBERTA,FOH,WTM2010,WTM3000,33,1655
*data,1-SD,ALBERTA,FOH,WTM2010,WTM3200,33,1655
*data,1-SD,ALBERTA,FOH,WTM2010,WTM3210,33,1655
*data,1-SD,ALBERTA,FOH,WTM2010,WTM3310,33,1655
*data,1-SD,ALBERTA,FOH,WTM2100,WTM2110,33,1655
*data,1-SD,ALBERTA,FOH,WTM2100,WTM3000,33,1655
*data,1-SD,ALBERTA,FOH,WTM2100,WTM3200,33,1655
*data,1-SD,ALBERTA,FOH,WTM2100,WTM3210,33,1655
*data,1-SD,ALBERTA,FOH,WTM2100,WTM3310,33,1655
*data,1-SD,ALBERTA,FOH,WTM2110,WTM3000,33,1655
*data,1-SD,ALBERTA,FOH,WTM2110,WTM3200,33,1655
*data,1-SD,ALBERTA,FOH,WTM2110,WTM3210,33,1655
*data,1-SD,ALBERTA,FOH,WTM2110,WTM3310,33,1655
*data,1-SD,ALBERTA,FOH,WTM3000,WTM3200,46,1655
*data,1-SD,ALBERTA,FOH,WTM3000,WTM3210,46,1655
*data,1-SD,ALBERTA,FOH,WTM3000,WTM3310,46,1655
*data,1-SD,ALBERTA,FOH,WTM3200,WTM3210,46,1655
