*header,hse_type,province,upgrade1,upgrade2,upgrade3,eligible,total
*data,1-SD,BRITISH COLUMBIA,BIPVT,0,0,327,1770
*data,1-SD,BRITISH COLUMBIA,BIPVT,CVB,0,27,1770
*data,1-SD,BRITISH COLUMBIA,BIPVT,FOH,0,24,1770
*data,1-SD,BRITISH COLUMBIA,BIPVT,FVB,0,25,1770
*data,1-SD,BRITISH COLUMBIA,BIPVT,PCM,0,298,1770
*data,1-SD,BRITISH COLUMBIA,BIPVT,PV,0,327,1770
*data,1-SD,BRITISH COLUMBIA,BIPVT,SDHW,0,327,1770
*data,1-SD,BRITISH COLUMBIA,BIPVT,WAM,0,285,1770
*data,1-SD,BRITISH COLUMBIA,BIPVT,WTM2010,0,313,1770
*data,1-SD,BRITISH COLUMBIA,BIPVT,WTM2100,0,313,1770
*data,1-SD,BRITISH COLUMBIA,BIPVT,WTM2110,0,313,1770
*data,1-SD,BRITISH COLUMBIA,BIPVT,WTM3000,0,326,1770
*data,1-SD,BRITISH COLUMBIA,BIPVT,WTM3200,0,326,1770
*data,1-SD,BRITISH COLUMBIA,BIPVT,WTM3210,0,327,1770
*data,1-SD,BRITISH COLUMBIA,BIPVT,WTM3310,0,327,1770
*data,1-SD,BRITISH COLUMBIA,BIPVT,CVB,FOH,24,1770
*data,1-SD,BRITISH COLUMBIA,BIPVT,CVB,FVB,25,1770
*data,1-SD,BRITISH COLUMBIA,BIPVT,CVB,PCM,24,1770
*data,1-SD,BRITISH COLUMBIA,BIPVT,CVB,PV,27,1770
*data,1-SD,BRITISH COLUMBIA,BIPVT,CVB,SDHW,27,1770
*data,1-SD,BRITISH COLUMBIA,BIPVT,CVB,WAM,23,1770
*data,1-SD,BRITISH COLUMBIA,BIPVT,CVB,WTM2010,24,1770
*data,1-SD,BRITISH COLUMBIA,BIPVT,CVB,WTM2100,24,1770
*data,1-SD,BRITISH COLUMBIA,BIPVT,CVB,WTM2110,24,1770
*data,1-SD,BRITISH COLUMBIA,BIPVT,CVB,WTM3000,27,1770
*data,1-SD,BRITISH COLUMBIA,BIPVT,CVB,WTM3200,27,1770
*data,1-SD,BRITISH COLUMBIA,BIPVT,CVB,WTM3210,27,1770
*data,1-SD,BRITISH COLUMBIA,BIPVT,CVB,WTM3310,27,1770
*data,1-SD,BRITISH COLUMBIA,BIPVT,FOH,FVB,22,1770
*data,1-SD,BRITISH COLUMBIA,BIPVT,FOH,PCM,24,1770
*data,1-SD,BRITISH COLUMBIA,BIPVT,FOH,PV,24,1770
*data,1-SD,BRITISH COLUMBIA,BIPVT,FOH,SDHW,24,1770
*data,1-SD,BRITISH COLUMBIA,BIPVT,FOH,WAM,21,1770
*data,1-SD,BRITISH COLUMBIA,BIPVT,FOH,WTM2010,22,1770
*data,1-SD,BRITISH COLUMBIA,BIPVT,FOH,WTM2100,22,1770
*data,1-SD,BRITISH COLUMBIA,BIPVT,FOH,WTM2110,22,1770
*data,1-SD,BRITISH COLUMBIA,BIPVT,FOH,WTM3000,24,1770
*data,1-SD,BRITISH COLUMBIA,BIPVT,FOH,WTM3200,24,1770
*data,1-SD,BRITISH COLUMBIA,BIPVT,FOH,WTM3210,24,1770
*data,1-SD,BRITISH COLUMBIA,BIPVT,FOH,WTM3310,24,1770
*data,1-SD,BRITISH COLUMBIA,BIPVT,FVB,PCM,22,1770
*data,1-SD,BRITISH COLUMBIA,BIPVT,FVB,PV,25,1770
*data,1-SD,BRITISH COLUMBIA,BIPVT,FVB,SDHW,25,1770
*data,1-SD,BRITISH COLUMBIA,BIPVT,FVB,WAM,22,1770
*data,1-SD,BRITISH COLUMBIA,BIPVT,FVB,WTM2010,22,1770
*data,1-SD,BRITISH COLUMBIA,BIPVT,FVB,WTM2100,22,1770
*data,1-SD,BRITISH COLUMBIA,BIPVT,FVB,WTM2110,22,1770
*data,1-SD,BRITISH COLUMBIA,BIPVT,FVB,WTM3000,25,1770
*data,1-SD,BRITISH COLUMBIA,BIPVT,FVB,WTM3200,25,1770
*data,1-SD,BRITISH COLUMBIA,BIPVT,FVB,WTM3210,25,1770
*data,1-SD,BRITISH COLUMBIA,BIPVT,FVB,WTM3310,25,1770
*data,1-SD,BRITISH COLUMBIA,BIPVT,PCM,PV,298,1770
*data,1-SD,BRITISH COLUMBIA,BIPVT,PCM,SDHW,298,1770
*data,1-SD,BRITISH COLUMBIA,BIPVT,PCM,WAM,263,1770
*data,1-SD,BRITISH COLUMBIA,BIPVT,PCM,WTM2010,287,1770
*data,1-SD,BRITISH COLUMBIA,BIPVT,PCM,WTM2100,287,1770
*data,1-SD,BRITISH COLUMBIA,BIPVT,PCM,WTM2110,287,1770
*data,1-SD,BRITISH COLUMBIA,BIPVT,PCM,WTM3000,298,1770
*data,1-SD,BRITISH COLUMBIA,BIPVT,PCM,WTM3200,298,1770
*data,1-SD,BRITISH COLUMBIA,BIPVT,PCM,WTM3210,298,1770
*data,1-SD,BRITISH COLUMBIA,BIPVT,PCM,WTM3310,298,1770
*data,1-SD,BRITISH COLUMBIA,BIPVT,PV,SDHW,327,1770
*data,1-SD,BRITISH COLUMBIA,BIPVT,PV,WAM,285,1770
*data,1-SD,BRITISH COLUMBIA,BIPVT,PV,WTM2010,313,1770
*data,1-SD,BRITISH COLUMBIA,BIPVT,PV,WTM2100,313,1770
*data,1-SD,BRITISH COLUMBIA,BIPVT,PV,WTM2110,313,1770
*data,1-SD,BRITISH COLUMBIA,BIPVT,PV,WTM3000,326,1770
*data,1-SD,BRITISH COLUMBIA,BIPVT,PV,WTM3200,326,1770
*data,1-SD,BRITISH COLUMBIA,BIPVT,PV,WTM3210,327,1770
*data,1-SD,BRITISH COLUMBIA,BIPVT,PV,WTM3310,327,1770
*data,1-SD,BRITISH COLUMBIA,BIPVT,SDHW,WAM,285,1770
*data,1-SD,BRITISH COLUMBIA,BIPVT,SDHW,WTM2010,313,1770
*data,1-SD,BRITISH COLUMBIA,BIPVT,SDHW,WTM2100,313,1770
*data,1-SD,BRITISH COLUMBIA,BIPVT,SDHW,WTM2110,313,1770
*data,1-SD,BRITISH COLUMBIA,BIPVT,SDHW,WTM3000,326,1770
*data,1-SD,BRITISH COLUMBIA,BIPVT,SDHW,WTM3200,326,1770
*data,1-SD,BRITISH COLUMBIA,BIPVT,SDHW,WTM3210,327,1770
*data,1-SD,BRITISH COLUMBIA,BIPVT,SDHW,WTM3310,327,1770
*data,1-SD,BRITISH COLUMBIA,BIPVT,WAM,WTM2010,271,1770
*data,1-SD,BRITISH COLUMBIA,BIPVT,WAM,WTM2100,271,1770
*data,1-SD,BRITISH COLUMBIA,BIPVT,WAM,WTM2110,271,1770
*data,1-SD,BRITISH COLUMBIA,BIPVT,WAM,WTM3000,284,1770
*data,1-SD,BRITISH COLUMBIA,BIPVT,WAM,WTM3200,284,1770
*data,1-SD,BRITISH COLUMBIA,BIPVT,WAM,WTM3210,285,1770
*data,1-SD,BRITISH COLUMBIA,BIPVT,WAM,WTM3310,285,1770
*data,1-SD,BRITISH COLUMBIA,BIPVT,WTM2010,WTM2100,313,1770
*data,1-SD,BRITISH COLUMBIA,BIPVT,WTM2010,WTM2110,313,1770
*data,1-SD,BRITISH COLUMBIA,BIPVT,WTM2010,WTM3000,313,1770
*data,1-SD,BRITISH COLUMBIA,BIPVT,WTM2010,WTM3200,313,1770
*data,1-SD,BRITISH COLUMBIA,BIPVT,WTM2010,WTM3210,313,1770
*data,1-SD,BRITISH COLUMBIA,BIPVT,WTM2010,WTM3310,313,1770
*data,1-SD,BRITISH COLUMBIA,BIPVT,WTM2100,WTM2110,313,1770
*data,1-SD,BRITISH COLUMBIA,BIPVT,WTM2100,WTM3000,313,1770
*data,1-SD,BRITISH COLUMBIA,BIPVT,WTM2100,WTM3200,313,1770
*data,1-SD,BRITISH COLUMBIA,BIPVT,WTM2100,WTM3210,313,1770
*data,1-SD,BRITISH COLUMBIA,BIPVT,WTM2100,WTM3310,313,1770
*data,1-SD,BRITISH COLUMBIA,BIPVT,WTM2110,WTM3000,313,1770
*data,1-SD,BRITISH COLUMBIA,BIPVT,WTM2110,WTM3200,313,1770
*data,1-SD,BRITISH COLUMBIA,BIPVT,WTM2110,WTM3210,313,1770
*data,1-SD,BRITISH COLUMBIA,BIPVT,WTM2110,WTM3310,313,1770
*data,1-SD,BRITISH COLUMBIA,BIPVT,WTM3000,WTM3200,326,1770
*data,1-SD,BRITISH COLUMBIA,BIPVT,WTM3000,WTM3210,326,1770
*data,1-SD,BRITISH COLUMBIA,BIPVT,WTM3000,WTM3310,326,1770
*data,1-SD,BRITISH COLUMBIA,BIPVT,WTM3200,WTM3210,326,1770
*data,1-SD,BRITISH COLUMBIA,BIPVT,WTM3200,WTM3310,326,1770
*data,1-SD,BRITISH COLUMBIA,BIPVT,WTM3210,WTM3310,327,1770
*data,1-SD,BRITISH COLUMBIA,CVB,0,0,126,1770
*data,1-SD,BRITISH COLUMBIA,CVB,FOH,0,118,1770
*data,1-SD,BRITISH COLUMBIA,CVB,FVB,0,124,1770
*data,1-SD,BRITISH COLUMBIA,CVB,PCM,0,118,1770
*data,1-SD,BRITISH COLUMBIA,CVB,PV,0,46,1770
*data,1-SD,BRITISH COLUMBIA,CVB,SDHW,0,27,1770
*data,1-SD,BRITISH COLUMBIA,CVB,WAM,0,96,1770
*data,1-SD,BRITISH COLUMBIA,CVB,WTM2010,0,119,1770
*data,1-SD,BRITISH COLUMBIA,CVB,WTM2100,0,119,1770
*data,1-SD,BRITISH COLUMBIA,CVB,WTM2110,0,119,1770
*data,1-SD,BRITISH COLUMBIA,CVB,WTM3000,0,126,1770
*data,1-SD,BRITISH COLUMBIA,CVB,WTM3200,0,126,1770
*data,1-SD,BRITISH COLUMBIA,CVB,WTM3210,0,126,1770
*data,1-SD,BRITISH COLUMBIA,CVB,WTM3310,0,126,1770
*data,1-SD,BRITISH COLUMBIA,CVB,FOH,FVB,116,1770
*data,1-SD,BRITISH COLUMBIA,CVB,FOH,PCM,118,1770
*data,1-SD,BRITISH COLUMBIA,CVB,FOH,PV,42,1770
*data,1-SD,BRITISH COLUMBIA,CVB,FOH,SDHW,24,1770
*data,1-SD,BRITISH COLUMBIA,CVB,FOH,WAM,90,1770
*data,1-SD,BRITISH COLUMBIA,CVB,FOH,WTM2010,112,1770
*data,1-SD,BRITISH COLUMBIA,CVB,FOH,WTM2100,112,1770
*data,1-SD,BRITISH COLUMBIA,CVB,FOH,WTM2110,112,1770
*data,1-SD,BRITISH COLUMBIA,CVB,FOH,WTM3000,118,1770
*data,1-SD,BRITISH COLUMBIA,CVB,FOH,WTM3200,118,1770
*data,1-SD,BRITISH COLUMBIA,CVB,FOH,WTM3210,118,1770
*data,1-SD,BRITISH COLUMBIA,CVB,FOH,WTM3310,118,1770
*data,1-SD,BRITISH COLUMBIA,CVB,FVB,PCM,116,1770
*data,1-SD,BRITISH COLUMBIA,CVB,FVB,PV,44,1770
*data,1-SD,BRITISH COLUMBIA,CVB,FVB,SDHW,25,1770
*data,1-SD,BRITISH COLUMBIA,CVB,FVB,WAM,95,1770
*data,1-SD,BRITISH COLUMBIA,CVB,FVB,WTM2010,117,1770
*data,1-SD,BRITISH COLUMBIA,CVB,FVB,WTM2100,117,1770
*data,1-SD,BRITISH COLUMBIA,CVB,FVB,WTM2110,117,1770
*data,1-SD,BRITISH COLUMBIA,CVB,FVB,WTM3000,124,1770
*data,1-SD,BRITISH COLUMBIA,CVB,FVB,WTM3200,124,1770
*data,1-SD,BRITISH COLUMBIA,CVB,FVB,WTM3210,124,1770
*data,1-SD,BRITISH COLUMBIA,CVB,FVB,WTM3310,124,1770
*data,1-SD,BRITISH COLUMBIA,CVB,PCM,PV,42,1770
*data,1-SD,BRITISH COLUMBIA,CVB,PCM,SDHW,24,1770
*data,1-SD,BRITISH COLUMBIA,CVB,PCM,WAM,90,1770
*data,1-SD,BRITISH COLUMBIA,CVB,PCM,WTM2010,112,1770
*data,1-SD,BRITISH COLUMBIA,CVB,PCM,WTM2100,112,1770
*data,1-SD,BRITISH COLUMBIA,CVB,PCM,WTM2110,112,1770
*data,1-SD,BRITISH COLUMBIA,CVB,PCM,WTM3000,118,1770
*data,1-SD,BRITISH COLUMBIA,CVB,PCM,WTM3200,118,1770
*data,1-SD,BRITISH COLUMBIA,CVB,PCM,WTM3210,118,1770
*data,1-SD,BRITISH COLUMBIA,CVB,PCM,WTM3310,118,1770
*data,1-SD,BRITISH COLUMBIA,CVB,PV,SDHW,27,1770
*data,1-SD,BRITISH COLUMBIA,CVB,PV,WAM,42,1770
*data,1-SD,BRITISH COLUMBIA,CVB,PV,WTM2010,42,1770
*data,1-SD,BRITISH COLUMBIA,CVB,PV,WTM2100,42,1770
*data,1-SD,BRITISH COLUMBIA,CVB,PV,WTM2110,42,1770
*data,1-SD,BRITISH COLUMBIA,CVB,PV,WTM3000,46,1770
*data,1-SD,BRITISH COLUMBIA,CVB,PV,WTM3200,46,1770
*data,1-SD,BRITISH COLUMBIA,CVB,PV,WTM3210,46,1770
*data,1-SD,BRITISH COLUMBIA,CVB,PV,WTM3310,46,1770
*data,1-SD,BRITISH COLUMBIA,CVB,SDHW,WAM,23,1770
*data,1-SD,BRITISH COLUMBIA,CVB,SDHW,WTM2010,24,1770
*data,1-SD,BRITISH COLUMBIA,CVB,SDHW,WTM2100,24,1770
*data,1-SD,BRITISH COLUMBIA,CVB,SDHW,WTM2110,24,1770
*data,1-SD,BRITISH COLUMBIA,CVB,SDHW,WTM3000,27,1770
*data,1-SD,BRITISH COLUMBIA,CVB,SDHW,WTM3200,27,1770
*data,1-SD,BRITISH COLUMBIA,CVB,SDHW,WTM3210,27,1770
*data,1-SD,BRITISH COLUMBIA,CVB,SDHW,WTM3310,27,1770
*data,1-SD,BRITISH COLUMBIA,CVB,WAM,WTM2010,91,1770
*data,1-SD,BRITISH COLUMBIA,CVB,WAM,WTM2100,91,1770
*data,1-SD,BRITISH COLUMBIA,CVB,WAM,WTM2110,91,1770
*data,1-SD,BRITISH COLUMBIA,CVB,WAM,WTM3000,96,1770
*data,1-SD,BRITISH COLUMBIA,CVB,WAM,WTM3200,96,1770
*data,1-SD,BRITISH COLUMBIA,CVB,WAM,WTM3210,96,1770
*data,1-SD,BRITISH COLUMBIA,CVB,WAM,WTM3310,96,1770
*data,1-SD,BRITISH COLUMBIA,CVB,WTM2010,WTM2100,119,1770
*data,1-SD,BRITISH COLUMBIA,CVB,WTM2010,WTM2110,119,1770
*data,1-SD,BRITISH COLUMBIA,CVB,WTM2010,WTM3000,119,1770
*data,1-SD,BRITISH COLUMBIA,CVB,WTM2010,WTM3200,119,1770
*data,1-SD,BRITISH COLUMBIA,CVB,WTM2010,WTM3210,119,1770
*data,1-SD,BRITISH COLUMBIA,CVB,WTM2010,WTM3310,119,1770
*data,1-SD,BRITISH COLUMBIA,CVB,WTM2100,WTM2110,119,1770
*data,1-SD,BRITISH COLUMBIA,CVB,WTM2100,WTM3000,119,1770
*data,1-SD,BRITISH COLUMBIA,CVB,WTM2100,WTM3200,119,1770
*data,1-SD,BRITISH COLUMBIA,CVB,WTM2100,WTM3210,119,1770
*data,1-SD,BRITISH COLUMBIA,CVB,WTM2100,WTM3310,119,1770
*data,1-SD,BRITISH COLUMBIA,CVB,WTM2110,WTM3000,119,1770
*data,1-SD,BRITISH COLUMBIA,CVB,WTM2110,WTM3200,119,1770
*data,1-SD,BRITISH COLUMBIA,CVB,WTM2110,WTM3210,119,1770
*data,1-SD,BRITISH COLUMBIA,CVB,WTM2110,WTM3310,119,1770
*data,1-SD,BRITISH COLUMBIA,CVB,WTM3000,WTM3200,126,1770
*data,1-SD,BRITISH COLUMBIA,CVB,WTM3000,WTM3210,126,1770
*data,1-SD,BRITISH COLUMBIA,CVB,WTM3000,WTM3310,126,1770
*data,1-SD,BRITISH COLUMBIA,CVB,WTM3200,WTM3210,126,1770
*data,1-SD,BRITISH COLUMBIA,CVB,WTM3200,WTM3310,126,1770
*data,1-SD,BRITISH COLUMBIA,CVB,WTM3210,WTM3310,126,1770
*data,1-SD,BRITISH COLUMBIA,FOH,0,0,118,1770
*data,1-SD,BRITISH COLUMBIA,FOH,FVB,0,116,1770
*data,1-SD,BRITISH COLUMBIA,FOH,PCM,0,118,1770
*data,1-SD,BRITISH COLUMBIA,FOH,PV,0,42,1770
*data,1-SD,BRITISH COLUMBIA,FOH,SDHW,0,24,1770
*data,1-SD,BRITISH COLUMBIA,FOH,WAM,0,90,1770
*data,1-SD,BRITISH COLUMBIA,FOH,WTM2010,0,112,1770
*data,1-SD,BRITISH COLUMBIA,FOH,WTM2100,0,112,1770
*data,1-SD,BRITISH COLUMBIA,FOH,WTM2110,0,112,1770
*data,1-SD,BRITISH COLUMBIA,FOH,WTM3000,0,118,1770
*data,1-SD,BRITISH COLUMBIA,FOH,WTM3200,0,118,1770
*data,1-SD,BRITISH COLUMBIA,FOH,WTM3210,0,118,1770
*data,1-SD,BRITISH COLUMBIA,FOH,WTM3310,0,118,1770
*data,1-SD,BRITISH COLUMBIA,FOH,FVB,PCM,116,1770
*data,1-SD,BRITISH COLUMBIA,FOH,FVB,PV,40,1770
*data,1-SD,BRITISH COLUMBIA,FOH,FVB,SDHW,22,1770
*data,1-SD,BRITISH COLUMBIA,FOH,FVB,WAM,89,1770
*data,1-SD,BRITISH COLUMBIA,FOH,FVB,WTM2010,110,1770
*data,1-SD,BRITISH COLUMBIA,FOH,FVB,WTM2100,110,1770
*data,1-SD,BRITISH COLUMBIA,FOH,FVB,WTM2110,110,1770
*data,1-SD,BRITISH COLUMBIA,FOH,FVB,WTM3000,116,1770
*data,1-SD,BRITISH COLUMBIA,FOH,FVB,WTM3200,116,1770
*data,1-SD,BRITISH COLUMBIA,FOH,FVB,WTM3210,116,1770
*data,1-SD,BRITISH COLUMBIA,FOH,FVB,WTM3310,116,1770
*data,1-SD,BRITISH COLUMBIA,FOH,PCM,PV,42,1770
*data,1-SD,BRITISH COLUMBIA,FOH,PCM,SDHW,24,1770
*data,1-SD,BRITISH COLUMBIA,FOH,PCM,WAM,90,1770
*data,1-SD,BRITISH COLUMBIA,FOH,PCM,WTM2010,112,1770
*data,1-SD,BRITISH COLUMBIA,FOH,PCM,WTM2100,112,1770
*data,1-SD,BRITISH COLUMBIA,FOH,PCM,WTM2110,112,1770
*data,1-SD,BRITISH COLUMBIA,FOH,PCM,WTM3000,118,1770
*data,1-SD,BRITISH COLUMBIA,FOH,PCM,WTM3200,118,1770
*data,1-SD,BRITISH COLUMBIA,FOH,PCM,WTM3210,118,1770
*data,1-SD,BRITISH COLUMBIA,FOH,PCM,WTM3310,118,1770
*data,1-SD,BRITISH COLUMBIA,FOH,PV,SDHW,24,1770
*data,1-SD,BRITISH COLUMBIA,FOH,PV,WAM,39,1770
*data,1-SD,BRITISH COLUMBIA,FOH,PV,WTM2010,39,1770
*data,1-SD,BRITISH COLUMBIA,FOH,PV,WTM2100,39,1770
*data,1-SD,BRITISH COLUMBIA,FOH,PV,WTM2110,39,1770
*data,1-SD,BRITISH COLUMBIA,FOH,PV,WTM3000,42,1770
*data,1-SD,BRITISH COLUMBIA,FOH,PV,WTM3200,42,1770
*data,1-SD,BRITISH COLUMBIA,FOH,PV,WTM3210,42,1770
*data,1-SD,BRITISH COLUMBIA,FOH,PV,WTM3310,42,1770
*data,1-SD,BRITISH COLUMBIA,FOH,SDHW,WAM,21,1770
*data,1-SD,BRITISH COLUMBIA,FOH,SDHW,WTM2010,22,1770
*data,1-SD,BRITISH COLUMBIA,FOH,SDHW,WTM2100,22,1770
*data,1-SD,BRITISH COLUMBIA,FOH,SDHW,WTM2110,22,1770
*data,1-SD,BRITISH COLUMBIA,FOH,SDHW,WTM3000,24,1770
*data,1-SD,BRITISH COLUMBIA,FOH,SDHW,WTM3200,24,1770
*data,1-SD,BRITISH COLUMBIA,FOH,SDHW,WTM3210,24,1770
*data,1-SD,BRITISH COLUMBIA,FOH,SDHW,WTM3310,24,1770
*data,1-SD,BRITISH COLUMBIA,FOH,WAM,WTM2010,86,1770
*data,1-SD,BRITISH COLUMBIA,FOH,WAM,WTM2100,86,1770
*data,1-SD,BRITISH COLUMBIA,FOH,WAM,WTM2110,86,1770
*data,1-SD,BRITISH COLUMBIA,FOH,WAM,WTM3000,90,1770
*data,1-SD,BRITISH COLUMBIA,FOH,WAM,WTM3200,90,1770
*data,1-SD,BRITISH COLUMBIA,FOH,WAM,WTM3210,90,1770
*data,1-SD,BRITISH COLUMBIA,FOH,WAM,WTM3310,90,1770
*data,1-SD,BRITISH COLUMBIA,FOH,WTM2010,WTM2100,112,1770
*data,1-SD,BRITISH COLUMBIA,FOH,WTM2010,WTM2110,112,1770
*data,1-SD,BRITISH COLUMBIA,FOH,WTM2010,WTM3000,112,1770
*data,1-SD,BRITISH COLUMBIA,FOH,WTM2010,WTM3200,112,1770
*data,1-SD,BRITISH COLUMBIA,FOH,WTM2010,WTM3210,112,1770
*data,1-SD,BRITISH COLUMBIA,FOH,WTM2010,WTM3310,112,1770
*data,1-SD,BRITISH COLUMBIA,FOH,WTM2100,WTM2110,112,1770
*data,1-SD,BRITISH COLUMBIA,FOH,WTM2100,WTM3000,112,1770
*data,1-SD,BRITISH COLUMBIA,FOH,WTM2100,WTM3200,112,1770
*data,1-SD,BRITISH COLUMBIA,FOH,WTM2100,WTM3210,112,1770
*data,1-SD,BRITISH COLUMBIA,FOH,WTM2100,WTM3310,112,1770
*data,1-SD,BRITISH COLUMBIA,FOH,WTM2110,WTM3000,112,1770
*data,1-SD,BRITISH COLUMBIA,FOH,WTM2110,WTM3200,112,1770
*data,1-SD,BRITISH COLUMBIA,FOH,WTM2110,WTM3210,112,1770
*data,1-SD,BRITISH COLUMBIA,FOH,WTM2110,WTM3310,112,1770
*data,1-SD,BRITISH COLUMBIA,FOH,WTM3000,WTM3200,118,1770
*data,1-SD,BRITISH COLUMBIA,FOH,WTM3000,WTM3210,118,1770
*data,1-SD,BRITISH COLUMBIA,FOH,WTM3000,WTM3310,118,1770
