*header,hse_type,province,upgrade1,upgrade2,upgrade3,eligible,total
*data,1-SD,MANITOBA,AWHP,0,0,601,859
*data,1-SD,MANITOBA,AWHP,BIPVT,0,235,859
*data,1-SD,MANITOBA,AWHP,CVB,0,105,859
*data,1-SD,MANITOBA,AWHP,FOH,0,102,859
*data,1-SD,MANITOBA,AWHP,FVB,0,105,859
*data,1-SD,MANITOBA,AWHP,ICE_CHP,0,601,859
*data,1-SD,MANITOBA,AWHP,PCM,0,580,859
*data,1-SD,MANITOBA,AWHP,PV,0,223,859
*data,1-SD,MANITOBA,AWHP,SCS,0,258,859
*data,1-SD,MANITOBA,AWHP,SDHW,0,223,859
*data,1-SD,MANITOBA,AWHP,SE_CHP,0,601,859
*data,1-SD,MANITOBA,AWHP,WAM,0,568,859
*data,1-SD,MANITOBA,AWHP,WTM2010,0,339,859
*data,1-SD,MANITOBA,AWHP,WTM2100,0,339,859
*data,1-SD,MANITOBA,AWHP,WTM2110,0,339,859
*data,1-SD,MANITOBA,AWHP,WTM3000,0,549,859
*data,1-SD,MANITOBA,AWHP,WTM3200,0,549,859
*data,1-SD,MANITOBA,AWHP,WTM3210,0,601,859
*data,1-SD,MANITOBA,AWHP,WTM3310,0,601,859
*data,1-SD,MANITOBA,AWHP,BIPVT,CVB,46,859
*data,1-SD,MANITOBA,AWHP,BIPVT,FOH,45,859
*data,1-SD,MANITOBA,AWHP,BIPVT,FVB,46,859
*data,1-SD,MANITOBA,AWHP,BIPVT,ICE_CHP,235,859
*data,1-SD,MANITOBA,AWHP,BIPVT,PCM,225,859
*data,1-SD,MANITOBA,AWHP,BIPVT,PV,169,859
*data,1-SD,MANITOBA,AWHP,BIPVT,SCS,169,859
*data,1-SD,MANITOBA,AWHP,BIPVT,SDHW,169,859
*data,1-SD,MANITOBA,AWHP,BIPVT,SE_CHP,235,859
*data,1-SD,MANITOBA,AWHP,BIPVT,WAM,227,859
*data,1-SD,MANITOBA,AWHP,BIPVT,WTM2010,136,859
*data,1-SD,MANITOBA,AWHP,BIPVT,WTM2100,136,859
*data,1-SD,MANITOBA,AWHP,BIPVT,WTM2110,136,859
*data,1-SD,MANITOBA,AWHP,BIPVT,WTM3000,217,859
*data,1-SD,MANITOBA,AWHP,BIPVT,WTM3200,217,859
*data,1-SD,MANITOBA,AWHP,BIPVT,WTM3210,235,859
*data,1-SD,MANITOBA,AWHP,BIPVT,WTM3310,235,859
*data,1-SD,MANITOBA,AWHP,CVB,FOH,102,859
*data,1-SD,MANITOBA,AWHP,CVB,FVB,105,859
*data,1-SD,MANITOBA,AWHP,CVB,ICE_CHP,105,859
*data,1-SD,MANITOBA,AWHP,CVB,PCM,102,859
*data,1-SD,MANITOBA,AWHP,CVB,PV,43,859
*data,1-SD,MANITOBA,AWHP,CVB,SCS,54,859
*data,1-SD,MANITOBA,AWHP,CVB,SDHW,43,859
*data,1-SD,MANITOBA,AWHP,CVB,SE_CHP,105,859
*data,1-SD,MANITOBA,AWHP,CVB,WAM,102,859
*data,1-SD,MANITOBA,AWHP,CVB,WTM2010,48,859
*data,1-SD,MANITOBA,AWHP,CVB,WTM2100,48,859
*data,1-SD,MANITOBA,AWHP,CVB,WTM2110,48,859
*data,1-SD,MANITOBA,AWHP,CVB,WTM3000,91,859
*data,1-SD,MANITOBA,AWHP,CVB,WTM3200,91,859
*data,1-SD,MANITOBA,AWHP,CVB,WTM3210,105,859
*data,1-SD,MANITOBA,AWHP,CVB,WTM3310,105,859
*data,1-SD,MANITOBA,AWHP,FOH,FVB,102,859
*data,1-SD,MANITOBA,AWHP,FOH,ICE_CHP,102,859
*data,1-SD,MANITOBA,AWHP,FOH,PCM,102,859
