*header,hse_type,province,upgrade1,upgrade2,upgrade3,eligible,total
*data,1-SD,NEW BRUNSWICK,BIPVT,0,0,167,396
*data,1-SD,NEW BRUNSWICK,BIPVT,CVB,0,0,396
*data,1-SD,NEW BRUNSWICK,BIPVT,FOH,0,0,396
*data,1-SD,NEW BRUNSWICK,BIPVT,FVB,0,0,396
*data,1-SD,NEW BRUNSWICK,BIPVT,PCM,0,159,396
*data,1-SD,NEW BRUNSWICK,BIPVT,PV,0,167,396
*data,1-SD,NEW BRUNSWICK,BIPVT,SDHW,0,167,396
*data,1-SD,NEW BRUNSWICK,BIPVT,WAM,0,156,396
*data,1-SD,NEW BRUNSWICK,BIPVT,WTM2010,0,159,396
*data,1-SD,NEW BRUNSWICK,BIPVT,WTM2100,0,159,396
*data,1-SD,NEW BRUNSWICK,BIPVT,WTM2110,0,159,396
*data,1-SD,NEW BRUNSWICK,BIPVT,WTM3000,0,167,396
*data,1-SD,NEW BRUNSWICK,BIPVT,WTM3200,0,167,396
*data,1-SD,NEW BRUNSWICK,BIPVT,WTM3210,0,167,396
*data,1-SD,NEW BRUNSWICK,BIPVT,WTM3310,0,167,396
*data,1-SD,NEW BRUNSWICK,BIPVT,CVB,FOH,0,396
*data,1-SD,NEW BRUNSWICK,BIPVT,CVB,FVB,0,396
*data,1-SD,NEW BRUNSWICK,BIPVT,CVB,PCM,0,396
*data,1-SD,NEW BRUNSWICK,BIPVT,CVB,PV,0,396
*data,1-SD,NEW BRUNSWICK,BIPVT,CVB,SDHW,0,396
*data,1-SD,NEW BRUNSWICK,BIPVT,CVB,WAM,0,396
*data,1-SD,NEW BRUNSWICK,BIPVT,CVB,WTM2010,0,396
*data,1-SD,NEW BRUNSWICK,BIPVT,CVB,WTM2100,0,396
*data,1-SD,NEW BRUNSWICK,BIPVT,CVB,WTM2110,0,396
*data,1-SD,NEW BRUNSWICK,BIPVT,CVB,WTM3000,0,396
*data,1-SD,NEW BRUNSWICK,BIPVT,CVB,WTM3200,0,396
*data,1-SD,NEW BRUNSWICK,BIPVT,CVB,WTM3210,0,396
*data,1-SD,NEW BRUNSWICK,BIPVT,CVB,WTM3310,0,396
*data,1-SD,NEW BRUNSWICK,BIPVT,FOH,FVB,0,396
*data,1-SD,NEW BRUNSWICK,BIPVT,FOH,PCM,0,396
*data,1-SD,NEW BRUNSWICK,BIPVT,FOH,PV,0,396
*data,1-SD,NEW BRUNSWICK,BIPVT,FOH,SDHW,0,396
*data,1-SD,NEW BRUNSWICK,BIPVT,FOH,WAM,0,396
*data,1-SD,NEW BRUNSWICK,BIPVT,FOH,WTM2010,0,396
*data,1-SD,NEW BRUNSWICK,BIPVT,FOH,WTM2100,0,396
*data,1-SD,NEW BRUNSWICK,BIPVT,FOH,WTM2110,0,396
*data,1-SD,NEW BRUNSWICK,BIPVT,FOH,WTM3000,0,396
*data,1-SD,NEW BRUNSWICK,BIPVT,FOH,WTM3200,0,396
*data,1-SD,NEW BRUNSWICK,BIPVT,FOH,WTM3210,0,396
*data,1-SD,NEW BRUNSWICK,BIPVT,FOH,WTM3310,0,396
*data,1-SD,NEW BRUNSWICK,BIPVT,FVB,PCM,0,396
*data,1-SD,NEW BRUNSWICK,BIPVT,FVB,PV,0,396
*data,1-SD,NEW BRUNSWICK,BIPVT,FVB,SDHW,0,396
*data,1-SD,NEW BRUNSWICK,BIPVT,FVB,WAM,0,396
*data,1-SD,NEW BRUNSWICK,BIPVT,FVB,WTM2010,0,396
*data,1-SD,NEW BRUNSWICK,BIPVT,FVB,WTM2100,0,396
*data,1-SD,NEW BRUNSWICK,BIPVT,FVB,WTM2110,0,396
*data,1-SD,NEW BRUNSWICK,BIPVT,FVB,WTM3000,0,396
*data,1-SD,NEW BRUNSWICK,BIPVT,FVB,WTM3200,0,396
*data,1-SD,NEW BRUNSWICK,BIPVT,FVB,WTM3210,0,396
*data,1-SD,NEW BRUNSWICK,BIPVT,FVB,WTM3310,0,396
*data,1-SD,NEW BRUNSWICK,BIPVT,PCM,PV,159,396
*data,1-SD,NEW BRUNSWICK,BIPVT,PCM,SDHW,159,396
*data,1-SD,NEW BRUNSWICK,BIPVT,PCM,WAM,148,396
*data,1-SD,NEW BRUNSWICK,BIPVT,PCM,WTM2010,152,396
*data,1-SD,NEW BRUNSWICK,BIPVT,PCM,WTM2100,152,396
*data,1-SD,NEW BRUNSWICK,BIPVT,PCM,WTM2110,152,396
*data,1-SD,NEW BRUNSWICK,BIPVT,PCM,WTM3000,159,396
*data,1-SD,NEW BRUNSWICK,BIPVT,PCM,WTM3200,159,396
*data,1-SD,NEW BRUNSWICK,BIPVT,PCM,WTM3210,159,396
*data,1-SD,NEW BRUNSWICK,BIPVT,PCM,WTM3310,159,396
*data,1-SD,NEW BRUNSWICK,BIPVT,PV,SDHW,167,396
*data,1-SD,NEW BRUNSWICK,BIPVT,PV,WAM,156,396
*data,1-SD,NEW BRUNSWICK,BIPVT,PV,WTM2010,159,396
*data,1-SD,NEW BRUNSWICK,BIPVT,PV,WTM2100,159,396
*data,1-SD,NEW BRUNSWICK,BIPVT,PV,WTM2110,159,396
*data,1-SD,NEW BRUNSWICK,BIPVT,PV,WTM3000,167,396
*data,1-SD,NEW BRUNSWICK,BIPVT,PV,WTM3200,167,396
*data,1-SD,NEW BRUNSWICK,BIPVT,PV,WTM3210,167,396
*data,1-SD,NEW BRUNSWICK,BIPVT,PV,WTM3310,167,396
*data,1-SD,NEW BRUNSWICK,BIPVT,SDHW,WAM,156,396
*data,1-SD,NEW BRUNSWICK,BIPVT,SDHW,WTM2010,159,396
*data,1-SD,NEW BRUNSWICK,BIPVT,SDHW,WTM2100,159,396
*data,1-SD,NEW BRUNSWICK,BIPVT,SDHW,WTM2110,159,396
*data,1-SD,NEW BRUNSWICK,BIPVT,SDHW,WTM3000,167,396
*data,1-SD,NEW BRUNSWICK,BIPVT,SDHW,WTM3200,167,396
*data,1-SD,NEW BRUNSWICK,BIPVT,SDHW,WTM3210,167,396
*data,1-SD,NEW BRUNSWICK,BIPVT,SDHW,WTM3310,167,396
*data,1-SD,NEW BRUNSWICK,BIPVT,WAM,WTM2010,148,396
*data,1-SD,NEW BRUNSWICK,BIPVT,WAM,WTM2100,148,396
*data,1-SD,NEW BRUNSWICK,BIPVT,WAM,WTM2110,148,396
*data,1-SD,NEW BRUNSWICK,BIPVT,WAM,WTM3000,156,396
*data,1-SD,NEW BRUNSWICK,BIPVT,WAM,WTM3200,156,396
*data,1-SD,NEW BRUNSWICK,BIPVT,WAM,WTM3210,156,396
*data,1-SD,NEW BRUNSWICK,BIPVT,WAM,WTM3310,156,396
*data,1-SD,NEW BRUNSWICK,BIPVT,WTM2010,WTM2100,159,396
*data,1-SD,NEW BRUNSWICK,BIPVT,WTM2010,WTM2110,159,396
*data,1-SD,NEW BRUNSWICK,BIPVT,WTM2010,WTM3000,159,396
*data,1-SD,NEW BRUNSWICK,BIPVT,WTM2010,WTM3200,159,396
*data,1-SD,NEW BRUNSWICK,BIPVT,WTM2010,WTM3210,159,396
*data,1-SD,NEW BRUNSWICK,BIPVT,WTM2010,WTM3310,159,396
*data,1-SD,NEW BRUNSWICK,BIPVT,WTM2100,WTM2110,159,396
*data,1-SD,NEW BRUNSWICK,BIPVT,WTM2100,WTM3000,159,396
*data,1-SD,NEW BRUNSWICK,BIPVT,WTM2100,WTM3200,159,396
*data,1-SD,NEW BRUNSWICK,BIPVT,WTM2100,WTM3210,159,396
*data,1-SD,NEW BRUNSWICK,BIPVT,WTM2100,WTM3310,159,396
*data,1-SD,NEW BRUNSWICK,BIPVT,WTM2110,WTM3000,159,396
*data,1-SD,NEW BRUNSWICK,BIPVT,WTM2110,WTM3200,159,396
*data,1-SD,NEW BRUNSWICK,BIPVT,WTM2110,WTM3210,159,396
*data,1-SD,NEW BRUNSWICK,BIPVT,WTM2110,WTM3310,159,396
*data,1-SD,NEW BRUNSWICK,BIPVT,WTM3000,WTM3200,167,396
*data,1-SD,NEW BRUNSWICK,BIPVT,WTM3000,WTM3210,167,396
*data,1-SD,NEW BRUNSWICK,BIPVT,WTM3000,WTM3310,167,396
*data,1-SD,NEW BRUNSWICK,BIPVT,WTM3200,WTM3210,167,396
*data,1-SD,NEW BRUNSWICK,BIPVT,WTM3200,WTM3310,167,396
*data,1-SD,NEW BRUNSWICK,BIPVT,WTM3210,WTM3310,167,396
*data,1-SD,NEW BRUNSWICK,CVB,0,0,1,396
*data,1-SD,NEW BRUNSWICK,CVB,FOH,0,1,396
*data,1-SD,NEW BRUNSWICK,CVB,FVB,0,1,396
*data,1-SD,NEW BRUNSWICK,CVB,PCM,0,1,396
*data,1-SD,NEW BRUNSWICK,CVB,PV,0,0,396
*data,1-SD,NEW BRUNSWICK,CVB,SDHW,0,0,396
*data,1-SD,NEW BRUNSWICK,CVB,WAM,0,1,396
*data,1-SD,NEW BRUNSWICK,CVB,WTM2010,0,1,396
*data,1-SD,NEW BRUNSWICK,CVB,WTM2100,0,1,396
*data,1-SD,NEW BRUNSWICK,CVB,WTM2110,0,1,396
*data,1-SD,NEW BRUNSWICK,CVB,WTM3000,0,1,396
*data,1-SD,NEW BRUNSWICK,CVB,WTM3200,0,1,396
*data,1-SD,NEW BRUNSWICK,CVB,WTM3210,0,1,396
*data,1-SD,NEW BRUNSWICK,CVB,WTM3310,0,1,396
*data,1-SD,NEW BRUNSWICK,CVB,FOH,FVB,1,396
*data,1-SD,NEW BRUNSWICK,CVB,FOH,PCM,1,396
*data,1-SD,NEW BRUNSWICK,CVB,FOH,PV,0,396
*data,1-SD,NEW BRUNSWICK,CVB,FOH,SDHW,0,396
*data,1-SD,NEW BRUNSWICK,CVB,FOH,WAM,1,396
*data,1-SD,NEW BRUNSWICK,CVB,FOH,WTM2010,1,396
*data,1-SD,NEW BRUNSWICK,CVB,FOH,WTM2100,1,396
*data,1-SD,NEW BRUNSWICK,CVB,FOH,WTM2110,1,396
*data,1-SD,NEW BRUNSWICK,CVB,FOH,WTM3000,1,396
*data,1-SD,NEW BRUNSWICK,CVB,FOH,WTM3200,1,396
*data,1-SD,NEW BRUNSWICK,CVB,FOH,WTM3210,1,396
*data,1-SD,NEW BRUNSWICK,CVB,FOH,WTM3310,1,396
*data,1-SD,NEW BRUNSWICK,CVB,FVB,PCM,1,396
*data,1-SD,NEW BRUNSWICK,CVB,FVB,PV,0,396
*data,1-SD,NEW BRUNSWICK,CVB,FVB,SDHW,0,396
*data,1-SD,NEW BRUNSWICK,CVB,FVB,WAM,1,396
*data,1-SD,NEW BRUNSWICK,CVB,FVB,WTM2010,1,396
*data,1-SD,NEW BRUNSWICK,CVB,FVB,WTM2100,1,396
*data,1-SD,NEW BRUNSWICK,CVB,FVB,WTM2110,1,396
*data,1-SD,NEW BRUNSWICK,CVB,FVB,WTM3000,1,396
*data,1-SD,NEW BRUNSWICK,CVB,FVB,WTM3200,1,396
*data,1-SD,NEW BRUNSWICK,CVB,FVB,WTM3210,1,396
*data,1-SD,NEW BRUNSWICK,CVB,FVB,WTM3310,1,396
*data,1-SD,NEW BRUNSWICK,CVB,PCM,PV,0,396
*data,1-SD,NEW BRUNSWICK,CVB,PCM,SDHW,0,396
*data,1-SD,NEW BRUNSWICK,CVB,PCM,WAM,1,396
*data,1-SD,NEW BRUNSWICK,CVB,PCM,WTM2010,1,396
*data,1-SD,NEW BRUNSWICK,CVB,PCM,WTM2100,1,396
*data,1-SD,NEW BRUNSWICK,CVB,PCM,WTM2110,1,396
*data,1-SD,NEW BRUNSWICK,CVB,PCM,WTM3000,1,396
*data,1-SD,NEW BRUNSWICK,CVB,PCM,WTM3200,1,396
*data,1-SD,NEW BRUNSWICK,CVB,PCM,WTM3210,1,396
*data,1-SD,NEW BRUNSWICK,CVB,PCM,WTM3310,1,396
*data,1-SD,NEW BRUNSWICK,CVB,PV,SDHW,0,396
*data,1-SD,NEW BRUNSWICK,CVB,PV,WAM,0,396
*data,1-SD,NEW BRUNSWICK,CVB,PV,WTM2010,0,396
*data,1-SD,NEW BRUNSWICK,CVB,PV,WTM2100,0,396
*data,1-SD,NEW BRUNSWICK,CVB,PV,WTM2110,0,396
*data,1-SD,NEW BRUNSWICK,CVB,PV,WTM3000,0,396
*data,1-SD,NEW BRUNSWICK,CVB,PV,WTM3200,0,396
*data,1-SD,NEW BRUNSWICK,CVB,PV,WTM3210,0,396
*data,1-SD,NEW BRUNSWICK,CVB,PV,WTM3310,0,396
*data,1-SD,NEW BRUNSWICK,CVB,SDHW,WAM,0,396
*data,1-SD,NEW BRUNSWICK,CVB,SDHW,WTM2010,0,396
*data,1-SD,NEW BRUNSWICK,CVB,SDHW,WTM2100,0,396
*data,1-SD,NEW BRUNSWICK,CVB,SDHW,WTM2110,0,396
