*header,hse_type,province,upgrade1,upgrade2,upgrade3,eligible,total
*data,1-SD,NEWFOUNDLAND,AWHP,0,0,89,180
*data,1-SD,NEWFOUNDLAND,AWHP,BIPVT,0,36,180
*data,1-SD,NEWFOUNDLAND,AWHP,CVB,0,0,180
*data,1-SD,NEWFOUNDLAND,AWHP,FOH,0,0,180
*data,1-SD,NEWFOUNDLAND,AWHP,FVB,0,0,180
*data,1-SD,NEWFOUNDLAND,AWHP,ICE_CHP,0,89,180
*data,1-SD,NEWFOUNDLAND,AWHP,PCM,0,83,180
*data,1-SD,NEWFOUNDLAND,AWHP,PV,0,44,180
*data,1-SD,NEWFOUNDLAND,AWHP,SCS,0,59,180
*data,1-SD,NEWFOUNDLAND,AWHP,SDHW,0,44,180
*data,1-SD,NEWFOUNDLAND,AWHP,SE_CHP,0,89,180
*data,1-SD,NEWFOUNDLAND,AWHP,WAM,0,84,180
*data,1-SD,NEWFOUNDLAND,AWHP,WTM2010,0,87,180
*data,1-SD,NEWFOUNDLAND,AWHP,WTM2100,0,87,180
*data,1-SD,NEWFOUNDLAND,AWHP,WTM2110,0,87,180
*data,1-SD,NEWFOUNDLAND,AWHP,WTM3000,0,89,180
*data,1-SD,NEWFOUNDLAND,AWHP,WTM3200,0,89,180
*data,1-SD,NEWFOUNDLAND,AWHP,WTM3210,0,89,180
*data,1-SD,NEWFOUNDLAND,AWHP,WTM3310,0,89,180
*data,1-SD,NEWFOUNDLAND,AWHP,BIPVT,CVB,0,180
*data,1-SD,NEWFOUNDLAND,AWHP,BIPVT,FOH,0,180
*data,1-SD,NEWFOUNDLAND,AWHP,BIPVT,FVB,0,180
*data,1-SD,NEWFOUNDLAND,AWHP,BIPVT,ICE_CHP,36,180
*data,1-SD,NEWFOUNDLAND,AWHP,BIPVT,PCM,30,180
*data,1-SD,NEWFOUNDLAND,AWHP,BIPVT,PV,34,180
*data,1-SD,NEWFOUNDLAND,AWHP,BIPVT,SCS,33,180
*data,1-SD,NEWFOUNDLAND,AWHP,BIPVT,SDHW,34,180
*data,1-SD,NEWFOUNDLAND,AWHP,BIPVT,SE_CHP,36,180
*data,1-SD,NEWFOUNDLAND,AWHP,BIPVT,WAM,35,180
*data,1-SD,NEWFOUNDLAND,AWHP,BIPVT,WTM2010,35,180
*data,1-SD,NEWFOUNDLAND,AWHP,BIPVT,WTM2100,35,180
*data,1-SD,NEWFOUNDLAND,AWHP,BIPVT,WTM2110,35,180
*data,1-SD,NEWFOUNDLAND,AWHP,BIPVT,WTM3000,36,180
*data,1-SD,NEWFOUNDLAND,AWHP,BIPVT,WTM3200,36,180
*data,1-SD,NEWFOUNDLAND,AWHP,BIPVT,WTM3210,36,180
*data,1-SD,NEWFOUNDLAND,AWHP,BIPVT,WTM3310,36,180
*data,1-SD,NEWFOUNDLAND,AWHP,CVB,FOH,0,180
*data,1-SD,NEWFOUNDLAND,AWHP,CVB,FVB,0,180
*data,1-SD,NEWFOUNDLAND,AWHP,CVB,ICE_CHP,0,180
*data,1-SD,NEWFOUNDLAND,AWHP,CVB,PCM,0,180
*data,1-SD,NEWFOUNDLAND,AWHP,CVB,PV,0,180
*data,1-SD,NEWFOUNDLAND,AWHP,CVB,SCS,0,180
*data,1-SD,NEWFOUNDLAND,AWHP,CVB,SDHW,0,180
*data,1-SD,NEWFOUNDLAND,AWHP,CVB,SE_CHP,0,180
*data,1-SD,NEWFOUNDLAND,AWHP,CVB,WAM,0,180
*data,1-SD,NEWFOUNDLAND,AWHP,CVB,WTM2010,0,180
*data,1-SD,NEWFOUNDLAND,AWHP,CVB,WTM2100,0,180
*data,1-SD,NEWFOUNDLAND,AWHP,CVB,WTM2110,0,180
*data,1-SD,NEWFOUNDLAND,AWHP,CVB,WTM3000,0,180
*data,1-SD,NEWFOUNDLAND,AWHP,CVB,WTM3200,0,180
*data,1-SD,NEWFOUNDLAND,AWHP,CVB,WTM3210,0,180
*data,1-SD,NEWFOUNDLAND,AWHP,CVB,WTM3310,0,180
*data,1-SD,NEWFOUNDLAND,AWHP,FOH,FVB,0,180
*data,1-SD,NEWFOUNDLAND,AWHP,FOH,ICE_CHP,0,180
*data,1-SD,NEWFOUNDLAND,AWHP,FOH,PCM,0,180
*data,1-SD,NEWFOUNDLAND,AWHP,FOH,PV,0,180
*data,1-SD,NEWFOUNDLAND,AWHP,FOH,SCS,0,180
*data,1-SD,NEWFOUNDLAND,AWHP,FOH,SDHW,0,180
*data,1-SD,NEWFOUNDLAND,AWHP,FOH,SE_CHP,0,180
*data,1-SD,NEWFOUNDLAND,AWHP,FOH,WAM,0,180
*data,1-SD,NEWFOUNDLAND,AWHP,FOH,WTM2010,0,180
*data,1-SD,NEWFOUNDLAND,AWHP,FOH,WTM2100,0,180
*data,1-SD,NEWFOUNDLAND,AWHP,FOH,WTM2110,0,180
*data,1-SD,NEWFOUNDLAND,AWHP,FOH,WTM3000,0,180
*data,1-SD,NEWFOUNDLAND,AWHP,FOH,WTM3200,0,180
*data,1-SD,NEWFOUNDLAND,AWHP,FOH,WTM3210,0,180
*data,1-SD,NEWFOUNDLAND,AWHP,FOH,WTM3310,0,180
*data,1-SD,NEWFOUNDLAND,AWHP,FVB,ICE_CHP,0,180
*data,1-SD,NEWFOUNDLAND,AWHP,FVB,PCM,0,180
*data,1-SD,NEWFOUNDLAND,AWHP,FVB,PV,0,180
*data,1-SD,NEWFOUNDLAND,AWHP,FVB,SCS,0,180
*data,1-SD,NEWFOUNDLAND,AWHP,FVB,SDHW,0,180
*data,1-SD,NEWFOUNDLAND,AWHP,FVB,SE_CHP,0,180
*data,1-SD,NEWFOUNDLAND,AWHP,FVB,WAM,0,180
*data,1-SD,NEWFOUNDLAND,AWHP,FVB,WTM2010,0,180
*data,1-SD,NEWFOUNDLAND,AWHP,FVB,WTM2100,0,180
*data,1-SD,NEWFOUNDLAND,AWHP,FVB,WTM2110,0,180
*data,1-SD,NEWFOUNDLAND,AWHP,FVB,WTM3000,0,180
*data,1-SD,NEWFOUNDLAND,AWHP,FVB,WTM3200,0,180
*data,1-SD,NEWFOUNDLAND,AWHP,FVB,WTM3210,0,180
*data,1-SD,NEWFOUNDLAND,AWHP,FVB,WTM3310,0,180
*data,1-SD,NEWFOUNDLAND,AWHP,ICE_CHP,PCM,83,180
*data,1-SD,NEWFOUNDLAND,AWHP,ICE_CHP,PV,44,180
*data,1-SD,NEWFOUNDLAND,AWHP,ICE_CHP,SCS,59,180
*data,1-SD,NEWFOUNDLAND,AWHP,ICE_CHP,SDHW,44,180
*data,1-SD,NEWFOUNDLAND,AWHP,ICE_CHP,SE_CHP,89,180
*data,1-SD,NEWFOUNDLAND,AWHP,ICE_CHP,WAM,84,180
*data,1-SD,NEWFOUNDLAND,AWHP,ICE_CHP,WTM2010,87,180
*data,1-SD,NEWFOUNDLAND,AWHP,ICE_CHP,WTM2100,87,180
*data,1-SD,NEWFOUNDLAND,AWHP,ICE_CHP,WTM2110,87,180
*data,1-SD,NEWFOUNDLAND,AWHP,ICE_CHP,WTM3000,89,180
*data,1-SD,NEWFOUNDLAND,AWHP,ICE_CHP,WTM3200,89,180
*data,1-SD,NEWFOUNDLAND,AWHP,ICE_CHP,WTM3210,89,180
*data,1-SD,NEWFOUNDLAND,AWHP,ICE_CHP,WTM3310,89,180
*data,1-SD,NEWFOUNDLAND,AWHP,PCM,PV,39,180
*data,1-SD,NEWFOUNDLAND,AWHP,PCM,SCS,54,180
*data,1-SD,NEWFOUNDLAND,AWHP,PCM,SDHW,39,180
*data,1-SD,NEWFOUNDLAND,AWHP,PCM,SE_CHP,83,180
*data,1-SD,NEWFOUNDLAND,AWHP,PCM,WAM,79,180
*data,1-SD,NEWFOUNDLAND,AWHP,PCM,WTM2010,81,180
*data,1-SD,NEWFOUNDLAND,AWHP,PCM,WTM2100,81,180
*data,1-SD,NEWFOUNDLAND,AWHP,PCM,WTM2110,81,180
*data,1-SD,NEWFOUNDLAND,AWHP,PCM,WTM3000,83,180
*data,1-SD,NEWFOUNDLAND,AWHP,PCM,WTM3200,83,180
*data,1-SD,NEWFOUNDLAND,AWHP,PCM,WTM3210,83,180
*data,1-SD,NEWFOUNDLAND,AWHP,PCM,WTM3310,83,180
*data,1-SD,NEWFOUNDLAND,AWHP,PV,SCS,39,180
*data,1-SD,NEWFOUNDLAND,AWHP,PV,SDHW,44,180
*data,1-SD,NEWFOUNDLAND,AWHP,PV,SE_CHP,44,180
*data,1-SD,NEWFOUNDLAND,AWHP,PV,WAM,44,180
*data,1-SD,NEWFOUNDLAND,AWHP,PV,WTM2010,43,180
*data,1-SD,NEWFOUNDLAND,AWHP,PV,WTM2100,43,180
*data,1-SD,NEWFOUNDLAND,AWHP,PV,WTM2110,43,180
*data,1-SD,NEWFOUNDLAND,AWHP,PV,WTM3000,44,180
*data,1-SD,NEWFOUNDLAND,AWHP,PV,WTM3200,44,180
*data,1-SD,NEWFOUNDLAND,AWHP,PV,WTM3210,44,180
*data,1-SD,NEWFOUNDLAND,AWHP,PV,WTM3310,44,180
*data,1-SD,NEWFOUNDLAND,AWHP,SCS,SDHW,39,180
*data,1-SD,NEWFOUNDLAND,AWHP,SCS,SE_CHP,59,180
*data,1-SD,NEWFOUNDLAND,AWHP,SCS,WAM,57,180
*data,1-SD,NEWFOUNDLAND,AWHP,SCS,WTM2010,58,180
*data,1-SD,NEWFOUNDLAND,AWHP,SCS,WTM2100,58,180
*data,1-SD,NEWFOUNDLAND,AWHP,SCS,WTM2110,58,180
*data,1-SD,NEWFOUNDLAND,AWHP,SCS,WTM3000,59,180
*data,1-SD,NEWFOUNDLAND,AWHP,SCS,WTM3200,59,180
*data,1-SD,NEWFOUNDLAND,AWHP,SCS,WTM3210,59,180
*data,1-SD,NEWFOUNDLAND,AWHP,SCS,WTM3310,59,180
*data,1-SD,NEWFOUNDLAND,AWHP,SDHW,SE_CHP,44,180
*data,1-SD,NEWFOUNDLAND,AWHP,SDHW,WAM,44,180
*data,1-SD,NEWFOUNDLAND,AWHP,SDHW,WTM2010,43,180
*data,1-SD,NEWFOUNDLAND,AWHP,SDHW,WTM2100,43,180
*data,1-SD,NEWFOUNDLAND,AWHP,SDHW,WTM2110,43,180
*data,1-SD,NEWFOUNDLAND,AWHP,SDHW,WTM3000,44,180
*data,1-SD,NEWFOUNDLAND,AWHP,SDHW,WTM3200,44,180
*data,1-SD,NEWFOUNDLAND,AWHP,SDHW,WTM3210,44,180
*data,1-SD,NEWFOUNDLAND,AWHP,SDHW,WTM3310,44,180
*data,1-SD,NEWFOUNDLAND,AWHP,SE_CHP,WAM,84,180
*data,1-SD,NEWFOUNDLAND,AWHP,SE_CHP,WTM2010,87,180
*data,1-SD,NEWFOUNDLAND,AWHP,SE_CHP,WTM2100,87,180
*data,1-SD,NEWFOUNDLAND,AWHP,SE_CHP,WTM2110,87,180
*data,1-SD,NEWFOUNDLAND,AWHP,SE_CHP,WTM3000,89,180
*data,1-SD,NEWFOUNDLAND,AWHP,SE_CHP,WTM3200,89,180
*data,1-SD,NEWFOUNDLAND,AWHP,SE_CHP,WTM3210,89,180
*data,1-SD,NEWFOUNDLAND,AWHP,SE_CHP,WTM3310,89,180
*data,1-SD,NEWFOUNDLAND,AWHP,WAM,WTM2010,82,180
*data,1-SD,NEWFOUNDLAND,AWHP,WAM,WTM2100,82,180
*data,1-SD,NEWFOUNDLAND,AWHP,WAM,WTM2110,82,180
*data,1-SD,NEWFOUNDLAND,AWHP,WAM,WTM3000,84,180
*data,1-SD,NEWFOUNDLAND,AWHP,WAM,WTM3200,84,180
*data,1-SD,NEWFOUNDLAND,AWHP,WAM,WTM3210,84,180
*data,1-SD,NEWFOUNDLAND,AWHP,WAM,WTM3310,84,180
*data,1-SD,NEWFOUNDLAND,AWHP,WTM2010,WTM2100,87,180
*data,1-SD,NEWFOUNDLAND,AWHP,WTM2010,WTM2110,87,180
*data,1-SD,NEWFOUNDLAND,AWHP,WTM2010,WTM3000,87,180
*data,1-SD,NEWFOUNDLAND,AWHP,WTM2010,WTM3200,87,180
*data,1-SD,NEWFOUNDLAND,AWHP,WTM2010,WTM3210,87,180
*data,1-SD,NEWFOUNDLAND,AWHP,WTM2010,WTM3310,87,180
*data,1-SD,NEWFOUNDLAND,AWHP,WTM2100,WTM2110,87,180
*data,1-SD,NEWFOUNDLAND,AWHP,WTM2100,WTM3000,87,180
*data,1-SD,NEWFOUNDLAND,AWHP,WTM2100,WTM3200,87,180
*data,1-SD,NEWFOUNDLAND,AWHP,WTM2100,WTM3210,87,180
*data,1-SD,NEWFOUNDLAND,AWHP,WTM2100,WTM3310,87,180
*data,1-SD,NEWFOUNDLAND,AWHP,WTM2110,WTM3000,87,180
*data,1-SD,NEWFOUNDLAND,AWHP,WTM2110,WTM3200,87,180
*data,1-SD,NEWFOUNDLAND,AWHP,WTM2110,WTM3210,87,180
*data,1-SD,NEWFOUNDLAND,AWHP,WTM2110,WTM3310,87,180
*data,1-SD,NEWFOUNDLAND,AWHP,WTM3000,WTM3200,89,180
*data,1-SD,NEWFOUNDLAND,AWHP,WTM3000,WTM3210,89,180
*data,1-SD,NEWFOUNDLAND,AWHP,WTM3000,WTM3310,89,180
*data,1-SD,NEWFOUNDLAND,AWHP,WTM3200,WTM3210,89,180
*data,1-SD,NEWFOUNDLAND,AWHP,WTM3200,WTM3310,89,180
*data,1-SD,NEWFOUNDLAND,AWHP,WTM3210,WTM3310,89,180
*data,1-SD,NEWFOUNDLAND,BIPVT,0,0,81,180
*data,1-SD,NEWFOUNDLAND,BIPVT,CVB,0,0,180
*data,1-SD,NEWFOUNDLAND,BIPVT,FOH,0,0,180
*data,1-SD,NEWFOUNDLAND,BIPVT,FVB,0,0,180
*data,1-SD,NEWFOUNDLAND,BIPVT,ICE_CHP,0,36,180
*data,1-SD,NEWFOUNDLAND,BIPVT,PCM,0,74,180
*data,1-SD,NEWFOUNDLAND,BIPVT,PV,0,71,180
*data,1-SD,NEWFOUNDLAND,BIPVT,SCS,0,33,180
*data,1-SD,NEWFOUNDLAND,BIPVT,SDHW,0,71,180
*data,1-SD,NEWFOUNDLAND,BIPVT,SE_CHP,0,36,180
*data,1-SD,NEWFOUNDLAND,BIPVT,WAM,0,79,180
*data,1-SD,NEWFOUNDLAND,BIPVT,WTM2010,0,76,180
*data,1-SD,NEWFOUNDLAND,BIPVT,WTM2100,0,76,180
*data,1-SD,NEWFOUNDLAND,BIPVT,WTM2110,0,76,180
*data,1-SD,NEWFOUNDLAND,BIPVT,WTM3000,0,81,180
*data,1-SD,NEWFOUNDLAND,BIPVT,WTM3200,0,81,180
*data,1-SD,NEWFOUNDLAND,BIPVT,WTM3210,0,81,180
*data,1-SD,NEWFOUNDLAND,BIPVT,WTM3310,0,81,180
*data,1-SD,NEWFOUNDLAND,BIPVT,CVB,FOH,0,180
*data,1-SD,NEWFOUNDLAND,BIPVT,CVB,FVB,0,180
*data,1-SD,NEWFOUNDLAND,BIPVT,CVB,ICE_CHP,0,180
*data,1-SD,NEWFOUNDLAND,BIPVT,CVB,PCM,0,180
*data,1-SD,NEWFOUNDLAND,BIPVT,CVB,PV,0,180
*data,1-SD,NEWFOUNDLAND,BIPVT,CVB,SCS,0,180
*data,1-SD,NEWFOUNDLAND,BIPVT,CVB,SDHW,0,180
*data,1-SD,NEWFOUNDLAND,BIPVT,CVB,SE_CHP,0,180
*data,1-SD,NEWFOUNDLAND,BIPVT,CVB,WAM,0,180
*data,1-SD,NEWFOUNDLAND,BIPVT,CVB,WTM2010,0,180
*data,1-SD,NEWFOUNDLAND,BIPVT,CVB,WTM2100,0,180
*data,1-SD,NEWFOUNDLAND,BIPVT,CVB,WTM2110,0,180
*data,1-SD,NEWFOUNDLAND,BIPVT,CVB,WTM3000,0,180
*data,1-SD,NEWFOUNDLAND,BIPVT,CVB,WTM3200,0,180
*data,1-SD,NEWFOUNDLAND,BIPVT,CVB,WTM3210,0,180
*data,1-SD,NEWFOUNDLAND,BIPVT,CVB,WTM3310,0,180
*data,1-SD,NEWFOUNDLAND,BIPVT,FOH,FVB,0,180
*data,1-SD,NEWFOUNDLAND,BIPVT,FOH,ICE_CHP,0,180
*data,1-SD,NEWFOUNDLAND,BIPVT,FOH,PCM,0,180
*data,1-SD,NEWFOUNDLAND,BIPVT,FOH,PV,0,180
*data,1-SD,NEWFOUNDLAND,BIPVT,FOH,SCS,0,180
*data,1-SD,NEWFOUNDLAND,BIPVT,FOH,SDHW,0,180
*data,1-SD,NEWFOUNDLAND,BIPVT,FOH,SE_CHP,0,180
*data,1-SD,NEWFOUNDLAND,BIPVT,FOH,WAM,0,180
*data,1-SD,NEWFOUNDLAND,BIPVT,FOH,WTM2010,0,180
*data,1-SD,NEWFOUNDLAND,BIPVT,FOH,WTM2100,0,180
*data,1-SD,NEWFOUNDLAND,BIPVT,FOH,WTM2110,0,180
*data,1-SD,NEWFOUNDLAND,BIPVT,FOH,WTM3000,0,180
*data,1-SD,NEWFOUNDLAND,BIPVT,FOH,WTM3200,0,180
*data,1-SD,NEWFOUNDLAND,BIPVT,FOH,WTM3210,0,180
*data,1-SD,NEWFOUNDLAND,BIPVT,FOH,WTM3310,0,180
*data,1-SD,NEWFOUNDLAND,BIPVT,FVB,ICE_CHP,0,180
*data,1-SD,NEWFOUNDLAND,BIPVT,FVB,PCM,0,180
*data,1-SD,NEWFOUNDLAND,BIPVT,FVB,PV,0,180
*data,1-SD,NEWFOUNDLAND,BIPVT,FVB,SCS,0,180
*data,1-SD,NEWFOUNDLAND,BIPVT,FVB,SDHW,0,180
*data,1-SD,NEWFOUNDLAND,BIPVT,FVB,SE_CHP,0,180
*data,1-SD,NEWFOUNDLAND,BIPVT,FVB,WAM,0,180
*data,1-SD,NEWFOUNDLAND,BIPVT,FVB,WTM2010,0,180
*data,1-SD,NEWFOUNDLAND,BIPVT,FVB,WTM2100,0,180
*data,1-SD,NEWFOUNDLAND,BIPVT,FVB,WTM2110,0,180
*data,1-SD,NEWFOUNDLAND,BIPVT,FVB,WTM3000,0,180
*data,1-SD,NEWFOUNDLAND,BIPVT,FVB,WTM3200,0,180
*data,1-SD,NEWFOUNDLAND,BIPVT,FVB,WTM3210,0,180
*data,1-SD,NEWFOUNDLAND,BIPVT,FVB,WTM3310,0,180
*data,1-SD,NEWFOUNDLAND,BIPVT,ICE_CHP,PCM,30,180
*data,1-SD,NEWFOUNDLAND,BIPVT,ICE_CHP,PV,34,180
*data,1-SD,NEWFOUNDLAND,BIPVT,ICE_CHP,SCS,33,180
*data,1-SD,NEWFOUNDLAND,BIPVT,ICE_CHP,SDHW,34,180
*data,1-SD,NEWFOUNDLAND,BIPVT,ICE_CHP,SE_CHP,36,180
*data,1-SD,NEWFOUNDLAND,BIPVT,ICE_CHP,WAM,35,180
*data,1-SD,NEWFOUNDLAND,BIPVT,ICE_CHP,WTM2010,35,180
*data,1-SD,NEWFOUNDLAND,BIPVT,ICE_CHP,WTM2100,35,180
*data,1-SD,NEWFOUNDLAND,BIPVT,ICE_CHP,WTM2110,35,180
*data,1-SD,NEWFOUNDLAND,BIPVT,ICE_CHP,WTM3000,36,180
