*header,hse_type,province,upgrade1,upgrade2,upgrade3,eligible,total
*data,1-SD,NOVA SCOTIA,BIPVT,0,0,237,630
*data,1-SD,NOVA SCOTIA,BIPVT,CVB,0,2,630
*data,1-SD,NOVA SCOTIA,BIPVT,FOH,0,2,630
*data,1-SD,NOVA SCOTIA,BIPVT,FVB,0,2,630
*data,1-SD,NOVA SCOTIA,BIPVT,PCM,0,223,630
*data,1-SD,NOVA SCOTIA,BIPVT,PV,0,237,630
*data,1-SD,NOVA SCOTIA,BIPVT,SDHW,0,237,630
*data,1-SD,NOVA SCOTIA,BIPVT,WAM,0,222,630
*data,1-SD,NOVA SCOTIA,BIPVT,WTM2010,0,220,630
*data,1-SD,NOVA SCOTIA,BIPVT,WTM2100,0,220,630
*data,1-SD,NOVA SCOTIA,BIPVT,WTM2110,0,220,630
*data,1-SD,NOVA SCOTIA,BIPVT,WTM3000,0,237,630
*data,1-SD,NOVA SCOTIA,BIPVT,WTM3200,0,237,630
*data,1-SD,NOVA SCOTIA,BIPVT,WTM3210,0,237,630
*data,1-SD,NOVA SCOTIA,BIPVT,WTM3310,0,237,630
*data,1-SD,NOVA SCOTIA,BIPVT,CVB,FOH,2,630
*data,1-SD,NOVA SCOTIA,BIPVT,CVB,FVB,2,630
*data,1-SD,NOVA SCOTIA,BIPVT,CVB,PCM,2,630
*data,1-SD,NOVA SCOTIA,BIPVT,CVB,PV,2,630
*data,1-SD,NOVA SCOTIA,BIPVT,CVB,SDHW,2,630
*data,1-SD,NOVA SCOTIA,BIPVT,CVB,WAM,2,630
*data,1-SD,NOVA SCOTIA,BIPVT,CVB,WTM2010,2,630
*data,1-SD,NOVA SCOTIA,BIPVT,CVB,WTM2100,2,630
*data,1-SD,NOVA SCOTIA,BIPVT,CVB,WTM2110,2,630
*data,1-SD,NOVA SCOTIA,BIPVT,CVB,WTM3000,2,630
*data,1-SD,NOVA SCOTIA,BIPVT,CVB,WTM3200,2,630
*data,1-SD,NOVA SCOTIA,BIPVT,CVB,WTM3210,2,630
*data,1-SD,NOVA SCOTIA,BIPVT,CVB,WTM3310,2,630
*data,1-SD,NOVA SCOTIA,BIPVT,FOH,FVB,2,630
*data,1-SD,NOVA SCOTIA,BIPVT,FOH,PCM,2,630
*data,1-SD,NOVA SCOTIA,BIPVT,FOH,PV,2,630
*data,1-SD,NOVA SCOTIA,BIPVT,FOH,SDHW,2,630
*data,1-SD,NOVA SCOTIA,BIPVT,FOH,WAM,2,630
*data,1-SD,NOVA SCOTIA,BIPVT,FOH,WTM2010,2,630
*data,1-SD,NOVA SCOTIA,BIPVT,FOH,WTM2100,2,630
*data,1-SD,NOVA SCOTIA,BIPVT,FOH,WTM2110,2,630
*data,1-SD,NOVA SCOTIA,BIPVT,FOH,WTM3000,2,630
*data,1-SD,NOVA SCOTIA,BIPVT,FOH,WTM3200,2,630
*data,1-SD,NOVA SCOTIA,BIPVT,FOH,WTM3210,2,630
*data,1-SD,NOVA SCOTIA,BIPVT,FOH,WTM3310,2,630
*data,1-SD,NOVA SCOTIA,BIPVT,FVB,PCM,2,630
*data,1-SD,NOVA SCOTIA,BIPVT,FVB,PV,2,630
*data,1-SD,NOVA SCOTIA,BIPVT,FVB,SDHW,2,630
*data,1-SD,NOVA SCOTIA,BIPVT,FVB,WAM,2,630
*data,1-SD,NOVA SCOTIA,BIPVT,FVB,WTM2010,2,630
*data,1-SD,NOVA SCOTIA,BIPVT,FVB,WTM2100,2,630
*data,1-SD,NOVA SCOTIA,BIPVT,FVB,WTM2110,2,630
*data,1-SD,NOVA SCOTIA,BIPVT,FVB,WTM3000,2,630
*data,1-SD,NOVA SCOTIA,BIPVT,FVB,WTM3200,2,630
*data,1-SD,NOVA SCOTIA,BIPVT,FVB,WTM3210,2,630
*data,1-SD,NOVA SCOTIA,BIPVT,FVB,WTM3310,2,630
*data,1-SD,NOVA SCOTIA,BIPVT,PCM,PV,223,630
*data,1-SD,NOVA SCOTIA,BIPVT,PCM,SDHW,223,630
*data,1-SD,NOVA SCOTIA,BIPVT,PCM,WAM,209,630
*data,1-SD,NOVA SCOTIA,BIPVT,PCM,WTM2010,206,630
*data,1-SD,NOVA SCOTIA,BIPVT,PCM,WTM2100,206,630
*data,1-SD,NOVA SCOTIA,BIPVT,PCM,WTM2110,206,630
*data,1-SD,NOVA SCOTIA,BIPVT,PCM,WTM3000,223,630
*data,1-SD,NOVA SCOTIA,BIPVT,PCM,WTM3200,223,630
*data,1-SD,NOVA SCOTIA,BIPVT,PCM,WTM3210,223,630
*data,1-SD,NOVA SCOTIA,BIPVT,PCM,WTM3310,223,630
*data,1-SD,NOVA SCOTIA,BIPVT,PV,SDHW,237,630
*data,1-SD,NOVA SCOTIA,BIPVT,PV,WAM,222,630
*data,1-SD,NOVA SCOTIA,BIPVT,PV,WTM2010,220,630
*data,1-SD,NOVA SCOTIA,BIPVT,PV,WTM2100,220,630
*data,1-SD,NOVA SCOTIA,BIPVT,PV,WTM2110,220,630
*data,1-SD,NOVA SCOTIA,BIPVT,PV,WTM3000,237,630
*data,1-SD,NOVA SCOTIA,BIPVT,PV,WTM3200,237,630
*data,1-SD,NOVA SCOTIA,BIPVT,PV,WTM3210,237,630
*data,1-SD,NOVA SCOTIA,BIPVT,PV,WTM3310,237,630
*data,1-SD,NOVA SCOTIA,BIPVT,SDHW,WAM,222,630
*data,1-SD,NOVA SCOTIA,BIPVT,SDHW,WTM2010,220,630
*data,1-SD,NOVA SCOTIA,BIPVT,SDHW,WTM2100,220,630
*data,1-SD,NOVA SCOTIA,BIPVT,SDHW,WTM2110,220,630
*data,1-SD,NOVA SCOTIA,BIPVT,SDHW,WTM3000,237,630
*data,1-SD,NOVA SCOTIA,BIPVT,SDHW,WTM3200,237,630
*data,1-SD,NOVA SCOTIA,BIPVT,SDHW,WTM3210,237,630
*data,1-SD,NOVA SCOTIA,BIPVT,SDHW,WTM3310,237,630
*data,1-SD,NOVA SCOTIA,BIPVT,WAM,WTM2010,207,630
*data,1-SD,NOVA SCOTIA,BIPVT,WAM,WTM2100,207,630
*data,1-SD,NOVA SCOTIA,BIPVT,WAM,WTM2110,207,630
*data,1-SD,NOVA SCOTIA,BIPVT,WAM,WTM3000,222,630
*data,1-SD,NOVA SCOTIA,BIPVT,WAM,WTM3200,222,630
*data,1-SD,NOVA SCOTIA,BIPVT,WAM,WTM3210,222,630
*data,1-SD,NOVA SCOTIA,BIPVT,WAM,WTM3310,222,630
*data,1-SD,NOVA SCOTIA,BIPVT,WTM2010,WTM2100,220,630
*data,1-SD,NOVA SCOTIA,BIPVT,WTM2010,WTM2110,220,630
*data,1-SD,NOVA SCOTIA,BIPVT,WTM2010,WTM3000,220,630
*data,1-SD,NOVA SCOTIA,BIPVT,WTM2010,WTM3200,220,630
*data,1-SD,NOVA SCOTIA,BIPVT,WTM2010,WTM3210,220,630
*data,1-SD,NOVA SCOTIA,BIPVT,WTM2010,WTM3310,220,630
*data,1-SD,NOVA SCOTIA,BIPVT,WTM2100,WTM2110,220,630
*data,1-SD,NOVA SCOTIA,BIPVT,WTM2100,WTM3000,220,630
*data,1-SD,NOVA SCOTIA,BIPVT,WTM2100,WTM3200,220,630
*data,1-SD,NOVA SCOTIA,BIPVT,WTM2100,WTM3210,220,630
*data,1-SD,NOVA SCOTIA,BIPVT,WTM2100,WTM3310,220,630
*data,1-SD,NOVA SCOTIA,BIPVT,WTM2110,WTM3000,220,630
*data,1-SD,NOVA SCOTIA,BIPVT,WTM2110,WTM3200,220,630
*data,1-SD,NOVA SCOTIA,BIPVT,WTM2110,WTM3210,220,630
*data,1-SD,NOVA SCOTIA,BIPVT,WTM2110,WTM3310,220,630
*data,1-SD,NOVA SCOTIA,BIPVT,WTM3000,WTM3200,237,630
*data,1-SD,NOVA SCOTIA,BIPVT,WTM3000,WTM3210,237,630
*data,1-SD,NOVA SCOTIA,BIPVT,WTM3000,WTM3310,237,630
*data,1-SD,NOVA SCOTIA,BIPVT,WTM3200,WTM3210,237,630
*data,1-SD,NOVA SCOTIA,BIPVT,WTM3200,WTM3310,237,630
*data,1-SD,NOVA SCOTIA,BIPVT,WTM3210,WTM3310,237,630
*data,1-SD,NOVA SCOTIA,CVB,0,0,3,630
*data,1-SD,NOVA SCOTIA,CVB,FOH,0,3,630
*data,1-SD,NOVA SCOTIA,CVB,FVB,0,3,630
*data,1-SD,NOVA SCOTIA,CVB,PCM,0,3,630
*data,1-SD,NOVA SCOTIA,CVB,PV,0,2,630
*data,1-SD,NOVA SCOTIA,CVB,SDHW,0,2,630
*data,1-SD,NOVA SCOTIA,CVB,WAM,0,3,630
*data,1-SD,NOVA SCOTIA,CVB,WTM2010,0,3,630
*data,1-SD,NOVA SCOTIA,CVB,WTM2100,0,3,630
*data,1-SD,NOVA SCOTIA,CVB,WTM2110,0,3,630
*data,1-SD,NOVA SCOTIA,CVB,WTM3000,0,3,630
*data,1-SD,NOVA SCOTIA,CVB,WTM3200,0,3,630
*data,1-SD,NOVA SCOTIA,CVB,WTM3210,0,3,630
*data,1-SD,NOVA SCOTIA,CVB,WTM3310,0,3,630
*data,1-SD,NOVA SCOTIA,CVB,FOH,FVB,3,630
*data,1-SD,NOVA SCOTIA,CVB,FOH,PCM,3,630
*data,1-SD,NOVA SCOTIA,CVB,FOH,PV,2,630
*data,1-SD,NOVA SCOTIA,CVB,FOH,SDHW,2,630
*data,1-SD,NOVA SCOTIA,CVB,FOH,WAM,3,630
*data,1-SD,NOVA SCOTIA,CVB,FOH,WTM2010,3,630
*data,1-SD,NOVA SCOTIA,CVB,FOH,WTM2100,3,630
*data,1-SD,NOVA SCOTIA,CVB,FOH,WTM2110,3,630
*data,1-SD,NOVA SCOTIA,CVB,FOH,WTM3000,3,630
*data,1-SD,NOVA SCOTIA,CVB,FOH,WTM3200,3,630
*data,1-SD,NOVA SCOTIA,CVB,FOH,WTM3210,3,630
*data,1-SD,NOVA SCOTIA,CVB,FOH,WTM3310,3,630
*data,1-SD,NOVA SCOTIA,CVB,FVB,PCM,3,630
*data,1-SD,NOVA SCOTIA,CVB,FVB,PV,2,630
*data,1-SD,NOVA SCOTIA,CVB,FVB,SDHW,2,630
*data,1-SD,NOVA SCOTIA,CVB,FVB,WAM,3,630
*data,1-SD,NOVA SCOTIA,CVB,FVB,WTM2010,3,630
*data,1-SD,NOVA SCOTIA,CVB,FVB,WTM2100,3,630
*data,1-SD,NOVA SCOTIA,CVB,FVB,WTM2110,3,630
*data,1-SD,NOVA SCOTIA,CVB,FVB,WTM3000,3,630
*data,1-SD,NOVA SCOTIA,CVB,FVB,WTM3200,3,630
*data,1-SD,NOVA SCOTIA,CVB,FVB,WTM3210,3,630
*data,1-SD,NOVA SCOTIA,CVB,FVB,WTM3310,3,630
*data,1-SD,NOVA SCOTIA,CVB,PCM,PV,2,630
*data,1-SD,NOVA SCOTIA,CVB,PCM,SDHW,2,630
*data,1-SD,NOVA SCOTIA,CVB,PCM,WAM,3,630
*data,1-SD,NOVA SCOTIA,CVB,PCM,WTM2010,3,630
*data,1-SD,NOVA SCOTIA,CVB,PCM,WTM2100,3,630
*data,1-SD,NOVA SCOTIA,CVB,PCM,WTM2110,3,630
*data,1-SD,NOVA SCOTIA,CVB,PCM,WTM3000,3,630
*data,1-SD,NOVA SCOTIA,CVB,PCM,WTM3200,3,630
*data,1-SD,NOVA SCOTIA,CVB,PCM,WTM3210,3,630
*data,1-SD,NOVA SCOTIA,CVB,PCM,WTM3310,3,630
*data,1-SD,NOVA SCOTIA,CVB,PV,SDHW,2,630
*data,1-SD,NOVA SCOTIA,CVB,PV,WAM,2,630
*data,1-SD,NOVA SCOTIA,CVB,PV,WTM2010,2,630
*data,1-SD,NOVA SCOTIA,CVB,PV,WTM2100,2,630
*data,1-SD,NOVA SCOTIA,CVB,PV,WTM2110,2,630
*data,1-SD,NOVA SCOTIA,CVB,PV,WTM3000,2,630
*data,1-SD,NOVA SCOTIA,CVB,PV,WTM3200,2,630
*data,1-SD,NOVA SCOTIA,CVB,PV,WTM3210,2,630
*data,1-SD,NOVA SCOTIA,CVB,PV,WTM3310,2,630
*data,1-SD,NOVA SCOTIA,CVB,SDHW,WAM,2,630
*data,1-SD,NOVA SCOTIA,CVB,SDHW,WTM2010,2,630
*data,1-SD,NOVA SCOTIA,CVB,SDHW,WTM2100,2,630
*data,1-SD,NOVA SCOTIA,CVB,SDHW,WTM2110,2,630
*data,1-SD,NOVA SCOTIA,CVB,SDHW,WTM3000,2,630
*data,1-SD,NOVA SCOTIA,CVB,SDHW,WTM3200,2,630
*data,1-SD,NOVA SCOTIA,CVB,SDHW,WTM3210,2,630
*data,1-SD,NOVA SCOTIA,CVB,SDHW,WTM3310,2,630
*data,1-SD,NOVA SCOTIA,CVB,WAM,WTM2010,3,630
*data,1-SD,NOVA SCOTIA,CVB,WAM,WTM2100,3,630
*data,1-SD,NOVA SCOTIA,CVB,WAM,WTM2110,3,630
*data,1-SD,NOVA SCOTIA,CVB,WAM,WTM3000,3,630
*data,1-SD,NOVA SCOTIA,CVB,WAM,WTM3200,3,630
*data,1-SD,NOVA SCOTIA,CVB,WAM,WTM3210,3,630
*data,1-SD,NOVA SCOTIA,CVB,WAM,WTM3310,3,630
*data,1-SD,NOVA SCOTIA,CVB,WTM2010,WTM2100,3,630
*data,1-SD,NOVA SCOTIA,CVB,WTM2010,WTM2110,3,630
*data,1-SD,NOVA SCOTIA,CVB,WTM2010,WTM3000,3,630
*data,1-SD,NOVA SCOTIA,CVB,WTM2010,WTM3200,3,630
*data,1-SD,NOVA SCOTIA,CVB,WTM2010,WTM3210,3,630
*data,1-SD,NOVA SCOTIA,CVB,WTM2010,WTM3310,3,630
*data,1-SD,NOVA SCOTIA,CVB,WTM2100,WTM2110,3,630
*data,1-SD,NOVA SCOTIA,CVB,WTM2100,WTM3000,3,630
*data,1-SD,NOVA SCOTIA,CVB,WTM2100,WTM3200,3,630
*data,1-SD,NOVA SCOTIA,CVB,WTM2100,WTM3210,3,630
*data,1-SD,NOVA SCOTIA,CVB,WTM2100,WTM3310,3,630
*data,1-SD,NOVA SCOTIA,CVB,WTM2110,WTM3000,3,630
*data,1-SD,NOVA SCOTIA,CVB,WTM2110,WTM3200,3,630
*data,1-SD,NOVA SCOTIA,CVB,WTM2110,WTM3210,3,630
*data,1-SD,NOVA SCOTIA,CVB,WTM2110,WTM3310,3,630
*data,1-SD,NOVA SCOTIA,CVB,WTM3000,WTM3200,3,630
*data,1-SD,NOVA SCOTIA,CVB,WTM3000,WTM3210,3,630
*data,1-SD,NOVA SCOTIA,CVB,WTM3000,WTM3310,3,630
*data,1-SD,NOVA SCOTIA,CVB,WTM3200,WTM3210,3,630
*data,1-SD,NOVA SCOTIA,CVB,WTM3200,WTM3310,3,630
*data,1-SD,NOVA SCOTIA,CVB,WTM3210,WTM3310,3,630
*data,1-SD,NOVA SCOTIA,FOH,0,0,3,630
*data,1-SD,NOVA SCOTIA,FOH,FVB,0,3,630
*data,1-SD,NOVA SCOTIA,FOH,PCM,0,3,630
*data,1-SD,NOVA SCOTIA,FOH,PV,0,2,630
*data,1-SD,NOVA SCOTIA,FOH,SDHW,0,2,630
*data,1-SD,NOVA SCOTIA,FOH,WAM,0,3,630
*data,1-SD,NOVA SCOTIA,FOH,WTM2010,0,3,630
*data,1-SD,NOVA SCOTIA,FOH,WTM2100,0,3,630
*data,1-SD,NOVA SCOTIA,FOH,WTM2110,0,3,630
*data,1-SD,NOVA SCOTIA,FOH,WTM3000,0,3,630
*data,1-SD,NOVA SCOTIA,FOH,WTM3200,0,3,630
*data,1-SD,NOVA SCOTIA,FOH,WTM3210,0,3,630
*data,1-SD,NOVA SCOTIA,FOH,WTM3310,0,3,630
*data,1-SD,NOVA SCOTIA,FOH,FVB,PCM,3,630
*data,1-SD,NOVA SCOTIA,FOH,FVB,PV,2,630
*data,1-SD,NOVA SCOTIA,FOH,FVB,SDHW,2,630
*data,1-SD,NOVA SCOTIA,FOH,FVB,WAM,3,630
*data,1-SD,NOVA SCOTIA,FOH,FVB,WTM2010,3,630
*data,1-SD,NOVA SCOTIA,FOH,FVB,WTM2100,3,630
*data,1-SD,NOVA SCOTIA,FOH,FVB,WTM2110,3,630
*data,1-SD,NOVA SCOTIA,FOH,FVB,WTM3000,3,630
*data,1-SD,NOVA SCOTIA,FOH,FVB,WTM3200,3,630
*data,1-SD,NOVA SCOTIA,FOH,FVB,WTM3210,3,630
*data,1-SD,NOVA SCOTIA,FOH,FVB,WTM3310,3,630
*data,1-SD,NOVA SCOTIA,FOH,PCM,PV,2,630
*data,1-SD,NOVA SCOTIA,FOH,PCM,SDHW,2,630
*data,1-SD,NOVA SCOTIA,FOH,PCM,WAM,3,630
