*header,hse_type,province,upgrade1,upgrade2,upgrade3,eligible,total
*data,1-SD,ONTARIO,AWHP,0,0,4857,5404
*data,1-SD,ONTARIO,AWHP,BIPVT,0,1607,5404
*data,1-SD,ONTARIO,AWHP,CVB,0,2666,5404
*data,1-SD,ONTARIO,AWHP,FOH,0,2558,5404
*data,1-SD,ONTARIO,AWHP,FVB,0,2652,5404
*data,1-SD,ONTARIO,AWHP,ICE_CHP,0,4857,5404
*data,1-SD,ONTARIO,AWHP,PCM,0,4620,5404
*data,1-SD,ONTARIO,AWHP,PV,0,1556,5404
*data,1-SD,ONTARIO,AWHP,SCS,0,2353,5404
*data,1-SD,ONTARIO,AWHP,SDHW,0,1556,5404
*data,1-SD,ONTARIO,AWHP,SE_CHP,0,4857,5404
*data,1-SD,ONTARIO,AWHP,WAM,0,4358,5404
*data,1-SD,ONTARIO,AWHP,WTM2010,0,4235,5404
*data,1-SD,ONTARIO,AWHP,WTM2100,0,4236,5404
*data,1-SD,ONTARIO,AWHP,WTM2110,0,4236,5404
*data,1-SD,ONTARIO,AWHP,WTM3000,0,4837,5404
*data,1-SD,ONTARIO,AWHP,WTM3200,0,4846,5404
*data,1-SD,ONTARIO,AWHP,WTM3210,0,4857,5404
*data,1-SD,ONTARIO,AWHP,WTM3310,0,4857,5404
*data,1-SD,ONTARIO,AWHP,BIPVT,CVB,822,5404
*data,1-SD,ONTARIO,AWHP,BIPVT,FOH,791,5404
*data,1-SD,ONTARIO,AWHP,BIPVT,FVB,819,5404
*data,1-SD,ONTARIO,AWHP,BIPVT,ICE_CHP,1607,5404
*data,1-SD,ONTARIO,AWHP,BIPVT,PCM,1537,5404
*data,1-SD,ONTARIO,AWHP,BIPVT,PV,1113,5404
*data,1-SD,ONTARIO,AWHP,BIPVT,SCS,1121,5404
*data,1-SD,ONTARIO,AWHP,BIPVT,SDHW,1113,5404
*data,1-SD,ONTARIO,AWHP,BIPVT,SE_CHP,1607,5404
*data,1-SD,ONTARIO,AWHP,BIPVT,WAM,1489,5404
*data,1-SD,ONTARIO,AWHP,BIPVT,WTM2010,1391,5404
*data,1-SD,ONTARIO,AWHP,BIPVT,WTM2100,1391,5404
*data,1-SD,ONTARIO,AWHP,BIPVT,WTM2110,1391,5404
*data,1-SD,ONTARIO,AWHP,BIPVT,WTM3000,1599,5404
*data,1-SD,ONTARIO,AWHP,BIPVT,WTM3200,1603,5404
*data,1-SD,ONTARIO,AWHP,BIPVT,WTM3210,1607,5404
*data,1-SD,ONTARIO,AWHP,BIPVT,WTM3310,1607,5404
*data,1-SD,ONTARIO,AWHP,CVB,FOH,2558,5404
*data,1-SD,ONTARIO,AWHP,CVB,FVB,2652,5404
*data,1-SD,ONTARIO,AWHP,CVB,ICE_CHP,2666,5404
*data,1-SD,ONTARIO,AWHP,CVB,PCM,2558,5404
*data,1-SD,ONTARIO,AWHP,CVB,PV,792,5404
*data,1-SD,ONTARIO,AWHP,CVB,SCS,1281,5404
*data,1-SD,ONTARIO,AWHP,CVB,SDHW,792,5404
*data,1-SD,ONTARIO,AWHP,CVB,SE_CHP,2666,5404
*data,1-SD,ONTARIO,AWHP,CVB,WAM,2392,5404
*data,1-SD,ONTARIO,AWHP,CVB,WTM2010,2288,5404
*data,1-SD,ONTARIO,AWHP,CVB,WTM2100,2289,5404
*data,1-SD,ONTARIO,AWHP,CVB,WTM2110,2289,5404
*data,1-SD,ONTARIO,AWHP,CVB,WTM3000,2655,5404
*data,1-SD,ONTARIO,AWHP,CVB,WTM3200,2663,5404
*data,1-SD,ONTARIO,AWHP,CVB,WTM3210,2666,5404
*data,1-SD,ONTARIO,AWHP,CVB,WTM3310,2666,5404
*data,1-SD,ONTARIO,AWHP,FOH,FVB,2544,5404
*data,1-SD,ONTARIO,AWHP,FOH,ICE_CHP,2558,5404
*data,1-SD,ONTARIO,AWHP,FOH,PCM,2558,5404
*data,1-SD,ONTARIO,AWHP,FOH,PV,762,5404
*data,1-SD,ONTARIO,AWHP,FOH,SCS,1227,5404
*data,1-SD,ONTARIO,AWHP,FOH,SDHW,762,5404
*data,1-SD,ONTARIO,AWHP,FOH,SE_CHP,2558,5404
*data,1-SD,ONTARIO,AWHP,FOH,WAM,2321,5404
*data,1-SD,ONTARIO,AWHP,FOH,WTM2010,2198,5404
*data,1-SD,ONTARIO,AWHP,FOH,WTM2100,2199,5404
*data,1-SD,ONTARIO,AWHP,FOH,WTM2110,2199,5404
*data,1-SD,ONTARIO,AWHP,FOH,WTM3000,2547,5404
*data,1-SD,ONTARIO,AWHP,FOH,WTM3200,2555,5404
*data,1-SD,ONTARIO,AWHP,FOH,WTM3210,2558,5404
*data,1-SD,ONTARIO,AWHP,FOH,WTM3310,2558,5404
*data,1-SD,ONTARIO,AWHP,FVB,ICE_CHP,2652,5404
*data,1-SD,ONTARIO,AWHP,FVB,PCM,2544,5404
*data,1-SD,ONTARIO,AWHP,FVB,PV,785,5404
*data,1-SD,ONTARIO,AWHP,FVB,SCS,1274,5404
*data,1-SD,ONTARIO,AWHP,FVB,SDHW,785,5404
*data,1-SD,ONTARIO,AWHP,FVB,SE_CHP,2652,5404
*data,1-SD,ONTARIO,AWHP,FVB,WAM,2385,5404
*data,1-SD,ONTARIO,AWHP,FVB,WTM2010,2275,5404
*data,1-SD,ONTARIO,AWHP,FVB,WTM2100,2276,5404
*data,1-SD,ONTARIO,AWHP,FVB,WTM2110,2276,5404
*data,1-SD,ONTARIO,AWHP,FVB,WTM3000,2641,5404
*data,1-SD,ONTARIO,AWHP,FVB,WTM3200,2649,5404
*data,1-SD,ONTARIO,AWHP,FVB,WTM3210,2652,5404
*data,1-SD,ONTARIO,AWHP,FVB,WTM3310,2652,5404
*data,1-SD,ONTARIO,AWHP,ICE_CHP,PCM,4620,5404
*data,1-SD,ONTARIO,AWHP,ICE_CHP,PV,1556,5404
*data,1-SD,ONTARIO,AWHP,ICE_CHP,SCS,2353,5404
*data,1-SD,ONTARIO,AWHP,ICE_CHP,SDHW,1556,5404
*data,1-SD,ONTARIO,AWHP,ICE_CHP,SE_CHP,4857,5404
*data,1-SD,ONTARIO,AWHP,ICE_CHP,WAM,4358,5404
*data,1-SD,ONTARIO,AWHP,ICE_CHP,WTM2010,4235,5404
*data,1-SD,ONTARIO,AWHP,ICE_CHP,WTM2100,4236,5404
*data,1-SD,ONTARIO,AWHP,ICE_CHP,WTM2110,4236,5404
*data,1-SD,ONTARIO,AWHP,ICE_CHP,WTM3000,4837,5404
*data,1-SD,ONTARIO,AWHP,ICE_CHP,WTM3200,4846,5404
*data,1-SD,ONTARIO,AWHP,ICE_CHP,WTM3210,4857,5404
*data,1-SD,ONTARIO,AWHP,ICE_CHP,WTM3310,4857,5404
*data,1-SD,ONTARIO,AWHP,PCM,PV,1486,5404
*data,1-SD,ONTARIO,AWHP,PCM,SCS,2233,5404
*data,1-SD,ONTARIO,AWHP,PCM,SDHW,1486,5404
*data,1-SD,ONTARIO,AWHP,PCM,SE_CHP,4620,5404
*data,1-SD,ONTARIO,AWHP,PCM,WAM,4194,5404
*data,1-SD,ONTARIO,AWHP,PCM,WTM2010,4032,5404
*data,1-SD,ONTARIO,AWHP,PCM,WTM2100,4033,5404
*data,1-SD,ONTARIO,AWHP,PCM,WTM2110,4033,5404
*data,1-SD,ONTARIO,AWHP,PCM,WTM3000,4602,5404
*data,1-SD,ONTARIO,AWHP,PCM,WTM3200,4610,5404
*data,1-SD,ONTARIO,AWHP,PCM,WTM3210,4620,5404
*data,1-SD,ONTARIO,AWHP,PCM,WTM3310,4620,5404
*data,1-SD,ONTARIO,AWHP,PV,SCS,1356,5404
*data,1-SD,ONTARIO,AWHP,PV,SDHW,1556,5404
*data,1-SD,ONTARIO,AWHP,PV,SE_CHP,1556,5404
*data,1-SD,ONTARIO,AWHP,PV,WAM,1412,5404
*data,1-SD,ONTARIO,AWHP,PV,WTM2010,1356,5404
*data,1-SD,ONTARIO,AWHP,PV,WTM2100,1356,5404
*data,1-SD,ONTARIO,AWHP,PV,WTM2110,1356,5404
*data,1-SD,ONTARIO,AWHP,PV,WTM3000,1549,5404
*data,1-SD,ONTARIO,AWHP,PV,WTM3200,1554,5404
*data,1-SD,ONTARIO,AWHP,PV,WTM3210,1556,5404
*data,1-SD,ONTARIO,AWHP,PV,WTM3310,1556,5404
*data,1-SD,ONTARIO,AWHP,SCS,SDHW,1356,5404
*data,1-SD,ONTARIO,AWHP,SCS,SE_CHP,2353,5404
*data,1-SD,ONTARIO,AWHP,SCS,WAM,2165,5404
*data,1-SD,ONTARIO,AWHP,SCS,WTM2010,2060,5404
*data,1-SD,ONTARIO,AWHP,SCS,WTM2100,2061,5404
