*header,hse_type,province,upgrade1,upgrade2,upgrade3,eligible,total
*data,1-SD,PRINCE EDWARD ISLAND,AWHP,0,0,55,65
*data,1-SD,PRINCE EDWARD ISLAND,AWHP,BIPVT,0,21,65
*data,1-SD,PRINCE EDWARD ISLAND,AWHP,CVB,0,0,65
*data,1-SD,PRINCE EDWARD ISLAND,AWHP,FOH,0,0,65
*data,1-SD,PRINCE EDWARD ISLAND,AWHP,FVB,0,0,65
*data,1-SD,PRINCE EDWARD ISLAND,AWHP,ICE_CHP,0,55,65
*data,1-SD,PRINCE EDWARD ISLAND,AWHP,PCM,0,54,65
*data,1-SD,PRINCE EDWARD ISLAND,AWHP,PV,0,34,65
*data,1-SD,PRINCE EDWARD ISLAND,AWHP,SCS,0,31,65
*data,1-SD,PRINCE EDWARD ISLAND,AWHP,SDHW,0,34,65
*data,1-SD,PRINCE EDWARD ISLAND,AWHP,SE_CHP,0,55,65
*data,1-SD,PRINCE EDWARD ISLAND,AWHP,WAM,0,50,65
*data,1-SD,PRINCE EDWARD ISLAND,AWHP,WTM2010,0,47,65
*data,1-SD,PRINCE EDWARD ISLAND,AWHP,WTM2100,0,47,65
*data,1-SD,PRINCE EDWARD ISLAND,AWHP,WTM2110,0,47,65
*data,1-SD,PRINCE EDWARD ISLAND,AWHP,WTM3000,0,53,65
*data,1-SD,PRINCE EDWARD ISLAND,AWHP,WTM3200,0,55,65
*data,1-SD,PRINCE EDWARD ISLAND,AWHP,WTM3210,0,55,65
*data,1-SD,PRINCE EDWARD ISLAND,AWHP,WTM3310,0,55,65
*data,1-SD,PRINCE EDWARD ISLAND,AWHP,BIPVT,CVB,0,65
*data,1-SD,PRINCE EDWARD ISLAND,AWHP,BIPVT,FOH,0,65
*data,1-SD,PRINCE EDWARD ISLAND,AWHP,BIPVT,FVB,0,65
*data,1-SD,PRINCE EDWARD ISLAND,AWHP,BIPVT,ICE_CHP,21,65
*data,1-SD,PRINCE EDWARD ISLAND,AWHP,BIPVT,PCM,21,65
*data,1-SD,PRINCE EDWARD ISLAND,AWHP,BIPVT,PV,18,65
*data,1-SD,PRINCE EDWARD ISLAND,AWHP,BIPVT,SCS,18,65
*data,1-SD,PRINCE EDWARD ISLAND,AWHP,BIPVT,SDHW,18,65
*data,1-SD,PRINCE EDWARD ISLAND,AWHP,BIPVT,SE_CHP,21,65
*data,1-SD,PRINCE EDWARD ISLAND,AWHP,BIPVT,WAM,20,65
*data,1-SD,PRINCE EDWARD ISLAND,AWHP,BIPVT,WTM2010,20,65
*data,1-SD,PRINCE EDWARD ISLAND,AWHP,BIPVT,WTM2100,20,65
*data,1-SD,PRINCE EDWARD ISLAND,AWHP,BIPVT,WTM2110,20,65
*data,1-SD,PRINCE EDWARD ISLAND,AWHP,BIPVT,WTM3000,21,65
*data,1-SD,PRINCE EDWARD ISLAND,AWHP,BIPVT,WTM3200,21,65
*data,1-SD,PRINCE EDWARD ISLAND,AWHP,BIPVT,WTM3210,21,65
*data,1-SD,PRINCE EDWARD ISLAND,AWHP,BIPVT,WTM3310,21,65
*data,1-SD,PRINCE EDWARD ISLAND,AWHP,CVB,FOH,0,65
*data,1-SD,PRINCE EDWARD ISLAND,AWHP,CVB,FVB,0,65
*data,1-SD,PRINCE EDWARD ISLAND,AWHP,CVB,ICE_CHP,0,65
*data,1-SD,PRINCE EDWARD ISLAND,AWHP,CVB,PCM,0,65
*data,1-SD,PRINCE EDWARD ISLAND,AWHP,CVB,PV,0,65
*data,1-SD,PRINCE EDWARD ISLAND,AWHP,CVB,SCS,0,65
*data,1-SD,PRINCE EDWARD ISLAND,AWHP,CVB,SDHW,0,65
*data,1-SD,PRINCE EDWARD ISLAND,AWHP,CVB,SE_CHP,0,65
*data,1-SD,PRINCE EDWARD ISLAND,AWHP,CVB,WAM,0,65
*data,1-SD,PRINCE EDWARD ISLAND,AWHP,CVB,WTM2010,0,65
*data,1-SD,PRINCE EDWARD ISLAND,AWHP,CVB,WTM2100,0,65
*data,1-SD,PRINCE EDWARD ISLAND,AWHP,CVB,WTM2110,0,65
*data,1-SD,PRINCE EDWARD ISLAND,AWHP,CVB,WTM3000,0,65
*data,1-SD,PRINCE EDWARD ISLAND,AWHP,CVB,WTM3200,0,65
*data,1-SD,PRINCE EDWARD ISLAND,AWHP,CVB,WTM3210,0,65
*data,1-SD,PRINCE EDWARD ISLAND,AWHP,CVB,WTM3310,0,65
*data,1-SD,PRINCE EDWARD ISLAND,AWHP,FOH,FVB,0,65
