*header,hse_type,province,upgrade1,upgrade2,upgrade3,eligible,total
*data,1-SD,SASKATCHEWAN,BIPVT,0,0,73,189
*data,1-SD,SASKATCHEWAN,BIPVT,CVB,0,29,189
*data,1-SD,SASKATCHEWAN,BIPVT,FOH,0,29,189
*data,1-SD,SASKATCHEWAN,BIPVT,FVB,0,29,189
*data,1-SD,SASKATCHEWAN,BIPVT,PCM,0,68,189
*data,1-SD,SASKATCHEWAN,BIPVT,PV,0,73,189
*data,1-SD,SASKATCHEWAN,BIPVT,SDHW,0,73,189
*data,1-SD,SASKATCHEWAN,BIPVT,WAM,0,69,189
*data,1-SD,SASKATCHEWAN,BIPVT,WTM2010,0,52,189
*data,1-SD,SASKATCHEWAN,BIPVT,WTM2100,0,52,189
*data,1-SD,SASKATCHEWAN,BIPVT,WTM2110,0,52,189
*data,1-SD,SASKATCHEWAN,BIPVT,WTM3000,0,68,189
*data,1-SD,SASKATCHEWAN,BIPVT,WTM3200,0,70,189
*data,1-SD,SASKATCHEWAN,BIPVT,WTM3210,0,72,189
*data,1-SD,SASKATCHEWAN,BIPVT,WTM3310,0,73,189
*data,1-SD,SASKATCHEWAN,BIPVT,CVB,FOH,29,189
*data,1-SD,SASKATCHEWAN,BIPVT,CVB,FVB,29,189
*data,1-SD,SASKATCHEWAN,BIPVT,CVB,PCM,29,189
*data,1-SD,SASKATCHEWAN,BIPVT,CVB,PV,29,189
*data,1-SD,SASKATCHEWAN,BIPVT,CVB,SDHW,29,189
*data,1-SD,SASKATCHEWAN,BIPVT,CVB,WAM,28,189
*data,1-SD,SASKATCHEWAN,BIPVT,CVB,WTM2010,20,189
*data,1-SD,SASKATCHEWAN,BIPVT,CVB,WTM2100,20,189
*data,1-SD,SASKATCHEWAN,BIPVT,CVB,WTM2110,20,189
*data,1-SD,SASKATCHEWAN,BIPVT,CVB,WTM3000,28,189
*data,1-SD,SASKATCHEWAN,BIPVT,CVB,WTM3200,28,189
*data,1-SD,SASKATCHEWAN,BIPVT,CVB,WTM3210,29,189
*data,1-SD,SASKATCHEWAN,BIPVT,CVB,WTM3310,29,189
*data,1-SD,SASKATCHEWAN,BIPVT,FOH,FVB,29,189
*data,1-SD,SASKATCHEWAN,BIPVT,FOH,PCM,29,189
*data,1-SD,SASKATCHEWAN,BIPVT,FOH,PV,29,189
*data,1-SD,SASKATCHEWAN,BIPVT,FOH,SDHW,29,189
*data,1-SD,SASKATCHEWAN,BIPVT,FOH,WAM,28,189
*data,1-SD,SASKATCHEWAN,BIPVT,FOH,WTM2010,20,189
*data,1-SD,SASKATCHEWAN,BIPVT,FOH,WTM2100,20,189
*data,1-SD,SASKATCHEWAN,BIPVT,FOH,WTM2110,20,189
*data,1-SD,SASKATCHEWAN,BIPVT,FOH,WTM3000,28,189
*data,1-SD,SASKATCHEWAN,BIPVT,FOH,WTM3200,28,189
*data,1-SD,SASKATCHEWAN,BIPVT,FOH,WTM3210,29,189
*data,1-SD,SASKATCHEWAN,BIPVT,FOH,WTM3310,29,189
*data,1-SD,SASKATCHEWAN,BIPVT,FVB,PCM,29,189
*data,1-SD,SASKATCHEWAN,BIPVT,FVB,PV,29,189
*data,1-SD,SASKATCHEWAN,BIPVT,FVB,SDHW,29,189
*data,1-SD,SASKATCHEWAN,BIPVT,FVB,WAM,28,189
*data,1-SD,SASKATCHEWAN,BIPVT,FVB,WTM2010,20,189
*data,1-SD,SASKATCHEWAN,BIPVT,FVB,WTM2100,20,189
*data,1-SD,SASKATCHEWAN,BIPVT,FVB,WTM2110,20,189
*data,1-SD,SASKATCHEWAN,BIPVT,FVB,WTM3000,28,189
*data,1-SD,SASKATCHEWAN,BIPVT,FVB,WTM3200,28,189
*data,1-SD,SASKATCHEWAN,BIPVT,FVB,WTM3210,29,189
*data,1-SD,SASKATCHEWAN,BIPVT,FVB,WTM3310,29,189
*data,1-SD,SASKATCHEWAN,BIPVT,PCM,PV,68,189
*data,1-SD,SASKATCHEWAN,BIPVT,PCM,SDHW,68,189
*data,1-SD,SASKATCHEWAN,BIPVT,PCM,WAM,64,189
*data,1-SD,SASKATCHEWAN,BIPVT,PCM,WTM2010,48,189
*data,1-SD,SASKATCHEWAN,BIPVT,PCM,WTM2100,48,189
*data,1-SD,SASKATCHEWAN,BIPVT,PCM,WTM2110,48,189
*data,1-SD,SASKATCHEWAN,BIPVT,PCM,WTM3000,63,189
*data,1-SD,SASKATCHEWAN,BIPVT,PCM,WTM3200,65,189
*data,1-SD,SASKATCHEWAN,BIPVT,PCM,WTM3210,67,189
*data,1-SD,SASKATCHEWAN,BIPVT,PCM,WTM3310,68,189
*data,1-SD,SASKATCHEWAN,BIPVT,PV,SDHW,73,189
*data,1-SD,SASKATCHEWAN,BIPVT,PV,WAM,69,189
*data,1-SD,SASKATCHEWAN,BIPVT,PV,WTM2010,52,189
*data,1-SD,SASKATCHEWAN,BIPVT,PV,WTM2100,52,189
*data,1-SD,SASKATCHEWAN,BIPVT,PV,WTM2110,52,189
*data,1-SD,SASKATCHEWAN,BIPVT,PV,WTM3000,68,189
*data,1-SD,SASKATCHEWAN,BIPVT,PV,WTM3200,70,189
*data,1-SD,SASKATCHEWAN,BIPVT,PV,WTM3210,72,189
*data,1-SD,SASKATCHEWAN,BIPVT,PV,WTM3310,73,189
*data,1-SD,SASKATCHEWAN,BIPVT,SDHW,WAM,69,189
*data,1-SD,SASKATCHEWAN,BIPVT,SDHW,WTM2010,52,189
*data,1-SD,SASKATCHEWAN,BIPVT,SDHW,WTM2100,52,189
*data,1-SD,SASKATCHEWAN,BIPVT,SDHW,WTM2110,52,189
*data,1-SD,SASKATCHEWAN,BIPVT,SDHW,WTM3000,68,189
*data,1-SD,SASKATCHEWAN,BIPVT,SDHW,WTM3200,70,189
*data,1-SD,SASKATCHEWAN,BIPVT,SDHW,WTM3210,72,189
*data,1-SD,SASKATCHEWAN,BIPVT,SDHW,WTM3310,73,189
*data,1-SD,SASKATCHEWAN,BIPVT,WAM,WTM2010,48,189
