*header,hse_type,province,upgrade1,upgrade2,upgrade3,eligible,total
*data,2-DR,ALBERTA,BIPVT,0,0,113,350
*data,2-DR,ALBERTA,BIPVT,CVB,0,7,350
*data,2-DR,ALBERTA,BIPVT,FOH,0,4,350
*data,2-DR,ALBERTA,BIPVT,FVB,0,7,350
*data,2-DR,ALBERTA,BIPVT,PCM,0,83,350
*data,2-DR,ALBERTA,BIPVT,PV,0,113,350
*data,2-DR,ALBERTA,BIPVT,SDHW,0,113,350
*data,2-DR,ALBERTA,BIPVT,WAM,0,44,350
*data,2-DR,ALBERTA,BIPVT,WTM2010,0,88,350
*data,2-DR,ALBERTA,BIPVT,WTM2100,0,88,350
*data,2-DR,ALBERTA,BIPVT,WTM2110,0,88,350
*data,2-DR,ALBERTA,BIPVT,WTM3000,0,109,350
*data,2-DR,ALBERTA,BIPVT,WTM3200,0,109,350
*data,2-DR,ALBERTA,BIPVT,WTM3210,0,113,350
*data,2-DR,ALBERTA,BIPVT,WTM3310,0,113,350
*data,2-DR,ALBERTA,BIPVT,CVB,FOH,4,350
*data,2-DR,ALBERTA,BIPVT,CVB,FVB,7,350
*data,2-DR,ALBERTA,BIPVT,CVB,PCM,4,350
*data,2-DR,ALBERTA,BIPVT,CVB,PV,7,350
*data,2-DR,ALBERTA,BIPVT,CVB,SDHW,7,350
*data,2-DR,ALBERTA,BIPVT,CVB,WAM,3,350
*data,2-DR,ALBERTA,BIPVT,CVB,WTM2010,5,350
*data,2-DR,ALBERTA,BIPVT,CVB,WTM2100,5,350
*data,2-DR,ALBERTA,BIPVT,CVB,WTM2110,5,350
*data,2-DR,ALBERTA,BIPVT,CVB,WTM3000,7,350
*data,2-DR,ALBERTA,BIPVT,CVB,WTM3200,7,350
*data,2-DR,ALBERTA,BIPVT,CVB,WTM3210,7,350
*data,2-DR,ALBERTA,BIPVT,CVB,WTM3310,7,350
*data,2-DR,ALBERTA,BIPVT,FOH,FVB,4,350
*data,2-DR,ALBERTA,BIPVT,FOH,PCM,4,350
*data,2-DR,ALBERTA,BIPVT,FOH,PV,4,350
*data,2-DR,ALBERTA,BIPVT,FOH,SDHW,4,350
*data,2-DR,ALBERTA,BIPVT,FOH,WAM,1,350
*data,2-DR,ALBERTA,BIPVT,FOH,WTM2010,2,350
*data,2-DR,ALBERTA,BIPVT,FOH,WTM2100,2,350
*data,2-DR,ALBERTA,BIPVT,FOH,WTM2110,2,350
*data,2-DR,ALBERTA,BIPVT,FOH,WTM3000,4,350
*data,2-DR,ALBERTA,BIPVT,FOH,WTM3200,4,350
*data,2-DR,ALBERTA,BIPVT,FOH,WTM3210,4,350
*data,2-DR,ALBERTA,BIPVT,FOH,WTM3310,4,350
*data,2-DR,ALBERTA,BIPVT,FVB,PCM,4,350
*data,2-DR,ALBERTA,BIPVT,FVB,PV,7,350
