*header,hse_type,province,upgrade1,upgrade2,upgrade3,eligible,total
*data,2-DR,BRITISH COLUMBIA,AWHP,0,0,243,315
*data,2-DR,BRITISH COLUMBIA,AWHP,BIPVT,0,82,315
*data,2-DR,BRITISH COLUMBIA,AWHP,CVB,0,30,315
*data,2-DR,BRITISH COLUMBIA,AWHP,FOH,0,26,315
*data,2-DR,BRITISH COLUMBIA,AWHP,FVB,0,29,315
*data,2-DR,BRITISH COLUMBIA,AWHP,ICE_CHP,0,243,315
*data,2-DR,BRITISH COLUMBIA,AWHP,PCM,0,195,315
*data,2-DR,BRITISH COLUMBIA,AWHP,PV,0,67,315
*data,2-DR,BRITISH COLUMBIA,AWHP,SCS,0,174,315
*data,2-DR,BRITISH COLUMBIA,AWHP,SDHW,0,67,315
*data,2-DR,BRITISH COLUMBIA,AWHP,SE_CHP,0,243,315
*data,2-DR,BRITISH COLUMBIA,AWHP,WAM,0,148,315
*data,2-DR,BRITISH COLUMBIA,AWHP,WTM2010,0,237,315
*data,2-DR,BRITISH COLUMBIA,AWHP,WTM2100,0,237,315
*data,2-DR,BRITISH COLUMBIA,AWHP,WTM2110,0,237,315
*data,2-DR,BRITISH COLUMBIA,AWHP,WTM3000,0,243,315
*data,2-DR,BRITISH COLUMBIA,AWHP,WTM3200,0,243,315
*data,2-DR,BRITISH COLUMBIA,AWHP,WTM3210,0,243,315
*data,2-DR,BRITISH COLUMBIA,AWHP,WTM3310,0,243,315
*data,2-DR,BRITISH COLUMBIA,AWHP,BIPVT,CVB,13,315
*data,2-DR,BRITISH COLUMBIA,AWHP,BIPVT,FOH,13,315
*data,2-DR,BRITISH COLUMBIA,AWHP,BIPVT,FVB,13,315
*data,2-DR,BRITISH COLUMBIA,AWHP,BIPVT,ICE_CHP,82,315
*data,2-DR,BRITISH COLUMBIA,AWHP,BIPVT,PCM,70,315
*data,2-DR,BRITISH COLUMBIA,AWHP,BIPVT,PV,15,315
*data,2-DR,BRITISH COLUMBIA,AWHP,BIPVT,SCS,27,315
*data,2-DR,BRITISH COLUMBIA,AWHP,BIPVT,SDHW,15,315
*data,2-DR,BRITISH COLUMBIA,AWHP,BIPVT,SE_CHP,82,315
*data,2-DR,BRITISH COLUMBIA,AWHP,BIPVT,WAM,39,315
*data,2-DR,BRITISH COLUMBIA,AWHP,BIPVT,WTM2010,81,315
*data,2-DR,BRITISH COLUMBIA,AWHP,BIPVT,WTM2100,81,315
*data,2-DR,BRITISH COLUMBIA,AWHP,BIPVT,WTM2110,81,315
*data,2-DR,BRITISH COLUMBIA,AWHP,BIPVT,WTM3000,82,315
