*header,hse_type,province,upgrade1,upgrade2,upgrade3,eligible,total
*data,2-DR,MANITOBA,BIPVT,0,0,31,78
*data,2-DR,MANITOBA,BIPVT,CVB,0,5,78
*data,2-DR,MANITOBA,BIPVT,FOH,0,3,78
*data,2-DR,MANITOBA,BIPVT,FVB,0,4,78
*data,2-DR,MANITOBA,BIPVT,PCM,0,25,78
*data,2-DR,MANITOBA,BIPVT,PV,0,31,78
*data,2-DR,MANITOBA,BIPVT,SDHW,0,31,78
*data,2-DR,MANITOBA,BIPVT,WAM,0,11,78
*data,2-DR,MANITOBA,BIPVT,WTM2010,0,26,78
*data,2-DR,MANITOBA,BIPVT,WTM2100,0,26,78
*data,2-DR,MANITOBA,BIPVT,WTM2110,0,26,78
*data,2-DR,MANITOBA,BIPVT,WTM3000,0,28,78
*data,2-DR,MANITOBA,BIPVT,WTM3200,0,28,78
*data,2-DR,MANITOBA,BIPVT,WTM3210,0,31,78
*data,2-DR,MANITOBA,BIPVT,WTM3310,0,31,78
*data,2-DR,MANITOBA,BIPVT,CVB,FOH,3,78
*data,2-DR,MANITOBA,BIPVT,CVB,FVB,4,78
*data,2-DR,MANITOBA,BIPVT,CVB,PCM,3,78
*data,2-DR,MANITOBA,BIPVT,CVB,PV,5,78
*data,2-DR,MANITOBA,BIPVT,CVB,SDHW,5,78
*data,2-DR,MANITOBA,BIPVT,CVB,WAM,2,78
*data,2-DR,MANITOBA,BIPVT,CVB,WTM2010,3,78
*data,2-DR,MANITOBA,BIPVT,CVB,WTM2100,3,78
*data,2-DR,MANITOBA,BIPVT,CVB,WTM2110,3,78
*data,2-DR,MANITOBA,BIPVT,CVB,WTM3000,4,78
*data,2-DR,MANITOBA,BIPVT,CVB,WTM3200,4,78
*data,2-DR,MANITOBA,BIPVT,CVB,WTM3210,5,78
*data,2-DR,MANITOBA,BIPVT,CVB,WTM3310,5,78
*data,2-DR,MANITOBA,BIPVT,FOH,FVB,2,78
*data,2-DR,MANITOBA,BIPVT,FOH,PCM,3,78
*data,2-DR,MANITOBA,BIPVT,FOH,PV,3,78
*data,2-DR,MANITOBA,BIPVT,FOH,SDHW,3,78
*data,2-DR,MANITOBA,BIPVT,FOH,WAM,1,78
*data,2-DR,MANITOBA,BIPVT,FOH,WTM2010,2,78
*data,2-DR,MANITOBA,BIPVT,FOH,WTM2100,2,78
*data,2-DR,MANITOBA,BIPVT,FOH,WTM2110,2,78
*data,2-DR,MANITOBA,BIPVT,FOH,WTM3000,2,78
*data,2-DR,MANITOBA,BIPVT,FOH,WTM3200,2,78
*data,2-DR,MANITOBA,BIPVT,FOH,WTM3210,3,78
*data,2-DR,MANITOBA,BIPVT,FOH,WTM3310,3,78
*data,2-DR,MANITOBA,BIPVT,FVB,PCM,2,78
*data,2-DR,MANITOBA,BIPVT,FVB,PV,4,78
*data,2-DR,MANITOBA,BIPVT,FVB,SDHW,4,78
*data,2-DR,MANITOBA,BIPVT,FVB,WAM,2,78
*data,2-DR,MANITOBA,BIPVT,FVB,WTM2010,2,78
*data,2-DR,MANITOBA,BIPVT,FVB,WTM2100,2,78
*data,2-DR,MANITOBA,BIPVT,FVB,WTM2110,2,78
*data,2-DR,MANITOBA,BIPVT,FVB,WTM3000,3,78
*data,2-DR,MANITOBA,BIPVT,FVB,WTM3200,3,78
*data,2-DR,MANITOBA,BIPVT,FVB,WTM3210,4,78
*data,2-DR,MANITOBA,BIPVT,FVB,WTM3310,4,78
*data,2-DR,MANITOBA,BIPVT,PCM,PV,25,78
*data,2-DR,MANITOBA,BIPVT,PCM,SDHW,25,78
*data,2-DR,MANITOBA,BIPVT,PCM,WAM,9,78
*data,2-DR,MANITOBA,BIPVT,PCM,WTM2010,21,78
*data,2-DR,MANITOBA,BIPVT,PCM,WTM2100,21,78
*data,2-DR,MANITOBA,BIPVT,PCM,WTM2110,21,78
*data,2-DR,MANITOBA,BIPVT,PCM,WTM3000,22,78
*data,2-DR,MANITOBA,BIPVT,PCM,WTM3200,22,78
*data,2-DR,MANITOBA,BIPVT,PCM,WTM3210,25,78
*data,2-DR,MANITOBA,BIPVT,PCM,WTM3310,25,78
*data,2-DR,MANITOBA,BIPVT,PV,SDHW,31,78
*data,2-DR,MANITOBA,BIPVT,PV,WAM,11,78
*data,2-DR,MANITOBA,BIPVT,PV,WTM2010,26,78
*data,2-DR,MANITOBA,BIPVT,PV,WTM2100,26,78
*data,2-DR,MANITOBA,BIPVT,PV,WTM2110,26,78
*data,2-DR,MANITOBA,BIPVT,PV,WTM3000,28,78
*data,2-DR,MANITOBA,BIPVT,PV,WTM3200,28,78
*data,2-DR,MANITOBA,BIPVT,PV,WTM3210,31,78
*data,2-DR,MANITOBA,BIPVT,PV,WTM3310,31,78
*data,2-DR,MANITOBA,BIPVT,SDHW,WAM,11,78
*data,2-DR,MANITOBA,BIPVT,SDHW,WTM2010,26,78
*data,2-DR,MANITOBA,BIPVT,SDHW,WTM2100,26,78
