*header,hse_type,province,upgrade1,upgrade2,upgrade3,eligible,total
*data,2-DR,NEWFOUNDLAND,AWHP,0,0,13,22
*data,2-DR,NEWFOUNDLAND,AWHP,BIPVT,0,5,22
*data,2-DR,NEWFOUNDLAND,AWHP,CVB,0,0,22
*data,2-DR,NEWFOUNDLAND,AWHP,FOH,0,0,22
*data,2-DR,NEWFOUNDLAND,AWHP,FVB,0,0,22
*data,2-DR,NEWFOUNDLAND,AWHP,ICE_CHP,0,13,22
*data,2-DR,NEWFOUNDLAND,AWHP,PCM,0,10,22
*data,2-DR,NEWFOUNDLAND,AWHP,PV,0,0,22
*data,2-DR,NEWFOUNDLAND,AWHP,SCS,0,10,22
*data,2-DR,NEWFOUNDLAND,AWHP,SDHW,0,0,22
*data,2-DR,NEWFOUNDLAND,AWHP,SE_CHP,0,13,22
*data,2-DR,NEWFOUNDLAND,AWHP,WAM,0,12,22
*data,2-DR,NEWFOUNDLAND,AWHP,WTM2010,0,11,22
*data,2-DR,NEWFOUNDLAND,AWHP,WTM2100,0,11,22
*data,2-DR,NEWFOUNDLAND,AWHP,WTM2110,0,11,22
*data,2-DR,NEWFOUNDLAND,AWHP,WTM3000,0,13,22
*data,2-DR,NEWFOUNDLAND,AWHP,WTM3200,0,13,22
*data,2-DR,NEWFOUNDLAND,AWHP,WTM3210,0,13,22
*data,2-DR,NEWFOUNDLAND,AWHP,WTM3310,0,13,22
*data,2-DR,NEWFOUNDLAND,AWHP,BIPVT,CVB,0,22
*data,2-DR,NEWFOUNDLAND,AWHP,BIPVT,FOH,0,22
*data,2-DR,NEWFOUNDLAND,AWHP,BIPVT,FVB,0,22
*data,2-DR,NEWFOUNDLAND,AWHP,BIPVT,ICE_CHP,5,22
*data,2-DR,NEWFOUNDLAND,AWHP,BIPVT,PCM,3,22
*data,2-DR,NEWFOUNDLAND,AWHP,BIPVT,PV,0,22
*data,2-DR,NEWFOUNDLAND,AWHP,BIPVT,SCS,3,22
*data,2-DR,NEWFOUNDLAND,AWHP,BIPVT,SDHW,0,22
*data,2-DR,NEWFOUNDLAND,AWHP,BIPVT,SE_CHP,5,22
*data,2-DR,NEWFOUNDLAND,AWHP,BIPVT,WAM,4,22
*data,2-DR,NEWFOUNDLAND,AWHP,BIPVT,WTM2010,5,22
*data,2-DR,NEWFOUNDLAND,AWHP,BIPVT,WTM2100,5,22
*data,2-DR,NEWFOUNDLAND,AWHP,BIPVT,WTM2110,5,22
*data,2-DR,NEWFOUNDLAND,AWHP,BIPVT,WTM3000,5,22
*data,2-DR,NEWFOUNDLAND,AWHP,BIPVT,WTM3200,5,22
*data,2-DR,NEWFOUNDLAND,AWHP,BIPVT,WTM3210,5,22
*data,2-DR,NEWFOUNDLAND,AWHP,BIPVT,WTM3310,5,22
*data,2-DR,NEWFOUNDLAND,AWHP,CVB,FOH,0,22
*data,2-DR,NEWFOUNDLAND,AWHP,CVB,FVB,0,22
*data,2-DR,NEWFOUNDLAND,AWHP,CVB,ICE_CHP,0,22
*data,2-DR,NEWFOUNDLAND,AWHP,CVB,PCM,0,22
*data,2-DR,NEWFOUNDLAND,AWHP,CVB,PV,0,22
*data,2-DR,NEWFOUNDLAND,AWHP,CVB,SCS,0,22
*data,2-DR,NEWFOUNDLAND,AWHP,CVB,SDHW,0,22
*data,2-DR,NEWFOUNDLAND,AWHP,CVB,SE_CHP,0,22
*data,2-DR,NEWFOUNDLAND,AWHP,CVB,WAM,0,22
*data,2-DR,NEWFOUNDLAND,AWHP,CVB,WTM2010,0,22
*data,2-DR,NEWFOUNDLAND,AWHP,CVB,WTM2100,0,22
*data,2-DR,NEWFOUNDLAND,AWHP,CVB,WTM2110,0,22
*data,2-DR,NEWFOUNDLAND,AWHP,CVB,WTM3000,0,22
*data,2-DR,NEWFOUNDLAND,AWHP,CVB,WTM3200,0,22
*data,2-DR,NEWFOUNDLAND,AWHP,CVB,WTM3210,0,22
*data,2-DR,NEWFOUNDLAND,AWHP,CVB,WTM3310,0,22
*data,2-DR,NEWFOUNDLAND,AWHP,FOH,FVB,0,22
*data,2-DR,NEWFOUNDLAND,AWHP,FOH,ICE_CHP,0,22
*data,2-DR,NEWFOUNDLAND,AWHP,FOH,PCM,0,22
*data,2-DR,NEWFOUNDLAND,AWHP,FOH,PV,0,22
*data,2-DR,NEWFOUNDLAND,AWHP,FOH,SCS,0,22
*data,2-DR,NEWFOUNDLAND,AWHP,FOH,SDHW,0,22
*data,2-DR,NEWFOUNDLAND,AWHP,FOH,SE_CHP,0,22
*data,2-DR,NEWFOUNDLAND,AWHP,FOH,WAM,0,22
*data,2-DR,NEWFOUNDLAND,AWHP,FOH,WTM2010,0,22
*data,2-DR,NEWFOUNDLAND,AWHP,FOH,WTM2100,0,22
