*header,hse_type,province,upgrade1,upgrade2,upgrade3,eligible,total
*data,2-DR,NOVA SCOTIA,BIPVT,0,0,22,84
*data,2-DR,NOVA SCOTIA,BIPVT,CVB,0,0,84
*data,2-DR,NOVA SCOTIA,BIPVT,FOH,0,0,84
*data,2-DR,NOVA SCOTIA,BIPVT,FVB,0,0,84
*data,2-DR,NOVA SCOTIA,BIPVT,PCM,0,21,84
*data,2-DR,NOVA SCOTIA,BIPVT,PV,0,22,84
*data,2-DR,NOVA SCOTIA,BIPVT,SDHW,0,22,84
*data,2-DR,NOVA SCOTIA,BIPVT,WAM,0,9,84
*data,2-DR,NOVA SCOTIA,BIPVT,WTM2010,0,21,84
*data,2-DR,NOVA SCOTIA,BIPVT,WTM2100,0,21,84
*data,2-DR,NOVA SCOTIA,BIPVT,WTM2110,0,21,84
*data,2-DR,NOVA SCOTIA,BIPVT,WTM3000,0,22,84
*data,2-DR,NOVA SCOTIA,BIPVT,WTM3200,0,22,84
*data,2-DR,NOVA SCOTIA,BIPVT,WTM3210,0,22,84
*data,2-DR,NOVA SCOTIA,BIPVT,WTM3310,0,22,84
*data,2-DR,NOVA SCOTIA,BIPVT,CVB,FOH,0,84
*data,2-DR,NOVA SCOTIA,BIPVT,CVB,FVB,0,84
*data,2-DR,NOVA SCOTIA,BIPVT,CVB,PCM,0,84
*data,2-DR,NOVA SCOTIA,BIPVT,CVB,PV,0,84
*data,2-DR,NOVA SCOTIA,BIPVT,CVB,SDHW,0,84
*data,2-DR,NOVA SCOTIA,BIPVT,CVB,WAM,0,84
*data,2-DR,NOVA SCOTIA,BIPVT,CVB,WTM2010,0,84
*data,2-DR,NOVA SCOTIA,BIPVT,CVB,WTM2100,0,84
*data,2-DR,NOVA SCOTIA,BIPVT,CVB,WTM2110,0,84
*data,2-DR,NOVA SCOTIA,BIPVT,CVB,WTM3000,0,84
*data,2-DR,NOVA SCOTIA,BIPVT,CVB,WTM3200,0,84
*data,2-DR,NOVA SCOTIA,BIPVT,CVB,WTM3210,0,84
