*header,hse_type,province,upgrade1,upgrade2,upgrade3,eligible,total
*data,2-DR,ONTARIO,BIPVT,0,0,301,1231
*data,2-DR,ONTARIO,BIPVT,CVB,0,138,1231
*data,2-DR,ONTARIO,BIPVT,FOH,0,108,1231
*data,2-DR,ONTARIO,BIPVT,FVB,0,132,1231
*data,2-DR,ONTARIO,BIPVT,PCM,0,221,1231
*data,2-DR,ONTARIO,BIPVT,PV,0,301,1231
*data,2-DR,ONTARIO,BIPVT,SDHW,0,301,1231
*data,2-DR,ONTARIO,BIPVT,WAM,0,118,1231
*data,2-DR,ONTARIO,BIPVT,WTM2010,0,262,1231
*data,2-DR,ONTARIO,BIPVT,WTM2100,0,262,1231
*data,2-DR,ONTARIO,BIPVT,WTM2110,0,263,1231
*data,2-DR,ONTARIO,BIPVT,WTM3000,0,300,1231
*data,2-DR,ONTARIO,BIPVT,WTM3200,0,301,1231
*data,2-DR,ONTARIO,BIPVT,WTM3210,0,301,1231
*data,2-DR,ONTARIO,BIPVT,WTM3310,0,301,1231
*data,2-DR,ONTARIO,BIPVT,CVB,FOH,108,1231
*data,2-DR,ONTARIO,BIPVT,CVB,FVB,132,1231
*data,2-DR,ONTARIO,BIPVT,CVB,PCM,108,1231
*data,2-DR,ONTARIO,BIPVT,CVB,PV,138,1231
*data,2-DR,ONTARIO,BIPVT,CVB,SDHW,138,1231
*data,2-DR,ONTARIO,BIPVT,CVB,WAM,57,1231
*data,2-DR,ONTARIO,BIPVT,CVB,WTM2010,118,1231
*data,2-DR,ONTARIO,BIPVT,CVB,WTM2100,118,1231
*data,2-DR,ONTARIO,BIPVT,CVB,WTM2110,119,1231
*data,2-DR,ONTARIO,BIPVT,CVB,WTM3000,138,1231
*data,2-DR,ONTARIO,BIPVT,CVB,WTM3200,138,1231
*data,2-DR,ONTARIO,BIPVT,CVB,WTM3210,138,1231
*data,2-DR,ONTARIO,BIPVT,CVB,WTM3310,138,1231
*data,2-DR,ONTARIO,BIPVT,FOH,FVB,102,1231
*data,2-DR,ONTARIO,BIPVT,FOH,PCM,108,1231
*data,2-DR,ONTARIO,BIPVT,FOH,PV,108,1231
*data,2-DR,ONTARIO,BIPVT,FOH,SDHW,108,1231
*data,2-DR,ONTARIO,BIPVT,FOH,WAM,49,1231
*data,2-DR,ONTARIO,BIPVT,FOH,WTM2010,96,1231
*data,2-DR,ONTARIO,BIPVT,FOH,WTM2100,96,1231
*data,2-DR,ONTARIO,BIPVT,FOH,WTM2110,96,1231
*data,2-DR,ONTARIO,BIPVT,FOH,WTM3000,108,1231
*data,2-DR,ONTARIO,BIPVT,FOH,WTM3200,108,1231
*data,2-DR,ONTARIO,BIPVT,FOH,WTM3210,108,1231
*data,2-DR,ONTARIO,BIPVT,FOH,WTM3310,108,1231
*data,2-DR,ONTARIO,BIPVT,FVB,PCM,102,1231
*data,2-DR,ONTARIO,BIPVT,FVB,PV,132,1231
