*header,hse_type,province,upgrade1,upgrade2,upgrade3,eligible,total
*data,2-DR,PRINCE EDWARD ISLAND,AWHP,0,0,14,14
*data,2-DR,PRINCE EDWARD ISLAND,AWHP,BIPVT,0,3,14
*data,2-DR,PRINCE EDWARD ISLAND,AWHP,CVB,0,0,14
*data,2-DR,PRINCE EDWARD ISLAND,AWHP,FOH,0,0,14
*data,2-DR,PRINCE EDWARD ISLAND,AWHP,FVB,0,0,14
*data,2-DR,PRINCE EDWARD ISLAND,AWHP,ICE_CHP,0,14,14
*data,2-DR,PRINCE EDWARD ISLAND,AWHP,PCM,0,11,14
*data,2-DR,PRINCE EDWARD ISLAND,AWHP,PV,0,7,14
*data,2-DR,PRINCE EDWARD ISLAND,AWHP,SCS,0,13,14
*data,2-DR,PRINCE EDWARD ISLAND,AWHP,SDHW,0,7,14
*data,2-DR,PRINCE EDWARD ISLAND,AWHP,SE_CHP,0,14,14
*data,2-DR,PRINCE EDWARD ISLAND,AWHP,WAM,0,12,14
*data,2-DR,PRINCE EDWARD ISLAND,AWHP,WTM2010,0,13,14
*data,2-DR,PRINCE EDWARD ISLAND,AWHP,WTM2100,0,13,14
*data,2-DR,PRINCE EDWARD ISLAND,AWHP,WTM2110,0,13,14
*data,2-DR,PRINCE EDWARD ISLAND,AWHP,WTM3000,0,13,14
*data,2-DR,PRINCE EDWARD ISLAND,AWHP,WTM3200,0,14,14
*data,2-DR,PRINCE EDWARD ISLAND,AWHP,WTM3210,0,14,14
*data,2-DR,PRINCE EDWARD ISLAND,AWHP,WTM3310,0,14,14
*data,2-DR,PRINCE EDWARD ISLAND,AWHP,BIPVT,CVB,0,14
*data,2-DR,PRINCE EDWARD ISLAND,AWHP,BIPVT,FOH,0,14
*data,2-DR,PRINCE EDWARD ISLAND,AWHP,BIPVT,FVB,0,14
*data,2-DR,PRINCE EDWARD ISLAND,AWHP,BIPVT,ICE_CHP,3,14
*data,2-DR,PRINCE EDWARD ISLAND,AWHP,BIPVT,PCM,3,14
*data,2-DR,PRINCE EDWARD ISLAND,AWHP,BIPVT,PV,2,14
*data,2-DR,PRINCE EDWARD ISLAND,AWHP,BIPVT,SCS,2,14
*data,2-DR,PRINCE EDWARD ISLAND,AWHP,BIPVT,SDHW,2,14
*data,2-DR,PRINCE EDWARD ISLAND,AWHP,BIPVT,SE_CHP,3,14
*data,2-DR,PRINCE EDWARD ISLAND,AWHP,BIPVT,WAM,3,14
*data,2-DR,PRINCE EDWARD ISLAND,AWHP,BIPVT,WTM2010,2,14
*data,2-DR,PRINCE EDWARD ISLAND,AWHP,BIPVT,WTM2100,2,14
*data,2-DR,PRINCE EDWARD ISLAND,AWHP,BIPVT,WTM2110,2,14
*data,2-DR,PRINCE EDWARD ISLAND,AWHP,BIPVT,WTM3000,2,14
