*header,hse_type,province,upgrade1,upgrade2,upgrade3,eligible,total
*data,2-DR,QUEBEC,AWHP,0,0,156,798
*data,2-DR,QUEBEC,AWHP,BIPVT,0,28,798
*data,2-DR,QUEBEC,AWHP,CVB,0,34,798
*data,2-DR,QUEBEC,AWHP,FOH,0,27,798
*data,2-DR,QUEBEC,AWHP,FVB,0,34,798
*data,2-DR,QUEBEC,AWHP,ICE_CHP,0,156,798
*data,2-DR,QUEBEC,AWHP,PCM,0,129,798
*data,2-DR,QUEBEC,AWHP,PV,0,7,798
*data,2-DR,QUEBEC,AWHP,SCS,0,133,798
*data,2-DR,QUEBEC,AWHP,SDHW,0,7,798
*data,2-DR,QUEBEC,AWHP,SE_CHP,0,156,798
*data,2-DR,QUEBEC,AWHP,WAM,0,131,798
*data,2-DR,QUEBEC,AWHP,WTM2010,0,137,798
*data,2-DR,QUEBEC,AWHP,WTM2100,0,137,798
*data,2-DR,QUEBEC,AWHP,WTM2110,0,137,798
*data,2-DR,QUEBEC,AWHP,WTM3000,0,156,798
*data,2-DR,QUEBEC,AWHP,WTM3200,0,156,798
*data,2-DR,QUEBEC,AWHP,WTM3210,0,156,798
*data,2-DR,QUEBEC,AWHP,WTM3310,0,156,798
*data,2-DR,QUEBEC,AWHP,BIPVT,CVB,9,798
*data,2-DR,QUEBEC,AWHP,BIPVT,FOH,6,798
*data,2-DR,QUEBEC,AWHP,BIPVT,FVB,9,798
*data,2-DR,QUEBEC,AWHP,BIPVT,ICE_CHP,28,798
*data,2-DR,QUEBEC,AWHP,BIPVT,PCM,22,798
*data,2-DR,QUEBEC,AWHP,BIPVT,PV,2,798
*data,2-DR,QUEBEC,AWHP,BIPVT,SCS,15,798
*data,2-DR,QUEBEC,AWHP,BIPVT,SDHW,2,798
*data,2-DR,QUEBEC,AWHP,BIPVT,SE_CHP,28,798
*data,2-DR,QUEBEC,AWHP,BIPVT,WAM,18,798
*data,2-DR,QUEBEC,AWHP,BIPVT,WTM2010,25,798
*data,2-DR,QUEBEC,AWHP,BIPVT,WTM2100,25,798
*data,2-DR,QUEBEC,AWHP,BIPVT,WTM2110,25,798
*data,2-DR,QUEBEC,AWHP,BIPVT,WTM3000,28,798
*data,2-DR,QUEBEC,AWHP,BIPVT,WTM3200,28,798
*data,2-DR,QUEBEC,AWHP,BIPVT,WTM3210,28,798
*data,2-DR,QUEBEC,AWHP,BIPVT,WTM3310,28,798
*data,2-DR,QUEBEC,AWHP,CVB,FOH,27,798
*data,2-DR,QUEBEC,AWHP,CVB,FVB,34,798
*data,2-DR,QUEBEC,AWHP,CVB,ICE_CHP,34,798
*data,2-DR,QUEBEC,AWHP,CVB,PCM,27,798
*data,2-DR,QUEBEC,AWHP,CVB,PV,1,798
*data,2-DR,QUEBEC,AWHP,CVB,SCS,26,798
*data,2-DR,QUEBEC,AWHP,CVB,SDHW,1,798
*data,2-DR,QUEBEC,AWHP,CVB,SE_CHP,34,798
*data,2-DR,QUEBEC,AWHP,CVB,WAM,27,798
*data,2-DR,QUEBEC,AWHP,CVB,WTM2010,29,798
