*header,hse_type,province,upgrade1,upgrade2,upgrade3,eligible,total
*data,2-DR,SASKATCHEWAN,AWHP,0,0,13,13
*data,2-DR,SASKATCHEWAN,AWHP,BIPVT,0,4,13
*data,2-DR,SASKATCHEWAN,AWHP,CVB,0,3,13
*data,2-DR,SASKATCHEWAN,AWHP,FOH,0,1,13
*data,2-DR,SASKATCHEWAN,AWHP,FVB,0,3,13
*data,2-DR,SASKATCHEWAN,AWHP,ICE_CHP,0,13,13
*data,2-DR,SASKATCHEWAN,AWHP,PCM,0,9,13
*data,2-DR,SASKATCHEWAN,AWHP,PV,0,2,13
*data,2-DR,SASKATCHEWAN,AWHP,SCS,0,8,13
*data,2-DR,SASKATCHEWAN,AWHP,SDHW,0,2,13
*data,2-DR,SASKATCHEWAN,AWHP,SE_CHP,0,13,13
*data,2-DR,SASKATCHEWAN,AWHP,WAM,0,9,13
*data,2-DR,SASKATCHEWAN,AWHP,WTM2010,0,11,13
*data,2-DR,SASKATCHEWAN,AWHP,WTM2100,0,11,13
*data,2-DR,SASKATCHEWAN,AWHP,WTM2110,0,11,13
*data,2-DR,SASKATCHEWAN,AWHP,WTM3000,0,13,13
*data,2-DR,SASKATCHEWAN,AWHP,WTM3200,0,13,13
*data,2-DR,SASKATCHEWAN,AWHP,WTM3210,0,13,13
*data,2-DR,SASKATCHEWAN,AWHP,WTM3310,0,13,13
*data,2-DR,SASKATCHEWAN,AWHP,BIPVT,CVB,0,13
*data,2-DR,SASKATCHEWAN,AWHP,BIPVT,FOH,0,13
*data,2-DR,SASKATCHEWAN,AWHP,BIPVT,FVB,0,13
*data,2-DR,SASKATCHEWAN,AWHP,BIPVT,ICE_CHP,4,13
*data,2-DR,SASKATCHEWAN,AWHP,BIPVT,PCM,2,13
*data,2-DR,SASKATCHEWAN,AWHP,BIPVT,PV,0,13
*data,2-DR,SASKATCHEWAN,AWHP,BIPVT,SCS,2,13
*data,2-DR,SASKATCHEWAN,AWHP,BIPVT,SDHW,0,13
*data,2-DR,SASKATCHEWAN,AWHP,BIPVT,SE_CHP,4,13
*data,2-DR,SASKATCHEWAN,AWHP,BIPVT,WAM,1,13
*data,2-DR,SASKATCHEWAN,AWHP,BIPVT,WTM2010,4,13
*data,2-DR,SASKATCHEWAN,AWHP,BIPVT,WTM2100,4,13
*data,2-DR,SASKATCHEWAN,AWHP,BIPVT,WTM2110,4,13
*data,2-DR,SASKATCHEWAN,AWHP,BIPVT,WTM3000,4,13
*data,2-DR,SASKATCHEWAN,AWHP,BIPVT,WTM3200,4,13
*data,2-DR,SASKATCHEWAN,AWHP,BIPVT,WTM3210,4,13
*data,2-DR,SASKATCHEWAN,AWHP,BIPVT,WTM3310,4,13
*data,2-DR,SASKATCHEWAN,AWHP,CVB,FOH,1,13
*data,2-DR,SASKATCHEWAN,AWHP,CVB,FVB,3,13
*data,2-DR,SASKATCHEWAN,AWHP,CVB,ICE_CHP,3,13
*data,2-DR,SASKATCHEWAN,AWHP,CVB,PCM,1,13
*data,2-DR,SASKATCHEWAN,AWHP,CVB,PV,2,13
*data,2-DR,SASKATCHEWAN,AWHP,CVB,SCS,3,13
*data,2-DR,SASKATCHEWAN,AWHP,CVB,SDHW,2,13
*data,2-DR,SASKATCHEWAN,AWHP,CVB,SE_CHP,3,13
*data,2-DR,SASKATCHEWAN,AWHP,CVB,WAM,3,13
*data,2-DR,SASKATCHEWAN,AWHP,CVB,WTM2010,3,13
*data,2-DR,SASKATCHEWAN,AWHP,CVB,WTM2100,3,13
*data,2-DR,SASKATCHEWAN,AWHP,CVB,WTM2110,3,13
*data,2-DR,SASKATCHEWAN,AWHP,CVB,WTM3000,3,13
*data,2-DR,SASKATCHEWAN,AWHP,CVB,WTM3200,3,13
*data,2-DR,SASKATCHEWAN,AWHP,CVB,WTM3210,3,13
*data,2-DR,SASKATCHEWAN,AWHP,CVB,WTM3310,3,13
*data,2-DR,SASKATCHEWAN,AWHP,FOH,FVB,1,13
*data,2-DR,SASKATCHEWAN,AWHP,FOH,ICE_CHP,1,13
*data,2-DR,SASKATCHEWAN,AWHP,FOH,PCM,1,13
*data,2-DR,SASKATCHEWAN,AWHP,FOH,PV,1,13
*data,2-DR,SASKATCHEWAN,AWHP,FOH,SCS,1,13
*data,2-DR,SASKATCHEWAN,AWHP,FOH,SDHW,1,13
*data,2-DR,SASKATCHEWAN,AWHP,FOH,SE_CHP,1,13
*data,2-DR,SASKATCHEWAN,AWHP,FOH,WAM,1,13
*data,2-DR,SASKATCHEWAN,AWHP,FOH,WTM2010,1,13
*data,2-DR,SASKATCHEWAN,AWHP,FOH,WTM2100,1,13
*data,2-DR,SASKATCHEWAN,AWHP,FOH,WTM2110,1,13
*data,2-DR,SASKATCHEWAN,AWHP,FOH,WTM3000,1,13
*data,2-DR,SASKATCHEWAN,AWHP,FOH,WTM3200,1,13
*data,2-DR,SASKATCHEWAN,AWHP,FOH,WTM3210,1,13
*data,2-DR,SASKATCHEWAN,AWHP,FOH,WTM3310,1,13
*data,2-DR,SASKATCHEWAN,AWHP,FVB,ICE_CHP,3,13
*data,2-DR,SASKATCHEWAN,AWHP,FVB,PCM,1,13
*data,2-DR,SASKATCHEWAN,AWHP,FVB,PV,2,13
*data,2-DR,SASKATCHEWAN,AWHP,FVB,SCS,3,13
*data,2-DR,SASKATCHEWAN,AWHP,FVB,SDHW,2,13
*data,2-DR,SASKATCHEWAN,AWHP,FVB,SE_CHP,3,13
*data,2-DR,SASKATCHEWAN,AWHP,FVB,WAM,3,13
*data,2-DR,SASKATCHEWAN,AWHP,FVB,WTM2010,3,13
*data,2-DR,SASKATCHEWAN,AWHP,FVB,WTM2100,3,13
*data,2-DR,SASKATCHEWAN,AWHP,FVB,WTM2110,3,13
*data,2-DR,SASKATCHEWAN,AWHP,FVB,WTM3000,3,13
*data,2-DR,SASKATCHEWAN,AWHP,FVB,WTM3200,3,13
*data,2-DR,SASKATCHEWAN,AWHP,FVB,WTM3210,3,13
*data,2-DR,SASKATCHEWAN,AWHP,FVB,WTM3310,3,13
*data,2-DR,SASKATCHEWAN,AWHP,ICE_CHP,PCM,9,13
*data,2-DR,SASKATCHEWAN,AWHP,ICE_CHP,PV,2,13
*data,2-DR,SASKATCHEWAN,AWHP,ICE_CHP,SCS,8,13
*data,2-DR,SASKATCHEWAN,AWHP,ICE_CHP,SDHW,2,13
*data,2-DR,SASKATCHEWAN,AWHP,ICE_CHP,SE_CHP,13,13
*data,2-DR,SASKATCHEWAN,AWHP,ICE_CHP,WAM,9,13
*data,2-DR,SASKATCHEWAN,AWHP,ICE_CHP,WTM2010,11,13
*data,2-DR,SASKATCHEWAN,AWHP,ICE_CHP,WTM2100,11,13
*data,2-DR,SASKATCHEWAN,AWHP,ICE_CHP,WTM2110,11,13
*data,2-DR,SASKATCHEWAN,AWHP,ICE_CHP,WTM3000,13,13
*data,2-DR,SASKATCHEWAN,AWHP,ICE_CHP,WTM3200,13,13
*data,2-DR,SASKATCHEWAN,AWHP,ICE_CHP,WTM3210,13,13
*data,2-DR,SASKATCHEWAN,AWHP,ICE_CHP,WTM3310,13,13
*data,2-DR,SASKATCHEWAN,AWHP,PCM,PV,1,13
*data,2-DR,SASKATCHEWAN,AWHP,PCM,SCS,5,13
*data,2-DR,SASKATCHEWAN,AWHP,PCM,SDHW,1,13
*data,2-DR,SASKATCHEWAN,AWHP,PCM,SE_CHP,9,13
*data,2-DR,SASKATCHEWAN,AWHP,PCM,WAM,7,13
*data,2-DR,SASKATCHEWAN,AWHP,PCM,WTM2010,7,13
*data,2-DR,SASKATCHEWAN,AWHP,PCM,WTM2100,7,13
*data,2-DR,SASKATCHEWAN,AWHP,PCM,WTM2110,7,13
*data,2-DR,SASKATCHEWAN,AWHP,PCM,WTM3000,9,13
*data,2-DR,SASKATCHEWAN,AWHP,PCM,WTM3200,9,13
*data,2-DR,SASKATCHEWAN,AWHP,PCM,WTM3210,9,13
*data,2-DR,SASKATCHEWAN,AWHP,PCM,WTM3310,9,13
*data,2-DR,SASKATCHEWAN,AWHP,PV,SCS,2,13
*data,2-DR,SASKATCHEWAN,AWHP,PV,SDHW,2,13
*data,2-DR,SASKATCHEWAN,AWHP,PV,SE_CHP,2,13
*data,2-DR,SASKATCHEWAN,AWHP,PV,WAM,2,13
