*header,Filename,GJ,kWh
*data,1083A00037.HDF,33.07,9186
*data,1083A00037.HDF.No-Dryer,30.73,8537
*data,1083A00089.HDF,34.40,9555
*data,1083A00089.HDF.No-Dryer,30.84,8567
*data,1083A00096.HDF,48.29,13415
*data,1083A00096.HDF.No-Dryer,46.65,12958
*data,11BYA00030.HDF,23.39,6497
*data,11BYA00030.HDF.No-Dryer,23.39,6497
*data,11BYA00040.HDF,30.63,8508
*data,11BYA00040.HDF.No-Dryer,28.02,7782
*data,11BYA00045.HDF,23.36,6488
*data,11BYA00045.HDF.No-Dryer,23.17,6435
*data,11BYA00048.HDF,28.58,7939
*data,11BYA00048.HDF.No-Dryer,26.47,7353
*data,11BYA00062.HDF,27.76,7710
*data,11BYA00062.HDF.No-Dryer,27.60,7667
*data,11BYA00075.HDF,42.15,11708
*data,11BYA00075.HDF.No-Dryer,38.05,10569
*data,11BYA00089.HDF,50.31,13975
*data,11BYA00089.HDF.No-Dryer,48.23,13398
*data,11BYA00096.HDF,42.28,11745
*data,11BYA00096.HDF.No-Dryer,39.06,10851
*data,11BYA00099.HDF,27.42,7616
*data,11BYA00099.HDF.No-Dryer,25.79,7163
*data,11BYA00100.HDF,28.06,7795
*data,11BYA00100.HDF.No-Dryer,27.22,7561
*data,11BYA00157.HDF,52.57,14604
*data,11BYA00157.HDF.No-Dryer,48.41,13447
*data,11BYA00201.HDF,23.83,6621
*data,11BYA00201.HDF.No-Dryer,21.98,6105
*data,11BYA00208.HDF,62.46,17350
*data,11BYA00208.HDF.No-Dryer,61.59,17109
*data,11BYA00214.HDF,47.72,13255
*data,11BYA00214.HDF.No-Dryer,42.56,11821
*data,11BYA00225.HDF,64.85,18015
*data,11BYA00225.HDF.No-Dryer,64.85,18015
*data,11BYA00236.HDF,22.34,6207
*data,11BYA00236.HDF.No-Dryer,21.42,5949
*data,11BYA00264.HDF,25.49,7080
*data,11BYA00264.HDF.No-Dryer,23.28,6468
*data,11BYA00270.HDF,37.24,10344
*data,11BYA00270.HDF.No-Dryer,39.86,11071
*data,11BYA00273.HDF,23.39,6498
*data,11BYA00273.HDF.No-Dryer,22.15,6154
*data,11DDA00055.HDF,74.61,20725
*data,11DDA00055.HDF.No-Dryer,70.79,19664
*data,11DDA00061.HDF,29.94,8316
*data,11DDA00061.HDF.No-Dryer,29.94,8316
*data,11DDA00128.HDF,20.81,5780
*data,11DDA00128.HDF.No-Dryer,20.81,5780
*data,11DDA00143.HDF,25.91,7197
*data,11DDA00143.HDF.No-Dryer,25.91,7197
*data,11DDA00150.HDF,38.94,10816
*data,11DDA00150.HDF.No-Dryer,37.40,10388
*data,11DDA00163.HDF,36.63,10174
*data,11DDA00163.HDF.No-Dryer,33.99,9443
*data,11DDA00164.HDF,26.41,7336
*data,11DDA00164.HDF.No-Dryer,24.16,6710
*data,11DMA00022.HDF,33.08,9188
*data,11DMA00022.HDF.No-Dryer,28.61,7947
*data,11DMA00070.HDF,39.82,11062
*data,11DMA00070.HDF.No-Dryer,38.55,10710
*data,11DMA00078.HDF,23.39,6498
*data,11DMA00078.HDF.No-Dryer,22.08,6133
*data,11GMA00004.HDF,37.83,10508
*data,11GMA00004.HDF.No-Dryer,34.13,9481
*data,11GMA00005.HDF,29.31,8142
*data,11GMA00005.HDF.No-Dryer,25.87,7186
*data,11GMA00007.HDF,37.22,10340
*data,11GMA00007.HDF.No-Dryer,33.84,9401
*data,11GMA00011.HDF,26.50,7361
*data,11GMA00011.HDF.No-Dryer,25.65,7125
*data,11GMA00031.HDF,39.77,11048
*data,11GMA00031.HDF.No-Dryer,37.05,10291
*data,11GMA00047.HDF,23.53,6536
*data,11GMA00047.HDF.No-Dryer,21.75,6042
*data,11GMA00059.HDF,44.28,12299
*data,11GMA00059.HDF.No-Dryer,42.89,11915
*data,11GMA00085.HDF,25.04,6957
*data,11GMA00085.HDF.No-Dryer,23.72,6590
*data,11GMA00088.HDF,38.89,10803
*data,11GMA00088.HDF.No-Dryer,37.27,10354
*data,11GMA00114.HDF,20.93,5814
*data,11GMA00114.HDF.No-Dryer,20.92,5811
*data,11GMA00126.HDF,47.34,13150
*data,11GMA00126.HDF.No-Dryer,42.34,11762
*data,11GMA00130.HDF,26.37,7324
*data,11GMA00130.HDF.No-Dryer,24.67,6852
*data,11GMA00142.HDF,29.10,8083
*data,11GMA00142.HDF.No-Dryer,27.47,7630
*data,11HTA00005.HDF,40.91,11363
*data,11HTA00005.HDF.No-Dryer,39.96,11100
*data,11HTA00017.HDF,43.60,12111
*data,11HTA00017.HDF.No-Dryer,42.59,11831
*data,11HTA00037.HDF,21.98,6106
*data,11HTA00037.HDF.No-Dryer,24.12,6700
*data,11HTA00058.HDF,26.54,7372
*data,11HTA00058.HDF.No-Dryer,26.49,7359
*data,11HTA00077.HDF,24.55,6818
*data,11HTA00077.HDF.No-Dryer,24.04,6678
*data,11HTA00085.HDF,48.43,13453
*data,11HTA00085.HDF.No-Dryer,48.43,13453
*data,11HTA00093.HDF,28.46,7906
*data,11HTA00093.HDF.No-Dryer,26.47,7354
*data,11HTA00098.HDF,28.71,7975
*data,11HTA00098.HDF.No-Dryer,28.26,7849
*data,11HTA00113.HDF,54.55,15151
*data,11HTA00113.HDF.No-Dryer,50.01,13892
*data,11HTA00135.HDF,48.55,13487
*data,11HTA00135.HDF.No-Dryer,45.14,12539
*data,11HTA00137.HDF,46.13,12813
*data,11HTA00137.HDF.No-Dryer,41.00,11390
*data,11HTA00145.HDF,25.31,7030
*data,11HTA00145.HDF.No-Dryer,22.20,6166
*data,11HTA00156.HDF,26.83,7453
*data,11HTA00156.HDF.No-Dryer,23.52,6533
*data,11JMA00035.HDF,28.20,7833
*data,11JMA00035.HDF.No-Dryer,27.58,7660
*data,11JMA00088.HDF,22.71,6309
*data,11JMA00088.HDF.No-Dryer,22.29,6192
*data,11JMA00103.HDF,29.52,8199
*data,11JMA00103.HDF.No-Dryer,27.17,7548
*data,11JTA00011.HDF,21.66,6018
*data,11JTA00011.HDF.No-Dryer,21.54,5984
*data,11JTA00024.HDF,42.78,11883
*data,11JTA00024.HDF.No-Dryer,37.98,10550
*data,11JTA00052.HDF,38.05,10570
*data,11JTA00052.HDF.No-Dryer,36.98,10272
*data,11KBA00028.HDF,33.86,9405
*data,11KBA00028.HDF.No-Dryer,28.55,7931
*data,11MLA00017.HDF,28.16,7823
*data,11MLA00017.HDF.No-Dryer,26.32,7311
*data,11MLA00022.HDF,45.87,12743
*data,11MLA00022.HDF.No-Dryer,44.37,12324
*data,11MLA00023.HDF,42.82,11895
*data,11MLA00023.HDF.No-Dryer,37.21,10336
*data,11MLA00030.HDF,31.90,8862
*data,11MLA00030.HDF.No-Dryer,28.56,7933
*data,11MLA00035.HDF,32.91,9143
*data,11MLA00035.HDF.No-Dryer,32.29,8968
*data,11MLA00040.HDF,37.53,10426
*data,11MLA00040.HDF.No-Dryer,33.52,9311
*data,11MLA00042.HDF,30.70,8527
*data,11MLA00042.HDF.No-Dryer,29.49,8190
*data,11MLA00047.HDF,34.78,9660
*data,11MLA00047.HDF.No-Dryer,31.75,8818
*data,11MLA00053.HDF,36.86,10239
*data,11MLA00053.HDF.No-Dryer,46.69,12969
*data,11PTA00021.HDF,25.14,6984
*data,11PTA00021.HDF.No-Dryer,25.14,6984
*data,11PTA00027.HDF,29.51,8197
*data,11PTA00027.HDF.No-Dryer,29.51,8197
*data,11PTA00032.HDF,34.29,9526
*data,11PTA00032.HDF.No-Dryer,32.08,8912
*data,11PTA00033.HDF,37.73,10480
*data,11PTA00033.HDF.No-Dryer,34.90,9694
*data,11PTA00038.HDF,21.49,5969
*data,11PTA00038.HDF.No-Dryer,21.21,5893
*data,11PTA00062.HDF,28.16,7822
*data,11PTA00062.HDF.No-Dryer,26.97,7491
*data,11PTA00063.HDF,26.19,7275
*data,11PTA00063.HDF.No-Dryer,23.48,6522
*data,11PTA00096.HDF,37.33,10369
*data,11PTA00096.HDF.No-Dryer,34.36,9544
*data,11PTA00098.HDF,35.53,9869
*data,11PTA00098.HDF.No-Dryer,31.34,8707
*data,11PTA00103.HDF,22.54,6262
*data,11PTA00103.HDF.No-Dryer,21.81,6058
*data,11PTA00111.HDF,29.78,8271
*data,11PTA00111.HDF.No-Dryer,29.37,8158
*data,11PTA00133.HDF,28.02,7783
*data,11PTA00133.HDF.No-Dryer,27.39,7607
*data,11PTA00135.HDF,21.49,5970
*data,11PTA00135.HDF.No-Dryer,21.04,5845
*data,11PTA00145.HDF,21.12,5866
*data,11PTA00145.HDF.No-Dryer,20.32,5646
*data,11PTA00180.HDF,27.08,7522
*data,11PTA00180.HDF.No-Dryer,27.08,7522
*data,11PTA00187.HDF,35.71,9918
*data,11PTA00187.HDF.No-Dryer,31.25,8680
*data,11PTA00209.HDF,41.34,11484
*data,11PTA00209.HDF.No-Dryer,40.00,11110
*data,11PTA00228.HDF,24.63,6841
*data,11PTA00228.HDF.No-Dryer,24.63,6841
*data,11PTA00241.HDF,29.07,8075
*data,11PTA00241.HDF.No-Dryer,29.07,8075
*data,11PTA00244.HDF,22.14,6150
*data,11PTA00244.HDF.No-Dryer,20.31,5642
*data,11PTA00246.HDF,24.20,6722
*data,11PTA00246.HDF.No-Dryer,22.84,6345
*data,11PTA00248.HDF,27.68,7688
*data,11PTA00248.HDF.No-Dryer,24.27,6743
*data,11PTA00252.HDF,35.17,9770
*data,11PTA00252.HDF.No-Dryer,31.28,8690
*data,11PTA00273.HDF,24.91,6918
*data,11PTA00273.HDF.No-Dryer,24.75,6875
*data,11PTA00276.HDF,36.15,10043
*data,11PTA00276.HDF.No-Dryer,35.85,9958
*data,11PTA00281.HDF,37.36,10377
*data,11PTA00281.HDF.No-Dryer,35.70,9917
*data,11PTA00289.HDF,30.78,8549
*data,11PTA00289.HDF.No-Dryer,28.39,7886
*data,11SWA00023.HDF,45.96,12766
*data,11SWA00023.HDF.No-Dryer,43.14,11983
*data,11SWA00052.HDF,34.23,9507
*data,11SWA00052.HDF.No-Dryer,34.23,9507
*data,11SWA00056.HDF,29.39,8164
*data,11SWA00056.HDF.No-Dryer,28.50,7916
*data,11SWA00075.HDF,21.65,6015
*data,11SWA00075.HDF.No-Dryer,21.39,5940
*data,11SWA00104.HDF,34.17,9491
*data,11SWA00104.HDF.No-Dryer,36.30,10084
*data,11SWA00109.HDF,29.81,8279
*data,11SWA00109.HDF.No-Dryer,26.83,7452
*data,11SWA00118.HDF,23.95,6654
*data,11SWA00118.HDF.No-Dryer,23.16,6434
*data,11SWA00120.HDF,33.08,9188
*data,11SWA00120.HDF.No-Dryer,33.08,9188
*data,11SWA00126.HDF,34.87,9686
*data,11SWA00126.HDF.No-Dryer,34.87,9686
*data,11SWA00135.HDF,33.37,9269
*data,11SWA00135.HDF.No-Dryer,32.18,8938
*data,11SWA00140.HDF,34.29,9525
*data,11SWA00140.HDF.No-Dryer,32.28,8968
*data,11SWA00143.HDF,28.96,8043
*data,11SWA00143.HDF.No-Dryer,25.38,7050
*data,2264A00004.HDF,27.77,7714
*data,2264A00004.HDF.No-Dryer,26.90,7474
*data,2264A00010.HDF,23.13,6424
*data,2264A00010.HDF.No-Dryer,22.51,6252
*data,2264A00013.HDF,28.99,8053
*data,2264A00013.HDF.No-Dryer,28.99,8053
*data,2264A00017.HDF,29.10,8082
*data,2264A00017.HDF.No-Dryer,28.62,7949
*data,2264A00018.HDF,31.12,8643
*data,2264A00018.HDF.No-Dryer,33.96,9434
*data,2264A00021.HDF,24.58,6827
*data,2264A00021.HDF.No-Dryer,24.59,6829
*data,2264A00028.HDF,18.02,5007
*data,2264A00028.HDF.No-Dryer,18.02,5007
*data,2264A00031.HDF,27.47,7630
*data,2264A00031.HDF.No-Dryer,23.96,6657
*data,2264A00034.HDF,23.92,6644
*data,2264A00034.HDF.No-Dryer,23.50,6529
*data,2299A00002.HDF,31.46,8739
*data,2299A00002.HDF.No-Dryer,28.14,7817
*data,2299A00010.HDF,27.15,7543
*data,2299A00010.HDF.No-Dryer,26.91,7475
*data,2299A00024.HDF,26.34,7317
*data,2299A00024.HDF.No-Dryer,25.37,7047
*data,2299A00045.HDF,24.97,6936
*data,2299A00045.HDF.No-Dryer,23.71,6585
*data,2299A00055.HDF,27.69,7691
*data,2299A00055.HDF.No-Dryer,25.60,7112
*data,2299A00072.HDF,37.45,10403
*data,2299A00072.HDF.No-Dryer,30.61,8504
*data,2299A00078.HDF,46.60,12943
*data,2299A00078.HDF.No-Dryer,43.09,11970
*data,2299A00082.HDF,18.91,5254
*data,2299A00082.HDF.No-Dryer,18.26,5072
*data,2299A00085.HDF,41.99,11663
*data,2299A00085.HDF.No-Dryer,37.99,10553
*data,2299A00099.HDF,25.92,7200
*data,2299A00099.HDF.No-Dryer,25.48,7078
*data,2299A00104.HDF,30.85,8569
*data,2299A00104.HDF.No-Dryer,27.69,7691
*data,2299A00105.HDF,29.21,8113
*data,2299A00105.HDF.No-Dryer,28.73,7981
*data,2299A00114.HDF,37.97,10547
*data,2299A00114.HDF.No-Dryer,33.47,9297
*data,2299A00132.HDF,34.18,9493
*data,2299A00132.HDF.No-Dryer,30.20,8389
*data,2299A00143.HDF,37.43,10396
*data,2299A00143.HDF.No-Dryer,35.69,9913
*data,2299A00156.HDF,39.95,11097
*data,2299A00156.HDF.No-Dryer,36.89,10248
*data,2299A00164.HDF,29.71,8253
*data,2299A00164.HDF.No-Dryer,28.80,8000
*data,2299A00185.HDF,20.62,5728
