*header,File_name,Shared_system,Number_of_tanks,Tank_age,Tank_size,Tank_blanket,Pipe_insulation,Low_flow_shower_head,Tap_attachment_aerator,NN_DHW_System_Efficiency,Ground_Temp,Clothes_Washer,Dishwasher,Num_of_Children,Num_of_Adults,Income,Dwelling_Type,Ownership,Rural_Suburb_Urban
*unit,-,presence,count,years,L,presence,presence,count,count,decimal form,C,loads/week,loads/week,count,count,$1000's/yr,SD=1 DR=0,1=owner; 0=renter,<=15k;15k-100k;>=100k
*min,-,0,1,0.5,130,0,0,0,0,0.3,5,0,0,0,1,10,0,0,1
*max,-,1,2,18,280,1,1,3,4,0.824,12,15,15,5,8,85,1,1,3
*data,1015A00782.HDF,0,1,18,181,0,1,2,2,0.554,6.9,6,0,0,1,70.9,1,1,3
*data,1015A00782.HDF.No-Dryer,0,1,18,181,0,1,2,2,0.554,6.9,6,0,0,1,70.9,1,1,3
*data,1015A00785.HDF,0,1,18,181,0,1,0,0,0.824,6.9,4,4,1,1,25,1,1,3
*data,1015A00785.HDF.No-Dryer,0,1,18,181,0,1,0,0,0.824,6.9,4,4,1,1,25,1,1,3
*data,1017A00006.HDF,0,1,18,181,0,0,2,2,0.824,6.9,6,1.5,0,1,41.7,1,1,3
*data,1017A00006.HDF.No-Dryer,0,1,18,181,0,0,2,2,0.824,6.9,6,1.5,0,1,41.7,1,1,3
*data,1017A00013.HDF,0,1,8,181,0,0,0,0,0.554,6.9,4,0,0,1,70.9,1,0,3
*data,1017A00013.HDF.No-Dryer,0,1,8,181,0,0,0,0,0.554,6.9,4,0,0,1,70.9,1,0,3
*data,1017A00032.HDF,0,1,4.5,181,0,1,0,0,0.824,6.9,4,1.5,0,2,70.9,1,1,3
*data,1017A00032.HDF.No-Dryer,0,1,4.5,181,0,1,0,0,0.824,6.9,4,1.5,0,2,70.9,1,1,3
*data,1017A00035.HDF,0,1,18,181,0,1,0,0,0.824,6.9,6,6,1,2,12.5,1,1,1
*data,1017A00035.HDF.No-Dryer,0,1,18,181,0,1,0,0,0.824,6.9,6,6,1,2,12.5,1,1,1
*data,1018A00007.HDF,0,1,2,181,0,0,2,0,0.824,6.9,1.5,4,0,1,41.7,1,1,1
*data,1018A00007.HDF.No-Dryer,0,1,2,181,0,0,2,0,0.824,6.9,1.5,4,0,1,41.7,1,1,1
*data,1018A00013.HDF,0,1,13,181,0,0,2,0,0.554,6.9,6,4,0,2,70.9,1,1,3
*data,1018A00013.HDF.No-Dryer,0,1,13,181,0,0,2,0,0.554,6.9,6,4,0,2,70.9,1,1,3
*data,1018A00021.HDF,0,1,2,181,1,1,0,2,0.824,6.9,0,0,2,2,58.4,1,1,1
*data,1018A00021.HDF.No-Dryer,0,1,2,181,1,1,0,2,0.824,6.9,0,0,2,2,58.4,1,1,1
*data,1018A00044.HDF,0,1,8,181,0,0,2,2,0.824,6.9,4,6,0,2,41.7,1,1,3
*data,1018A00044.HDF.No-Dryer,0,1,8,181,0,0,2,2,0.824,6.9,4,6,0,2,41.7,1,1,3
*data,1018A00046.HDF,0,1,8,181,0,1,0,0,0.824,6.9,4,4,0,2,70.9,1,1,3
*data,1018A00046.HDF.No-Dryer,0,1,8,181,0,1,0,0,0.824,6.9,4,4,0,2,70.9,1,1,3
*data,1018A00058.HDF,0,1,8,272,0,1,0,2,0.824,6.9,1.5,1.5,0,2,58.4,1,1,3
*data,1018A00058.HDF.No-Dryer,0,1,8,272,0,1,0,2,0.824,6.9,1.5,1.5,0,2,58.4,1,1,3
*data,1018A00067.HDF,0,1,18,181,0,0,2,0,0.824,6.9,4,0,1,2,70.9,1,1,3
*data,1018A00067.HDF.No-Dryer,0,1,18,181,0,0,2,0,0.824,6.9,4,0,1,2,70.9,1,1,3
*data,1018A00072.HDF,0,1,13,181,1,0,0,2,0.824,6.9,1.5,0,1,2,41.7,1,1,2
*data,1018A00072.HDF.No-Dryer,0,1,13,181,1,0,0,2,0.824,6.9,1.5,0,1,2,41.7,1,1,2
*data,1018A00073.HDF,0,1,8,181,1,0,2,2,0.824,6.9,4,0,0,2,70.9,1,1,1
*data,1018A00073.HDF.No-Dryer,0,1,8,181,1,0,2,2,0.824,6.9,4,0,0,2,70.9,1,1,1
*data,1018A00076.HDF,0,1,2,136,0,1,2,2,0.824,6.9,4,0,0,2,25,1,1,3
*data,1018A00076.HDF.No-Dryer,0,1,2,136,0,1,2,2,0.824,6.9,4,0,0,2,25,1,1,3
*data,1018A00084.HDF,0,1,8,181,1,0,2,0,0.554,6.9,4,0,2,2,70.9,1,1,3
*data,1018A00084.HDF.No-Dryer,0,1,8,181,1,0,2,0,0.554,6.9,4,0,2,2,70.9,1,1,3
*data,1018A00085.HDF,0,1,13,181,0,1,2,2,0.824,6.9,4,0,1,1,25,1,1,1
*data,1018A00085.HDF.No-Dryer,0,1,13,181,0,1,2,2,0.824,6.9,4,0,1,1,25,1,1,1
*data,1018A00089.HDF,0,1,8,272,1,0,2,0,0.824,6.9,6,0,1,2,70.9,1,1,1
*data,1018A00089.HDF.No-Dryer,0,1,8,272,1,0,2,0,0.824,6.9,6,0,1,2,70.9,1,1,1
*data,1018A00107.HDF,0,1,2,227,0,0,2,2,0.824,6.9,0,0,1,3,25,1,1,1
*data,1018A00107.HDF.No-Dryer,0,1,2,227,0,0,2,2,0.824,6.9,0,0,1,3,25,1,1,1
*data,1018A00110.HDF,0,1,4.5,181,1,0,0,2,0.824,6.9,6,6,0,1,25,1,1,1
*data,1018A00110.HDF.No-Dryer,0,1,4.5,181,1,0,0,2,0.824,6.9,6,6,0,1,25,1,1,1
*data,1018A00114.HDF,0,1,8,181,0,1,2,2,0.554,6.9,4,0,0,1,70.9,1,1,3
*data,1018A00114.HDF.No-Dryer,0,1,8,181,0,1,2,2,0.554,6.9,4,0,0,1,70.9,1,1,3
*data,1018A00136.HDF,0,1,4.5,181,0,1,0,2,0.824,6.9,6,0,1,2,70.9,1,1,2
*data,1018A00136.HDF.No-Dryer,0,1,4.5,181,0,1,0,2,0.824,6.9,6,0,1,2,70.9,1,1,2
*data,1018A00137.HDF,0,1,8,181,0,1,2,0,0.824,6.9,4,4,1,1,58.4,1,1,1
*data,1018A00137.HDF.No-Dryer,0,1,8,181,0,1,2,0,0.824,6.9,4,4,1,1,58.4,1,1,1
*data,1018A00143.HDF,0,1,2,181,0,1,2,2,0.824,6.9,1.5,6,0,2,70.9,1,1,3
*data,1018A00143.HDF.No-Dryer,0,1,2,181,0,1,2,2,0.824,6.9,1.5,6,0,2,70.9,1,1,3
*data,1018A00154.HDF,0,1,2,272,0,0,0,0,0.824,6.9,6,0,0,3,70.9,1,1,3
*data,1018A00154.HDF.No-Dryer,0,1,2,272,0,0,0,0,0.824,6.9,6,0,0,3,70.9,1,1,3
*data,1018A00167.HDF,0,1,13,181,0,1,0,2,0.554,6.9,4,0,0,1,70.9,1,1,3
*data,1018A00167.HDF.No-Dryer,0,1,13,181,0,1,0,2,0.554,6.9,4,0,0,1,70.9,1,1,3
*data,1018A00180.HDF,0,1,4.5,272,1,0,0,0,0.824,6.9,1.5,0,1,1,70.9,1,1,1
*data,1018A00180.HDF.No-Dryer,0,1,4.5,272,1,0,0,0,0.824,6.9,1.5,0,1,1,70.9,1,1,1
*data,1018A00181.HDF,0,1,8,272,0,1,2,0,0.554,6.9,1.5,4,0,1,70.9,1,1,3
*data,1018A00181.HDF.No-Dryer,0,1,8,272,0,1,2,0,0.554,6.9,1.5,4,0,1,70.9,1,1,3
*data,1018A00183.HDF,0,1,8,181,0,0,0,2,0.554,6.9,1.5,0,1,2,25,1,1,3
*data,1018A00183.HDF.No-Dryer,0,1,8,181,0,0,0,2,0.554,6.9,1.5,0,1,2,25,1,1,3
*data,1018A00184.HDF,0,1,4.5,272,0,1,2,0,0.824,6.9,1.5,0,2,2,25,1,1,1
*data,1018A00184.HDF.No-Dryer,0,1,4.5,272,0,1,2,0,0.824,6.9,1.5,0,2,2,25,1,1,1
*data,1018A00185.HDF,0,1,2,181,1,0,2,0,0.824,6.9,0,4,0,1,25,1,1,1
*data,1018A00185.HDF.No-Dryer,0,1,2,181,1,0,2,0,0.824,6.9,0,4,0,1,25,1,1,1
*data,1018A00187.HDF,0,1,8,181,0,0,0,2,0.824,6.9,4,0,1,2,41.7,1,1,2
*data,1018A00187.HDF.No-Dryer,0,1,8,181,0,0,0,2,0.824,6.9,4,0,1,2,41.7,1,1,2
*data,1018A00195.HDF,0,1,18,181,1,0,2,0,0.824,6.9,1.5,4,0,2,70.9,1,1,3
*data,1018A00195.HDF.No-Dryer,0,1,18,181,1,0,2,0,0.824,6.9,1.5,4,0,2,70.9,1,1,3
*data,1018A00197.HDF,0,1,8,181,1,1,2,2,0.824,6.9,4,4,0,2,41.7,1,0,1
*data,1018A00197.HDF.No-Dryer,0,1,8,181,1,1,2,2,0.824,6.9,4,4,0,2,41.7,1,0,1
*data,1018A00201.HDF,0,1,18,181,0,0,2,2,0.554,6.9,4,6,1,1,70.9,1,1,1
*data,1018A00201.HDF.No-Dryer,0,1,18,181,0,0,2,2,0.554,6.9,4,6,1,1,70.9,1,1,1
*data,1018A00217.HDF,0,1,4.5,181,1,0,2,0,0.824,6.9,4,0,0,2,70.9,1,1,1
*data,1018A00217.HDF.No-Dryer,0,1,4.5,181,1,0,2,0,0.824,6.9,4,0,0,2,70.9,1,1,1
*data,1018A00224.HDF,0,1,4.5,272,0,1,2,2,0.824,6.9,6,0,1,1,41.7,1,1,1
*data,1018A00224.HDF.No-Dryer,0,1,4.5,272,0,1,2,2,0.824,6.9,6,0,1,1,41.7,1,1,1
*data,1018A00235.HDF,0,1,4.5,227,0,1,2,2,0.824,6.9,6,0,1,2,25,1,1,3
*data,1018A00235.HDF.No-Dryer,0,1,4.5,227,0,1,2,2,0.824,6.9,6,0,1,2,25,1,1,3
*data,1018A00237.HDF,0,1,8,272,1,1,2,0,0.824,6.9,0,4,0,1,70.9,1,1,2
*data,1018A00237.HDF.No-Dryer,0,1,8,272,1,1,2,0,0.824,6.9,0,4,0,1,70.9,1,1,2
*data,1018A00244.HDF,0,1,4.5,272,0,1,0,2,0.824,6.9,4,4,0,2,58.4,1,1,2
*data,1018A00244.HDF.No-Dryer,0,1,4.5,272,0,1,0,2,0.824,6.9,4,4,0,2,58.4,1,1,2
*data,1018A00245.HDF,0,1,13,136,0,1,2,2,0.824,6.9,1.5,0,0,1,12.5,1,1,3
*data,1018A00245.HDF.No-Dryer,0,1,13,136,0,1,2,2,0.824,6.9,1.5,0,0,1,12.5,1,1,3
*data,1018A00246.HDF,0,1,8,272,0,1,0,2,0.824,6.9,4,1.5,0,2,25,1,1,3
*data,1018A00246.HDF.No-Dryer,0,1,8,272,0,1,0,2,0.824,6.9,4,1.5,0,2,25,1,1,3
*data,1018A00248.HDF,0,1,8,227,0,0,2,2,0.824,6.9,6,4,2,2,70.9,1,1,1
*data,1018A00248.HDF.No-Dryer,0,1,8,227,0,0,2,2,0.824,6.9,6,4,2,2,70.9,1,1,1
*data,1018A00250.HDF,0,1,18,181,1,0,2,0,0.824,6.9,1.5,6,3,2,70.9,1,1,3
*data,1018A00250.HDF.No-Dryer,0,1,18,181,1,0,2,0,0.824,6.9,1.5,6,3,2,70.9,1,1,3
*data,1018A00256.HDF,0,1,4.5,181,1,0,0,0,0.824,6.9,6,0,1,1,58.4,1,1,1
*data,1018A00256.HDF.No-Dryer,0,1,4.5,181,1,0,0,0,0.824,6.9,6,0,1,1,58.4,1,1,1
*data,1018A00263.HDF,0,1,13,181,0,0,2,0,0.824,6.9,4,0,0,2,70.9,1,1,1
*data,1018A00263.HDF.No-Dryer,0,1,13,181,0,0,2,0,0.824,6.9,4,0,0,2,70.9,1,1,1
*data,1018A00264.HDF,0,1,18,181,0,1,2,2,0.824,6.9,6,1.5,0,1,70.9,1,1,1
*data,1018A00264.HDF.No-Dryer,0,1,18,181,0,1,2,2,0.824,6.9,6,1.5,0,1,70.9,1,1,1
*data,1036A00003.HDF,0,1,8,272,1,0,2,2,0.554,6.9,0,1.5,3,1,41.7,1,1,3
*data,1036A00003.HDF.No-Dryer,0,1,8,272,1,0,2,2,0.554,6.9,0,1.5,3,1,41.7,1,1,3
*data,1036A00007.HDF,0,1,4.5,181,0,0,0,0,0.554,6.9,6,0,0,2,70.9,1,1,3
*data,1036A00007.HDF.No-Dryer,0,1,4.5,181,0,0,0,0,0.554,6.9,6,0,0,2,70.9,1,1,3
*data,1036A00013.HDF,0,1,8,181,0,1,2,2,0.824,6.9,1.5,0,0,1,70.9,1,1,3
*data,1036A00013.HDF.No-Dryer,0,1,8,181,0,1,2,2,0.824,6.9,1.5,0,0,1,70.9,1,1,3
*data,1036A00033.HDF,0,1,13,227,0,1,2,0,0.824,6.9,6,4,2,2,70.9,1,1,3
*data,1036A00033.HDF.No-Dryer,0,1,13,227,0,1,2,0,0.824,6.9,6,4,2,2,70.9,1,1,3
*data,1036A00070.HDF,0,1,8,181,0,0,2,0,0.554,6.9,4,0,2,2,70.9,1,1,3
*data,1036A00070.HDF.No-Dryer,0,1,8,181,0,0,2,0,0.554,6.9,4,0,2,2,70.9,1,1,3
*data,1038A00384.HDF,0,1,8,181,0,1,2,2,0.824,6.9,1.5,4,0,1,41.7,1,1,3
*data,1038A00384.HDF.No-Dryer,0,1,8,181,0,1,2,2,0.824,6.9,1.5,4,0,1,41.7,1,1,3
*data,1039A00528.HDF,0,1,4.5,272,0,1,0,2,0.554,6.9,4,4,0,1,70.9,1,1,3
*data,1039A00528.HDF.No-Dryer,0,1,4.5,272,0,1,0,2,0.554,6.9,4,4,0,1,70.9,1,1,3
*data,1053A00005.HDF,0,1,13,181,0,1,0,0,0.824,6.9,4,6,0,1,70.9,1,1,1
*data,1053A00005.HDF.No-Dryer,0,1,13,181,0,1,0,0,0.824,6.9,4,6,0,1,70.9,1,1,1
*data,1053A00017.HDF,0,1,13,181,0,0,2,0,0.824,6.9,1.5,6,1,1,70.9,1,1,1
*data,1053A00017.HDF.No-Dryer,0,1,13,181,0,0,2,0,0.824,6.9,1.5,6,1,1,70.9,1,1,1
*data,1053A00023.HDF,0,1,4.5,181,0,1,0,0,0.824,6.9,4,4,1,2,41.7,1,1,1
*data,1053A00023.HDF.No-Dryer,0,1,4.5,181,0,1,0,0,0.824,6.9,4,4,1,2,41.7,1,1,1
*data,1053A00026.HDF,0,1,4.5,181,0,1,2,0,0.824,6.9,0,4,0,2,25,1,1,1
*data,1053A00026.HDF.No-Dryer,0,1,4.5,181,0,1,2,0,0.824,6.9,0,4,0,2,25,1,1,1
*data,1053A00033.HDF,0,1,8,227,0,1,2,2,0.824,6.9,0,0,2,2,70.9,1,1,1
*data,1053A00033.HDF.No-Dryer,0,1,8,227,0,1,2,2,0.824,6.9,0,0,2,2,70.9,1,1,1
*data,1053A00038.HDF,0,1,8,181,1,1,0,2,0.824,6.9,1.5,0,3,2,70.9,1,1,1
*data,1053A00038.HDF.No-Dryer,0,1,8,181,1,1,0,2,0.824,6.9,1.5,0,3,2,70.9,1,1,1
*data,1053A00042.HDF,0,1,4.5,272,1,0,0,0,0.824,6.9,1.5,0,0,1,70.9,1,1,1
*data,1053A00042.HDF.No-Dryer,0,1,4.5,272,1,0,0,0,0.824,6.9,1.5,0,0,1,70.9,1,1,1
*data,1085A00052.HDF,0,1,4.5,181,1,0,2,2,0.554,6.9,4,1.5,0,1,70.9,1,1,3
*data,1085A00052.HDF.No-Dryer,0,1,4.5,181,1,0,2,2,0.554,6.9,4,1.5,0,1,70.9,1,1,3
*data,1085A00056.HDF,0,1,8,272,1,1,2,2,0.824,6.9,4,4,0,4,25,1,1,1
*data,1085A00056.HDF.No-Dryer,0,1,8,272,1,1,2,2,0.824,6.9,4,4,0,4,25,1,1,1
*data,1085A00061.HDF,0,1,4.5,272,0,0,0,2,0.824,6.9,0,4,2,3,70.9,1,1,1
*data,1085A00061.HDF.No-Dryer,0,1,4.5,272,0,0,0,2,0.824,6.9,0,4,2,3,70.9,1,1,1
*data,1085A00071.HDF,0,1,18,181,0,1,2,0,0.554,6.9,6,0,0,1,70.9,1,1,3
*data,1085A00071.HDF.No-Dryer,0,1,18,181,0,1,2,0,0.554,6.9,6,0,0,1,70.9,1,1,3
*data,1085A00074.HDF,0,1,13,181,0,1,2,0,0.824,6.9,6,4,0,1,70.9,1,1,3
*data,1085A00074.HDF.No-Dryer,0,1,13,181,0,1,2,0,0.824,6.9,6,4,0,1,70.9,1,1,3
*data,1085A00075.HDF,0,1,8,272,0,0,2,0,0.824,6.9,6,4,2,2,70.9,1,1,3
*data,1085A00075.HDF.No-Dryer,0,1,8,272,0,0,2,0,0.824,6.9,6,4,2,2,70.9,1,1,3
*data,1085A00076.HDF,0,1,8,181,0,0,0,0,0.824,6.9,6,1.5,1,2,70.9,1,1,1
*data,1085A00076.HDF.No-Dryer,0,1,8,181,0,0,0,0,0.824,6.9,6,1.5,1,2,70.9,1,1,1
*data,1085A00085.HDF,0,1,2,272,0,0,2,2,0.824,6.9,4,0,1,1,70.9,1,1,1
*data,1085A00085.HDF.No-Dryer,0,1,2,272,0,0,2,2,0.824,6.9,4,0,1,1,70.9,1,1,1
*data,1085A00090.HDF,0,1,4.5,181,1,1,2,0,0.824,6.9,4,4,0,1,58.4,1,1,2
*data,1085A00090.HDF.No-Dryer,0,1,4.5,181,1,1,2,0,0.824,6.9,4,4,0,1,58.4,1,1,2
*data,1085A00095.HDF,0,1,8,272,0,0,2,2,0.824,6.9,4,4,2,2,70.9,1,1,3
*data,1085A00095.HDF.No-Dryer,0,1,8,272,0,0,2,2,0.824,6.9,4,4,2,2,70.9,1,1,3
*data,1085A00096.HDF,0,1,8,181,0,1,2,2,0.824,6.9,1.5,4,1,2,70.9,1,1,3
*data,1085A00096.HDF.No-Dryer,0,1,8,181,0,1,2,2,0.824,6.9,1.5,4,1,2,70.9,1,1,3
*data,1085A00121.HDF,0,1,4.5,136,1,0,2,0,0.824,6.9,6,6,0,1,70.9,1,1,3
*data,1085A00121.HDF.No-Dryer,0,1,4.5,136,1,0,2,0,0.824,6.9,6,6,0,1,70.9,1,1,3
*data,1085A00128.HDF,0,1,8,181,0,0,2,0,0.824,6.9,0,1.5,0,1,70.9,1,1,1
*data,1085A00128.HDF.No-Dryer,0,1,8,181,0,0,2,0,0.824,6.9,0,1.5,0,1,70.9,1,1,1
*data,1085A00129.HDF,0,1,18,181,0,0,2,2,0.824,6.9,0,0,2,2,70.9,1,1,1
*data,1085A00129.HDF.No-Dryer,0,1,18,181,0,0,2,2,0.824,6.9,0,0,2,2,70.9,1,1,1
*data,1085A00143.HDF,0,1,2,136,1,0,2,0,0.824,6.9,4,4,3,2,58.4,1,1,3
*data,1085A00143.HDF.No-Dryer,0,1,2,136,1,0,2,0,0.824,6.9,4,4,3,2,58.4,1,1,3
*data,1085A00147.HDF,0,1,2,181,1,0,2,2,0.824,6.9,0,4,2,1,25,1,1,3
*data,1085A00147.HDF.No-Dryer,0,1,2,181,1,0,2,2,0.824,6.9,0,4,2,1,25,1,1,3
*data,1085A00148.HDF,0,1,4.5,181,0,1,2,2,0.824,6.9,4,1.5,2,1,70.9,1,1,1
*data,1085A00148.HDF.No-Dryer,0,1,4.5,181,0,1,2,2,0.824,6.9,4,1.5,2,1,70.9,1,1,1
*data,1085A00153.HDF,0,1,13,181,0,1,0,0,0.824,6.9,0,4,0,2,25,1,1,1
*data,1085A00153.HDF.No-Dryer,0,1,13,181,0,1,0,0,0.824,6.9,0,4,0,2,25,1,1,1
*data,1085A00156.HDF,0,1,8,136,0,1,2,2,0.824,6.9,4,1.5,1,2,70.9,1,1,1
*data,1085A00156.HDF.No-Dryer,0,1,8,136,0,1,2,2,0.824,6.9,4,1.5,1,2,70.9,1,1,1
*data,1085A00172.HDF,0,1,8,181,0,1,0,2,0.824,6.9,6,1.5,0,2,58.4,1,1,1
*data,1085A00172.HDF.No-Dryer,0,1,8,181,0,1,0,2,0.824,6.9,6,1.5,0,2,58.4,1,1,1
*data,1085A00179.HDF,0,1,4.5,181,1,1,2,2,0.554,6.9,4,0,0,2,58.4,1,0,3
*data,1085A00179.HDF.No-Dryer,0,1,4.5,181,1,1,2,2,0.554,6.9,4,0,0,2,58.4,1,0,3
*data,1085A00186.HDF,0,1,4.5,136,0,1,0,2,0.824,6.9,4,0,1,1,25,1,1,1
*data,1085A00186.HDF.No-Dryer,0,1,4.5,136,0,1,0,2,0.824,6.9,4,0,1,1,25,1,1,1
*data,1085A00191.HDF,0,1,18,181,0,1,0,2,0.824,6.9,4,1.5,1,2,70.9,1,1,1
*data,1085A00191.HDF.No-Dryer,0,1,18,181,0,1,0,2,0.824,6.9,4,1.5,1,2,70.9,1,1,1
*data,1085A00194.HDF,0,1,4.5,272,0,0,0,0,0.824,6.9,1.5,0,0,1,25,1,1,3
*data,1085A00194.HDF.No-Dryer,0,1,4.5,272,0,0,0,0,0.824,6.9,1.5,0,0,1,25,1,1,3
*data,1085A00201.HDF,0,1,2,181,0,0,2,2,0.554,6.9,4,6,3,2,58.4,1,1,3
*data,1085A00201.HDF.No-Dryer,0,1,2,181,0,0,2,2,0.554,6.9,4,6,3,2,58.4,1,1,3
*data,1085A00228.HDF,0,1,2,272,0,0,2,0,0.824,6.9,4,4,2,2,70.9,1,1,2
*data,1085A00228.HDF.No-Dryer,0,1,2,272,0,0,2,0,0.824,6.9,4,4,2,2,70.9,1,1,2
