logistic,Bias,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11,W12,W13,W14,W15,W16,W17,W18
19,0.43783,0.06708,0.44278,-0.51257,0.28401,0.61058,-0.10674,-0.65233,-0.82151,-0.56406,-0.64276,0.94141,0.11706,-0.015,-0.51332,0.43779,-0.91972,0.3678,-0.24288
20,-0.1988,-0.06959,-0.74039,0.42109,0.72597,0.10609,-0.02631,-0.23414,-0.22878,0.03116,-0.06126,0.09991,-0.33456,0.29545,-0.83966,0.29733,-0.85876,0.93936,0.01421
21,0.47309,-0.19809,-0.24634,0.62589,-0.51699,0.66268,0.06115,0.39899,-0.72256,0.242,-0.4039,0.44581,-0.75943,-0.39686,0.05784,-0.88829,-0.5332,0.24903,0.58522
22,0.26038,0.16097,-0.28934,-0.5066,-0.28387,-0.43035,0.48731,-0.63953,-0.70879,0.03176,-0.88879,0.12054,0.00886,0.84302,-0.78123,-0.79491,-0.5435,0.17514,-0.43127
23,-0.54827,-0.20096,0.10222,0.05855,0.58591,-0.7054,-0.26732,0.93474,-0.66794,1.15385,-0.65496,0.46845,0.30843,-0.97725,-0.85218,-0.58545,-0.03,0.53455,-0.13193
24,0.45152,0.11947,0.51918,0.61313,0.9481,0.65985,0.31633,0.15938,-0.37367,-0.71083,0.04237,0.83735,0.2557,0.09124,0.56347,0.53197,-0.78222,0.29932,0.55718
25,0.53175,-0.03907,-0.10781,-0.28849,0.89287,-0.04743,0.01979,-0.58603,-0.54097,0.24556,-0.505,-0.34287,-0.8073,0.04404,0.15268,-0.68155,-0.35334,-0.6292,-0.36018
26,-0.27679,-0.11791,-0.21685,0.48417,-0.63238,-0.3058,0.0013,0.25857,-0.18331,0.89399,0.19961,-0.25878,0.88619,-0.66661,0.79577,-0.43218,0.44224,-0.77395,0.28588
27,0.34231,0.33874,-0.23464,0.4491,0.4667,0.48506,-0.4377,0.68908,0.41161,-0.33581,0.34996,-0.68438,0.43618,-0.30993,-0.6161,-0.78602,-0.25355,0.83514,-0.83827
28,0.46766,-0.17437,-0.7256,-0.61096,0.30309,-0.501,0.3644,-0.67213,-0.07039,-0.47677,0.26802,-0.36491,0.24718,-0.83295,-0.90795,0.78994,-0.98827,0.86477,-0.18838
29,0.87066,0.02283,0.13784,0.38307,-0.16934,0.04782,-0.12043,0.05649,-0.32136,-0.1821,0.37712,0.36147,0.55556,0.70691,-0.18284,-0.17974,0.73736,-0.4706,0.60984
30,0.56837,-0.28017,-0.52829,-0.56923,-0.41387,0.27946,0.01049,0.33181,0.25147,0.13661,0.46918,0.21371,-0.77137,0.85803,0.36066,0.241,-0.11801,0.38035,-0.58954
31,0.06767,-0.0454,-0.17208,-0.75326,-0.67854,0.11723,0.14634,0.46854,0.25567,0.10273,0.03856,-0.72777,0.09178,-0.17763,-0.88784,0.32567,0.0912,0.59603,0.61054
32,0.27738,0.05964,0.9305,-0.44125,0.59737,-0.11717,0.46371,0.41048,-0.25946,-0.78326,-0.95043,-0.48875,-0.56244,0.67528,-0.36425,-0.513,-0.71214,-0.26373,-0.96074
33,0.06953,-0.04523,0.29395,-0.16696,0.97045,-0.17244,-0.07382,-0.75571,0.38204,0.56957,-0.66758,-0.42599,0.74032,0.2733,0.15074,-0.91725,-0.2335,-0.63018,0.18224
34,-0.50163,-0.01409,-0.10714,-0.03456,0.08037,0.03032,-0.00664,0.10846,0.0537,0.57844,0.13721,-0.10508,-0.27687,0.06822,-0.33902,-0.21786,0.13417,0.05892,0.2653
