*header,Filename,GJ,kWh
*data,2435A00168.HDF,20.88,5799
*data,2402A00401.HDF,18.93,5258
*data,2513A00219.HDF,25.31,7031
*data,11HTA00002.HDF,12.76,3546
*data,11JTA00063.HDF,23.61,6560
*data,2416A00034.HDF,19.63,5453
*data,2513A00106.HDF,21.73,6037
*data,2409A00040.HDF,24.81,6893
*data,2901A00437.HDF,20.87,5798
*data,2423A00043.HDF,22.16,6155
*data,11HTA00055.HDF,24.25,6736
*data,11JTA00031.HDF,12.12,3368
*data,2432A00038.HDF,22.36,6212
*data,2513A00058.HDF,14.13,3925
*data,11JTA00022.HDF,22.23,6175
*data,2432A00152.HDF,16.78,4661
*data,2414A00038.HDF,20.13,5590
*data,2802A00238.HDF,18.11,5029
*data,2299A00096.HDF,20.25,5625
*data,11PTA00124.HDF,14.66,4072
*data,2450A00017.HDF,17.18,4771
*data,11DDA00082.HDF,14.20,3945
*data,2426A00305.HDF,18.85,5236
*data,2402A00407.HDF,15.72,4366
*data,2426A00058.HDF,29.14,8095
*data,2506A00127.HDF,21.46,5962
*data,2410A00041.HDF,25.47,7076
*data,2513A00057.HDF,19.83,5510
*data,2402A00455.HDF,23.21,6448
*data,2402A00788.HDF,22.20,6167
*data,2416A00158.HDF,22.68,6301
*data,2506A00107.HDF,19.00,5277
*data,2419A00112.HDF,21.69,6024
*data,2513A00101.HDF,20.37,5659
*data,11DDA00160.HDF,17.70,4916
*data,2413A00091.HDF,13.79,3830
*data,2451A00022.HDF,17.76,4933
*data,2264A00037.HDF,13.20,3665
*data,2511A00156.HDF,16.48,4577
*data,11SWA00116.HDF,12.59,3498
*data,2901A00152.HDF,21.78,6051
*data,11SWA00108.HDF,18.05,5013
*data,2435A00523.HDF,14.25,3959
*data,2416A00124.HDF,22.28,6190
*data,2506A00006.HDF,12.79,3554
*data,2513A00090.HDF,23.96,6655
*data,2402A01129.HDF,20.20,5612
*data,2416A00130.HDF,18.08,5023
*data,2428A00228.HDF,19.35,5375
*data,11DDA00139.HDF,22.74,6316
*data,2433A00083.HDF,17.28,4799
*data,2408A00130.HDF,16.95,4710
*data,2418A00047.HDF,18.98,5272
*data,11PTA00089.HDF,16.00,4446
*data,2426A00396.HDF,22.13,6148
*data,2451A00042.HDF,18.39,5108
*data,2407A00111.HDF,19.75,5486
*data,2513A00112.HDF,20.68,5744
*data,2401A00158.HDF,19.94,5539
*data,2432A00246.HDF,19.59,5441
*data,2435A00453.HDF,17.04,4734
*data,2426A00386.HDF,12.04,3344
*data,2402A00570.HDF,18.95,5264
*data,2426A00350.HDF,18.71,5197
*data,2402A00939.HDF,17.03,4730
*data,2513A00059.HDF,15.82,4395
*data,11PTA00148.HDF,20.92,5812
*data,11SWA00155.HDF,21.69,6025
*data,2901A00232.HDF,13.51,3753
*data,2401A00159.HDF,19.14,5318
*data,11GMA00097.HDF,19.96,5543
*data,2432A00418.HDF,16.94,4707
*data,2440A00240.HDF,29.11,8086
*data,2426A00255.HDF,16.96,4712
*data,2511A00093.HDF,17.59,4885
*data,2423A00032.HDF,15.16,4210
*data,2419A00162.HDF,16.14,4485
*data,2513A00103.HDF,23.61,6559
*data,2513A00070.HDF,15.29,4246
*data,2414A00026.HDF,17.50,4862
*data,11GMA00003.HDF,16.40,4555
*data,11HTA00003.HDF,14.34,3983
*data,11JTA00012.HDF,15.31,4253
*data,2513A00092.HDF,20.92,5811
*data,2453A00057.HDF,12.62,3505
*data,2410A00085.HDF,22.92,6367
*data,2513A00065.HDF,18.01,5002
*data,2426A00072.HDF,13.68,3799
*data,2402A01100.HDF,19.58,5438
*data,2440A00156.HDF,15.40,4279
*data,11SWA00048.HDF,20.73,5759
*data,2901A00187.HDF,14.72,4089
*data,2426A00559.HDF,19.38,5384
*data,2426A00536.HDF,20.30,5639
*data,2428A00227.HDF,21.10,5860
*data,2408A00119.HDF,16.55,4596
*data,11JTA00020.HDF,19.24,5343
*data,2402A00039.HDF,24.66,6851
*data,2451A00063.HDF,13.90,3862
*data,11PTA00101.HDF,15.19,4220
*data,2299A00001.HDF,16.25,4515
*data,2426A00380.HDF,23.57,6547
*data,2432A00320.HDF,16.52,4588
*data,11MLA00019.HDF,17.49,4859
*data,2432A00291.HDF,23.01,6393
*data,2508A00203.HDF,17.61,4892
*data,2802A00061.HDF,19.73,5482
*data,2416A00112.HDF,15.01,4169
*data,2506A00128.HDF,18.37,5102
*data,2411A00034.HDF,14.35,3986
*data,2513A00221.HDF,19.87,5520
*data,2511A00094.HDF,13.42,3728
*data,2264A00036.HDF,19.01,5280
*data,11HTA00149.HDF,21.18,5883
*data,11PTA00264.HDF,18.95,5264
*data,2901A00146.HDF,20.51,5698
*data,2432A00256.HDF,16.49,4580
*data,11JTA00055.HDF,24.88,6910
*data,2402A00530.HDF,26.94,7483
*data,2901A00149.HDF,16.22,4505
*data,2419A00095.HDF,22.14,6150
*data,2422A00001.HDF,11.36,3155
*data,2432A00001.HDF,13.06,3628
*data,2506A00125.HDF,19.75,5487
*data,2264A00058.HDF,15.68,4356
*data,11PTA00123.HDF,13.70,3805
*data,11PTA00165.HDF,18.98,5272
*data,11HTA00013.HDF,20.79,5775
*data,2901A00153.HDF,19.19,5332
*data,2402A00418.HDF,13.05,3626
*data,2401A00070.HDF,24.53,6813
*data,2409A00044.HDF,16.74,4650
*data,2402A00762.HDF,19.29,5359
*data,2432A00007.HDF,16.22,4506
*data,2299A00204.HDF,19.26,5350
*data,2433A00084.HDF,17.16,4765
*data,11SWA00147.HDF,18.44,5121
