*info,Geographic name,"Incompletely enumerated Indian reserves and Indian settlements, 2006","Population, 2006","Total private dwellings, 2006","Private dwellings occupied by usual residents, 2006"
*info,Canada,T,31612897,13576855,12435520
*note,THIS FILE HAS BEEN TAGGED BY LUKAS SWAN.,,,,
*note,I WILL USE THIS FILE BY DIVIDING THE VALUES BY LAND AREA TO ACHIEVE AN URBAN/RURAL ESTIMATION,,,,
*note,FSA stands for Forward Sortation Area and is included in the CSDDRD,,,,
*header,FSA,incomplete,population,dwellings_total,dwellings_occupied
*units,-,-,count,count,count
*data,A0A,,46648,23052,17994
*data,A0B,,22099,12284,8799
*data,A0C,,13767,7788,5598
*data,A0E,,24400,12735,9575
*data,A0G,,37991,20088,14939
*data,A0H,,19537,9991,7543
*data,A0J,,8146,4515,3255
*data,A0K,,30274,15193,11527
*data,A0L,,7479,3385,2876
*data,A0M,,6800,3380,2796
*data,A0N,,15448,7863,6332
*data,A0P,,12296,4808,4003
*data,A0R,,2428,1184,928
*data,A1A,,27064,11457,10659
*data,A1B,,16268,8012,6923
*data,A1C,,13545,7084,6334
*data,A1E,,28954,13157,12239
*data,A1G,,5058,2100,1982
*data,A1H,,1460,548,524
*data,A1K,,9744,3550,3408
*data,A1L,,12641,4750,4508
*data,A1M,,6562,2448,2343
*data,A1N,,24807,9708,9243
*data,A1S,,6435,2272,2192
*data,A1V,,9934,4190,3879
*data,A1W,,10079,3717,3569
*data,A1X,,11779,4493,4293
*data,A1Y,,5312,2268,2033
*data,A2A,,8855,3783,3542
*data,A2B,,4888,1955,1847
*data,A2H,,25246,10854,10006
*data,A2N,,8591,3854,3525
*data,A2V,,7232,2961,2782
*data,A5A,,7174,3422,2796
*data,A8A,,6528,3109,2453
*data,B0C,,3135,1695,1253
*data,B0E,,27973,14526,11214
*data,B0H,,10994,5722,4395
*data,B0J,,42621,23065,17956
*data,B0K,,38322,19693,15762
*data,B0L,,2676,1715,1137
*data,B0M,,18192,9837,7627
*data,B0N,,39763,17622,15754
*data,B0P,,40521,17569,15862
*data,B0R,,6303,3772,2690
*data,B0S,,18223,9679,7916
*data,B0T,,16159,8774,6817
*data,B0V,,6244,3293,2726
*data,B0W,,32905,15981,13385
*data,B1A,,17063,7386,7002
*data,B1B,,1448,634,590
*data,B1C,,1986,942,823
*data,B1E,,1667,708,672
*data,B1G,,2162,914,881
*data,B1H,,10729,4548,4360
*data,B1J,,1167,801,522
*data,B1K,,3307,2082,1375
*data,B1L,,4982,1901,1842
*data,B1M,,1255,468,455
*data,B1N,,6210,2675,2534
*data,B1P,,15636,7401,6962
*data,B1R,,4323,1731,1696
*data,B1S,,8460,3638,3470
*data,B1T,,409,450,186
*data,B1V,,6782,2815,2719
*data,B1W,,2952,857,834
*data,B1X,,912,621,379
*data,B1Y,,6708,2836,2617
*data,B2A,,8770,3725,3600
*data,B2C,,346,322,143
*data,B2E,,33,112,20
*data,B2G,,13752,6803,5387
*data,B2H,,15104,6893,6470
*data,B2J,,128,160,59
*data,B2N,,32196,14172,13531
*data,B2R,,2326,894,877
*data,B2S,,7065,2585,2510
*data,B2T,,14215,5181,4972
*data,B2V,,13066,4560,4491
*data,B2W,,29676,11499,11204
*data,B2X,,12048,4846,4608
*data,B2Y,,14715,7452,7016
*data,B2Z,,8162,2996,2902
*data,B3A,,20272,11507,10347
*data,B3B,,792,431,287
*data,B3E,,6484,2513,2410
*data,B3G,,10070,3748,3641
*data,B3H,,18278,10762,9030
*data,B3J,,5196,3922,3133
*data,B3K,,19630,10507,9647
*data,B3L,,17491,8782,8212
*data,B3M,,26460,13408,12484
*data,B3N,,12219,6109,5725
*data,B3P,,8469,3854,3619
*data,B3R,,8133,3829,3499
*data,B3S,,8808,4020,3827
*data,B3T,,15881,5945,5761
*data,B3V,,5841,2241,2155
*data,B3Z,,14880,5761,5424
*data,B4A,,15976,6561,6258
*data,B4B,,8776,3042,2960
*data,B4C,,19166,7090,6941
*data,B4E,,16118,5978,5816
*data,B4G,,3849,1357,1322
*data,B4H,,13732,6876,5834
*data,B4N,,16910,7499,7165
*data,B4P,,7587,3976,3191
*data,B4R,,2868,1114,1050
*data,B4V,,17432,8080,7378
*data,B5A,,13353,6057,5557
*data,B9A,,5000,2161,1953
*data,C0A,,43172,20455,16219
*data,C0B,,29874,14177,11205
*data,C1A,,28747,13715,12409
*data,C1B,,7051,2885,2624
*data,C1C,,2123,940,873
*data,C1E,,8801,3508,3181
*data,C1N,,16083,7073,6573
*data,E1A,,34082,14881,13758
*data,E1B,,17819,7114,6888
*data,E1C,,24525,12627,11409
*data,E1E,,10099,4712,4467
*data,E1G,,16311,6079,5888
*data,E1H,,6975,2917,2800
*data,E1J,,3237,1267,1215
*data,E1N,,11762,5260,4647
*data,E1V,,14039,6085,5696
*data,E1W,,7129,3415,3058
*data,E1X,,13465,5806,5262
*data,E2A,,18444,8784,7820
*data,E2E,,17266,6397,6146
*data,E2G,,4264,1525,1486
*data,E2H,,4911,1983,1879
*data,E2J,,15254,7185,6631
*data,E2K,,17404,8430,7593
*data,E2L,,7937,4818,4088
*data,E2M,,19403,8467,7966
*data,E2N,,4073,1561,1497
*data,E2P,,1477,590,563
*data,E2R,,33,16,16
*data,E2S,,6812,2524,2384
*data,E2V,,13713,5418,4928
*data,E3A,,32049,13648,12797
*data,E3B,,32344,16118,14289
*data,E3C,,10201,3771,3668
*data,E3E,,3997,1460,1413
*data,E3L,,9276,4146,3806
*data,E3N,,14769,6694,6135
*data,E3V,,11728,5766,5377
*data,E3Y,,7718,3122,2938
*data,E3Z,,4401,1868,1789
*data,E4A,,3303,1913,1506
*data,E4B,,4747,2595,2024
*data,E4C,,2533,2031,1098
*data,E4E,,8997,4117,3728
*data,E4G,,2707,1081,984
*data,E4H,,4464,2073,1804
*data,E4J,,4543,1935,1808
*data,E4K,,6231,2454,2267
*data,E4L,,7080,3348,2904
*data,E4M,,2043,1640,853
*data,E4N,,3893,1720,1504
*data,E4P,,13301,6704,5378
*data,E4R,,6204,3804,2591
*data,E4S,,7147,3569,2903
*data,E4T,,2334,1379,970
*data,E4V,,4192,1814,1639
*data,E4W,,8296,3997,3450
*data,E4X,,3238,1363,1270
*data,E4Y,,3339,1501,1386
*data,E4Z,,5870,2843,2353
*data,E5A,,1914,958,769
*data,E5B,,3036,1698,1317
*data,E5C,,4100,2078,1686
*data,E5E,,1056,632,422
*data,E5G,,2650,1405,1125
*data,E5H,,3029,1322,1221
*data,E5J,,2098,1121,875
*data,E5K,,7163,2811,2634
*data,E5L,,3104,1319,1202
*data,E5M,,2079,989,820
*data,E5N,,11120,4510,4064
*data,E5P,,2571,1044,965
*data,E5R,,1582,757,612
*data,E5S,,1865,974,763
*data,E5T,,3081,1860,1195
*data,E5V,,824,499,373
*data,E6A,,1341,617,535
*data,E6B,,1755,792,680
*data,E6C,,2073,874,807
*data,E6E,,1557,729,604
*data,E6G,,2666,1374,1096
*data,E6H,,1254,854,508
*data,E6J,,1469,688,619
*data,E6K,,3513,1904,1417
*data,E6L,,4758,1950,1817
*data,E7A,,3957,2116,1653
*data,E7B,,5986,2663,2377
*data,E7C,,5510,2523,2262
*data,E7E,,4685,1994,1849
*data,E7G,,4443,2255,1779
*data,E7H,,6013,2764,2502
*data,E7J,,2290,937,889
*data,E7K,,2683,1088,1023
*data,E7L,,5483,2359,2143
*data,E7M,,9673,4047,3835
*data,E7N,,2897,1303,1129
*data,E7P,,3708,1562,1412
*data,E8A,,3839,1751,1528
*data,E8B,,2616,1243,1083
*data,E8C,,3995,1976,1798
*data,E8E,,5422,2446,2197
*data,E8G,,3193,1604,1417
*data,E8J,,5777,2505,2322
*data,E8K,,8625,3802,3458
*data,E8L,,2539,1051,997
*data,E8M,,2093,908,838
*data,E8N,,2638,1491,1188
*data,E8P,,3529,1528,1390
*data,E8R,,3279,1453,1371
*data,E8S,,5019,2287,1978
*data,E8T,,6425,3167,2658
*data,E9A,,2582,1134,1040
*data,E9B,,2505,1034,977
*data,E9C,,2396,1198,1050
*data,E9E,,4525,1908,1701
*data,E9G,,5441,2132,1982
*data,E9H,,3194,1296,1202
*data,G0A,,89695,43694,36201
*data,G0C,,48372,22437,20376
*data,G0E,,5629,2950,2453
*data,G0G,,18042,8239,6894
*data,G0H,,11663,5588,4577
*data,G0J,,34318,17600,14424
*data,G0K,,12060,6140,5017
*data,G0L,,62721,31062,25875
*data,G0M,,35464,15636,13813
*data,G0N,,20172,10449,8365
*data,G0P,,6482,2875,2521
*data,G0R,,82926,39521,33954
*data,G0S,,64237,27385,25158
*data,G0T,,15551,7491,6454
*data,G0V,,16271,8849,6408
*data,G0W,,34756,16042,12879
*data,G0X,,56274,28635,24006
*data,G0Y,,9772,5763,4105
*data,G0Z,,8384,3912,3464
*data,G1A,,10,4,4
*data,G1B,,15022,5446,5339
*data,G1C,,35003,13955,13684
*data,G1E,,24701,11992,11577
*data,G1G,,22199,9649,9491
*data,G1H,,28455,14558,14058
*data,G1J,,22251,12423,11853
*data,G1K,,18552,11542,10780
*data,G1L,,23047,13409,12868
*data,G1M,,18606,9250,8942
*data,G1N,,8000,4733,4507
*data,G1P,,16336,7703,7469
*data,G1R,,17023,11489,10514
*data,G1S,,24444,13773,12930
*data,G1T,,6445,2630,2526
*data,G1V,,18694,12123,10014
*data,G1W,,19725,10099,9648
*data,G1X,,24991,13022,12404
*data,G1Y,,13427,5249,5166
*data,G2A,,14032,5538,5409
*data,G2B,,21356,9275,9103
*data,G2C,,6826,2974,2931
*data,G2E,,20905,8600,8492
*data,G2G,,9942,4032,3949
*data,G2J,,2889,1591,1545
*data,G2K,,8259,3723,3673
*data,G2L,,11417,4887,4770
*data,G2M,,4066,1714,1669
*data,G2N,,6624,2662,2611
*data,G3A,,17660,6290,6131
*data,G3E,,12441,4596,4545
*data,G3G,,9301,3579,3486
*data,G3H,,7553,3136,2954
*data,G3J,,8637,3430,3347
*data,G3K,,13988,5359,5249
*data,G3L,,9350,5557,3993
*data,G3M,,5528,2523,2394
*data,G3Z,,7290,3323,3022
*data,G4A,,3048,1361,1312
*data,G4R,,20404,9230,8651
*data,G4S,,5347,2191,2124
*data,G4T,,13091,5838,5183
*data,G4V,,6976,3153,2973
*data,G4W,,12478,6082,5819
*data,G4X,,14821,6418,5965
*data,G4Z,,10341,4638,4398
*data,G5A,,8992,4203,3742
*data,G5B,,6212,2705,2585
*data,G5C,,12343,5435,5279
*data,G5H,,7109,3298,3135
*data,G5J,,6262,2869,2692
*data,G5L,,29832,14778,13922
*data,G5M,,4753,1881,1840
*data,G5N,,7666,3037,2902
*data,G5R,,18569,8659,8213
*data,G5T,,3199,1626,1326
*data,G5V,,11388,5428,5043
*data,G5X,,6180,2723,2575
*data,G5Y,,24820,11473,10819
*data,G5Z,,2711,1174,1137
*data,G6A,,1473,592,571
*data,G6B,,8395,4000,3699
*data,G6C,,6477,2398,2353
*data,G6E,,11588,4826,4680
*data,G6G,,19821,9474,9015
*data,G6H,,7345,3273,3107
*data,G6J,,9780,3613,3519
*data,G6K,,6971,2610,2581
*data,G6L,,14792,6406,6160
*data,G6P,,34975,15839,15289
*data,G6R,,1244,466,459
*data,G6S,,2070,866,857
*data,G6T,,4915,1809,1771
*data,G6V,,35297,16465,15702
*data,G6W,,20402,9457,9065
*data,G6X,,10361,4685,4550
*data,G6Z,,18006,6509,6419
*data,G7A,,18429,7016,6814
*data,G7B,,18109,7908,7521
*data,G7G,,16539,6633,6463
*data,G7H,,29605,13723,13130
*data,G7J,,14344,6449,6253
*data,G7K,,619,276,271
*data,G7N,,5338,2193,2109
*data,G7P,,6320,2668,2465
*data,G7S,,19247,7991,7833
*data,G7T,,23,12,12
*data,G7X,,26790,12979,12351
*data,G7Y,,603,255,249
*data,G7Z,,2879,1029,1008
*data,G8A,,6023,2794,2728
*data,G8B,,23212,10763,10251
*data,G8C,,2863,1047,1037
*data,G8E,,3889,1514,1427
*data,G8G,,4105,1860,1618
*data,G8H,,10682,4964,4569
*data,G8J,,4114,1799,1626
*data,G8K,,10444,4869,4398
*data,G8L,,14585,6857,6386
*data,G8M,,6049,2596,2435
*data,G8N,,2393,1006,947
*data,G8P,,7664,3446,3152
*data,G8T,,29390,14234,13739
*data,G8V,,8199,3056,3002
