Geographic code,Geographic name,Geographic type,"Incompletely enumerated Indian reserves and Indian settlements, 2006","Population, 2006","Population, 2001",2001 adjusted population flag,"Incompletely enumerated Indian reserves and Indian settlements, 2001","Population, growth or decline","Total private dwellings, 2006","Private dwellings occupied by usual residents, 2006","Land area km2, 2006","Population density, 2006","National population rank, 2006"
3520005,Toronto (Ont.),C  ,F,2503281,2481494,F,F,0.9,1040597,979330,630.1763,3972.4,1
2466023,Montréal (Que.),V  ,F,1620693,1583590,T,F,2.3,787060,743204,365.1303,4438.7,2
4806016,Calgary (Alta.),CY ,F,988193,879003,T,F,12.4,401389,384723,726.4954,1360.2,3
3506008,Ottawa (Ont.),C  ,F,812129,774072,F,F,4.9,340732,320888,2778.1295,292.3,4
4811061,Edmonton (Alta.),CY ,F,730372,666104,F,F,9.6,314362,297773,684.3739,1067.2,5
3521005,Mississauga (Ont.),CY ,F,668549,612925,F,F,9.1,223737,214894,288.5299,2317.1,6
4611040,Winnipeg (Man.),CY ,F,633451,619544,F,F,2.2,269586,261109,464.006,1365.2,7
5915022,Vancouver (B.C.),CY ,F,578041,545671,F,F,5.9,273804,253212,114.7133,5039,8
3525005,Hamilton (Ont.),C  ,F,504559,490268,F,F,,204962,194475,1117.2065,451.6,9
2423027,Québec (Que.),V  ,F,491142,476330,T,F,3.1,238423,228037,454.2641,1081.2,10
3521010,Brampton (Ont.),CY ,F,433806,325428,F,F,33.3,130803,125934,266.7051,1626.5,11
5915004,Surrey (B.C.),CY ,F,394976,347820,T,F,13.6,139193,131146,317.1851,1245.3,12
1209034,Halifax (N.S.),RGM,F,372679,359111,F,F,3.8,166675,155060,5490.1817,67.9,13
2465005,Laval (Que.),V  ,F,368709,343005,F,F,7.5,148146,144186,247.0907,1492.2,14
3539036,London (Ont.),CY ,F,352395,336539,F,F,4.7,157436,145526,420.5719,837.9,15
3519036,Markham (Ont.),T  ,F,261573,208615,F,F,25.4,81181,77191,212.5751,1230.5,16
2481017,Gatineau (Que.),V  ,F,242124,226696,T,F,6.8,104607,100203,342.3157,707.3,17
3519028,Vaughan (Ont.),CY ,F,238866,182022,F,F,31.2,71265,69536,273.5809,873.1,18
2458227,Longueuil (Que.),V  ,F,229330,225761,T,F,1.6,101746,98735,115.5904,1984,19
3537039,Windsor (Ont.),CY ,F,216473,209218,T,F,3.5,95049,88469,146.9142,1473.5,20
3530013,Kitchener (Ont.),CY ,F,204668,190399,F,F,7.5,82723,79377,136.8854,1495.2,21
5915025,Burnaby (B.C.),CY ,F,202799,193954,F,F,4.6,82950,78027,89.1176,2275.6,22
4711066,Saskatoon (Sask.),CY ,F,202340,196861,T,F,2.8,89646,84384,170.8314,1184.4,23
4706027,Regina (Sask.),CY ,F,179246,178225,F,F,0.6,78692,74803,118.8712,1507.9,24
5915015,Richmond (B.C.),CY ,F,174461,164345,F,F,6.2,64367,61417,128.7589,1354.9,25

Note:,,,,,,,,,,,,,
"Incompletely enumerated Indian reserves and Indian settlements, 2006",T = excludes census data for one or more incompletely enumerated Indian reserves or Indian settlements.,,,,,,,,,,,,
"Incompletely enumerated Indian reserves and Indian settlements, 2001",T = excludes census data for one or more incompletely enumerated Indian reserves or Indian settlements.,,,,,,,,,,,,
2001 adjusted population flag,T = adjusted figure due to boundary change.,,,,,,,,,,,,
2001 adjusted total private dwellings flag,T = adjusted figure due to boundary change.,,,,,,,,,,,,
2001 adjusted private dwellings occupied by usual residents flag,T = adjusted figure due to boundary change.
"For further information, refer to: http://www12.statcan.ca/english/census06/data/popdwell/SpecialNotes.cfm.",

Content considerations:,
