,,AT,,QC,,OT,,PR,,BC,
fuel,system_type,count,percent,count,percent,count,percent,count,percent,count,percent
Electricity,"Baseboard/Hydronic/Plenum(duct) htrs.",374,29.43,2009,69.71,390,7.22,125,4.62,258,14.58
Electricity,"Forced air furnace",12,0.94,177,6.14,145,2.68,147,5.44,74,4.18
Electricity,"Radiant floor panels",6,0.47,4,0.14,0,0,0,0,3,0.17
Electricity,"Radiant ceiling panels",4,0.31,17,0.59,12,0.22,3,0.11,2,0.11
Electricity,"Air-source   HP w/Electric backup",4,0.31,152,5.27,46,0.85,0,0,8,0.45
Electricity,"Air-source   HP w/78 % Gas backup",1,0.08,28,0.97,9,0.17,0,0,6,0.34
Electricity,"Water-source HP w/Electric backup",4,0.31,7,0.24,25,0.46,5,0.18,0,0
"Natural Gas","Furnace with continuous pilot",0,0,0,0,2091,38.69,1594,58.97,973,54.97
"Natural Gas","Boiler  with continuous pilot",0,0,0,0,122,2.26,56,2.07,84,4.75
"Natural Gas","Furnace with spark ignition",0,0,0,0,235,4.35,249,9.21,71,4.01
"Natural Gas","Boiler  with spark ignition",0,0,0,0,37,0.68,12,0.44,12,0.68
"Natural Gas","Furnace with spark ignit.,vent dmpr",0,0,0,0,45,0.83,71,2.63,27,1.53
"Natural Gas","Boiler  with spark ignit.,vent dmpr",0,0,0,0,26,0.48,2,0.07,7,0.4
"Natural Gas","Induced draft fan furnace",0,0,0,0,498,9.22,366,13.54,154,8.7
"Natural Gas","Induced draft fan boiler",0,0,0,0,31,0.57,6,0.22,3,0.17
"Natural Gas","Condensing furnace",0,0,0,0,1028,19.02,67,2.48,52,2.94
"Natural Gas","Condensing boiler",0,0,0,0,8,0.15,0,0,2,0.11
Oil,Furnace,102,8.03,222,7.7,213,3.94,0,0,0,0
Oil,Boiler,19,1.49,31,1.08,25,0.46,0,0,0,0
Oil,"Furnace with flue vent damper",59,4.64,10,0.35,138,2.55,0,0,0,0
Oil,"Boiler  with flue vent damper",33,2.6,6,0.21,21,0.39,0,0,0,0
Oil,"Furnace with flame retention head",276,21.72,60,2.08,221,4.09,0,0,0,0
Oil,"Boiler  with flame retention head",151,11.88,11,0.38,10,0.19,0,0,0,0
Oil,"Mid-efficiency furnace (no dil. air)",6,0.47,2,0.07,12,0.22,0,0,0,0
