*header,hse_type,region,fuel,system_type,count,total,percent
*data,1-SD,1-AT,Electricity,Baseboard/Hydronic/Plenum(duct) htrs.,374,1271,29.43
*data,1-SD,1-AT,Electricity,Forced air furnace,12,1271,0.94
*data,1-SD,1-AT,Electricity,Radiant floor panels,6,1271,0.47
*data,1-SD,1-AT,Electricity,Radiant ceiling panels,4,1271,0.31
*data,1-SD,1-AT,Electricity,Air-source   HP w/Electric backup,4,1271,0.31
*data,1-SD,1-AT,Electricity,Air-source   HP w/78 % Gas backup,1,1271,0.08
*data,1-SD,1-AT,Electricity,Water-source HP w/Electric backup,4,1271,0.31
*data,1-SD,1-AT,Natural Gas,Furnace with continuous pilot,0,1271,0.00
*data,1-SD,1-AT,Natural Gas,Boiler  with continuous pilot,0,1271,0.00
*data,1-SD,1-AT,Natural Gas,Furnace with spark ignition,0,1271,0.00
*data,1-SD,1-AT,Natural Gas,Boiler  with spark ignition,0,1271,0.00
*data,1-SD,1-AT,Natural Gas,"Furnace with spark ignit.,vent dmpr",0,1271,0.00
*data,1-SD,1-AT,Natural Gas,"Boiler  with spark ignit.,vent dmpr",0,1271,0.00
*data,1-SD,1-AT,Natural Gas,Induced draft fan furnace,0,1271,0.00
*data,1-SD,1-AT,Natural Gas,Induced draft fan boiler,0,1271,0.00
*data,1-SD,1-AT,Natural Gas,Condensing furnace,0,1271,0.00
*data,1-SD,1-AT,Natural Gas,Condensing boiler,0,1271,0.00
*data,1-SD,1-AT,Oil,Furnace,102,1271,8.03
*data,1-SD,1-AT,Oil,Boiler,19,1271,1.49
*data,1-SD,1-AT,Oil,Furnace with flue vent damper,59,1271,4.64
*data,1-SD,1-AT,Oil,Boiler  with flue vent damper,33,1271,2.60
*data,1-SD,1-AT,Oil,Furnace with flame retention head,276,1271,21.72
*data,1-SD,1-AT,Oil,Boiler  with flame retention head,151,1271,11.88
*data,1-SD,1-AT,Oil,Mid-efficiency furnace (no dil. air),6,1271,0.47
*data,1-SD,1-AT,Oil,Mid-efficiency boiler  (no dil. air),7,1271,0.55
*data,1-SD,1-AT,Oil,Condensing furnace (no chimney),0,1271,0.00
*data,1-SD,1-AT,Oil,Condensing boiler  (no chimney),0,1271,0.00
*data,1-SD,1-AT,Oil,"Direct vent, non-condensing furnace",9,1271,0.71
*data,1-SD,1-AT,Propane,Furnace with continuous pilot,0,1271,0.00
*data,1-SD,1-AT,Propane,Boiler  with continuous pilot,0,1271,0.00
*data,1-SD,1-AT,Propane,Furnace with spark ignition,0,1271,0.00
*data,1-SD,1-AT,Propane,Boiler  with spark ignition,0,1271,0.00
*data,1-SD,1-AT,Propane,"Furnace with spark ignit.,vent dmpr",0,1271,0.00
*data,1-SD,1-AT,Propane,"Boiler  with spark ignit.,vent dmpr",0,1271,0.00
*data,1-SD,1-AT,Propane,Induced draft fan furnace,0,1271,0.00
*data,1-SD,1-AT,Propane,Induced draft fan boiler,0,1271,0.00
*data,1-SD,1-AT,Propane,Condensing furnace,0,1271,0.00
*data,1-SD,1-AT,Propane,Condensing boiler,0,1271,0.00
*data,1-SD,1-AT,Mixed wood,Advanced airtight wood stove,41,1271,3.23
*data,1-SD,1-AT,Mixed wood,Adv. airtight wood stove + cat. conv.,2,1271,0.16
*data,1-SD,1-AT,Mixed wood,Conventional furnace,111,1271,8.73
*data,1-SD,1-AT,Mixed wood,Conventional boiler,4,1271,0.31
*data,1-SD,1-AT,Mixed wood,Conventional stove,40,1271,3.15
*data,1-SD,1-AT,Mixed wood,Pellet stove,2,1271,0.16
*data,1-SD,1-AT,Mixed wood,Masonry heater,0,1271,0.00
*data,1-SD,1-AT,Mixed wood,Conventional fireplace,2,1271,0.16
*data,1-SD,1-AT,Mixed wood,Fireplace (EPA/CSA),0,1271,0.00
*data,1-SD,1-AT,Mixed wood,Fireplace insert (EPA/CSA),2,1271,0.16
*data,1-SD,1-AT,Hardwood,Advanced airtight wood stove,0,1271,0.00
*data,1-SD,1-AT,Hardwood,Adv. airtight wood stove + cat. conv.,0,1271,0.00
*data,1-SD,1-AT,Hardwood,Conventional furnace,0,1271,0.00
*data,1-SD,1-AT,Hardwood,Conventional boiler,0,1271,0.00
*data,1-SD,1-AT,Hardwood,Conventional stove,0,1271,0.00
*data,1-SD,1-AT,Hardwood,Pellet stove,0,1271,0.00
*data,1-SD,1-AT,Hardwood,Masonry heater,0,1271,0.00
*data,1-SD,1-AT,Hardwood,Conventional fireplace,0,1271,0.00
*data,1-SD,1-AT,Hardwood,Fireplace (EPA/CSA),0,1271,0.00
*data,1-SD,1-AT,Hardwood,Fireplace insert (EPA/CSA),0,1271,0.00
*data,1-SD,1-AT,Softwood,Advanced airtight wood stove,0,1271,0.00
*data,1-SD,1-AT,Softwood,Adv. airtight wood stove + cat. conv.,0,1271,0.00
*data,1-SD,1-AT,Softwood,Conventional furnace,0,1271,0.00
*data,1-SD,1-AT,Softwood,Conventional boiler,0,1271,0.00
*data,1-SD,1-AT,Softwood,Conventional stove,0,1271,0.00
*data,1-SD,1-AT,Softwood,Pellet stove,0,1271,0.00
*data,1-SD,1-AT,Softwood,Masonry heater,0,1271,0.00
*data,1-SD,1-AT,Softwood,Conventional fireplace,0,1271,0.00
*data,1-SD,1-AT,Softwood,Fireplace (EPA/CSA),0,1271,0.00
*data,1-SD,1-AT,Softwood,Fireplace insert (EPA/CSA),0,1271,0.00
*data,1-SD,1-AT,Wood Pellets,Advanced airtight wood stove,0,1271,0.00
*data,1-SD,1-AT,Wood Pellets,Adv. airtight wood stove + cat. conv.,0,1271,0.00
*data,1-SD,1-AT,Wood Pellets,Conventional furnace,0,1271,0.00
*data,1-SD,1-AT,Wood Pellets,Conventional boiler,0,1271,0.00
*data,1-SD,1-AT,Wood Pellets,Conventional stove,0,1271,0.00
*data,1-SD,1-AT,Wood Pellets,Pellet stove,0,1271,0.00
*data,1-SD,1-AT,Wood Pellets,Masonry heater,0,1271,0.00
*data,1-SD,1-AT,Wood Pellets,Conventional fireplace,0,1271,0.00
*data,1-SD,1-AT,Wood Pellets,Fireplace (EPA/CSA),0,1271,0.00
*data,1-SD,1-AT,Wood Pellets,Fireplace insert (EPA/CSA),0,1271,0.00
