*header,hse_type,region,fuel,system_type,count,total,percent
*data,1-SD,3-OT,Electricity,Baseboard/Hydronic/Plenum(duct) htrs.,390,5404,7.22
*data,1-SD,3-OT,Electricity,Forced air furnace,145,5404,2.68
*data,1-SD,3-OT,Electricity,Radiant floor panels,0,5404,0.00
*data,1-SD,3-OT,Electricity,Radiant ceiling panels,12,5404,0.22
*data,1-SD,3-OT,Electricity,Air-source   HP w/Electric backup,46,5404,0.85
*data,1-SD,3-OT,Electricity,Air-source   HP w/78 % Gas backup,9,5404,0.17
*data,1-SD,3-OT,Electricity,Water-source HP w/Electric backup,25,5404,0.46
*data,1-SD,3-OT,Natural Gas,Furnace with continuous pilot,2091,5404,38.69
*data,1-SD,3-OT,Natural Gas,Boiler  with continuous pilot,122,5404,2.26
*data,1-SD,3-OT,Natural Gas,Furnace with spark ignition,235,5404,4.35
*data,1-SD,3-OT,Natural Gas,Boiler  with spark ignition,37,5404,0.68
*data,1-SD,3-OT,Natural Gas,"Furnace with spark ignit.,vent dmpr",45,5404,0.83
*data,1-SD,3-OT,Natural Gas,"Boiler  with spark ignit.,vent dmpr",26,5404,0.48
*data,1-SD,3-OT,Natural Gas,Induced draft fan furnace,498,5404,9.22
*data,1-SD,3-OT,Natural Gas,Induced draft fan boiler,31,5404,0.57
*data,1-SD,3-OT,Natural Gas,Condensing furnace,1028,5404,19.02
*data,1-SD,3-OT,Natural Gas,Condensing boiler,8,5404,0.15
*data,1-SD,3-OT,Oil,Furnace,213,5404,3.94
*data,1-SD,3-OT,Oil,Boiler,25,5404,0.46
*data,1-SD,3-OT,Oil,Furnace with flue vent damper,138,5404,2.55
*data,1-SD,3-OT,Oil,Boiler  with flue vent damper,21,5404,0.39
*data,1-SD,3-OT,Oil,Furnace with flame retention head,221,5404,4.09
*data,1-SD,3-OT,Oil,Boiler  with flame retention head,10,5404,0.19
*data,1-SD,3-OT,Oil,Mid-efficiency furnace (no dil. air),12,5404,0.22
*data,1-SD,3-OT,Oil,Mid-efficiency boiler  (no dil. air),2,5404,0.04
