*header,hse_type,region,fuel,system_type,count,total,percent
*data,1-SD,4-PR,Electricity,Baseboard/Hydronic/Plenum(duct) htrs.,125,2703,4.62
*data,1-SD,4-PR,Electricity,Forced air furnace,147,2703,5.44
*data,1-SD,4-PR,Electricity,Radiant floor panels,0,2703,0.00
*data,1-SD,4-PR,Electricity,Radiant ceiling panels,3,2703,0.11
*data,1-SD,4-PR,Electricity,Air-source   HP w/Electric backup,0,2703,0.00
*data,1-SD,4-PR,Electricity,Air-source   HP w/78 % Gas backup,0,2703,0.00
*data,1-SD,4-PR,Electricity,Water-source HP w/Electric backup,5,2703,0.18
*data,1-SD,4-PR,Natural Gas,Furnace with continuous pilot,1594,2703,58.97
*data,1-SD,4-PR,Natural Gas,Boiler  with continuous pilot,56,2703,2.07
*data,1-SD,4-PR,Natural Gas,Furnace with spark ignition,249,2703,9.21
*data,1-SD,4-PR,Natural Gas,Boiler  with spark ignition,12,2703,0.44
*data,1-SD,4-PR,Natural Gas,"Furnace with spark ignit.,vent dmpr",71,2703,2.63
*data,1-SD,4-PR,Natural Gas,"Boiler  with spark ignit.,vent dmpr",2,2703,0.07
*data,1-SD,4-PR,Natural Gas,Induced draft fan furnace,366,2703,13.54
*data,1-SD,4-PR,Natural Gas,Induced draft fan boiler,6,2703,0.22
*data,1-SD,4-PR,Natural Gas,Condensing furnace,67,2703,2.48
*data,1-SD,4-PR,Natural Gas,Condensing boiler,0,2703,0.00
*data,1-SD,4-PR,Oil,Furnace,0,2703,0.00
*data,1-SD,4-PR,Oil,Boiler,0,2703,0.00
*data,1-SD,4-PR,Oil,Furnace with flue vent damper,0,2703,0.00
*data,1-SD,4-PR,Oil,Boiler  with flue vent damper,0,2703,0.00
*data,1-SD,4-PR,Oil,Furnace with flame retention head,0,2703,0.00
*data,1-SD,4-PR,Oil,Boiler  with flame retention head,0,2703,0.00
*data,1-SD,4-PR,Oil,Mid-efficiency furnace (no dil. air),0,2703,0.00
*data,1-SD,4-PR,Oil,Mid-efficiency boiler  (no dil. air),0,2703,0.00
*data,1-SD,4-PR,Oil,Condensing furnace (no chimney),0,2703,0.00
