*header,hse_type,region,fuel,system_type,count,total,percent
*data,1-SD,5-BC,Electricity,Baseboard/Hydronic/Plenum(duct) htrs.,258,1770,14.58
*data,1-SD,5-BC,Electricity,Forced air furnace,74,1770,4.18
*data,1-SD,5-BC,Electricity,Radiant floor panels,3,1770,0.17
*data,1-SD,5-BC,Electricity,Radiant ceiling panels,2,1770,0.11
*data,1-SD,5-BC,Electricity,Air-source   HP w/Electric backup,8,1770,0.45
*data,1-SD,5-BC,Electricity,Air-source   HP w/78 % Gas backup,6,1770,0.34
*data,1-SD,5-BC,Electricity,Water-source HP w/Electric backup,0,1770,0.00
*data,1-SD,5-BC,Natural Gas,Furnace with continuous pilot,973,1770,54.97
*data,1-SD,5-BC,Natural Gas,Boiler  with continuous pilot,84,1770,4.75
*data,1-SD,5-BC,Natural Gas,Furnace with spark ignition,71,1770,4.01
*data,1-SD,5-BC,Natural Gas,Boiler  with spark ignition,12,1770,0.68
*data,1-SD,5-BC,Natural Gas,"Furnace with spark ignit.,vent dmpr",27,1770,1.53
*data,1-SD,5-BC,Natural Gas,"Boiler  with spark ignit.,vent dmpr",7,1770,0.40
*data,1-SD,5-BC,Natural Gas,Induced draft fan furnace,154,1770,8.70
*data,1-SD,5-BC,Natural Gas,Induced draft fan boiler,3,1770,0.17
*data,1-SD,5-BC,Natural Gas,Condensing furnace,52,1770,2.94
*data,1-SD,5-BC,Natural Gas,Condensing boiler,2,1770,0.11
*data,1-SD,5-BC,Oil,Furnace,0,1770,0.00
*data,1-SD,5-BC,Oil,Boiler,0,1770,0.00
*data,1-SD,5-BC,Oil,Furnace with flue vent damper,0,1770,0.00
*data,1-SD,5-BC,Oil,Boiler  with flue vent damper,0,1770,0.00
*data,1-SD,5-BC,Oil,Furnace with flame retention head,0,1770,0.00
*data,1-SD,5-BC,Oil,Boiler  with flame retention head,0,1770,0.00
*data,1-SD,5-BC,Oil,Mid-efficiency furnace (no dil. air),0,1770,0.00
*data,1-SD,5-BC,Oil,Mid-efficiency boiler  (no dil. air),0,1770,0.00
*data,1-SD,5-BC,Oil,Condensing furnace (no chimney),0,1770,0.00
*data,1-SD,5-BC,Oil,Condensing boiler  (no chimney),0,1770,0.00
