*header,hse_type,region,fuel,system_type,count,total,percent
*data,2-DR,3-OT,Electricity,Baseboard/Hydronic/Plenum(duct) htrs.,108,1231,8.77
*data,2-DR,3-OT,Electricity,Forced air furnace,14,1231,1.14
*data,2-DR,3-OT,Electricity,Radiant floor panels,0,1231,0.00
*data,2-DR,3-OT,Electricity,Radiant ceiling panels,0,1231,0.00
*data,2-DR,3-OT,Electricity,Air-source   HP w/Electric backup,1,1231,0.08
*data,2-DR,3-OT,Electricity,Air-source   HP w/78 % Gas backup,0,1231,0.00
*data,2-DR,3-OT,Electricity,Water-source HP w/Electric backup,0,1231,0.00
*data,2-DR,3-OT,Natural Gas,Furnace with continuous pilot,554,1231,45.00
*data,2-DR,3-OT,Natural Gas,Boiler  with continuous pilot,22,1231,1.79
*data,2-DR,3-OT,Natural Gas,Furnace with spark ignition,55,1231,4.47
*data,2-DR,3-OT,Natural Gas,Boiler  with spark ignition,10,1231,0.81
*data,2-DR,3-OT,Natural Gas,"Furnace with spark ignit.,vent dmpr",12,1231,0.97
*data,2-DR,3-OT,Natural Gas,"Boiler  with spark ignit.,vent dmpr",6,1231,0.49
*data,2-DR,3-OT,Natural Gas,Induced draft fan furnace,212,1231,17.22
*data,2-DR,3-OT,Natural Gas,Induced draft fan boiler,4,1231,0.32
*data,2-DR,3-OT,Natural Gas,Condensing furnace,184,1231,14.95
*data,2-DR,3-OT,Natural Gas,Condensing boiler,3,1231,0.24
*data,2-DR,3-OT,Oil,Furnace,16,1231,1.30
*data,2-DR,3-OT,Oil,Boiler,4,1231,0.32
*data,2-DR,3-OT,Oil,Furnace with flue vent damper,13,1231,1.06
*data,2-DR,3-OT,Oil,Boiler  with flue vent damper,2,1231,0.16
*data,2-DR,3-OT,Oil,Furnace with flame retention head,9,1231,0.73
*data,2-DR,3-OT,Oil,Boiler  with flame retention head,0,1231,0.00
*data,2-DR,3-OT,Oil,Mid-efficiency furnace (no dil. air),1,1231,0.08
*data,2-DR,3-OT,Oil,Mid-efficiency boiler  (no dil. air),0,1231,0.00
