*header,hse_type,region,fuel,system_type,count,total,percent
*data,2-DR,5-BC,Electricity,Baseboard/Hydronic/Plenum(duct) htrs.,66,315,20.95
*data,2-DR,5-BC,Electricity,Forced air furnace,2,315,0.63
*data,2-DR,5-BC,Electricity,Radiant floor panels,0,315,0.00
*data,2-DR,5-BC,Electricity,Radiant ceiling panels,4,315,1.27
*data,2-DR,5-BC,Electricity,Air-source   HP w/Electric backup,0,315,0.00
*data,2-DR,5-BC,Electricity,Air-source   HP w/78 % Gas backup,2,315,0.63
*data,2-DR,5-BC,Electricity,Water-source HP w/Electric backup,0,315,0.00
*data,2-DR,5-BC,Natural Gas,Furnace with continuous pilot,183,315,58.10
*data,2-DR,5-BC,Natural Gas,Boiler  with continuous pilot,8,315,2.54
*data,2-DR,5-BC,Natural Gas,Furnace with spark ignition,6,315,1.90
*data,2-DR,5-BC,Natural Gas,Boiler  with spark ignition,1,315,0.32
*data,2-DR,5-BC,Natural Gas,"Furnace with spark ignit.,vent dmpr",9,315,2.86
*data,2-DR,5-BC,Natural Gas,"Boiler  with spark ignit.,vent dmpr",1,315,0.32
*data,2-DR,5-BC,Natural Gas,Induced draft fan furnace,31,315,9.84
*data,2-DR,5-BC,Natural Gas,Induced draft fan boiler,1,315,0.32
*data,2-DR,5-BC,Natural Gas,Condensing furnace,1,315,0.32
*data,2-DR,5-BC,Natural Gas,Condensing boiler,0,315,0.00
*data,2-DR,5-BC,Oil,Furnace,0,315,0.00
*data,2-DR,5-BC,Oil,Boiler,0,315,0.00
*data,2-DR,5-BC,Oil,Furnace with flue vent damper,0,315,0.00
*data,2-DR,5-BC,Oil,Boiler  with flue vent damper,0,315,0.00
*data,2-DR,5-BC,Oil,Furnace with flame retention head,0,315,0.00
*data,2-DR,5-BC,Oil,Boiler  with flame retention head,0,315,0.00
*data,2-DR,5-BC,Oil,Mid-efficiency furnace (no dil. air),0,315,0.00
*data,2-DR,5-BC,Oil,Mid-efficiency boiler  (no dil. air),0,315,0.00
*data,2-DR,5-BC,Oil,Condensing furnace (no chimney),0,315,0.00
*data,2-DR,5-BC,Oil,Condensing boiler  (no chimney),0,315,0.00
*data,2-DR,5-BC,Oil,"Direct vent, non-condensing furnace",0,315,0.00
*data,2-DR,5-BC,Propane,Furnace with continuous pilot,0,315,0.00
*data,2-DR,5-BC,Propane,Boiler  with continuous pilot,0,315,0.00
*data,2-DR,5-BC,Propane,Furnace with spark ignition,0,315,0.00
*data,2-DR,5-BC,Propane,Boiler  with spark ignition,0,315,0.00
*data,2-DR,5-BC,Propane,"Furnace with spark ignit.,vent dmpr",0,315,0.00
