*comment,This file cross references the bcd files to integrated annual values of each data field.
*comment,It is used to determine 'best fit' of profiles and to calculate a multiplier for the profiles.
*comment,The term 'pY' means 'per year'.
*header,bcd_file,DHW_LpY,AL-Stove_GJpY,AL-Dryer_GJpY,AL-Other_GJpY
*units,-,Litres,GJ,GJ,GJ
*data,DHW_100_Lpd.AL_high_Y1_W.60_min_avg_from_5_min_src.bcd,36500,3.702,7.217,35.723
*data,DHW_100_Lpd.AL_high_Y2_W.60_min_avg_from_5_min_src.bcd,36500,3.785,7.443,36.076
*data,DHW_100_Lpd.AL_high_Y3_W.60_min_avg_from_5_min_src.bcd,36500,3.946,7.190,35.823
*data,DHW_100_Lpd.AL_low_Y1_W.60_min_avg_from_5_min_src.bcd,36500,2.700,2.206,12.239
*data,DHW_100_Lpd.AL_low_Y2_W.60_min_avg_from_5_min_src.bcd,36500,2.657,2.002,12.161
*data,DHW_100_Lpd.AL_low_Y3_W.60_min_avg_from_5_min_src.bcd,36500,2.834,2.206,12.375
*data,DHW_100_Lpd.AL_med_Y1_W.60_min_avg_from_5_min_src.bcd,36500,2.664,4.898,21.813
*data,DHW_100_Lpd.AL_med_Y2_W.60_min_avg_from_5_min_src.bcd,36500,2.786,5.076,21.725
*data,DHW_100_Lpd.AL_med_Y3_W.60_min_avg_from_5_min_src.bcd,36500,2.848,4.744,21.613
*data,DHW_200_Lpd.AL_high_Y1_W.60_min_avg_from_5_min_src.bcd,73000,3.702,7.217,35.723
*data,DHW_200_Lpd.AL_high_Y2_W.60_min_avg_from_5_min_src.bcd,73000,3.785,7.443,36.076
*data,DHW_200_Lpd.AL_high_Y3_W.60_min_avg_from_5_min_src.bcd,73000,3.946,7.190,35.823
*data,DHW_200_Lpd.AL_low_Y1_W.60_min_avg_from_5_min_src.bcd,73000,2.700,2.206,12.239
*data,DHW_200_Lpd.AL_low_Y2_W.60_min_avg_from_5_min_src.bcd,73000,2.657,2.002,12.161
*data,DHW_200_Lpd.AL_low_Y3_W.60_min_avg_from_5_min_src.bcd,73000,2.834,2.206,12.375
*data,DHW_200_Lpd.AL_med_Y1_W.60_min_avg_from_5_min_src.bcd,73000,2.664,4.898,21.813
*data,DHW_200_Lpd.AL_med_Y2_W.60_min_avg_from_5_min_src.bcd,73000,2.786,5.076,21.725
*data,DHW_200_Lpd.AL_med_Y3_W.60_min_avg_from_5_min_src.bcd,73000,2.848,4.744,21.613
*data,DHW_300_Lpd.AL_high_Y1_W.60_min_avg_from_5_min_src.bcd,109500,3.702,7.217,35.723
*data,DHW_300_Lpd.AL_high_Y2_W.60_min_avg_from_5_min_src.bcd,109500,3.785,7.443,36.076
*data,DHW_300_Lpd.AL_high_Y3_W.60_min_avg_from_5_min_src.bcd,109500,3.946,7.190,35.823
*data,DHW_300_Lpd.AL_low_Y1_W.60_min_avg_from_5_min_src.bcd,109500,2.700,2.206,12.239
*data,DHW_300_Lpd.AL_low_Y2_W.60_min_avg_from_5_min_src.bcd,109500,2.657,2.002,12.161
*data,DHW_300_Lpd.AL_low_Y3_W.60_min_avg_from_5_min_src.bcd,109500,2.834,2.206,12.375
*data,DHW_300_Lpd.AL_med_Y1_W.60_min_avg_from_5_min_src.bcd,109500,2.664,4.898,21.813
*data,DHW_300_Lpd.AL_med_Y2_W.60_min_avg_from_5_min_src.bcd,109500,2.786,5.076,21.725
*data,DHW_300_Lpd.AL_med_Y3_W.60_min_avg_from_5_min_src.bcd,109500,2.848,4.744,21.613
