,Lights,Refrigerator,Kitchen stove,Dishwasher,Washer,Dryer,Freezer,Other Appliances,Total (5 min)
Time,Power (W),Power (W),Power (W),Power (W),Power (W),Power (W),Power (W),Power (W),Power (W)
0:00:00,0,0,0,0,0,0,0,62,62
0:05:00,0,0,0,0,0,0,0,62,62
0:10:00,0,0,0,0,0,0,0,62,62
0:15:00,0,0,0,0,0,0,0,62,62
0:20:00,0,0,0,0,0,0,0,62,62
0:25:00,0,0,0,0,0,0,0,62,62
0:30:00,0,0,0,0,0,0,0,62,62
0:35:00,0,80,0,0,0,0,0,62,142
0:40:00,0,251,0,0,0,0,61,62,373
0:45:00,0,242,0,0,0,0,191,62,495
0:50:00,0,242,0,0,0,0,185,62,489
0:55:00,0,234,0,0,0,0,185,62,481
1:00:00,0,160,0,0,0,0,178,62,400
1:05:00,0,0,0,0,0,0,122,62,184
1:10:00,0,0,0,0,0,0,0,62,62
1:15:00,0,0,0,0,0,0,0,62,62
1:20:00,0,0,0,0,0,0,0,62,62
1:25:00,0,0,0,0,0,0,0,62,62
1:30:00,0,0,0,0,0,0,0,62,62
1:35:00,0,0,0,0,0,0,0,62,62
1:40:00,0,0,0,0,0,0,0,162,162
1:45:00,0,80,0,0,0,0,0,162,242
1:50:00,0,251,0,0,0,0,61,162,473
1:55:00,0,242,0,0,0,0,191,162,595
2:00:00,0,242,0,0,0,0,185,162,589
2:05:00,0,234,0,0,0,0,185,262,681
2:10:00,0,160,0,0,0,0,178,292,630
2:15:00,0,0,0,0,0,0,122,1292,1414
2:20:00,0,0,0,0,0,0,0,1292,1292
2:25:00,0,0,0,0,0,0,0,1192,1192
2:30:00,0,0,0,0,0,0,0,1192,1192
2:35:00,0,0,0,0,0,0,0,1192,1192
2:40:00,0,0,0,0,0,0,0,1192,1192
2:45:00,0,0,0,0,0,0,0,192,192
2:50:00,0,0,0,0,0,0,0,192,192
2:55:00,0,80,0,0,0,0,0,192,272
3:00:00,0,251,0,0,0,0,61,192,503
3:05:00,0,242,0,0,0,0,191,192,625
3:10:00,0,242,0,0,0,0,185,192,619
3:15:00,0,234,0,0,0,0,185,192,611
3:20:00,0,160,0,0,0,0,178,192,530
3:25:00,0,0,0,0,0,0,122,192,314
3:30:00,0,0,0,0,0,0,0,192,192
3:35:00,0,0,0,0,0,0,0,192,192
3:40:00,0,0,0,0,0,0,0,192,192
3:45:00,0,0,0,0,0,0,0,192,192
3:50:00,0,0,0,0,0,0,0,92,92
3:55:00,0,0,0,0,0,0,0,62,62
4:00:00,0,0,0,0,0,0,0,62,62
4:05:00,0,80,0,0,0,0,0,62,142
4:10:00,0,251,0,0,0,0,61,62,373
4:15:00,0,242,0,0,0,0,191,62,495
4:20:00,0,242,0,0,0,0,185,62,489
4:25:00,0,234,0,0,0,0,185,62,481
4:30:00,0,160,0,0,0,0,178,62,400
4:35:00,0,0,0,0,0,0,122,62,184
4:40:00,0,0,0,0,0,0,0,62,62
4:45:00,0,0,0,0,0,0,0,62,62
4:50:00,0,0,0,0,0,0,0,62,62
4:55:00,0,0,0,0,0,0,0,62,62
5:00:00,200,0,0,0,0,0,0,62,262
5:05:00,200,0,0,0,0,0,0,62,262
5:10:00,200,0,0,0,0,0,0,62,262
5:15:00,200,80,0,0,0,0,0,62,342
5:20:00,200,251,0,0,0,0,61,62,573
5:25:00,200,242,0,0,0,0,191,62,695
5:30:00,610,242,0,0,0,0,185,62,1099
5:35:00,410,234,0,0,0,0,185,62,891
5:40:00,410,160,0,0,0,0,178,62,810
5:45:00,410,0,0,0,0,0,122,62,594
5:50:00,410,0,0,0,0,0,0,62,472
5:55:00,410,0,0,0,0,0,0,62,472
6:00:00,510,0,0,0,0,0,0,62,572
6:05:00,510,0,0,0,0,0,0,62,572
6:10:00,410,0,0,0,0,0,0,62,472
6:15:00,410,0,0,0,0,0,0,62,472
6:20:00,610,0,0,0,0,0,0,62,672
6:25:00,1020,80,0,0,0,0,0,62,1162
6:30:00,1020,251,0,0,0,0,61,62,1393
6:35:00,1020,242,0,0,0,0,191,62,1515
6:40:00,1020,242,0,0,0,0,185,62,1509
6:45:00,610,234,0,0,0,0,185,62,1091
6:50:00,610,160,0,0,0,0,178,162,1110
6:55:00,610,0,0,0,0,0,122,162,894
7:00:00,610,0,0,0,0,0,0,167,777
7:05:00,610,0,0,0,0,0,0,167,777
7:10:00,610,0,0,0,0,0,0,167,777
7:15:00,610,0,0,0,0,0,0,167,777
7:20:00,670,0,0,0,0,0,0,417,1087
7:25:00,260,0,0,0,0,0,0,417,677
7:30:00,260,0,0,0,0,0,0,417,677
7:35:00,60,80,0,0,0,0,0,517,657
7:40:00,60,251,0,0,0,0,61,517,888
7:45:00,60,242,0,0,0,0,191,167,660
7:50:00,60,242,0,0,0,0,185,167,654
7:55:00,60,234,0,0,0,0,185,167,646
8:00:00,60,160,0,0,0,0,178,167,565
8:05:00,60,0,0,0,0,0,122,167,349
8:10:00,60,0,0,0,0,0,0,162,222
8:15:00,0,0,0,0,0,0,0,162,162
8:20:00,0,0,0,0,0,0,0,162,162
8:25:00,0,0,0,0,0,0,0,162,162
8:30:00,0,0,0,0,0,0,0,162,162
8:35:00,0,0,0,0,0,0,0,162,162
8:40:00,0,0,0,0,0,0,0,62,62
8:45:00,0,80,0,0,0,0,0,62,142
8:50:00,0,251,0,0,0,0,61,62,373
8:55:00,0,242,0,0,0,0,191,62,495
9:00:00,0,242,0,0,0,0,185,62,489
9:05:00,0,234,0,0,0,0,185,62,481
9:10:00,0,160,0,0,0,0,178,62,400
9:15:00,0,0,0,0,505,0,122,62,689
9:20:00,0,0,0,0,505,0,0,62,567
9:25:00,0,0,0,0,505,0,0,62,567
9:30:00,0,0,0,0,0,0,0,62,62
9:35:00,0,0,0,0,0,0,0,62,62
9:40:00,0,0,0,0,505,0,0,62,567
9:45:00,120,0,0,0,505,0,0,62,687
9:50:00,120,0,0,0,505,0,0,62,687
9:55:00,120,80,0,0,0,0,0,62,262
10:00:00,120,251,0,0,0,0,61,92,523
10:05:00,0,242,0,0,0,0,191,92,525
10:10:00,0,242,0,0,0,0,185,92,519
10:15:00,0,234,0,0,0,0,185,92,511
10:20:00,0,160,0,0,0,0,178,92,430
10:25:00,0,0,0,0,0,0,122,92,214
10:30:00,0,0,0,0,0,0,0,92,92
10:35:00,0,0,0,0,0,0,0,92,92
10:40:00,0,0,0,0,0,0,0,92,92
10:45:00,0,0,0,0,0,0,0,92,92
10:50:00,0,0,0,0,0,0,0,192,192
10:55:00,0,0,0,0,0,4115,0,192,4307
11:00:00,0,0,1600,0,0,4115,0,162,5877
11:05:00,0,80,1600,0,0,4115,0,162,5957
11:10:00,0,251,1600,0,0,4115,61,192,6219
11:15:00,200,242,1600,0,0,4115,191,192,6541
11:20:00,200,242,1600,0,0,4115,185,192,6534
11:25:00,200,234,1600,0,0,4115,185,192,6526
11:30:00,200,160,1600,0,0,4115,679,92,6846
11:35:00,200,0,1600,0,0,0,61,92,1953
11:40:00,300,0,1600,0,0,0,0,92,1992
11:45:00,300,0,1600,0,0,0,0,62,1962
11:50:00,300,0,1600,0,0,0,0,62,1962
