*title,can_gen_med_y1,,,,,,,,
*note,Each row corresponds to 5 minutes. The first row starts Jan 1 12:00,,,,,,,,
*header,Lights,Refrigerator,Kitchen_stove,Dishwasher,Washer,Dryer,Freezer,Other_appliances,
*units,Power (W),Power (W),Power (W),Power (W),Power (W),Power (W),Power (W),Power (W),
*data,0,251,0,0,0,0,122,62,435
*data,0,242,0,0,0,0,0,62,304
*data,0,242,0,0,0,0,0,62,304
*data,0,234,0,0,0,0,0,62,296
*data,0,160,0,0,0,0,0,62,222
*data,0,0,0,0,0,0,0,62,62
*data,0,0,0,0,0,0,0,62,62
*data,0,0,0,0,0,0,0,62,62
*data,0,0,0,0,0,0,0,62,62
*data,0,0,0,0,0,0,61,62,123
*data,0,0,0,0,0,0,191,62,253
*data,0,0,0,0,0,0,185,62,247
*data,0,0,0,0,0,0,185,62,247
*data,0,80,0,0,0,0,178,62,320
*data,0,251,0,0,0,0,122,62,435
*data,0,242,0,0,0,0,0,92,334
*data,0,242,0,0,0,0,0,92,334
*data,0,890,0,0,0,0,0,92,982
*data,0,80,0,0,0,0,0,92,172
*data,0,0,0,0,0,0,0,92,92
*data,0,0,0,0,0,0,0,92,92
*data,0,0,0,0,0,0,0,92,92
*data,0,0,0,0,0,0,0,212,212
*data,0,80,0,0,0,0,61,212,352
*data,0,251,0,0,0,0,191,212,654
*data,0,259,0,0,0,0,185,62,506
*data,0,251,0,0,0,0,185,62,497
*data,0,242,0,0,0,0,178,62,483
*data,0,242,0,0,0,0,122,62,426
*data,0,234,0,0,0,0,0,62,296
*data,0,242,0,0,0,0,0,62,304
*data,0,234,0,0,0,0,0,62,296
*data,0,201,0,0,0,0,0,62,263
*data,0,80,0,0,0,0,0,62,142
*data,0,0,0,0,0,0,0,62,62
*data,0,0,0,0,0,0,0,62,62
*data,0,0,0,0,0,0,0,62,62
*data,0,0,0,0,0,0,61,62,123
*data,0,0,0,0,0,0,191,62,253
*data,0,0,0,0,0,0,185,62,247
*data,100,0,0,0,0,0,185,62,347
*data,100,80,0,0,0,0,178,62,420
*data,100,251,0,0,0,0,122,62,535
*data,100,242,0,0,0,0,0,62,404
*data,100,242,0,0,0,0,0,62,404
*data,100,234,0,0,0,0,0,62,396
*data,100,160,0,0,0,0,0,62,322
*data,100,0,0,0,0,0,0,62,162
*data,100,0,0,0,0,0,0,62,162
*data,100,0,0,0,0,0,0,62,162
*data,100,0,0,0,0,0,0,62,162
*data,100,0,0,0,0,0,61,62,223
*data,100,0,0,0,0,0,191,62,353
*data,100,0,0,0,0,0,185,62,347
*data,100,0,0,0,0,0,185,62,347
*data,100,80,0,0,0,0,178,62,420
*data,100,251,0,0,0,0,122,62,535
*data,100,242,0,0,0,0,0,62,404
*data,100,242,0,0,0,0,0,62,404
