,Lights,Refrigerator,Kitchen stove,Dishwasher,Washer,Dryer,Freezer,Other Appliances,Total (5 min)
Time,Power (W),Power (W),Power (W),Power (W),Power (W),Power (W),Power (W),Power (W),Power (W)
0:00:00,0,0,0,0,0,0,0,2062,2062
0:05:00,0,80,0,0,0,0,0,2062,2142
0:10:00,0,251,0,0,0,0,79,2062,2392
0:15:00,0,242,0,0,0,0,249,2062,2553
0:20:00,0,242,0,0,0,0,240,1062,1545
0:25:00,0,234,0,0,0,0,240,1062,1536
0:30:00,0,240,0,0,0,0,232,1062,1534
0:35:00,0,251,0,0,0,0,159,1062,1471
0:40:00,0,242,0,0,0,0,0,1062,1304
0:45:00,120,242,0,0,0,0,0,1062,1424
0:50:00,120,234,0,0,0,0,0,1067,1421
0:55:00,120,160,0,0,0,0,0,1067,1347
1:00:00,0,0,0,0,0,0,0,67,67
1:05:00,0,0,0,0,0,0,0,67,67
1:10:00,0,0,0,0,0,0,0,67,67
1:15:00,0,80,0,0,0,0,0,67,147
1:20:00,0,251,0,0,0,0,79,67,397
1:25:00,0,242,0,0,0,0,249,67,558
1:30:00,0,242,0,0,0,0,240,67,550
1:35:00,0,234,0,0,0,0,240,67,541
1:40:00,0,240,0,0,0,0,232,97,569
1:45:00,0,251,0,0,0,0,159,97,506
1:50:00,0,242,0,0,0,0,0,97,339
1:55:00,0,242,0,0,0,0,0,97,339
2:00:00,0,234,0,0,0,0,0,97,331
2:05:00,0,160,0,0,0,0,0,92,252
2:10:00,0,0,0,0,0,0,0,92,92
2:15:00,0,0,0,0,0,0,0,92,92
2:20:00,0,0,0,0,0,0,0,92,92
2:25:00,0,80,0,0,0,0,0,92,172
2:30:00,0,251,0,0,0,0,79,92,422
2:35:00,0,242,0,0,0,0,249,192,683
2:40:00,0,242,0,0,0,0,240,192,675
2:45:00,0,234,0,0,0,0,240,192,666
2:50:00,0,240,0,0,0,0,232,192,664
2:55:00,0,251,0,0,0,0,159,192,601
3:00:00,0,242,0,0,0,0,0,162,404
3:05:00,0,242,0,0,0,0,0,162,404
3:10:00,0,234,0,0,0,0,0,162,396
3:15:00,0,160,0,0,0,0,0,162,322
3:20:00,0,0,0,0,0,0,0,262,262
3:25:00,0,0,0,0,0,0,0,262,262
3:30:00,0,0,0,0,0,0,0,262,262
3:35:00,0,80,0,0,0,0,0,262,342
3:40:00,0,251,0,0,0,0,79,262,592
3:45:00,0,242,0,0,0,0,249,262,753
3:50:00,0,242,0,0,0,0,240,262,745
3:55:00,0,234,0,0,0,0,240,262,736
4:00:00,0,240,0,0,0,0,232,162,634
4:05:00,0,251,0,0,0,0,159,162,571
4:10:00,0,242,0,0,0,0,0,162,404
4:15:00,0,242,0,0,0,0,0,162,404
4:20:00,0,234,0,0,0,0,0,162,396
4:25:00,0,160,0,0,0,0,0,162,322
4:30:00,0,0,0,0,0,0,0,162,162
4:35:00,0,0,0,0,0,0,0,62,62
4:40:00,0,0,0,0,0,0,0,62,62
4:45:00,240,80,0,0,0,0,0,62,382
4:50:00,240,251,0,0,0,0,79,62,632
4:55:00,240,242,0,0,0,0,249,62,793
5:00:00,240,242,0,0,0,0,240,62,785
5:05:00,240,890,0,0,0,0,240,62,1433
5:10:00,240,159,0,0,0,0,232,62,693
5:15:00,240,251,0,0,0,0,159,62,711
5:20:00,240,242,0,0,0,0,0,62,544
5:25:00,240,242,0,0,0,0,0,62,544
5:30:00,240,234,0,0,0,0,0,92,566
5:35:00,240,240,0,0,0,0,0,92,572
5:40:00,240,251,0,0,0,0,0,92,583
5:45:00,240,259,0,0,0,0,0,92,591
5:50:00,240,251,0,0,0,0,0,92,583
5:55:00,240,242,0,0,0,0,0,92,574
6:00:00,240,242,0,0,0,0,79,92,653
6:05:00,240,234,0,0,0,0,249,92,815
6:10:00,240,242,0,0,0,0,240,92,815
6:15:00,0,234,0,0,0,0,240,92,566
6:20:00,0,281,0,0,0,0,232,92,605
6:25:00,0,330,0,0,0,0,159,92,581
6:30:00,0,242,0,0,0,0,0,92,334
6:35:00,0,242,0,0,0,0,0,92,334
6:40:00,0,234,0,0,0,0,0,132,366
6:45:00,0,160,0,0,0,0,0,132,292
6:50:00,0,0,0,0,0,0,0,132,132
6:55:00,0,0,0,0,0,0,0,132,132
7:00:00,200,0,0,0,0,0,0,132,332
7:05:00,200,80,0,0,0,0,0,132,412
7:10:00,200,251,0,0,0,0,79,382,912
7:15:00,200,242,0,0,0,0,249,382,1073
7:20:00,200,242,0,0,0,0,240,382,1065
7:25:00,200,234,0,0,0,0,240,352,1026
7:30:00,200,240,0,0,0,0,232,352,1024
7:35:00,200,251,0,0,0,0,159,102,711
7:40:00,0,242,0,0,0,0,0,102,344
7:45:00,0,242,0,0,0,0,0,102,344
7:50:00,0,234,0,0,0,0,0,102,336
7:55:00,0,160,0,0,0,0,0,102,262
8:00:00,0,0,0,0,0,0,0,102,102
8:05:00,0,0,0,0,0,0,0,102,102
8:10:00,0,0,0,0,0,0,0,102,102
8:15:00,0,80,0,0,0,0,0,102,182
8:20:00,0,251,0,0,0,0,79,102,432
8:25:00,200,242,0,0,0,0,249,102,793
8:30:00,200,242,0,0,0,0,240,102,785
8:35:00,200,234,0,0,0,0,240,62,736
8:40:00,200,240,0,0,0,0,232,62,734
8:45:00,200,251,0,0,0,0,159,62,671
8:50:00,200,242,0,0,0,0,0,62,504
8:55:00,200,242,0,0,0,0,0,62,504
9:00:00,0,234,0,0,0,0,0,182,416
9:05:00,0,160,0,0,0,0,0,182,342
9:10:00,0,0,0,0,0,0,0,182,182
9:15:00,0,0,0,0,505,0,0,182,687
9:20:00,0,0,0,0,505,0,0,182,687
9:25:00,0,80,0,0,505,0,0,182,767
9:30:00,0,251,0,0,0,0,79,182,512
9:35:00,0,242,0,0,0,0,249,182,673
9:40:00,0,242,0,0,505,0,240,182,1170
9:45:00,0,234,0,0,505,0,240,62,1041
9:50:00,0,240,0,0,505,0,232,62,1039
9:55:00,0,251,0,0,0,0,159,62,471
10:00:00,0,242,0,0,0,0,0,62,304
10:05:00,0,242,0,0,0,0,0,62,304
10:10:00,0,234,0,0,0,0,0,62,296
10:15:00,0,160,0,0,0,0,0,62,222
10:20:00,0,0,0,0,0,0,0,62,62
10:25:00,0,0,0,0,0,0,0,62,62
10:30:00,0,0,0,0,0,0,0,62,62
10:35:00,0,80,0,0,0,0,0,62,142
10:40:00,0,251,0,0,0,0,79,62,392
10:45:00,0,242,0,0,0,4115,249,62,4668
10:50:00,0,242,0,0,0,4115,240,62,4660
10:55:00,0,234,0,0,0,4115,240,62,4651
11:00:00,0,240,0,0,0,4115,232,62,4649
11:05:00,0,251,0,0,0,4115,159,62,4586
11:10:00,0,242,0,0,0,4115,0,62,4419
11:15:00,0,242,0,0,0,0,0,62,304
