,Lights,Refrigerator,Kitchen stove,Dishwasher,Washer,Dryer,Freezer,Other Appliances,Total (5 min)
Time,Power (W),Power (W),Power (W),Power (W),Power (W),Power (W),Power (W),Power (W),Power (W)
0:00:00,0,242,1600,0,0,0,0,62,1904
0:05:00,0,242,0,0,0,0,0,62,304
0:10:00,0,234,0,0,0,0,0,62,296
0:15:00,0,160,0,0,0,0,0,1062,1222
0:20:00,0,0,0,0,0,0,0,1062,1062
0:25:00,0,0,0,0,0,0,0,1062,1062
0:30:00,0,0,0,0,0,0,0,1062,1062
0:35:00,0,0,0,0,0,0,0,1062,1062
0:40:00,0,0,0,0,0,0,0,1062,1062
0:45:00,0,0,0,0,0,0,0,1062,1062
0:50:00,0,0,0,0,0,0,0,1062,1062
0:55:00,0,0,0,0,0,0,0,1062,1062
1:00:00,0,80,0,0,0,0,0,1062,1142
1:05:00,0,251,0,0,0,0,0,1062,1313
1:10:00,0,242,0,0,0,0,0,1062,1304
1:15:00,0,242,0,0,0,0,0,1062,1304
1:20:00,0,234,0,0,0,0,0,1062,1296
1:25:00,0,160,0,0,0,0,0,1062,1222
1:30:00,0,0,0,0,0,0,0,1062,1062
1:35:00,0,0,0,0,0,0,0,1062,1062
1:40:00,0,0,0,0,0,0,0,1062,1062
1:45:00,0,0,0,0,0,0,0,1062,1062
1:50:00,0,0,0,0,0,0,0,62,62
1:55:00,0,0,0,0,0,0,0,62,62
2:00:00,0,0,0,0,0,0,0,242,242
2:05:00,0,0,0,0,0,0,0,242,242
2:10:00,0,80,0,0,0,0,0,242,322
2:15:00,0,251,0,0,0,0,0,242,493
2:20:00,0,242,0,0,0,0,0,242,484
2:25:00,0,242,0,0,0,0,0,242,484
2:30:00,0,234,0,0,0,0,0,342,576
2:35:00,0,160,0,0,0,0,0,242,402
2:40:00,0,0,0,0,0,0,0,242,242
2:45:00,0,0,0,0,0,0,0,242,242
2:50:00,0,0,0,0,0,0,0,242,242
2:55:00,0,0,0,0,0,0,0,242,242
3:00:00,0,0,0,0,0,0,0,242,242
3:05:00,0,0,0,0,0,0,0,242,242
3:10:00,0,0,0,0,0,0,0,62,62
3:15:00,0,0,0,0,0,0,0,162,162
3:20:00,0,80,0,0,0,0,0,62,142
3:25:00,0,251,0,0,0,0,0,62,313
3:30:00,0,242,0,0,0,0,0,62,304
