*title,can_gen_high_Y1,,,,,,,
*note,Each row corresponds to 5 minutes. The first row starts Jan 1 12:00,,,,,,,
*header,Lights,Refrigerator,Stove,Dishwasher,Washer,Dryer,Freezer,Other_appliances
*units,Power (W),Power (W),Power (W),Power (W),Power (W),Power (W),Power (W),Power (W)
*data,0,0,0,0,0,0,0,2062
*data,0,80,0,0,0,0,0,2062
*data,0,251,0,0,0,0,79,2062
*data,0,242,0,0,0,0,249,2062
*data,0,242,0,0,0,0,240,1062
*data,0,234,0,0,0,0,240,1062
*data,0,240,0,0,0,0,232,1062
*data,0,251,0,0,0,0,159,1062
*data,0,242,0,0,0,0,0,1062
*data,120,242,0,0,0,0,0,1062
*data,120,234,0,0,0,0,0,1067
*data,120,160,0,0,0,0,0,1067
*data,0,0,0,0,0,0,0,67
*data,0,0,0,0,0,0,0,67
*data,0,0,0,0,0,0,0,67
*data,0,80,0,0,0,0,0,67
*data,0,251,0,0,0,0,79,67
*data,0,242,0,0,0,0,249,67
*data,0,242,0,0,0,0,240,67
*data,0,234,0,0,0,0,240,67
*data,0,240,0,0,0,0,232,97
*data,0,251,0,0,0,0,159,97
*data,0,242,0,0,0,0,0,97
*data,0,242,0,0,0,0,0,97
*data,0,234,0,0,0,0,0,97
*data,0,160,0,0,0,0,0,92
*data,0,0,0,0,0,0,0,92
*data,0,0,0,0,0,0,0,92
*data,0,0,0,0,0,0,0,92
*data,0,80,0,0,0,0,0,92
*data,0,251,0,0,0,0,79,92
*data,0,242,0,0,0,0,249,192
*data,0,242,0,0,0,0,240,192
*data,0,234,0,0,0,0,240,192
*data,0,240,0,0,0,0,232,192
*data,0,251,0,0,0,0,159,192
*data,0,242,0,0,0,0,0,162
*data,0,242,0,0,0,0,0,162
*data,0,234,0,0,0,0,0,162
*data,0,160,0,0,0,0,0,162
*data,0,0,0,0,0,0,0,262
*data,0,0,0,0,0,0,0,262
*data,0,0,0,0,0,0,0,262
*data,0,80,0,0,0,0,0,262
*data,0,251,0,0,0,0,79,262
*data,0,242,0,0,0,0,249,262
*data,0,242,0,0,0,0,240,262
*data,0,234,0,0,0,0,240,262
*data,0,240,0,0,0,0,232,162
*data,0,251,0,0,0,0,159,162
*data,0,242,0,0,0,0,0,162
*data,0,242,0,0,0,0,0,162
*data,0,234,0,0,0,0,0,162
*data,0,160,0,0,0,0,0,162
*data,0,0,0,0,0,0,0,162
*data,0,0,0,0,0,0,0,62
*data,0,0,0,0,0,0,0,62
*data,240,80,0,0,0,0,0,62
*data,240,251,0,0,0,0,79,62
*data,240,242,0,0,0,0,249,62
*data,240,242,0,0,0,0,240,62
*data,240,890,0,0,0,0,240,62
*data,240,159,0,0,0,0,232,62
*data,240,251,0,0,0,0,159,62
*data,240,242,0,0,0,0,0,62
*data,240,242,0,0,0,0,0,62
*data,240,234,0,0,0,0,0,92
*data,240,240,0,0,0,0,0,92
*data,240,251,0,0,0,0,0,92
*data,240,259,0,0,0,0,0,92
*data,240,251,0,0,0,0,0,92
*data,240,242,0,0,0,0,0,92
*data,240,242,0,0,0,0,79,92
*data,240,234,0,0,0,0,249,92
*data,240,242,0,0,0,0,240,92
*data,0,234,0,0,0,0,240,92
*data,0,281,0,0,0,0,232,92
*data,0,330,0,0,0,0,159,92
*data,0,242,0,0,0,0,0,92
*data,0,242,0,0,0,0,0,92
*data,0,234,0,0,0,0,0,132
*data,0,160,0,0,0,0,0,132
*data,0,0,0,0,0,0,0,132
*data,0,0,0,0,0,0,0,132
*data,200,0,0,0,0,0,0,132
*data,200,80,0,0,0,0,0,132
*data,200,251,0,0,0,0,79,382
*data,200,242,0,0,0,0,249,382
*data,200,242,0,0,0,0,240,382
*data,200,234,0,0,0,0,240,352
*data,200,240,0,0,0,0,232,352
*data,200,251,0,0,0,0,159,102
*data,0,242,0,0,0,0,0,102
*data,0,242,0,0,0,0,0,102
*data,0,234,0,0,0,0,0,102
*data,0,160,0,0,0,0,0,102
*data,0,0,0,0,0,0,0,102
*data,0,0,0,0,0,0,0,102
*data,0,0,0,0,0,0,0,102
*data,0,80,0,0,0,0,0,102
*data,0,251,0,0,0,0,79,102
*data,200,242,0,0,0,0,249,102
*data,200,242,0,0,0,0,240,102
*data,200,234,0,0,0,0,240,62
*data,200,240,0,0,0,0,232,62
*data,200,251,0,0,0,0,159,62
*data,200,242,0,0,0,0,0,62
*data,200,242,0,0,0,0,0,62
*data,0,234,0,0,0,0,0,182
*data,0,160,0,0,0,0,0,182
*data,0,0,0,0,0,0,0,182
*data,0,0,0,0,505,0,0,182
*data,0,0,0,0,505,0,0,182
*data,0,80,0,0,505,0,0,182
*data,0,251,0,0,0,0,79,182
*data,0,242,0,0,0,0,249,182
*data,0,242,0,0,505,0,240,182
*data,0,234,0,0,505,0,240,62
*data,0,240,0,0,505,0,232,62
*data,0,251,0,0,0,0,159,62
*data,0,242,0,0,0,0,0,62
*data,0,242,0,0,0,0,0,62
*data,0,234,0,0,0,0,0,62
*data,0,160,0,0,0,0,0,62
*data,0,0,0,0,0,0,0,62
*data,0,0,0,0,0,0,0,62
*data,0,0,0,0,0,0,0,62
*data,0,80,0,0,0,0,0,62
*data,0,251,0,0,0,0,79,62
*data,0,242,0,0,0,4115,249,62
*data,0,242,0,0,0,4115,240,62
*data,0,234,0,0,0,4115,240,62
*data,0,240,0,0,0,4115,232,62
*data,0,251,0,0,0,4115,159,62
*data,0,242,0,0,0,4115,0,62
*data,0,242,0,0,0,0,0,62
*data,0,234,0,0,0,0,0,62
*data,0,160,0,0,0,4115,0,62
*data,0,0,0,0,0,4115,0,62
*data,0,0,0,0,0,4115,0,62
*data,0,0,0,0,0,4115,0,62
*data,0,80,0,0,0,4115,0,62
*data,0,251,0,0,0,4115,79,62
*data,0,242,0,0,0,4115,249,62
*data,0,242,0,0,0,0,240,62
*data,0,234,0,0,0,0,240,182
*data,0,240,0,0,0,0,232,182
*data,0,251,0,0,0,0,159,182
*data,0,242,0,0,0,0,0,182
*data,0,242,0,0,0,0,0,182
*data,0,234,0,0,0,0,0,182
*data,0,160,0,0,0,0,0,182
*data,0,0,0,0,0,0,0,182
*data,0,0,0,0,0,0,0,182
*data,0,0,0,0,0,0,0,182
*data,0,80,0,0,0,0,0,182
*data,0,251,0,0,0,0,79,62
*data,0,242,0,0,0,0,249,312
*data,0,242,0,0,0,0,240,1562
*data,0,234,0,0,0,0,240,1562
*data,0,240,0,0,0,0,232,1562
*data,0,251,0,0,0,0,159,1562
*data,0,242,0,0,0,0,0,1562
*data,0,242,0,0,0,0,0,1562
*data,0,234,0,0,0,0,0,1562
*data,0,160,0,0,0,0,0,1562
*data,0,0,0,0,0,0,0,1562
*data,0,0,0,0,0,0,0,1562
*data,0,0,0,0,0,0,0,432
*data,0,80,0,0,0,0,0,432
*data,0,251,0,0,0,0,79,432
*data,0,242,0,0,0,0,249,432
*data,0,242,0,0,0,0,240,432
*data,0,234,0,0,0,0,240,432
*data,0,240,0,0,0,0,232,432
*data,0,251,0,0,0,0,159,432
*data,0,242,0,0,0,0,0,432
*data,0,242,0,0,0,0,0,432
*data,0,234,0,0,0,0,0,182
*data,120,160,0,0,0,0,0,182
*data,120,0,0,0,0,0,0,182
*data,120,0,0,0,0,0,0,182
*data,120,0,0,0,0,0,0,62
*data,120,80,0,0,0,0,0,62
*data,120,251,0,0,0,0,79,62
*data,120,242,0,0,0,0,249,62
*data,120,242,0,0,0,0,240,62
*data,120,234,0,0,0,0,240,62
*data,120,240,0,0,0,0,232,162
*data,120,251,0,0,0,0,159,162
*data,120,242,0,0,0,0,0,162
*data,120,242,0,0,0,0,0,162
*data,120,234,0,0,0,0,0,162
*data,120,160,0,0,0,0,0,162
*data,0,0,0,0,0,0,0,162
*data,400,0,0,0,0,0,0,162
*data,400,0,0,0,0,0,0,162
*data,400,80,1600,0,0,0,0,162
*data,400,251,1600,0,0,0,79,262
*data,400,242,1600,0,0,0,249,262
*data,400,242,0,0,0,0,240,262
*data,400,234,0,0,0,0,240,262
*data,400,240,0,0,0,0,232,262
*data,400,251,0,0,0,0,159,262
*data,400,242,0,0,0,0,0,262
*data,400,242,0,0,0,0,0,262
*data,400,234,0,0,0,0,0,262
*data,400,160,0,0,0,0,0,262
*data,400,0,0,0,0,0,0,262
*data,400,0,0,0,0,0,0,262
*data,400,0,0,0,0,0,0,262
*data,400,80,0,0,0,0,0,162
*data,400,251,0,0,0,0,79,162
*data,0,242,0,0,0,0,249,162
*data,0,242,0,0,0,0,240,162
*data,0,234,0,0,0,0,240,162
*data,0,240,0,0,0,0,883,162
*data,0,251,0,0,0,0,79,162
*data,0,242,0,0,0,0,0,1562
*data,200,242,0,0,0,0,0,1562
*data,200,234,0,0,0,0,0,1562
*data,200,160,0,0,0,0,0,1562
*data,200,0,0,0,0,0,79,1562
*data,200,0,0,0,0,0,249,1562
*data,200,0,0,0,0,0,257,1682
*data,600,80,0,0,0,0,249,1682
*data,600,251,0,0,0,0,240,182
*data,600,242,0,0,0,0,240,182
*data,600,242,0,0,0,0,232,182
*data,600,234,0,0,0,0,240,182
*data,800,240,0,0,0,0,232,282
*data,1200,251,0,0,0,0,199,322
*data,1000,242,0,0,0,0,79,322
*data,1000,242,0,0,0,0,0,322
*data,600,234,0,0,0,0,0,202
*data,600,160,0,0,0,0,0,102
*data,1220,0,0,0,0,0,0,102
*data,1220,0,0,0,0,0,0,107
*data,1060,0,0,0,0,0,0,107
*data,1180,80,0,0,0,0,0,107
*data,1180,251,0,0,0,0,79,107
