*title,can_gen_high_Y2,,,,,,,,
*note,Each row corresponds to 5 minutes. The first row starts Jan 1 12:00,,,,,,,,
*header,Lights,Refrigerator,Kitchen_stove,Dishwasher,Washer,Dryer,Freezer,Other_appliances,
*units,Power (W),Power (W),Power (W),Power (W),Power (W),Power (W),Power (W),Power (W),
*data,400,0,0,0,0,0,249,92,741
*data,400,0,0,0,0,0,240,92,732
*data,400,0,0,0,0,0,240,92,732
*data,400,159,0,0,0,0,232,92,883
*data,400,501,0,0,0,0,159,92,1152
*data,400,484,0,0,0,0,0,92,976
*data,400,484,0,0,0,0,0,92,976
*data,400,468,0,0,0,0,0,92,960
*data,400,320,0,0,0,0,0,92,812
*data,400,0,0,0,0,0,0,92,492
*data,400,0,0,0,0,0,0,92,492
*data,400,0,0,0,0,0,0,92,492
*data,400,0,0,0,0,0,0,92,492
*data,400,0,0,0,0,0,79,92,571
*data,400,0,0,0,0,0,249,312,961
*data,400,0,0,0,0,0,240,312,952
*data,400,0,0,0,0,0,240,312,952
*data,400,159,0,0,0,0,232,312,1103
*data,400,501,0,0,0,0,159,312,1372
*data,0,484,0,0,0,0,0,312,796
*data,0,484,0,0,0,0,0,312,796
*data,0,468,0,0,0,0,0,312,780
*data,0,320,0,0,0,0,0,562,882
*data,0,0,0,0,0,0,0,562,562
*data,240,0,0,0,0,0,0,562,802
*data,240,0,0,0,0,0,0,562,802
*data,240,0,0,0,0,0,0,562,802
*data,240,0,0,0,0,0,79,562,881
*data,240,0,0,0,0,0,249,562,1051
*data,240,0,0,0,0,0,240,312,792
*data,240,0,0,0,0,0,240,492,972
*data,240,159,0,0,0,0,232,492,1123
*data,240,501,0,0,0,0,159,492,1392
*data,240,484,0,0,0,0,0,492,1216
*data,240,484,0,0,0,0,0,1312,2036
*data,240,468,0,0,0,0,0,1062,1770
*data,240,320,0,0,0,0,0,1092,1652
*data,240,0,0,0,0,0,0,1092,1332
*data,240,0,0,0,0,0,0,1092,1332
*data,240,0,0,0,0,0,0,92,332
*data,240,0,0,0,0,0,0,92,332
*data,240,0,0,0,0,0,79,92,411
*data,240,0,0,0,0,0,249,92,581
*data,240,0,0,0,0,0,240,92,572
*data,240,0,0,0,0,0,240,92,572
*data,240,159,0,0,0,0,232,92,723
*data,240,501,0,0,0,0,159,62,962
*data,0,484,0,0,0,0,0,62,546
*data,0,484,0,0,0,0,0,62,546
*data,0,468,0,0,0,0,0,62,530
*data,0,320,0,0,0,0,0,62,382
*data,0,0,0,0,0,0,0,62,62
*data,0,0,0,0,0,0,0,62,62
*data,0,0,0,0,0,0,0,62,62
*data,0,0,0,0,0,0,0,62,62
*data,0,0,0,0,0,0,79,62,141
*data,0,0,0,0,0,0,249,67,316
*data,0,0,0,0,0,0,240,67,307
*data,0,0,0,0,0,0,240,67,307
*data,0,159,0,0,0,0,232,67,458
*data,820,501,0,0,0,0,159,67,1547
*data,820,484,0,0,0,0,0,317,1621
*data,820,484,0,0,0,0,0,317,1621
*data,820,468,0,0,0,0,0,317,1605
*data,820,320,0,0,0,0,0,317,1457
*data,820,0,0,0,0,0,0,317,1137
*data,820,0,0,0,0,0,0,317,1137
*data,820,0,0,0,0,0,0,312,1132
*data,820,0,0,0,0,0,0,312,1132
*data,820,0,0,0,0,0,79,412,1311
*data,820,0,0,0,0,0,249,412,1481
*data,820,0,0,0,0,0,240,412,1472
*data,1640,0,0,0,0,0,240,412,2292
*data,1640,159,0,0,0,0,232,412,2443
*data,1640,501,0,0,0,0,159,412,2712
*data,1640,484,0,0,0,0,0,412,2536
*data,820,484,0,0,0,0,0,442,1746
*data,820,1124,0,0,0,0,0,442,2386
*data,820,240,0,0,0,0,0,442,1502
*data,820,0,0,0,0,0,0,312,1132
*data,820,0,0,0,0,0,0,312,1132
*data,820,0,0,0,0,0,0,312,1132
*data,820,0,0,0,505,0,0,312,1637
*data,820,80,0,0,505,0,79,312,1796
*data,820,251,0,0,505,0,249,312,2136
*data,0,259,0,0,0,0,240,62,561
*data,0,251,0,0,0,0,240,62,553
*data,0,322,0,0,505,0,232,62,1121
*data,0,493,0,0,505,0,159,67,1224
*data,0,476,0,0,505,0,0,67,1048
*data,0,484,0,0,0,0,0,67,551
*data,0,468,0,0,0,0,0,67,535
*data,0,361,0,0,0,0,0,67,428
*data,400,80,0,0,0,0,0,247,727
*data,400,0,0,0,0,0,0,247,647
*data,400,0,0,0,0,0,0,247,647
*data,400,0,0,0,0,0,0,247,647
*data,400,0,0,0,0,0,79,247,726
*data,400,0,0,0,0,0,249,247,896
*data,400,0,0,0,0,0,240,247,887
*data,400,0,0,0,0,0,240,247,887
*data,0,159,0,0,0,0,232,247,638
*data,0,501,0,0,0,0,159,247,907
*data,0,484,0,0,0,0,0,247,731
*data,0,484,0,0,0,0,0,247,731
*data,0,1124,0,0,0,0,0,247,1371
*data,0,240,0,0,0,0,0,242,482
*data,0,0,0,0,0,0,0,242,242
*data,0,0,0,0,0,0,0,242,242
*data,0,0,0,0,0,0,0,242,242
*data,0,0,0,0,0,0,0,242,242
*data,0,80,0,0,0,0,79,242,401
*data,0,251,0,0,0,0,249,242,741
