*title,can_gen_low_Y1,,,,,,,
*note,Each row corresponds to 5 minutes. The first row starts Jan 1 12:00,,,,,,,
*header,Lights,Refrigerator,Stove,Dishwasher,Washer,Dryer,Freezer,Other_appliances
*units,Power (W),Power (W),Power (W),Power (W),Power (W),Power (W),Power (W),Power (W)
*data,0,242,1600,0,0,0,0,62
*data,0,242,0,0,0,0,0,62
*data,0,234,0,0,0,0,0,62
*data,0,160,0,0,0,0,0,1062
*data,0,0,0,0,0,0,0,1062
*data,0,0,0,0,0,0,0,1062
*data,0,0,0,0,0,0,0,1062
*data,0,0,0,0,0,0,0,1062
*data,0,0,0,0,0,0,0,1062
*data,0,0,0,0,0,0,0,1062
*data,0,0,0,0,0,0,0,1062
*data,0,0,0,0,0,0,0,1062
*data,0,80,0,0,0,0,0,1062
*data,0,251,0,0,0,0,0,1062
*data,0,242,0,0,0,0,0,1062
*data,0,242,0,0,0,0,0,1062
*data,0,234,0,0,0,0,0,1062
*data,0,160,0,0,0,0,0,1062
*data,0,0,0,0,0,0,0,1062
*data,0,0,0,0,0,0,0,1062
*data,0,0,0,0,0,0,0,1062
*data,0,0,0,0,0,0,0,1062
*data,0,0,0,0,0,0,0,62
*data,0,0,0,0,0,0,0,62
*data,0,0,0,0,0,0,0,242
*data,0,0,0,0,0,0,0,242
*data,0,80,0,0,0,0,0,242
*data,0,251,0,0,0,0,0,242
*data,0,242,0,0,0,0,0,242
*data,0,242,0,0,0,0,0,242
*data,0,234,0,0,0,0,0,342
*data,0,160,0,0,0,0,0,242
*data,0,0,0,0,0,0,0,242
*data,0,0,0,0,0,0,0,242
*data,0,0,0,0,0,0,0,242
*data,0,0,0,0,0,0,0,242
*data,0,0,0,0,0,0,0,242
*data,0,0,0,0,0,0,0,242
*data,0,0,0,0,0,0,0,62
*data,0,0,0,0,0,0,0,162
*data,0,80,0,0,0,0,0,62
*data,0,251,0,0,0,0,0,62
*data,0,242,0,0,0,0,0,62
*data,0,242,0,0,0,0,0,62
*data,0,234,0,0,0,0,0,62
*data,0,160,0,0,0,0,0,62
*data,0,0,0,0,0,0,0,62
*data,0,0,0,0,0,0,0,62
*data,0,0,0,0,0,0,0,62
*data,0,0,0,0,0,0,0,62
*data,0,0,0,0,0,0,0,62
*data,0,0,0,0,0,0,0,62
*data,0,0,0,0,0,0,0,62
*data,0,0,0,0,0,0,0,62
*data,0,80,0,0,0,0,0,62
*data,0,251,0,0,0,0,0,62
*data,0,242,0,0,0,0,0,62
*data,0,242,0,0,0,0,0,62
*data,0,234,0,0,0,0,0,62
*data,0,160,0,0,0,0,0,62
*data,0,0,0,0,0,0,0,62
*data,0,0,0,0,0,0,0,62
*data,0,0,0,0,0,0,0,62
*data,0,0,0,0,0,0,0,62
*data,205,0,0,0,0,0,0,62
*data,205,0,0,0,0,0,0,62
*data,0,0,0,0,0,0,0,62
*data,0,0,0,0,0,0,0,62
*data,0,80,0,0,0,0,0,62
*data,0,251,0,0,0,0,0,62
*data,0,242,0,0,0,0,0,62
*data,0,242,0,0,0,0,0,62
*data,0,234,0,0,0,0,0,62
*data,0,160,0,0,0,0,0,62
*data,0,0,0,0,0,0,0,62
*data,0,0,0,0,0,0,0,312
*data,0,0,0,0,0,0,0,312
*data,0,0,0,0,0,0,0,312
*data,0,0,0,0,0,0,0,1312
*data,0,0,0,0,0,0,0,1312
*data,0,0,0,0,0,0,0,1562
*data,0,0,0,0,0,0,0,1562
*data,0,80,0,0,0,0,0,1562
*data,0,251,0,0,0,0,0,1562
*data,0,242,0,0,0,0,0,1562
*data,0,242,0,0,0,0,0,1562
*data,205,234,0,0,0,0,0,1742
*data,305,160,0,0,0,0,0,1562
*data,305,0,0,0,0,0,0,1312
*data,305,0,0,0,0,0,0,1312
*data,335,0,0,0,0,0,0,1312
*data,335,0,0,0,0,0,0,1312
*data,335,0,0,0,0,0,0,1312
*data,335,0,0,0,0,0,0,1062
*data,335,0,0,0,0,0,0,1062
*data,230,0,0,0,0,0,0,1062
*data,230,80,0,0,0,0,0,1062
*data,230,251,0,0,0,0,0,1062
*data,230,242,0,0,0,0,0,1062
*data,230,242,0,0,0,0,0,1062
*data,230,234,0,0,0,0,0,1062
*data,100,160,0,0,0,0,0,62
*data,100,0,0,0,0,0,0,62
*data,100,0,0,0,0,0,0,242
*data,100,0,0,0,0,0,0,242
*data,100,0,0,0,0,0,0,242
*data,0,0,0,0,0,0,0,242
*data,0,0,0,0,0,0,0,242
*data,0,0,0,0,0,0,0,242
*data,0,0,0,0,0,0,0,242
*data,0,80,0,0,0,0,0,242
*data,0,251,0,0,0,0,0,242
*data,0,242,0,0,0,0,0,242
*data,0,242,0,0,0,0,0,62
*data,0,234,0,0,0,0,0,62
*data,0,160,0,0,0,0,0,62
*data,0,0,0,0,0,0,0,62
*data,0,0,0,0,0,0,0,62
*data,0,0,0,0,0,0,0,62
*data,0,0,0,0,0,0,0,242
*data,0,0,0,0,0,0,0,242
*data,0,0,0,0,0,0,0,242
*data,0,0,0,0,0,0,0,242
*data,0,0,0,0,505,0,0,242
*data,0,80,0,0,505,0,0,242
*data,0,251,0,0,505,0,0,242
*data,0,242,0,0,0,0,0,242
*data,0,242,0,0,0,0,0,242
*data,0,234,0,0,505,0,0,242
*data,0,160,0,0,505,0,0,242
*data,30,0,0,0,505,0,0,242
*data,30,0,0,0,0,0,0,242
*data,30,0,0,0,0,0,0,242
*data,30,0,0,0,0,0,0,62
*data,30,0,0,0,0,0,0,62
*data,30,0,0,0,0,0,0,62
*data,30,0,0,0,0,0,0,62
*data,30,0,0,0,0,0,0,62
*data,30,80,0,0,0,0,0,62
*data,30,251,0,0,0,0,0,62
*data,30,242,0,0,0,4115,0,62
*data,30,242,0,0,0,4115,0,62
*data,30,234,0,0,0,4115,0,62
*data,30,160,0,0,0,4115,0,62
*data,30,0,0,0,0,4115,0,62
*data,30,0,0,0,0,4115,0,62
*data,235,0,0,0,0,4115,0,62
*data,235,0,0,0,0,4115,0,62
*data,235,0,0,0,0,4115,0,62
*data,235,0,0,0,0,0,0,62
*data,235,0,0,0,0,0,0,62
*data,30,0,0,0,0,0,0,62
*data,0,80,0,0,0,0,0,62
*data,0,251,0,0,0,0,0,62
*data,0,242,0,0,0,0,0,62
*data,0,242,0,0,0,0,0,62
*data,0,234,0,0,0,0,0,62
*data,0,160,0,0,0,0,0,62
*data,0,0,0,0,0,0,0,62
*data,0,0,0,0,0,0,0,62
*data,0,0,0,0,0,0,0,62
*data,0,0,0,0,0,0,0,62
*data,30,0,0,0,0,0,0,62
*data,30,0,0,0,0,0,0,62
*data,30,0,0,0,0,0,0,62
*data,30,0,0,0,0,0,0,62
*data,30,80,0,0,0,0,0,62
*data,30,251,0,0,0,0,0,62
*data,30,242,0,0,0,0,0,62
*data,30,242,0,0,0,0,0,62
*data,30,234,0,0,0,0,0,62
*data,30,160,0,0,0,0,0,62
*data,30,0,0,0,0,0,0,62
*data,90,0,0,0,0,0,0,62
*data,90,0,0,0,0,0,0,62
*data,150,0,0,0,0,0,0,62
*data,150,0,0,0,0,0,0,62
