City,Province,Latitude,Longitude Difference,CWEC,CWEC-YEAR,CWEC-LAT,CWEC-LONG
ABBOTSFORD,BRITISH COLUMBIA,49.03,-2.37,ABBOTSFORD.CWEC,2000,49.03,-2.37
ATIKOKAN,ONTARIO,48.75,-16.62,WINNIPEG.CWEC,1997,49.9,7.23
BAGOTVILLE,QUEBEC,48.33,-11,QUEBEC.CWEC,1997,46.8,1.3
BAKER LAKE,NUNAVUT,64.3,8.92,WHITEHORSE.CWEC,2000,60.73,0
BATTLE HARBOUR,NEWFOUNDLAND,52.25,4.4,STJOHNS.CWEC,2000,47.62,7.27
BIG TROUT LAKE,ONTARIO,53.83,-14.87,THUNDERBAY.CWEC,2000,48.37,-14.32
BONAVISTA,NEWFOUNDLAND,48.67,6.88,STJOHNS.CWEC,2000,47.62,7.27
BRANDON,MANITOBA,49.92,-9.95,WINNIPEG.CWEC,1997,49.9,7.23
CALGARY,ALBERTA,51.12,-9.02,CALGARY.CWEC,1997,51.12,-0.98
CARTWRIGHT,NEWFOUNDLAND,53.7,2.97,STJOHNS.CWEC,2000,47.62,7.27
CASTLEGAR,BRITISH COLUMBIA,49.3,2.37,SUMMERLAND.CWEC,2000,49,0.61
CHARLOTTETOWN,PRINCE EDWARD ISLAND,46.28,-3.13,CHARLOTTETOWN.CWEC,1997,46.28,3.13
CHATHAM,NEW BRUNSWICK,47.98,-6.33,SAINTJOHN.CWEC,2000,45.32,-5.88
CHURCHILL,MANITOBA,58.73,-4.07,CHURCHILL.CWEC,2000,58.75,-4.07
COMOX,BRITISH COLUMBIA,49.72,-4.9,VICTORIA.CWEC,2000,48.65,-3.43
CORNER BROOK,NEWFOUNDLAND,49.22,2.6,STEPHENVILLE.CWEC,2000,58.5,-1.5
CRANBROOK,BRITISH COLUMBIA,49.6,4.22,PRINCE_GEORGE.CWEC,2000,53.88,-2.68
DAUPHIN,MANITOBA,51.1,-10.05,WINNIPEG.CWEC,1997,49.9,7.23
DAWSON,YUKON TERRITORY,64,-5,WHITEHORSE.CWEC,2000,60.73,0
