"City","Province","Latitude","Longitude Difference","CWEC"
"ABBOTSFORD","BRITISH COLUMBIA",49.03,-2.37,"CAN_BC_Vancouver_CWEC"
"ATIKOKAN","ONTARIO",48.75,-16.62,"CAN_ON_Toronto_CWEC"
"BAGOTVILLE","QUEBEC",48.33,-11,"CAN_PQ_Quebec_CWEC"
"BAKER LAKE","NUNAVUT",64.3,8.92,"CAN_YT_Whitehorse_CWEC"
"BATTLE HARBOUR","NEWFOUNDLAND",52.25,4.4,"CAN_NF_St.Johns_CWEC"
"BIG TROUT LAKE","ONTARIO",53.83,-14.87,"CAN_ON_Toronto_CWEC"
"BONAVISTA","NEWFOUNDLAND",48.67,6.88,"CAN_NF_St.Johns_CWEC"
"BRANDON","MANITOBA",49.92,-9.95,"CAN_MB_Winnipeg_CWEC"
"CALGARY","ALBERTA",51.12,-9.02,"CAN_AB_Calgary_CWEC"
"CARTWRIGHT","NEWFOUNDLAND",53.7,2.97,"CAN_NF_St.Johns_CWEC"
"CASTLEGAR","BRITISH COLUMBIA",49.3,2.37,"CAN_BC_Vancouver_CWEC"
"CHARLOTTETOWN","PRINCE EDWARD ISLAND",46.28,-3.13,"CAN_NS_Shearwater_CWEC"
"CHATHAM","NEW BRUNSWICK",47.98,-6.33,"CAN_NS_Shearwater_CWEC"
"CHURCHILL","MANITOBA",58.73,-4.07,"CAN_MB_Winnipeg_CWEC"
"COMOX","BRITISH COLUMBIA",49.72,-4.9,"CAN_BC_Vancouver_CWEC"
"CORNER BROOK","NEWFOUNDLAND",49.22,2.6,"CAN_NF_St.Johns_CWEC"
"CRANBROOK","BRITISH COLUMBIA",49.6,4.22,"CAN_BC_Vancouver_CWEC"
"DAUPHIN","MANITOBA",51.1,-10.05,"CAN_MB_Winnipeg_CWEC"
"DAWSON","YUKON TERRITORY",64,-5,"CAN_YT_Whitehorse_CWEC"
"EDMONTON","ALBERTA",53.3,-8.58,"CAN_AB_Calgary_CWEC"
"EDMUNSTON","NEW BRUNSWICK",47.02,-5.45,"CAN_NS_Shearwater_CWEC"
"ESTEVAN","SASKATCHEWAN",49.22,2.03,"CAN_SK_Saskatoon_CWEC"
"FORT MCMURRAY","ALBERTA",56.65,-6.22,"CAN_AB_Calgary_CWEC"
"FORT NELSON","BRITISH COLUMBIA",58.83,-2.58,"CAN_BC_Vancouver_CWEC"
"FORT SMITH","NORTHWEST TERRITORY",60.02,8.05,"CAN_YT_Whitehorse_CWEC"
"FORT ST. JOHN","BRITISH COLUMBIA",56.23,-0.73,"CAN_BC_Vancouver_CWEC"
"FREDERICTON","NEW BRUNSWICK",45.87,-6.53,"CAN_NS_Shearwater_CWEC"
"GANDER","NEWFOUNDLAND",48.95,5.43,"CAN_NF_St.Johns_CWEC"
"GOOSE BAY/HAPPY VALLEY - GOOSE BAY","NEWFOUNDLAND",53.32,-0.42,"CAN_NF_St.Johns_CWEC"
"GRANDE PRAIRIE","ALBERTA",55.18,-13.88,"CAN_AB_Calgary_CWEC"
"GREENWOOD","NOVA SCOTIA",44.98,-4.92,"CAN_NS_Shearwater_CWEC"
"HALIFAX/SHEARWATER","NOVA SCOTIA",44.63,-3.5,"CAN_NS_Shearwater_CWEC"
"HOPEDALE","NEWFOUNDLAND",55.45,-0.22,"CAN_NF_St.Johns_CWEC"
"INUVIK","NORTHWEST TERRITORY",68.3,1.52,"CAN_YT_Whitehorse_CWEC"
"IQALUIT","NUNAVUT",63.75,-3.55,"CAN_YT_Whitehorse_CWEC"
"KAMLOOPS","BRITISH COLUMBIA",50.7,-0.45,"CAN_BC_Vancouver_CWEC"
"KAPUSKASING","ONTARIO",49.42,-7.47,"CAN_ON_Toronto_CWEC"
"KENORA","ONTARIO",49.78,-19.37,"CAN_ON_Toronto_CWEC"
"KINGSTON","ONTARIO",44.12,-2.53,"CAN_ON_Toronto_CWEC"
"KUUJJUARAPIK (POSTE DE LA BALEINE)","QUEBEC",55.28,-17.77,"CAN_PQ_Quebec_CWEC"
"KUUJJUAQ","QUEBEC",58.1,-8.42,"CAN_PQ_Quebec_CWEC"
"LETHBRIDGE","ALBERTA",49.63,-7.8,"CAN_AB_Calgary_CWEC"
"LONDON","ONTARIO",43.03,-6.15,"CAN_ON_Toronto_CWEC"
"MEDICINE HAT","ALBERTA",50.02,-5.72,"CAN_AB_Calgary_CWEC"
"MONCTON","NEW BRUNSWICK",46.12,-4.68,"CAN_NS_Shearwater_CWEC"
"MONT JOLI","QUEBEC",48.6,-8.22,"CAN_PQ_Quebec_CWEC"
"MONTREAL/DORVAL","QUEBEC",45.47,-13.75,"CAN_PQ_Quebec_CWEC"
"MOOSE JAW","SASKATCHEWAN",50.33,-0.55,"CAN_SK_Saskatoon_CWEC"
"MUSKOKA","ONTARIO",44.97,-4.3,"CAN_ON_Toronto_CWEC"
"NITCHEQUON","QUEBEC",53.2,-10.9,"CAN_PQ_Quebec_CWEC"
"NORMAN WELLS","NORTHWEST TERRITORY",65.28,8.2,"CAN_YT_Whitehorse_CWEC"
"NORTH BATTLEFORD","SASKATCHEWAN",52.77,-3.25,"CAN_SK_Saskatoon_CWEC"
"NORTH BAY","ONTARIO",46.35,-4.43,"CAN_ON_Toronto_CWEC"
"OTTAWA","ONTARIO",45.32,-0.67,"CAN_ON_Toronto_CWEC"
"PEACE RIVER","ALBERTA",56.23,-12.43,"CAN_AB_Calgary_CWEC"
"PENTICTON","BRITISH COLUMBIA",49.47,0.4,"CAN_BC_Vancouver_CWEC"
"PORT HARDY","BRITISH COLUMBIA",50.68,-7.37,"CAN_BC_Vancouver_CWEC"
"PORTAGE LA PRAIRIE","MANITOBA",49.9,-8.27,"CAN_MB_Winnipeg_CWEC"
"PRINCE ALBERT","SASKATCHEWAN",53.22,-0.68,"CAN_SK_Saskatoon_CWEC"
"PRINCE GEORGE","BRITISH COLUMBIA",53.88,-2.68,"CAN_BC_Vancouver_CWEC"
"PRINCE RUPERT","BRITISH COLUMBIA",54.3,-10.43,"CAN_BC_Vancouver_CWEC"
"QUEBEC","QUEBEC",46.8,-11.38,"CAN_PQ_Quebec_CWEC"
"RED DEER","ALBERTA",52.18,-8.9,"CAN_AB_Calgary_CWEC"
"REGINA","SASKATCHEWAN",50.43,0.33,"CAN_SK_Saskatoon_CWEC"
"RESOLUTE","NUNAVUT",74.72,10.02,"CAN_YT_Whitehorse_CWEC"
"RIVIERE-DU-LOUP","QUEBEC",47.8,-9.55,"CAN_PQ_Quebec_CWEC"
"ROCKY MOUNTAIN HOUSE","ALBERTA",52.38,-9.92,"CAN_AB_Calgary_CWEC"
"SABLE ISLAND","NOVA SCOTIA",43.93,-0.02,"CAN_NS_Shearwater_CWEC"
"SAINT JOHN","NEW BRUNSWICK",45.32,-5.88,"CAN_NS_Shearwater_CWEC"
"SALT SPRING ISLAND","BRITISH COLUMBIA",50,-7.42,"CAN_BC_Vancouver_CWEC"
"SASKATOON","SASKATCHEWAN",52.17,-1.68,"CAN_SK_Saskatoon_CWEC"
"SAULT STE. MARIE","ONTARIO",46.48,-9.5,"CAN_ON_Toronto_CWEC"
"SCHEFFERVILLE","QUEBEC",45.52,-13.42,"CAN_PQ_Quebec_CWEC"
"SEPT ILES/SEPT-ILES","QUEBEC",46.05,-14.28,"CAN_PQ_Quebec_CWEC"
"SHERBROOKE","QUEBEC",54.8,-6.82,"CAN_PQ_Quebec_CWEC"
"SIMCOE","ONTARIO",42.5,-5,"CAN_ON_Toronto_CWEC"
"SMITHERS","BRITISH COLUMBIA",54.82,-7.18,"CAN_BC_Vancouver_CWEC"
"ST. HUBERT","QUEBEC",50.22,-6.27,"CAN_PQ_Quebec_CWEC"
"ST. JOHN'S/ST JOHN'S","NEWFOUNDLAND",47.62,7.27,"CAN_NF_St.Johns_CWEC"
"STEPHENVILLE","NEWFOUNDLAND",48.53,1.45,"CAN_NF_St.Johns_CWEC"
"SUDBURY","ONTARIO",46.62,-5.8,"CAN_ON_Toronto_CWEC"
"SUFFIELD","ALBERTA",50,-5,"CAN_AB_Calgary_CWEC"
