"Reflectivity of the ground for solar radiation dimensionless","<summary_variable>Building/Ground_Reflectivity</summary_variable>"
"Depth of the snow on the ground cm","<summary_variable>Climate/SnowDepth</summary_variable>"
"Basesimp: Above ground heat loss (W)","<summary_variable>basesimp/Qag</summary_variable>"
"Basesimp: Average below ground heat loss (W)","<summary_variable>basesimp/Qbgavg</summary_variable>"
"Basesimp: Variable below ground heat loss (W)","<summary_variable>basesimp/Qbgvar</summary_variable>"
"Basesimp: Total heat loss (W)","<summary_variable>basesimp/Qtotal</summary_variable>"
"Basesimp: Total heat loss (oC)","<summary_variable>basesimp/TBSAVG</summary_variable>"
"Basesimp: Ambient temperature (oC)","<summary_variable>basesimp/Tamb</summary_variable>"
"Basesimp: Average ground temperature (oC)","<summary_variable>basesimp/bsTGavg</summary_variable>"
"Energy balance in building (Gains + Plant interaction - Loads; all zones). (W)","<summary_variable>building/all_zones/energy_balance/net</summary_variable>"
"Heat lost through all components of envelope (all zones) (W)","<summary_variable>building/all_zones/envelope/all_components/heat_loss</summary_variable>"
"Net heat lost through all components of envelope (all zones) (W)","<summary_variable>building/all_zones/envelope/all_components/net_flux</summary_variable>"
"Heat gain from surroundings through ceilings (all zones)  (W)","<summary_variable>building/all_zones/envelope/ceilings/heat_gain</summary_variable>"
"Heat loss to surroundings through ceilings (all zones)  (W)","<summary_variable>building/all_zones/envelope/ceilings/heat_loss</summary_variable>"
"Net heat loss to surroundings through ceilings (all zones)  (W)","<summary_variable>building/all_zones/envelope/ceilings/net_flux</summary_variable>"
"Heat gain from surroundings through overhanging floors (all zones)  (W)","<summary_variable>building/all_zones/envelope/floors/heat_gain</summary_variable>"
"Heat loss to surroundings through overhanging floors (all zones)  (W)","<summary_variable>building/all_zones/envelope/floors/heat_loss</summary_variable>"
"Net heat loss to surroundings through overhanging floors (all zones)  (W)","<summary_variable>building/all_zones/envelope/floors/net_flux</summary_variable>"
"Heat gain from ground through below-grade elements (all zones)   (W)","<summary_variable>building/all_zones/envelope/foundation/heat_gain</summary_variable>"
"Heat loss to ground through below-grade elements (all zones)   (W)","<summary_variable>building/all_zones/envelope/foundation/heat_loss</summary_variable>"
"Net heat loss to ground through below-grade elements (all zones)   (W)","<summary_variable>building/all_zones/envelope/foundation/net_flux</summary_variable>"
"Heat gain from surroundings via infiltration (all zones)   (W)","<summary_variable>building/all_zones/envelope/infiltration/heat_gain</summary_variable>"
"Heat loss to surroundings via infiltration (all zones)   (W)","<summary_variable>building/all_zones/envelope/infiltration/heat_loss</summary_variable>"
"Net heat loss to surroundings via infiltration (all zones)   (W)","<summary_variable>building/all_zones/envelope/infiltration/net_flux</summary_variable>"
"Heat gain from surroundings through walls (all zones)  (W)","<summary_variable>building/all_zones/envelope/walls/heat_gain</summary_variable>"
"Heat loss to surroundings through walls (all zones) (W)","<summary_variable>building/all_zones/envelope/walls/heat_loss</summary_variable>"
"Net heat loss to surroundings through walls (all zones) (W)","<summary_variable>building/all_zones/envelope/walls/net_flux</summary_variable>"
"Heat gain from surroundings through windows (all zones, excluding insolation)  (W)","<summary_variable>building/all_zones/envelope/windows/heat_gain</summary_variable>"
"Heat loss to surroundings through windows  (all zones)  (W)","<summary_variable>building/all_zones/envelope/windows/heat_loss</summary_variable>"
"Net heat loss to surroundings through windows  (all zones)  (W)","<summary_variable>building/all_zones/envelope/windows/net_flux</summary_variable>"
"Solar gains admitted through glazing that increase cooling loads (all zones). (W)","<summary_variable>building/all_zones/insolation/adverse</summary_variable>"
"Total solar gains admitted through glazing (all zones). (W)","<summary_variable>building/all_zones/insolation/total</summary_variable>"
"Solar gains admitted through glazing that supplant heating loads (all zones). (W)","<summary_variable>building/all_zones/insolation/useful</summary_variable>"
"Sensible heat transfer from occupants, lights and equipment that increase cooling loads (all zones). (W)","<summary_variable>building/all_zones/internal_gains/adverse</summary_variable>"
"Sensible heat transfer from occupants, lights and equipment (all zones). (W)","<summary_variable>building/all_zones/internal_gains/total</summary_variable>"
"Sensible heat transfer from occupants, lights and equipment that supplant heating loads (all zones). (W)","<summary_variable>building/all_zones/internal_gains/useful</summary_variable>"
"Total amount of cooling supplied to the building (all zones). (W)","<summary_variable>building/all_zones/supplied_energy/cooling</summary_variable>"
"Total amount of heat supplied to the building (all zones). (W)","<summary_variable>building/all_zones/supplied_energy/heating</summary_variable>"
"Net heat/cooling supplied to the building (all zones). (W)","<summary_variable>building/all_zones/supplied_energy/net_flux</summary_variable>"
"Total cooling load ( heat gain through envelope +  ventilation and infiltration loads; all zones ) (W)","<summary_variable>building/all_zones/thermal_loads/cooling/total</summary_variable>"
"Total heating load ( heat loss through envelope +  ventilation and infiltration loads; all zones) (W)","<summary_variable>building/all_zones/thermal_loads/heating/total</summary_variable>"
"Total net load ( heat gain through envelope +  ventilation and infiltration loads; all zones ) (W)","<summary_variable>building/all_zones/thermal_loads/net</summary_variable>"
"Day corresponding to future simulation time row (day)","<summary_variable>building/day/future</summary_variable>"
"Day corresponding to current simulation time row (days)","<summary_variable>building/day/present</summary_variable>"
"Day # corresponding to future simulation day (day)","<summary_variable>building/day_number/future</summary_variable>"
"Day # corresponding to current simulation day (days)","<summary_variable>building/day_number/present</summary_variable>"
"Hour corresponding to future simulation hour (hours)","<summary_variable>building/hour/future</summary_variable>"
"Hour corresponding to current simulation hour (hours)","<summary_variable>building/hour/present</summary_variable>"
"Month corresponding to current simulation time row  (-)","<summary_variable>building/month</summary_variable>"
"Time corresponding to future simulation time row (hours)","<summary_variable>building/time/future</summary_variable>"
"Time corresponding to current simulation time row (hours)","<summary_variable>building/time/present</summary_variable>"
"Time step # (-)","<summary_variable>building/time_step</summary_variable>"
"Zone air-point temperature (oC)","<summary_variable>building/zone_01/air_point/temperature</summary_variable>"
"Heat gained through all components of envelope (W)","<summary_variable>building/zone_01/envelope/all_components/heat_gain</summary_variable>"
"Heat lost through all components of envelope (W)","<summary_variable>building/zone_01/envelope/all_components/heat_loss</summary_variable>"
"Net flux through all components of envelope (W)","<summary_variable>building/zone_01/envelope/all_components/net_flux</summary_variable>"
"Contribution of ceilings to cooling load (W)","<summary_variable>building/zone_01/envelope/ceilings/heat_gain</summary_variable>"
"Contribution of Ceilings to heating load (W)","<summary_variable>building/zone_01/envelope/ceilings/heat_loss</summary_variable>"
"Contribution of ceilings to net heat flux (W)","<summary_variable>building/zone_01/envelope/ceilings/net_flux</summary_variable>"
"Contribution of overhanging floors to cooling load (W)","<summary_variable>building/zone_01/envelope/floors/heat_gain</summary_variable>"
"Contribution of overhanging floors to heating load (W)","<summary_variable>building/zone_01/envelope/floors/heat_loss</summary_variable>"
"Contribution of overhanging floors to net heat flux (W)","<summary_variable>building/zone_01/envelope/floors/net_flux</summary_variable>"
"Contribution of foundation to cooling load (W)","<summary_variable>building/zone_01/envelope/foundation/heat_gain</summary_variable>"
"Contribution of foundation to heating load (W)","<summary_variable>building/zone_01/envelope/foundation/heat_loss</summary_variable>"
"Contribution of foundation to net heat flux (W)","<summary_variable>building/zone_01/envelope/foundation/net_flux</summary_variable>"
"Zone infiltration (air changes per hour) (ACH)","<summary_variable>building/zone_01/envelope/infiltration/air_changes_per_hour</summary_variable>"
"Contribution of infiltration to cooling load (W)","<summary_variable>building/zone_01/envelope/infiltration/heat_gain</summary_variable>"
"Contribution of infiltration to heating load (W)","<summary_variable>building/zone_01/envelope/infiltration/heat_loss</summary_variable>"
"Contribution of infiltration to net heat flux (W)","<summary_variable>building/zone_01/envelope/infiltration/net_flux</summary_variable>"
"Contribution of walls to cooling load (W)","<summary_variable>building/zone_01/envelope/walls/heat_gain</summary_variable>"
"Contribution of walls to heating load (W)","<summary_variable>building/zone_01/envelope/walls/heat_loss</summary_variable>"
"Contribution of walls to net heat flux (W)","<summary_variable>building/zone_01/envelope/walls/net_flux</summary_variable>"
"Contribution of windows to cooling load (W)","<summary_variable>building/zone_01/envelope/windows/heat_gain</summary_variable>"
"Contribution of windows to heating load (W)","<summary_variable>building/zone_01/envelope/windows/heat_loss</summary_variable>"
"Contribution of windows to net heat flux (W)","<summary_variable>building/zone_01/envelope/windows/net_flux</summary_variable>"
"Solar gains admitted through glazing that increase cooling loads (W)","<summary_variable>building/zone_01/insolation/adverse</summary_variable>"
"Solar gains admitted through glazing  (W)","<summary_variable>building/zone_01/insolation/total</summary_variable>"
"Solar gains admitted through glazing that supplant heating loads (W)","<summary_variable>building/zone_01/insolation/useful</summary_variable>"
"Internal heat gains(convective + radiant) that increase cooling loads (W)","<summary_variable>building/zone_01/internal_gains/adverse</summary_variable>"
"Internal heat gains(convective + radiant) (W)","<summary_variable>building/zone_01/internal_gains/total</summary_variable>"
"Internal heat gains(convective + radiant) that supplant heating loads (W)","<summary_variable>building/zone_01/internal_gains/useful</summary_variable>"
"Zone net heat extraction  (W)","<summary_variable>building/zone_01/supplied_energy/cooling</summary_variable>"
"Zone net heat injection  (W)","<summary_variable>building/zone_01/supplied_energy/heating</summary_variable>"
"Zone net heat injection/extraction  (W)","<summary_variable>building/zone_01/supplied_energy/net</summary_variable>"
"Ambient radiant temperature for exterior surface (oC)","<summary_variable>building/zone_01/surface_01/AmbRT</summary_variable>"
"External side convective coefficient (W/(m2 K))","<summary_variable>building/zone_01/surface_01/HCe</summary_variable>"
"Internal side convective coefficient (W/(m2 K))","<summary_variable>building/zone_01/surface_01/HCi</summary_variable>"
"Temperature on exterior face (oC)","<summary_variable>building/zone_01/surface_01/ext_surf_temperature</summary_variable>"
"Heat transfer through building envelope (above-grade) (W)","<summary_variable>building/zone_01/surface_01/heat_flux/above_grade/net</summary_variable>"
"Temperature at node within multilayer construction (oC)","<summary_variable>building/zone_01/surface_01/node_01/temperature</summary_variable>"
"Temperature at node within multilayer construction (oC)","<summary_variable>building/zone_01/surface_01/node_02/temperature</summary_variable>"
"Plant containment radiant heat flux at surface (W)","<summary_variable>building/zone_01/surface_01/plant_containment_flux</summary_variable>"
"Temperature on zone inside face (oC)","<summary_variable>building/zone_01/surface_01/temperature</summary_variable>"
"Ambient radiant temperature for exterior surface (oC)","<summary_variable>building/zone_01/surface_02/AmbRT</summary_variable>"
"External side convective coefficient (W/(m2 K))","<summary_variable>building/zone_01/surface_02/HCe</summary_variable>"
"Internal side convective coefficient (W/(m2 K))","<summary_variable>building/zone_01/surface_02/HCi</summary_variable>"
"Temperature on exterior face (oC)","<summary_variable>building/zone_01/surface_02/ext_surf_temperature</summary_variable>"
"Heat transfer through building envelope (above-grade) (W)","<summary_variable>building/zone_01/surface_02/heat_flux/above_grade/net</summary_variable>"
"Temperature at node within multilayer construction (oC)","<summary_variable>building/zone_01/surface_02/node_01/temperature</summary_variable>"
"Temperature at node within multilayer construction (oC)","<summary_variable>building/zone_01/surface_02/node_02/temperature</summary_variable>"
"Plant containment radiant heat flux at surface (W)","<summary_variable>building/zone_01/surface_02/plant_containment_flux</summary_variable>"
"Temperature on zone inside face (oC)","<summary_variable>building/zone_01/surface_02/temperature</summary_variable>"
"Ambient radiant temperature for exterior surface (oC)","<summary_variable>building/zone_01/surface_03/AmbRT</summary_variable>"
"External side convective coefficient (W/(m2 K))","<summary_variable>building/zone_01/surface_03/HCe</summary_variable>"
"Internal side convective coefficient (W/(m2 K))","<summary_variable>building/zone_01/surface_03/HCi</summary_variable>"
"Temperature on exterior face (oC)","<summary_variable>building/zone_01/surface_03/ext_surf_temperature</summary_variable>"
"Heat transfer through building envelope (above-grade) (W)","<summary_variable>building/zone_01/surface_03/heat_flux/above_grade/net</summary_variable>"
"Temperature at node within multilayer construction (oC)","<summary_variable>building/zone_01/surface_03/node_01/temperature</summary_variable>"
"Temperature at node within multilayer construction (oC)","<summary_variable>building/zone_01/surface_03/node_02/temperature</summary_variable>"
"Plant containment radiant heat flux at surface (W)","<summary_variable>building/zone_01/surface_03/plant_containment_flux</summary_variable>"
"Temperature on zone inside face (oC)","<summary_variable>building/zone_01/surface_03/temperature</summary_variable>"
"Ambient radiant temperature for exterior surface (oC)","<summary_variable>building/zone_01/surface_04/AmbRT</summary_variable>"
"External side convective coefficient (W/(m2 K))","<summary_variable>building/zone_01/surface_04/HCe</summary_variable>"
"Internal side convective coefficient (W/(m2 K))","<summary_variable>building/zone_01/surface_04/HCi</summary_variable>"
"Temperature on exterior face (oC)","<summary_variable>building/zone_01/surface_04/ext_surf_temperature</summary_variable>"
"Heat transfer through building envelope (above-grade) (W)","<summary_variable>building/zone_01/surface_04/heat_flux/above_grade/net</summary_variable>"
"Temperature at node within multilayer construction (oC)","<summary_variable>building/zone_01/surface_04/node_01/temperature</summary_variable>"
"Temperature at node within multilayer construction (oC)","<summary_variable>building/zone_01/surface_04/node_02/temperature</summary_variable>"
"Plant containment radiant heat flux at surface (W)","<summary_variable>building/zone_01/surface_04/plant_containment_flux</summary_variable>"
"Temperature on zone inside face (oC)","<summary_variable>building/zone_01/surface_04/temperature</summary_variable>"
"External side convective coefficient (W/(m2 K))","<summary_variable>building/zone_01/surface_05/HCe</summary_variable>"
"Internal side convective coefficient (W/(m2 K))","<summary_variable>building/zone_01/surface_05/HCi</summary_variable>"
"Heat transfer through building envelope (above-grade) (W)","<summary_variable>building/zone_01/surface_05/heat_flux/above_grade/net</summary_variable>"
"Temperature at node within multilayer construction (oC)","<summary_variable>building/zone_01/surface_05/node_01/temperature</summary_variable>"
"Temperature at node within multilayer construction (oC)","<summary_variable>building/zone_01/surface_05/node_02/temperature</summary_variable>"
"Plant containment radiant heat flux at surface (W)","<summary_variable>building/zone_01/surface_05/plant_containment_flux</summary_variable>"
"Temperature on zone inside face (oC)","<summary_variable>building/zone_01/surface_05/temperature</summary_variable>"
"External side convective coefficient (W/(m2 K))","<summary_variable>building/zone_01/surface_06/HCe</summary_variable>"
"Internal side convective coefficient (W/(m2 K))","<summary_variable>building/zone_01/surface_06/HCi</summary_variable>"
"Heat transfer through building envelope (above-grade) (W)","<summary_variable>building/zone_01/surface_06/heat_flux/above_grade/net</summary_variable>"
"Temperature at node within multilayer construction (oC)","<summary_variable>building/zone_01/surface_06/node_01/temperature</summary_variable>"
"Temperature at node within multilayer construction (oC)","<summary_variable>building/zone_01/surface_06/node_02/temperature</summary_variable>"
"Plant containment radiant heat flux at surface (W)","<summary_variable>building/zone_01/surface_06/plant_containment_flux</summary_variable>"
"Temperature on zone inside face (oC)","<summary_variable>building/zone_01/surface_06/temperature</summary_variable>"
"Total cooling load ( heat gain trough envelope +  ventilation and infiltration loads ) (W)","<summary_variable>building/zone_01/thermal_loads/cooling/total</summary_variable>"
"Total heating load ( heat loss trough envelope +  ventilation and infiltration loads ) (W)","<summary_variable>building/zone_01/thermal_loads/heating/total</summary_variable>"
"Net load ( heat gain/loss trough envelope +  ventilation and infiltration loads ) (W)","<summary_variable>building/zone_01/thermal_loads/net_load</summary_variable>"
"Zone air-point temperature (oC)","<summary_variable>building/zone_02/air_point/temperature</summary_variable>"
"Heat gained through all components of envelope (W)","<summary_variable>building/zone_02/envelope/all_components/heat_gain</summary_variable>"
"Heat lost through all components of envelope (W)","<summary_variable>building/zone_02/envelope/all_components/heat_loss</summary_variable>"
"Net flux through all components of envelope (W)","<summary_variable>building/zone_02/envelope/all_components/net_flux</summary_variable>"
"Contribution of ceilings to cooling load (W)","<summary_variable>building/zone_02/envelope/ceilings/heat_gain</summary_variable>"
"Contribution of Ceilings to heating load (W)","<summary_variable>building/zone_02/envelope/ceilings/heat_loss</summary_variable>"
"Contribution of ceilings to net heat flux (W)","<summary_variable>building/zone_02/envelope/ceilings/net_flux</summary_variable>"
